date,position,track_id,track_name,artist,streams
2017-01-01,25,2IMODbij0lZ5CuAjZi0IDE,Sila,SUD,70631
2017-01-01,40,0YyM8aEdbjGfLWPn6fdcn7,Pasensya Ka Na,Silent Sanctuary,52955
2017-01-01,46,6NFKf8vBApSvtzkapYmnVR,Tadhana,Up Dharma Down,48330
2017-01-01,50,6M21eWbEw74XDdoQsNIinq,Malaya (Camp Sawi Original Motion Picture Soundtrack),Moira Dela Torre,39075
2017-01-01,51,0KKkJNfGyhkQ5aFogxQAPU,That's What I Like,Bruno Mars,39029
2017-01-01,59,5QVuf1MpdzFtFoJGwcKosa,Stay - On the Wings of Love Teleserye Theme,Daryl Ong,31290
2017-01-01,63,2XYb0tB6gqXObZqNsAoMYk,Paasa - T.A.N.G.A.,Yeng Constantino,28239
2017-01-01,66,01YEqVPCm0vqRLA9w43bic,Hanggang Kailan,Michael Pangilinan,26852
2017-01-01,73,2PcbtMoqOlGSzOfyJlkB06,Your Love - Dolce Amore Teleserye Theme,Juris,24585
2017-01-01,78,7sW3f7PqDV7BQ7qqeVBJIA,Migraine,Moonstar88,22840
2017-01-01,96,1MkiRsYBkXbXvdiYvTTiQT,Someday,Nina,18997
2017-01-01,98,6xQs6y6CpDqK9VKCktApEL,Hiling,Mark Carpio,18928
2017-01-01,99,6C2nrsOlb3jOUGcJAmPrTA,Tell Me Where It Hurts,MYMP,18925
2017-01-01,103,3VcVQmMivq2ISfKUmIuvMK,Rainbow,South Border,17547
2017-01-01,104,4ZgZPrrSLi4sIiFkiahuxq,Hanap-Hanap,James Reid,17529
2017-01-01,105,2S80c51YXgJQhkhX603fMA,Prinsesa,6cyclemind,17516
2017-01-01,110,39V6cEoNFwDFRJEOKyj4OR,Let Me Be the One,Julie Anne San Jose,17012
2017-01-01,113,2qqte0XT0eFFVLuNP7Qena,Paano Ba Ang Magmahal,Piolo Pascual,16486
2017-01-01,126,6Qyc6fS4DsZjB2mRW9DsQs,Iris,The Goo Goo Dolls,14929
2017-01-01,147,0MqkYdGBzHx7lnaFvo7doR,Para Sa Akin,Sitti,13502
2017-01-01,154,37hmZirFpkUcMNlkf5i60r,O Pag-ibig,Bailey May,12734
2017-01-01,168,135ggzbjOogZ75IQ0LQi8r,Ang Huling El Bimbo,Eraserheads,12123
2017-01-01,171,14pj36HKHd6c72njvGVPWU,Pusong Ligaw,Jericho Rosales,11965
2017-01-01,177,0JzwzRDkwZr8s1WRfNgUqA,Till I Met You,Angeline Quinto,11649
2017-01-01,182,7vFv0yFGMJW3qVXbAd9BK9,Your Body Is a Wonderland,John Mayer,11564
2017-01-01,184,6lanRgr6wXibZr8KgzXxBl,A Thousand Years,Christina Perri,11491
2017-01-01,186,7DpfL3u92JKKTys5w7jfY7,Starting over Again,Toni Gonzaga,11386
2017-01-01,189,6CHpr3pY2MbJ5y1076UDnI,The Day You Said Goodnight - Acoustic Version,Hale,11341
2017-01-02,197,1qoXYfWILyuN0EatImGlma,"Nothing's Gonna Stop Us Now - From ""Crazy Beautiful You""",Morissette,13094
2017-01-03,179,628A1ThsViFrgjqgRAy4aa,Diwata,Abra,15111
2017-01-03,190,6Gn02ZC8juXwQ10Xk7ACXx,The Reason,Hoobastank,14628
2017-01-04,185,3AJwUDP919kvQ9QcozQPxg,Yellow,Coldplay,15129
2017-01-04,196,5fVZC9GiM4e8vu99W0Xf6J,How to Save a Life,The Fray,14445
2017-01-06,183,0ecAxY4uqROZWKSUaRVCK7,"Hey Crush - From ""Vince & Kath & James""",Joshua Garcia,15312
2017-01-07,167,6c1MgHPPSxYnBCA2PbJEUN,Mahal Ko O Mahal Ako,KZ Tandingan,16002
2017-01-07,170,79yCQrawsilxU56g0UifKQ,Akin Ka Na Lang,The Company,15511
2017-01-07,186,5zMR44ZH4KVZj4FlhTj3SE,Magbalik,Callalily,14717
2017-01-07,193,6bMSUhAmaAGTb5RTTuzWE3,Simpleng Tao,Gloc 9,14218
2017-01-20,117,4ai7c2BUjNpElhZdZDH7qF,Dahil Sa'Yo,Inigo Pascual,22035
2017-01-31,146,5fJHoiDbRO8f7wkGL0kotY,"Pag-Ibig - From ""Dangwa""",Sponge Cola,19057
2017-02-01,189,1C3wg8sCIPqpNQx0wAL4DC,The Way You Look at Me,Christian Bautista,16054
2017-02-10,191,4OjORl39ULsmkJHOPbOOPJ,You,Jona,15360
2017-02-12,145,60LTEqwQF7J0mO093FPRdc,Does She Know,Kiana V,19132
2017-02-14,146,5K7AMlpc4796JRWXb26nCV,I'll Be,Edwin McCain,22790
2017-02-14,179,37f4ITSlgPX81ad2EvmVQr,Fight Song,Rachel Platten,18956
2017-02-14,182,66l54YRkk0mU2ECTdxJGqS,Bakit Pa Ba,Jay R,18532
2017-02-15,181,0zFYa7NIpKhmom8zrZx7Ga,Why Can't It Be,Kaye Cal,16793
2017-02-21,197,1FHCU1rDAeaPsBW9byjJ0Q,12:51,krissy & ericka,15970
2017-02-22,152,6RUKPb4LETWmmr3iAEQktW,Something Just Like This,The Chainsmokers,20239
2017-04-20,196,4ub59HeXqdYApJtkJqnvXE,I'll Never Go,Erik Santos,17912
2017-04-28,85,2meEAmZCXr2dud0RRYyfZt,Kaibigan Mo,Sarah Geronimo,32217
2017-04-28,94,3DXncPQOG4VBw3QHh3S817,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",DJ Khaled,29237
2017-05-19,190,6wp2nSBcuEdZYkEA1g4KHQ,Stay,Claudia,18624
2017-06-03,159,0AZjL7QqObm13VxPA078uz,"Tag-ulan (Original Soundtrack of ""Luck At First Sight"")",Thyro,20232
2017-06-20,199,7IqUmDJ2GjaOqrzDCXhrV5,Ipagpatawad Mo,Mayonnaise,17498
2017-07-04,183,6OeirQ9nVW9zOUkb4QXjxV,Simpleng Tulad Mo,Daniel Padilla,19421
