date,position,track_id,track_name,artist,streams,Filipino
1/1/2017,105,2S80c51YXgJQhkhX603fMA,Prinsesa,6cyclemind,17516,filipino
1/3/2017,179,628A1ThsViFrgjqgRAy4aa,Diwata,Abra,15111,filipino
12/24/2019,152,2H4c5V0oIfPxuYLBTiUon4,Magkasama tayo sa Kwento ng Pasko - Abs-CBN 2013 Christmas Station Id,ABS-CBN Music All Star,35850,filipino
6/17/2020,166,55XlSI5d8hMVoNjVkpQpT7,Malayo,Ace Banzuelo,26183,filipino
12/24/2017,157,0KaUTLgQTHW0hIRi9vuPEF,Christmas Bonus,Aegis,25399,filipino
5/17/2019,84,33NwLcrJHLbENMoDeAPUNi,Bagong Umaga,Agsunta,38496,filipino
12/23/2017,148,6PJ2glrMHEZKqc3kqIB7Vz,Star Ng Pasko,Aiza Seguerra,22340,filipino
12/15/2017,197,5sLGYJOhLP197nmkaRMMEH,Ngayong Gabi,Al James,18765,filipino
7/12/2020,100,6qCDsNEOnQ6uPG7m8gWUkW,"I Will Be Here (Original Soundtrack from the movie ""Through Night And Day"")",Alessandra De Rossi,30138,filipino
4/12/2019,168,2KoWHNtJrbE0WxWfQjYjyu,Urong Sulong,Alisson Shore,26787,filipino
12/26/2018,196,6fWTVk29yvFEqE5VY6Gslk,Dalaga,ALLMO$T,20130,filipino
7/21/2018,187,0HQnJee8ShSDu2AYwibxst,Hanggang Kailan (Umuwi Ka Na Baby),Angelina Cruz,20264,filipino
12/24/2018,148,2TMwa7JqgnTxo6koLACzjh,Sana Ngayong Pasko,Ariel Rivera,30880,filipino
2/18/2019,154,02GtNoUv85fOPEaCTlpYzr,"Kapit (From ""Alone / Together"")",Armi Millare,28566,filipino
6/5/2020,134,63qA4ydokzNOFpsaNlsYsC,Higa,Arthur Nery,28621,filipino
7/10/2019,139,3iZB3VUDerY5P96rhBKwKr,Dalaga,Arvey,30920,filipino
3/11/2018,176,0mUfY2PdHs57EG15zj1dRj,Laro,Autotelic,20387,filipino
1/1/2017,154,37hmZirFpkUcMNlkf5i60r,O Pag-ibig,Bailey May,12734,filipino
8/16/2020,196,0knRQzgvbUed6K74mX81hG,Kabilang Buhay,Bandang Lapis,22857,filipino
11/22/2018,162,6aqH1me0AcXPwJEAflvNoT,Unan,Because,25396,filipino
12/17/2017,181,3WUEs51GpcvlgU7lehLgLh,Kathang Isip,Ben&Ben,18766,filipino
2/22/2019,169,0HYmOF3tCkYejosr1HTMhV,Filipina Girl,Billy Crawford,27839,filipino
5/7/2020,141,5gtV3gSgfX1exeKgeceHR0,Bisayang Gwapito,Brian Pepito,26486,filipino
1/7/2017,186,5zMR44ZH4KVZj4FlhTj3SE,Magbalik,Callalily,14717,filipino
2/1/2017,189,1C3wg8sCIPqpNQx0wAL4DC,The Way You Look at Me,Christian Bautista,16054,filipino
5/10/2019,179,5dE2M9Q15O1JMeOODNNgIm,"Bat Ngayon?, Pt.1",CLR,25550,filipino
12/24/2018,169,4lelBtLnt1mEfH6MlVp5yG,Pangako sa Pasko,Cocoy Claravall,28234,filipino
7/4/2017,183,6OeirQ9nVW9zOUkb4QXjxV,Simpleng Tulad Mo,Daniel Padilla,19421,filipino
12/27/2017,195,0qt9ivU6UEP3YdNUiZsnYR,"Dying Inside To Hold You - From "" All Of You"" Official Soundtrack",Darren Espanto,19531,filipino
1/1/2017,59,5QVuf1MpdzFtFoJGwcKosa,Stay - On the Wings of Love Teleserye Theme,Daryl Ong,31290,filipino
2/18/2018,198,00mBzIWv5gHOYxwuEJXjOG,Sa Ngalan Ng Pag-Ibig,December Avenue,19655,filipino
10/8/2018,192,5WJOCn5Mkzb9fNT6jh1ktg,Magbalik,Drei Rana,22247,filipino
10/9/2020,163,0wUSZjJVblGKntOqBSWMdo,Bawat Daan,Ebe Dancel,31689,filipino
3/26/2020,107,47UUjZbqZjcrzELnFBB1Ht,Teka Lang,Emman,28822,filipino
1/1/2017,168,135ggzbjOogZ75IQ0LQi8r,Ang Huling El Bimbo,Eraserheads,12123,filipino
4/20/2017,196,4ub59HeXqdYApJtkJqnvXE,I'll Never Go,Erik Santos,17912,filipino
