playlist_id,playlist_name,playlist_total_tracks,owner_id,owner_name,total_followers
2zTwUZzYwfkleg8tzpk1L9,Bisaya Ni Bai,361,12171873186,Earl Ray Aniñon,17444
7rVmAwlmXNvhfO2zInexV8,Bisaya songs 2017,13,barrybhing,barrybhing,11827
2VL1fspwG0sE9c6kYzS1I3,Bisrock (Bisaya/Bisdak songs),37,12182532673,Mark Lister Antequisa,9779
1NHf7WCWtYiGHNpqX4bVcc,Bisaya Songs 2021 🔅,53,jyhra99st5nhex8kfo4um2dh7,buntala,7044
6pUBlNWNgMykZZrs5ug3Sd,Bisaya Collection,24,solidengg,solidengg,6905
1SS2fcSv9hhdNRzjC1Pe8H,BISAYA HUGOT SONGS,11,213eydvsamth4c77aknn7fdta,Franz Joseff Picardal,3248
7KV9JA0Ejl1TZquP6G0G5D,"Nairud Sa Wabad, Bisaya Reggae, et al",30,freddielore,Freddie Lore,3059
3kwbZnP1fzHR7kDMwH7gV0,Bisaya Love Songs,20,12140998914,Mechelyn Iris,2499
1eGG5CvUypJxfGTa4z7p19,Bisaya love songs;),21,abbysasuman,abbysasuman,2195
1DOcye4Hhj4FOCcQaT7UgO,Bisaya Christian Songs,15,jamesdolilasa,jamesdolilasa,2179
5IvVJNWCXISOp9tvWTGyCv,Bisaya Worship Songs,39,2fqlpbujk3jtj49ko2o0t66lk,Jj,1515
5VU3TG2OSQg28VXWWS7Byp,Jacky Chang — Pero Atik Ra (bisaya),13,12155349493,12155349493,1476
7yLJLVbDbB8PfXL0Rnmd0L,Bisaya Rap 2022,313,vandolphreyes,Vandolph Reyes ,1408
195eXUOX3VXYUaGbJwZFcx,I'm Proud na Bisaya Ko,16,y245se09f4xlm2bbpif5qw01k,xtinepositivity,1300
08MVMPAUDJQ07Ax8po65Xp,Bisaya Hits: The Cebuano Playlist,86,22smp6fk3k3sigm4j4g6d4rqq,Drew Sarmiento,1170
3L5jwCZ3jlrBRTK17TZgDn,Bisaya Cebuano Songs,15,12140731654,Aldz Dionson,1123
09rclvFqa7AKU0TartvcWP,New Bisaya Love Songs,30,michael.latasa,michael.latasa,942
