track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name
6jWhHSKJVIitWfDMk8Koya,Bok Love,2JsIfP1lpzcjSg7OUl46Wm,Therese Marie Villarante,5LQq0pMTWFRciduRo5sxmA,273642,2015-07-10,35,0.764,0.541,2,-6.601,1,0.064,0.48,0.0,0.0985,0.497,139.909,2zTwUZzYwfkleg8tzpk1L9,Bisaya Ni Bai
2o81pl5uVx5NETtrExnC28,Prinsipal,4Tqev51V8UY0SE8nsL3MNv,Missing Filemon,1TfKwUemSLAldA5ePhOymj,176133,2005-04-23,0,0.466,0.952,6,-3.914,0,0.0982,0.000108,0.0,0.0855,0.824,152.004,2zTwUZzYwfkleg8tzpk1L9,Bisaya Ni Bai
1FJgGHJCxVqXY36szOju9B,Inday (Harana Version),4Tqev51V8UY0SE8nsL3MNv,Missing Filemon,6uApkKamcxUDGNdvy1aUvm,232306,2002-08-08,0,0.594,0.364,9,-12.41,1,0.0458,0.165,0.0,0.114,0.715,79.365,2zTwUZzYwfkleg8tzpk1L9,Bisaya Ni Bai
6Z9wD1s5orflyhpnlUc4z7,Sinesine,4Tqev51V8UY0SE8nsL3MNv,Missing Filemon,1TfKwUemSLAldA5ePhOymj,314493,2005-04-23,0,0.515,0.515,9,-6.864,1,0.0257,0.000559,0.0,0.0831,0.378,85.838,2zTwUZzYwfkleg8tzpk1L9,Bisaya Ni Bai
1Ig4F2aPTcUuGj2dqCmLPp,Englisera,4Tqev51V8UY0SE8nsL3MNv,Missing Filemon,1TfKwUemSLAldA5ePhOymj,244186,2005-04-23,0,0.707,0.585,7,-6.56,1,0.0331,0.023,0.0,0.0703,0.5,93.105,2zTwUZzYwfkleg8tzpk1L9,Bisaya Ni Bai
5Vyqz2eaiAHhusPPwQIbu6,Suroysuroy,4Tqev51V8UY0SE8nsL3MNv,Missing Filemon,6uApkKamcxUDGNdvy1aUvm,351106,2002-08-08,0,0.728,0.885,7,-4.995,1,0.083,0.0519,0.0,0.354,0.727,130.078,2zTwUZzYwfkleg8tzpk1L9,Bisaya Ni Bai
3yt0m6X88tqWYk0rZubIQB,Intergalactic Gugma,3Fobfc6h0FxzRPOmKE2gux,Tony Alfonso,7nVzB0yI6ZgevM7kFWRfuv,221379,2014-07-01,0,0.526,0.786,4,-5.791,1,0.0444,0.041,0.0,0.204,0.433,173.905,2zTwUZzYwfkleg8tzpk1L9,Bisaya Ni Bai
6ErJBrUGKDZ6sXmBcKTxMG,Imong Bayani,79n8Xh92zDKpaVHUGb0VTM,Ralph Mallapre,7nVzB0yI6ZgevM7kFWRfuv,263013,2014-07-01,0,0.501,0.669,2,-4.927,1,0.0283,0.224,2.97e-06,0.279,0.282,146.016,2zTwUZzYwfkleg8tzpk1L9,Bisaya Ni Bai
51LnPVf5itbot6FWGTlggC,Dili Pa Panahon (feat. Kenneth Corvera),6n7uaiLEw5JQO33WMq4FYK,Freon,7nVzB0yI6ZgevM7kFWRfuv,187500,2014-07-01,0,0.757,0.919,1,-4.763,1,0.0875,0.301,0.0,0.118,0.803,100.026,2zTwUZzYwfkleg8tzpk1L9,Bisaya Ni Bai
1fSuHar88FEEyu5dmo1Zcd,Alas Kwatro (feat. Annchit Maglahus),4Tqev51V8UY0SE8nsL3MNv,Missing Filemon,142eRmNavVHE7pwdmx6QN2,380360,2012-09-15,0,0.42,0.131,2,-10.229,1,0.0361,0.888,0.0,0.0699,0.183,141.091,2zTwUZzYwfkleg8tzpk1L9,Bisaya Ni Bai
7i7R32WYEbmyB1aOD5q35o,Kawanangan (feat. Cattski Espina),4Tqev51V8UY0SE8nsL3MNv,Missing Filemon,142eRmNavVHE7pwdmx6QN2,240546,2012-09-15,0,0.747,0.317,9,-8.29,1,0.0561,0.615,1.95e-06,0.373,0.405,123.157,2zTwUZzYwfkleg8tzpk1L9,Bisaya Ni Bai
12DMjE0F0Mz0mzpsvOetAj,Kung Ako Ka Pa Lang,4Tqev51V8UY0SE8nsL3MNv,Missing Filemon,1TfKwUemSLAldA5ePhOymj,102293,2005-04-23,0,0.539,0.37,0,-11.107,1,0.0594,0.647,0.0,0.0732,0.34,82.076,2zTwUZzYwfkleg8tzpk1L9,Bisaya Ni Bai
3NpecBROvbohtr5bt6ui8T,Sinesine (Tambayan Version),4Tqev51V8UY0SE8nsL3MNv,Missing Filemon,1TfKwUemSLAldA5ePhOymj,336146,2005-04-23,0,0.557,0.148,9,-12.177,1,0.0552,0.684,0.0,0.103,0.29,165.599,2zTwUZzYwfkleg8tzpk1L9,Bisaya Ni Bai
6c301CAZQtgh1lHB5vnLgq,Soap Opera,4Tqev51V8UY0SE8nsL3MNv,Missing Filemon,1TfKwUemSLAldA5ePhOymj,150746,2005-04-23,0,0.697,0.705,7,-5.494,1,0.0501,0.000942,0.000867,0.0697,0.503,122.07,2zTwUZzYwfkleg8tzpk1L9,Bisaya Ni Bai
34y0QYgGF0ITnTfvNv7re3,Inday,4Tqev51V8UY0SE8nsL3MNv,Missing Filemon,6uApkKamcxUDGNdvy1aUvm,237693,2002-08-08,0,0.551,0.56,0,-5.411,1,0.0369,0.00219,0.0,0.211,0.551,158.855,2zTwUZzYwfkleg8tzpk1L9,Bisaya Ni Bai
3P10s99vlTzTMq5oybTVHp,Kamagayan,4Tqev51V8UY0SE8nsL3MNv,Missing Filemon,6uApkKamcxUDGNdvy1aUvm,200653,2002-08-08,0,0.394,0.908,2,-3.666,1,0.115,0.00782,0.0,0.0753,0.221,151.102,2zTwUZzYwfkleg8tzpk1L9,Bisaya Ni Bai
2vlsdEt617W0CDSaj9LlWe,Gikumot Kumot,2BEdMf5LL1LlcuG1tCUzlP,Kantin Dudg,59w6wSdcYMmf28AwgTiXBL,203293,2008-04-23,0,0.627,0.729,2,-8.103,1,0.29,0.43,0.0,0.192,0.836,149.4,2zTwUZzYwfkleg8tzpk1L9,Bisaya Ni Bai
2wOEOO6NZIgkX6NnB7ylav,Buwag Balik,5jEspZO7fc8r7hJG1klo9T,Lourdes May Maglinte,5LQq0pMTWFRciduRo5sxmA,210842,2015-07-10,26,0.566,0.842,7,-4.505,1,0.301,0.439,0.0,0.503,0.812,177.961,2zTwUZzYwfkleg8tzpk1L9,Bisaya Ni Bai
3nFpUwKr08vseT6LxQINhM,Tug Ta Tug,53Kr1SvyTS5AG2bSnRZbUM,Earnest Hope Tinambacan,5LQq0pMTWFRciduRo5sxmA,230000,2015-07-10,14,0.737,0.877,4,-5.358,0,0.0807,0.0277,0.00848,0.0767,0.945,105.013,2zTwUZzYwfkleg8tzpk1L9,Bisaya Ni Bai
0nlIGSwXJLUqSoA0KRDr71,LQ (Sige La'g Away),5oK2CkOQZmmgeKqEOcJj2g,Eugene Corpin,5LQq0pMTWFRciduRo5sxmA,187250,2015-07-10,27,0.773,0.77,8,-4.89,1,0.0478,0.367,0.0,0.0808,0.657,120.04,2zTwUZzYwfkleg8tzpk1L9,Bisaya Ni Bai
5qSfEpcsf4mvFPBqsZxHnG,Brgy. Blues,2XpgLOEsArgKfHvOOTaijp,Earl Andrei Ornopia,5LQq0pMTWFRciduRo5sxmA,182639,2015-07-10,15,0.795,0.879,2,-4.343,1,0.0463,0.226,0.000195,0.0723,0.868,108.001,2zTwUZzYwfkleg8tzpk1L9,Bisaya Ni Bai
59DFEFFIIHPJAF5kQrBiaa,Baboy,5Fmgf2DU7gmAjTDhQSlqcH,Enchi,52kifTeroBcKlwb3vrS850,186148,2006,30,0.333,0.817,11,-5.892,0,0.11,0.11,0.0,0.0963,0.811,79.963,2zTwUZzYwfkleg8tzpk1L9,Bisaya Ni Bai
4YkgS8FfM4tZYxjJvEleIK,Gugmang Giatay,5Fmgf2DU7gmAjTDhQSlqcH,Enchi,52kifTeroBcKlwb3vrS850,238341,2006,32,0.648,0.761,2,-6.335,1,0.0936,0.459,0.0,0.105,0.911,84.365,2zTwUZzYwfkleg8tzpk1L9,Bisaya Ni Bai
0P2Bi2YHKYDZmk7mTXWQXq,Istambay,5Fmgf2DU7gmAjTDhQSlqcH,Enchi,52kifTeroBcKlwb3vrS850,275147,2006,33,0.569,0.712,9,-5.883,1,0.0439,0.636,0.0,0.0792,0.766,145.342,2zTwUZzYwfkleg8tzpk1L9,Bisaya Ni Bai
0CSST4R1vDRKS3maH6VF4h,Latagaw,5Fmgf2DU7gmAjTDhQSlqcH,Enchi,52kifTeroBcKlwb3vrS850,331363,2006,18,0.666,0.616,2,-6.315,1,0.0431,0.662,0.000538,0.134,0.868,138.682,2zTwUZzYwfkleg8tzpk1L9,Bisaya Ni Bai
5kdteU7zSDG45oBNnuHuNs,Ngano?,5Fmgf2DU7gmAjTDhQSlqcH,Enchi,52kifTeroBcKlwb3vrS850,287242,2006,20,0.733,0.705,7,-7.158,1,0.0562,0.353,1e-05,0.148,0.932,132.693,2zTwUZzYwfkleg8tzpk1L9,Bisaya Ni Bai
0tlW7O2sG79fSglpCPmtC1,Usa Ka Libo Ug Usa Ka Panamilit,5FxImYLinGIsP9mAbXhGvs,Cattski,4P0EJeMo88Z3Uo54FgmoQG,258102,2014-09-14,0,0.418,0.29,0,-5.839,1,0.0327,0.509,0.0,0.352,0.209,131.456,2zTwUZzYwfkleg8tzpk1L9,Bisaya Ni Bai
4PaGGA4VFDS8N3puPTJppe,Tsinelas,5Fmgf2DU7gmAjTDhQSlqcH,Enchi,52kifTeroBcKlwb3vrS850,200045,2006,27,0.582,0.604,9,-5.927,1,0.0448,0.349,8.26e-05,0.0439,0.872,90.095,2zTwUZzYwfkleg8tzpk1L9,Bisaya Ni Bai
5a3gUQaPHlZBM5LQS2aFNY,Senior Citizen,6uXJDPb95ZNYkS26GQj7z2,Aggressive Audio,6x8MJnMMQG61dTRsN8Y1KK,249360,2015-02-16,30,0.422,0.773,0,-4.671,1,0.0697,0.108,0.0,0.147,0.688,132.16,2zTwUZzYwfkleg8tzpk1L9,Bisaya Ni Bai
6iwn6SsuBOyRjRzIAOYgEp,Senior Citizen - Acoustic,6uXJDPb95ZNYkS26GQj7z2,Aggressive Audio,6x8MJnMMQG61dTRsN8Y1KK,266106,2015-02-16,18,0.528,0.301,11,-12.147,1,0.0386,0.849,0.0,0.161,0.674,129.96,2zTwUZzYwfkleg8tzpk1L9,Bisaya Ni Bai
0lK8XJ9KR37kZeYALpf90g,Cok-Kuto,6uXJDPb95ZNYkS26GQj7z2,Aggressive Audio,6x8MJnMMQG61dTRsN8Y1KK,290200,2015-02-16,16,0.464,0.847,9,-5.273,1,0.0671,0.0431,0.000268,0.0707,0.625,143.911,2zTwUZzYwfkleg8tzpk1L9,Bisaya Ni Bai
1Xwong5SvknbtiYtVLj23f,Giatake,6uXJDPb95ZNYkS26GQj7z2,Aggressive Audio,6x8MJnMMQG61dTRsN8Y1KK,295240,2015-02-16,20,0.364,0.838,2,-4.818,1,0.128,0.0143,0.00307,0.311,0.469,91.526,2zTwUZzYwfkleg8tzpk1L9,Bisaya Ni Bai
74Sm6n9hz5XUQeKePNewiq,Naglibog,3z0IVhtuFvt9VYUZGT98PU,Jay R,0IpFOxsoF7oqCa4HXaPsPQ,235880,2007-03-02,0,0.559,0.729,7,-8.388,1,0.0483,0.0841,0.0,0.0751,0.798,160.205,2zTwUZzYwfkleg8tzpk1L9,Bisaya Ni Bai
2uLvLgOUPVFnlRyABRsNSw,Habohabo,4Tqev51V8UY0SE8nsL3MNv,Missing Filemon,6uApkKamcxUDGNdvy1aUvm,230706,2002-08-08,0,0.536,0.714,2,-4.817,0,0.0283,0.00139,1.79e-06,0.0934,0.579,112.507,2zTwUZzYwfkleg8tzpk1L9,Bisaya Ni Bai
0YXs7q5gm9TOMrMM54FQFS,Baso,5Fmgf2DU7gmAjTDhQSlqcH,Enchi,52kifTeroBcKlwb3vrS850,414119,2006,27,0.573,0.738,2,-6.524,1,0.0603,0.24,9.86e-05,0.173,0.771,75.044,2zTwUZzYwfkleg8tzpk1L9,Bisaya Ni Bai
4Z9mcmDKE5zhbLnChFh0XY,First Timer,6uXJDPb95ZNYkS26GQj7z2,Aggressive Audio,7jNDX6Hw2dIEQR4sq8Om8q,328413,2015-02-16,25,0.48,0.764,2,-5.706,1,0.0761,0.125,2.56e-06,0.0884,0.355,143.767,2zTwUZzYwfkleg8tzpk1L9,Bisaya Ni Bai
1C4C7cMaGssaxp1pXdhMNM,Lingin,6uXJDPb95ZNYkS26GQj7z2,Aggressive Audio,6x8MJnMMQG61dTRsN8Y1KK,359173,2015-02-16,27,0.362,0.486,9,-7.807,1,0.0314,0.32,4.43e-05,0.121,0.191,71.286,2zTwUZzYwfkleg8tzpk1L9,Bisaya Ni Bai
452bI2vYb5RG2dlDBYA0ws,Liar Evil,6uXJDPb95ZNYkS26GQj7z2,Aggressive Audio,7jNDX6Hw2dIEQR4sq8Om8q,335440,2015-02-16,33,0.417,0.579,1,-6.547,0,0.0582,0.21,0.0,0.0935,0.179,133.143,2zTwUZzYwfkleg8tzpk1L9,Bisaya Ni Bai
6TA8a4QX00Qo0hgu5t2ema,Bulingit,6uXJDPb95ZNYkS26GQj7z2,Aggressive Audio,7jNDX6Hw2dIEQR4sq8Om8q,262440,2015-02-16,11,0.494,0.843,1,-7.599,0,0.0383,0.000129,0.807,0.319,0.252,89.272,2zTwUZzYwfkleg8tzpk1L9,Bisaya Ni Bai
4Udxm5Cr8lTTZ4LOs82qHg,HD (Alternate Version),3uqQZK7zlTcszhNr8EPLuR,Wonggoys,2Mp3eiU3nsDe9RqPeAqTE7,230666,2014-07-16,3,0.646,0.727,6,-6.29,1,0.0898,0.246,0.0,0.36,0.84,76.018,2zTwUZzYwfkleg8tzpk1L9,Bisaya Ni Bai
2RZtVdkikvXkA7hdtQTCmN,Matahum Nga Cebu,4Tqev51V8UY0SE8nsL3MNv,Missing Filemon,142eRmNavVHE7pwdmx6QN2,186133,2012-09-15,0,0.612,0.669,4,-4.701,0,0.0311,0.172,0.0,0.0721,0.354,130.015,2zTwUZzYwfkleg8tzpk1L9,Bisaya Ni Bai
0OTkm63aLfKdhCPJQEYBng,Waiting,7HVEhCU2EaS1nRlUFuSFhL,Bethany,2wwtrgD8YXk83WKQ0DRa3F,240720,2012,0,0.632,0.676,10,-7.836,1,0.0302,0.22,0.0,0.11,0.159,119.976,2zTwUZzYwfkleg8tzpk1L9,Bisaya Ni Bai
