playlist_id,playlist_name,playlist_total_tracks,owner_id,owner_name,total_followers
37i9dQZF1DX9stbPFTxeaB,Funky Heavy Bluesy,63,spotify,Spotify,832690
37i9dQZF1DXbkKnGZHv1kf,Blues Origins,50,spotify,Spotify,696566
37i9dQZF1DX2iUghHXGIjj,Acoustic Blues,84,spotify,Spotify,632015
37i9dQZF1DWSKpvyAAcaNZ,Blues & Roots Rock,149,spotify,Spotify,501399
37i9dQZF1DXd9rSDyQguIk,Blues Classics,70,spotify,Spotify,454211
37i9dQZF1DXcnkReojaCnV,In the Name of the Blues,52,spotify,Spotify,406996
37i9dQZF1DXcFk5r8uS3l2,Blues Roots,101,spotify,Spotify,366246
37i9dQZF1DXaOWYud3Cg4V,The Birth of Rhythm & Blues,44,spotify,Spotify,258773
5TkTomPbQuSNDxdlWg2fCx,Blues Masters,130,legacysweden,Filtr Legacy Sweden,236187
37i9dQZF1DX5AuRugisweW,Crossroad Blues,60,spotify,Spotify,158552
37i9dQZF1DX8QB9Ys2nV17,Women of the Blues,55,spotify,Spotify,143746
37i9dQZF1DX7Y7BqFok9IQ,Modern Blues Rock,50,spotify,Spotify,105053
37i9dQZF1DX4rGCw5bMNp1,Chicago Blues,50,spotify,Spotify,85379
37i9dQZF1DWWtGE7PB0aRR,Brit Blues,45,spotify,Spotify,66059
37i9dQZF1DXeaMD6NdSui3,Lone Star Blues,50,spotify,Spotify,64280
56dbowk1V5ycS5jW7DSvi5,Blues Rock,64,100yearsoftheblues,100 Years Of The Blues,62060
2NaRFQ7hcA0Ncp3c7nl3vr,"Funky Jazz, Blues & Soul",814,kaatjev,The New Funky,56601
37i9dQZF1DWSTHVqvNCwNq,Delta Blues,45,spotify,Spotify,55518
1i9NKaGOEQsRmR392BqMxE,"Blues, Jazz & Funk",91,1235883758,Martin Bosley,52975
4xKFUXoma8EepzgxKguJUi,JAZZ/BLUES,290,124717907,Katherine Forrest,38738
37i9dQZF1DZ06evO3irmrK,This Is The Moody Blues,50,spotify,Spotify,31218
7uAGy7qbOhWgtXcyb5kvmn,Whiskey Blues | Best of Slow Blues/Rock | Don's Tunes,390,dondraperstunes,Don's Tunes,27323
1lg8HTVMhiEcfiAr3h4EiK,Slow Blues,466,tenants,Adamo Ciarallo,16772
1w34JrNa6VEFkKc3cJsn9c,"Soul, Jazz & Blues  ",55,legrospolo,Paul Paul,16501
4LvF1pNeM6XDK9IojLALKb,Blues Ballads & Slow Blues,355,6y24urmtnizh9q2osg5j7d73u,Joar Fosså,12389
3a54WQYSUPwjgGmfd4JIII,Blues Guitar Instrumentals,154,1273795663,Darrell Robinson,11408
3IK20G5ifusF0vyUdU2Vj6,Blues Instrumental,157,6y24urmtnizh9q2osg5j7d73u,Joar Fosså,11407
37i9dQZF1DX9GSZDbrndTa,Jazz-Blues,50,spotify,Spotify,11406
5DbPMnIRSKCWPQBOJMTcHv,"Country Songs, Blues, Medleys & Love Songs",72,224fug667qxdj26ujaofojkhy,Jac Serdeña Sevilla,5874
1AtOsQgCPyUBaIqlPU0KMs,Blues nacional,18,zilmarbittencourt,zilmarbittencourt,151
4Oh9GwjEydXPaQPVAOsvua,Blues (Línea de Tiempo),38,danycharlatan,danycharlatan,125
4FpxF901MA1QouXOTNZGV5,Blues Me,36,zeinitahere,Zeinita,69
1uuBzJ9NU51xYnB60TxD5W,Blues & Jazz & Country,28,mp8hx33exblk4x5rqigqtt3dx,movierf,59
1AG1cklltRvlOudx9sgAY5,blues gaita,54,metralhalucas,Lucas Metralha,58
5HKBkuzbEhb9Y8ixYqGow5,BLUES FRANCAIS,68,113047004,Wax Whirler,48
6Qf3AllQUqYkoErk3KnAUq,Blues and rock,206,toniochardro,toniochardro,47
6pUTxZwJT9JIZTJtmgvrrb,Blues Régis Tadeu,138,titavolari,titavolari,33
1lAFihsS1NTgEezzYph9QF,BLUES ARGENTINO ,103,taytoramos,taytoramos,31
2QON5IQWlTNltxkXJn33OI,blues,66,3hlaxv2ijfmmurbf69yjy2mg2,matkec,26
7CBx3yoRBuwj6wLWpZKZP9,Blues Lounge - putumayo,8,fabgroova,fabgroova,25
3dUzP1iCxHXbc4Ca6ykaWS,Blues Grooves / Tosh Ltd.  Quit random play !,199,pwuebbolt,pwuebbolt,23
3tabO8W7jUUz9NbUzmf2yp,blues and black smoke,265,konrad_pc12,konrad_pc12,17
4oWCln34OibowCWx1FPPae,Blues,282,7rf3bq7evu03t2jtbrpoxf5x1,sebastiaan,17
7sDkxx7p3wBTMiY3E0LER8,BLUES NACIONAL,168,nisperovaliente,pabloch,10
7dEAUA8VZNRlLWlSyiNJAT,Bluescreen,867,maksn07.mn,Maks Nowak,7
