track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name
5abyTR9t1SuyS8YAQZd6xA,Burning Out,5Npr4HpRE8YlsisRjN9T8h,Philip Sayce,3dQKiRCBLOnvRmfcTCJP0H,208974,2020-04-24,43,0.255,0.947,0,-4.14,1,0.071,0.000103,0.0,0.397,0.235,159.905,5abyTR9t1SuyS8YAQZd6xA,5abyTR9t1SuyS8YAQZd6xA
0OVWOIMbfPWn2aVEzTclkN,Cradle Rock,2SNzxY1OsSCHBLVi77mpPQ,Joe Bonamassa,6Y2mu4qftaYr1ETmK50BJA,230026,2020-06-26,43,0.411,0.91,2,-4.867,1,0.0392,0.000243,0.00082,0.0931,0.613,106.675,0OVWOIMbfPWn2aVEzTclkN,0OVWOIMbfPWn2aVEzTclkN
0yLT3sSQU6TkLdlbq0mHm4,I Was A Fool,0hLLs7dOw0Z1XBFFrLSDln,The Cold Stares,3NvKMJA950Tz5xx1CwOoRH,203666,2019-10-04,41,0.571,0.919,7,-6.568,1,0.0719,0.00171,0.0,0.227,0.321,121.01,0yLT3sSQU6TkLdlbq0mHm4,0yLT3sSQU6TkLdlbq0mHm4
7FpFxqvwMMR4j1Yi1vndpK,Fading Away,0NxpILfCjl6UcOxMMMp8fo,Artur Menezes,4rbAfXhaS3CKaDGSfaK9Jb,224426,2020-10-30,39,0.643,0.913,8,-4.538,1,0.0351,0.00651,0.0017,0.0427,0.449,112.988,7FpFxqvwMMR4j1Yi1vndpK,7FpFxqvwMMR4j1Yi1vndpK
6Q5BhD6Ll1AloC0jJ9phV3,Going Up,5IXO0yGQMScYQMsWg6L8YG,Paulo Mendonca,6X4KUUDYiwZRqP0EVN3qa5,187531,2019-09-13,39,0.613,0.793,0,-6.82,0,0.0666,0.0319,0.0,0.341,0.806,180.026,6Q5BhD6Ll1AloC0jJ9phV3,6Q5BhD6Ll1AloC0jJ9phV3
06v3DtMzR1u8XwNkEy8OEp,Any Way The Wind Blows,0hLLs7dOw0Z1XBFFrLSDln,The Cold Stares,1uPRDVR48w703zWvbd0Jt5,181218,2019-08-30,42,0.607,0.802,7,-7.345,1,0.0488,0.000645,0.000206,0.242,0.636,85.98,06v3DtMzR1u8XwNkEy8OEp,06v3DtMzR1u8XwNkEy8OEp
1vcUlV02bvKQn6ryzZqDVL,True Lies,1riHqX633Kup3mJAw8WR8p,Kenny Wayne Shepherd,1ODpJWe2bymqj4DyJfuBE9,348040,1997-09-26,48,0.367,0.769,9,-7.258,1,0.0317,0.00032,0.628,0.0631,0.7,173.186,1vcUlV02bvKQn6ryzZqDVL,1vcUlV02bvKQn6ryzZqDVL
0dXY4cKAKXZ74B41vclGlu,Living In A Burning House,47HxYwXgJsfyQN08FpXfxD,Selwyn Birchwood,0iZ7zjxkdJVCaImg2EJZzB,248251,2020-08-21,38,0.562,0.912,5,-3.838,0,0.061,0.0258,0.000368,0.317,0.717,94.989,0dXY4cKAKXZ74B41vclGlu,0dXY4cKAKXZ74B41vclGlu
2bmBc4ovS9p18e1IUYHSE9,Plastic Hamburgers,5QXLMdpKeByOo5ypH9gT13,Fantastic Negrito,5oYfjMuqOR07P45xNSjlab,217451,2018-03-23,0,0.634,0.779,9,-6.607,1,0.0361,0.0255,0.00103,0.342,0.562,82.003,2bmBc4ovS9p18e1IUYHSE9,2bmBc4ovS9p18e1IUYHSE9
3AKBquVo2xRipnaP9rbMCs,Fukk Up,7z66axlw21NlGzJ18VPmzj,Andreas Kümmert,1tiDmCVwb0zg46BADCJ4fQ,190392,2020-03-06,37,0.562,0.973,4,-4.995,0,0.0515,8.69e-05,0.00303,0.497,0.768,140.009,3AKBquVo2xRipnaP9rbMCs,3AKBquVo2xRipnaP9rbMCs
