playlist_id,playlist_name,playlist_total_tracks,owner_id,owner_name,total_followers
6cDddiZ8Bl0s9pgZtFrM4J,Ilocano Songs,344,sweetpea3470,Nora Corpuz,13239
37pD8dLDjZC84fqNTwQurG,ilocano songs - medley,5,qc1x7atqnnuwaxuk7r761d1gm,Moresen,2670
0pefKzvzpVXDVIPmzGupfh,ilocano love songs,105,22lo4msodgxsj5xb7nwmtsd4y,Coco Celis,1892
14EzkL5K7dmk640DPC1ows,ILOCANO SONGS 2017,15,toni1962mann,toni1962mann,1765
65ukhQJ6gFie7En3jKV0Ud,Ilocano Hits,139,nirenedaytoy,nirenedaytoy,1665
3KB4fQtnNT6Qp16NVSicGK,Ilocano Song Balse 2020,26,5yog2ows461du6q3zfurl6ktg,Sebby,1504
2jUrGHXQgUcTIYRazpZZl9,Ilocano songs 2018,158,1229173877,Ramsey Ramos,1495
1ajt9LcjS2x4Be9y2ewTbs,Mixed Ilocano Songs,238,1228248433,Freddie Sanchez,1450
6XkjjX0SiFzR3CeqUvTCR7,Best Ilocano Songs,82,22rugyveug3sxp35kzn2aadsq,Joey Gabayeron,949
3jqq5cwSLXbMmW5GtQpOA6,Ilocano Songs Mix New,211,jr0mrjr1eg35rc1jgrdg1ge7r,jr0mrjr1eg35rc1jgrdg1ge7r,916
3TkBMUzJETaAGPi3oKmdeU,Balse Ilocano,21,22p7i22fmkma5clm7iys44gdy,Dave Guimod,682
6eG7poowVXt6k4KprDSrhK,Ilocano love songs,59,vxvsr3fwxp739yq2c1vk2vmky,Glen,531
3BxEwg8o7yFdOVraIQI2ZS,"The Best of Ilocano Songs,",53,12158847241,12158847241,497
4xt05jHwbDEouvN98LHciA,Best of Ilocano Love Songs,20,214zaabzxc4knoqkr3jig52hq,Jeremias Dolores,457
1deYeSIqTbAeQZIpLW1F0Y,Ilocano balse,5,rlbernss,Roberto Bernabe,429
2yfUbT6dPdHB8AlhME6c1Q,"Four-Decade Duo — Ilocano Versions, Vol. 1",61,21hlhh3wx2nsyykgucpjouray,Jesica Joy Castillo,321
7lDQNgWrHI6hSmJLmydS2M,Ilocano Medley: Naraniag Nga Bulan / Manang Biday / Pamulinawen / Naraniag,10,kevinslapshock,kevinslapshock,268
3pBWneIF2tJlPPkCciwpZj,pangasinan and ilocano songs,93,7omgcwy5u6oyrui9vvijjq8d2,Carmen,228
0AlxmngW7ZlAIo8xrpVAe5,best ilocano love songs,40,gz14cg2yf3pd4hn2ba9iso1hs,Jerrysimple,190
1OzearkWpNAdD3gPXxo0aZ,ilocano christmas song,7,iq4mrc6iuxr1m73a8p5o0neoh,jovy,156
5ovlMEJueHS0B5D7MxJxd1,ilocano joke music,24,9xoetfasrgti9eu0vc5tujwo4,Antonio B,156
0dKbxqOGOIywlBZwk8XX5Q,Arak ilocano,33,dkbombay,dkbombay,136
2Skw2qSbmBPUCLzVvTUhK6,New ilocano songs,12,22bn3y26u6psqxfk5voxtw7zi,Ericson A Morales,129
4o5e6KXlVC1TO1nz7GlSqR,ILOCANO INSTRUMENTAL MUSIC,45,1257168799,Wilfredo Alog,112
3JI2L1nCOxRUyjOfsLM6ff,Ilocano classic,55,mar_amlpctc,mar_amlpctc,92
3Y6JyxDEwudhI3YMWKmBlF,Ilocano Instrumental,61,hcqgwxx1hd3cy7p83e7lqpvr4,Danilo Bulosan,84
5YSMt3rf2lKyvO878g0pmU,ilocano/old song,92,nwvc1yfqfbo64kyzziw3o4tw4,Marianblanza,75
0JDhsRK5XIcifldBn86S1R,ilocano folk song hits,94,marz262002,marz262002,74
4S9cvLL0ptLcnjjEDpbqZF,New ilocano song,7,21j37ncm25xhldcyhwiwr6jxy,Jessiel R. Lacaste,65
24z4qG2bCyKufk0WuIg5Rw,Ilocano cha cha nonstop,2,31ijz6m6a5lind2c26zvfnljfbaq,Leonida Lingam,58
4FY7bcmcQZXggEfMDbzafb,Chacha ilocano,12,1186158762,Jaylai Estalilla,54
1GcvVJ5x1fRfxpeKn3hXcs,ILOCANO CLASSIC SONGS,36,12147080269,Margaux Strum,47
0zcogIFeLUme1QdYhuTWJ3,Ilocano Christian songs,8,ozgj65s9z95tbt6qtgtja0uyr,ozgj65s9z95tbt6qtgtja0uyr,44
0VEvlHLIR8HxWubTwyIk07,Non stop Ilocano songs,10,h49dn4t373j91b98dirlqa140,jc,41
1phkxYqMZAZMupMyv7TefT,BALSE ILOCANO,22,2274sbj2gk27rg74v7c7lzm3q,Nestor Ballesteros,31
6M1htIejtlpG8WzLUrbP9s,Ilocano Folk Songs & Modern Hits,50,cailohfornia,Carlo Azcueta,30
657CcA9IRRsH270wq54Rzv,Ilocano Folk Songs,37,m5liumlksg5xu5fnyh4hohjq4,Aristotle Dumlao,29
4vSBECnOpOI5MiWm24pjMf,ILOCANO PLAYLIST,65,rodvic82,rodvic82,28
58dWA8aP6WdS6oosxC2Tu1,old ilocano,22,31dtumz6ww5e42y7wdbelzrix234,Franklin Cabarrubias,27
4SrZhMsG6QVnkronwUcEZM,Non-Stop Ilocano Songs (Medley),9,emwells0119-us,emwells0119-us,25
76BAzmpem4WHg3MVszHpey,Isem ilocano song balse medley,2,39btedo8jb6jktebt6b06mnr2,Redentormabanta,23
7IgUQ1GQqnKpnndvWVjpkS,YAM - Ilocano Christian Songs,41,12140188031,YAMELMER,23
5s3X705UWrhNupFhRsKFO9,ilocano dj remix,314,gasmengurl_91,gasmengurl_91,22
0Tk0CxBKCW8caKNHnqaOdA,Ilocano Sweet Music,15,22zpyo5ubxdbcxszaobad2dva,Mark Anthony Herrera Valdez,21
0DdxWZfJ4JVMQFYogkR58i,Ilocano Novelty,13,melvern1112,melvern1112,18
3hmCoSmmmShXZqdoRYfMIK,Comedy ilocano,9,awkwdur1pbymek7ghr4b68pp8,awkwdur1pbymek7ghr4b68pp8,18
7j98h3JetCRiIgQXgMH83T,ilocano balse instrumental,3,v1q7j7z5mfrdhkdvaiqnmhg7q,Oligoalexander,16
06lpJppHCcg3oQ0MTU421O,Old Ilocano song,18,314xdrfblgs4e3htaebozl3zzzg4,Menchita Mabbayad Paguirigan,15
3muVuZ8D8x6R99rwhdRzqF,laglagipem ilocano,5,314eett535uuudfswp4oy24rp5rm,Jonell Supas,14
5mG2LqSHK4uvemoRMXpaQu,The Sound of Ilocano Pop,68,thesoundsofspotify,The Sounds of Spotify,14
7zcHN1IEjz5qAXQVsIJEnC,ilocano love songs,18,b6a7qmohjc2f7129gh5rjybov,Rpflorentino,12
3UB1WO29BLKuPleU63LipT,ilocano medley,70,21uajt2aj2oinmjgnezt2gery,21uajt2aj2oinmjgnezt2gery,11
2PXNfbuuVo62LxqqfQRJrs,Ilocano and Pangasinan songs,91,312lzw7mg3yqdj3cothi776v2wom,Susan Salguet Descallar,10
1oLaH02d2cMlZKbikiMh0w,Instrumental ilocano,4,qd0l3jx85bzvx9oadl54qb35g,qd0l3jx85bzvx9oadl54qb35g,7
3gj7rX8g83vnesj7OU5MaS,Ilocano waltz,7,314dghgr2k3dhqiziw7n2ar4wpfm,Melanie Quintong,7
1GuArSZJpkNGh4CFq5Z9NQ,Cha cha ilocano,34,pagariganglenn.s11,pagariganglenn.s11,6
2rmzZMgq0hAu4RmaZ3XYL7,Ilocano Oldies,67,z0urat4bgh7p6hiologkcekck,alexa.v,6
36qQeqQSE6Qi92LxZRFXAJ,Ilocano dance,13,jaydineilagan31,jaydineilagan31,5
4wsUJEgyZnrYdGBiHRDiGc,Ilocano Medley: Naraniag Nga Bulan / Manang Biday / ,335,227p53bcpxdn272dxfcychxzi,Guada Pascua,5
2OruxeUHbkO3xGnlK61lkO,Ilocano Gospel Songs,28,ub1ykv7gk1y2h3m3z92tpuryi,Alu,5
6tN3tk3WmwzgIlwRVHTtUo,Arak Ilocano Songs,7,kissmoreyou,kissmoreyou,4
5wtqlGzNod8cLTUyutH4Ci,ilocano songs mix bukros,152,gewmh5msrjxd0qtr5txsxjdfr,Rosebidabaula,4
2XVzTt1agEcLjDwhsYdAKG,Ilocano medley songs,12,0bnrapv60y0yy5aqfq2chb0w1,Maloupesquel,4
6Y3UdQkqOUdVtueBXaSBox,Ilocano,187,1287877149,Bella Deguzman,4
5kBfhmCGmrwKGXYRQarDDI,ilocano medly song,3,gilflores2-us,gilflores2-us,4
2rIQVTKgPyaZcLTuiLAhJs,Ilocano Christian songs,4,31hgw7akskvetbmkbolx4pjr5xqm,Sotero Cua-at,3
7aS9vwjnVAt2TgONn5dyaY,ilocano song greatest hit,49,q8ea7oewh1v29vz2c3qu11nc0,Elmer Aquino,3
7Kzg0zQnfh3KOvckRjjUgt,ilocano song 2021,11,c41kfc59bgcjot7cbrcrqeyp6,Crisbalanan,3
0bxALB5RHrC2ZMAEUhtH7O,Ilocano Songs/Balse #SeREOslyInloveWithVAL,28,22endpndzvwdf6sfzblc72gqy,Reonel Garcia,3
4m20mYoj5LEVZ5JfUTGJnx,Ilocano Love Songs,42,ji643a38xzu1mnl0bi1kw9zj4,ji643a38xzu1mnl0bi1kw9zj4,3
54qJjUzFAvgjwInXnK3BIN,ilocano,30,31fmkgetwcf63f5dmjn3ibtrwvbm,Lilia Macabiog Abrojena,2
6ulPiJ0tgHgM2gHXCQQX2U,ilocano music,17,r9demlc89kgivm02u5ks6h1pl,DJ bugoy,2
4XgGehpYjjuaWafc9r18PX,Ilocano & Novelty Songs,49,lloren74,lloren74,2
3LxbeGMyCzIzuumPQ1mw70,ilocano,108,21zjhu6fr4yvovesjxdestr4q,Rosie Arafiles Tangan,2
7F8yh7bUk9FM7J5WwC1j73,Ilocano Song,30,pb4h8n2cqaepidjcecb9e77zu,pb4h8n2cqaepidjcecb9e77zu,1
01fn69SFjFDIIQ75gf40Og,ilocano songs,41,spencerzazulak14,spencerzazulak14,1
5CR37PRQ54UGFPu5h01a4Q,Ilocano,152,axelelarisa,axelelarisa,1
2OtaeYlRDMlYO0l1CbP55D,ilocano,63,31n6a6o3iwtzw3drkzajelt2bwcu,Harry Villalba,1
7JPpQG5xX0yeVUln9Pvtuq,ilocano songs,12,evangelinebarut,evangelinebarut,1
6xMENdTvPlmoclCPnmVePe,Ilocano songs ,14,gyplqrenvi4bp1gxyspk0u9hp,Edgarvangie,1
4vVVVv1obb14QpR3an1ZTk,TAGALOG /ILOCANO,95,314helvmifgmvtw4kuuw37j6msjm,Ron S Corpuz,1
5f20RfGuUuG95wFrZgehIq,Ilocano,28,2237ctvoa25yvlzmh62j7jxbi,King Tagao,1
049XL4bq7PPE2EYBycJQGF,ilocano songs,32,bxai4dvouis5vxh6bukic0eey,demie,1
2F5xnJuB4zbcRJyJVCyJIc,ilocano songs,28,ouz608k5s40dum2xh8r9v4n0j,Kyle Denise,1
