track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name
0FH0H8Oed5G4b0qeByxBGZ,Gapu Kenka,317sZ5Tefi3Nb3ZsU5Y2sK,Bukros Singers,0v07BjZMzGWSMdLsJdU4En,267653,2010-09-01,0,0.497,0.291,5,-13.855,1,0.0246,0.172,1.05e-05,0.133,0.513,81.117,6cDddiZ8Bl0s9pgZtFrM4J,Ilocano Songs
1aVk6J5IAmjDw48E8YfYPh,Lagip,317sZ5Tefi3Nb3ZsU5Y2sK,Bukros Singers,0v07BjZMzGWSMdLsJdU4En,356840,2010-09-01,0,0.548,0.361,7,-12.236,1,0.0233,0.0605,3.27e-05,0.098,0.414,79.577,6cDddiZ8Bl0s9pgZtFrM4J,Ilocano Songs
25skR6jKUvA8AL4rI5ADCi,Igid Ti Baybay,317sZ5Tefi3Nb3ZsU5Y2sK,Bukros Singers,0v07BjZMzGWSMdLsJdU4En,250400,2010-09-01,0,0.265,0.38,10,-13.246,1,0.0289,0.106,8.19e-05,0.0819,0.592,77.763,6cDddiZ8Bl0s9pgZtFrM4J,Ilocano Songs
3TNt9AzaBzXU6xk6PTfB8M,Sayang,317sZ5Tefi3Nb3ZsU5Y2sK,Bukros Singers,0v07BjZMzGWSMdLsJdU4En,247226,2010-09-01,0,0.545,0.413,5,-13.763,1,0.0351,0.372,4.23e-06,0.104,0.665,114.678,6cDddiZ8Bl0s9pgZtFrM4J,Ilocano Songs
3mL6VQcR2wUKk2BZK58M9i,Balikbayan,317sZ5Tefi3Nb3ZsU5Y2sK,Bukros Singers,0v07BjZMzGWSMdLsJdU4En,196933,2010-09-01,0,0.769,0.445,4,-11.606,0,0.0343,0.525,0.0191,0.382,0.683,108.533,6cDddiZ8Bl0s9pgZtFrM4J,Ilocano Songs
5hWjgqM9l5Xm1yQ16GQFTO,Tengnga Ti Baybay,317sZ5Tefi3Nb3ZsU5Y2sK,Bukros Singers,0v07BjZMzGWSMdLsJdU4En,214213,2010-09-01,0,0.5,0.296,9,-14.376,0,0.0256,0.45,2.69e-05,0.147,0.305,79.933,6cDddiZ8Bl0s9pgZtFrM4J,Ilocano Songs
2ad5xI46zK8xidX71q2Nhp,Iliw Ko Kenka,317sZ5Tefi3Nb3ZsU5Y2sK,Bukros Singers,0v07BjZMzGWSMdLsJdU4En,304880,2010-09-01,0,0.475,0.227,4,-15.342,1,0.027,0.346,0.119,0.269,0.263,89.099,6cDddiZ8Bl0s9pgZtFrM4J,Ilocano Songs
6oX53Dihuj6ChO5zNqZxP2,Napudno Nga Ayat,317sZ5Tefi3Nb3ZsU5Y2sK,Bukros Singers,0v07BjZMzGWSMdLsJdU4En,344600,2010-09-01,0,0.559,0.378,9,-13.767,1,0.024,0.347,3.04e-06,0.0744,0.422,83.25,6cDddiZ8Bl0s9pgZtFrM4J,Ilocano Songs
0hk0yP3BVlCov2WGW8EdGT,Sika Ti Amin Ko,317sZ5Tefi3Nb3ZsU5Y2sK,Bukros Singers,0v07BjZMzGWSMdLsJdU4En,258320,2010-09-01,0,0.515,0.45,4,-12.618,1,0.0238,0.225,5.57e-05,0.129,0.627,82.144,6cDddiZ8Bl0s9pgZtFrM4J,Ilocano Songs
2VamwzM1jcsZPvf2KfQfr7,Di Mamengga,317sZ5Tefi3Nb3ZsU5Y2sK,Bukros Singers,0v07BjZMzGWSMdLsJdU4En,293200,2010-09-01,0,0.34,0.335,7,-13.855,1,0.0305,0.0484,0.000116,0.117,0.266,96.286,6cDddiZ8Bl0s9pgZtFrM4J,Ilocano Songs
16B7vuHwLuHml1qiFsV7GI,Pada Pada Kami,317sZ5Tefi3Nb3ZsU5Y2sK,Bukros Singers,0v07BjZMzGWSMdLsJdU4En,332253,2010-09-01,0,0.416,0.334,7,-11.221,1,0.0275,0.809,0.0,0.0901,0.238,78.257,6cDddiZ8Bl0s9pgZtFrM4J,Ilocano Songs
7yXlFMP53jFfibXymoVjGs,Kiddaw,317sZ5Tefi3Nb3ZsU5Y2sK,Bukros Singers,0v07BjZMzGWSMdLsJdU4En,282866,2010-09-01,0,0.473,0.425,0,-10.591,1,0.0267,0.208,9.46e-06,0.12,0.239,70.943,6cDddiZ8Bl0s9pgZtFrM4J,Ilocano Songs
6VPRBnZ3t8EyBL4uwjYm9j,No Duaduaem Pay,317sZ5Tefi3Nb3ZsU5Y2sK,Bukros Singers,0v07BjZMzGWSMdLsJdU4En,168520,2010-09-01,0,0.685,0.44,7,-11.837,1,0.0243,0.542,0.000145,0.377,0.486,90.944,6cDddiZ8Bl0s9pgZtFrM4J,Ilocano Songs
2HBM1mnHoN4BaXmrBUyHuA,Dardarepdepek Nga Agnanayon,317sZ5Tefi3Nb3ZsU5Y2sK,Bukros Singers,0v07BjZMzGWSMdLsJdU4En,211533,2010-09-01,0,0.772,0.785,5,-10.922,1,0.0281,0.195,1.4e-05,0.0691,0.962,119.93,6cDddiZ8Bl0s9pgZtFrM4J,Ilocano Songs
4QlEsRaIwl7gg6rnHOPBRX,Bannatiran,317sZ5Tefi3Nb3ZsU5Y2sK,Bukros Singers,1PnK10WrpfSmnN1b1fzZou,208493,2013-07-23,0,0.711,0.529,11,-11.04,1,0.0332,0.132,0.000107,0.079,0.559,114.942,6cDddiZ8Bl0s9pgZtFrM4J,Ilocano Songs
66zCa1duKkjvhEJQBLqmfg,Dikanton Malipatan,317sZ5Tefi3Nb3ZsU5Y2sK,Bukros Singers,1PnK10WrpfSmnN1b1fzZou,213813,2013-07-23,0,0.742,0.503,5,-9.62,1,0.0275,0.427,0.000496,0.112,0.615,107.925,6cDddiZ8Bl0s9pgZtFrM4J,Ilocano Songs
5tNaljFdiqHJjzwDpVaWQU,Diay Baybay,317sZ5Tefi3Nb3ZsU5Y2sK,Bukros Singers,1PnK10WrpfSmnN1b1fzZou,249706,2013-07-23,0,0.729,0.622,0,-7.297,1,0.031,0.053,1.5e-06,0.11,0.847,117.899,6cDddiZ8Bl0s9pgZtFrM4J,Ilocano Songs
2EgTPmPlTjxsh7JuCZ8O9o,Diro Ni Ayat,317sZ5Tefi3Nb3ZsU5Y2sK,Bukros Singers,1PnK10WrpfSmnN1b1fzZou,214440,2013-07-23,0,0.863,0.416,5,-11.649,1,0.0357,0.696,0.0113,0.117,0.848,108.914,6cDddiZ8Bl0s9pgZtFrM4J,Ilocano Songs
4Aoz0RCwn3xZivRKjtHgKf,Apay? Apay?,317sZ5Tefi3Nb3ZsU5Y2sK,Bukros Singers,1PnK10WrpfSmnN1b1fzZou,240560,2013-07-23,0,0.745,0.515,11,-12.224,1,0.034,0.454,0.00207,0.0679,0.694,124.942,6cDddiZ8Bl0s9pgZtFrM4J,Ilocano Songs
7pv0wHaxZmSESF54xJJYXt,O Naraniag A Bulan,317sZ5Tefi3Nb3ZsU5Y2sK,Bukros Singers,1PnK10WrpfSmnN1b1fzZou,219906,2013-07-23,0,0.709,0.407,6,-11.688,1,0.0442,0.0993,0.00041,0.179,0.549,134.899,6cDddiZ8Bl0s9pgZtFrM4J,Ilocano Songs
68M5I4ttnTADfpoUDVv3a6,Katuday,317sZ5Tefi3Nb3ZsU5Y2sK,Bukros Singers,1PnK10WrpfSmnN1b1fzZou,223906,2013-07-23,0,0.711,0.586,11,-10.391,1,0.0335,0.182,0.0006,0.285,0.759,122.905,6cDddiZ8Bl0s9pgZtFrM4J,Ilocano Songs
2BvlOtApD2qQWxPfPSLJNU,Kawar Ni Ayat,317sZ5Tefi3Nb3ZsU5Y2sK,Bukros Singers,1PnK10WrpfSmnN1b1fzZou,286000,2013-07-23,0,0.665,0.574,0,-8.538,1,0.0273,0.223,0.0,0.201,0.742,122.002,6cDddiZ8Bl0s9pgZtFrM4J,Ilocano Songs
1Sj1NhADVamDsehGTLVSJv,Sikat Ay Ayatek,317sZ5Tefi3Nb3ZsU5Y2sK,Bukros Singers,1PnK10WrpfSmnN1b1fzZou,257640,2013-07-23,0,0.65,0.354,9,-12.742,1,0.0313,0.731,0.0,0.268,0.557,112.039,6cDddiZ8Bl0s9pgZtFrM4J,Ilocano Songs
2PrBDD1nQcxLQis8xTBayW,Anibersaryo Ni Ayat,317sZ5Tefi3Nb3ZsU5Y2sK,Bukros Singers,1PnK10WrpfSmnN1b1fzZou,305853,2013-07-23,0,0.455,0.341,9,-12.845,1,0.0336,0.536,2.28e-06,0.142,0.513,114.755,6cDddiZ8Bl0s9pgZtFrM4J,Ilocano Songs
6WOFaTSDWUQ18nuhMEZimX,Sadin Ti Ayan Dan,317sZ5Tefi3Nb3ZsU5Y2sK,Bukros Singers,1PnK10WrpfSmnN1b1fzZou,330226,2013-07-23,0,0.395,0.415,9,-10.463,1,0.0304,0.661,0.000549,0.0904,0.512,120.885,6cDddiZ8Bl0s9pgZtFrM4J,Ilocano Songs
24UrHtjEhqk9WiahOz4dtN,Febuka,317sZ5Tefi3Nb3ZsU5Y2sK,Bukros Singers,1PnK10WrpfSmnN1b1fzZou,210906,2013-07-23,0,0.468,0.511,9,-11.351,1,0.0322,0.489,0.0,0.12,0.768,125.383,6cDddiZ8Bl0s9pgZtFrM4J,Ilocano Songs
3scuWFEUqEU5BRTQaTaQYr,Diak Gamden Ti Agayat,317sZ5Tefi3Nb3ZsU5Y2sK,Bukros Singers,1PnK10WrpfSmnN1b1fzZou,309426,2013-07-23,0,0.707,0.476,11,-10.921,1,0.0391,0.434,5.6e-05,0.0731,0.944,124.219,6cDddiZ8Bl0s9pgZtFrM4J,Ilocano Songs
0cVebwT655T9O1MBslL7UF,Punialem Toy Pusok,317sZ5Tefi3Nb3ZsU5Y2sK,Bukros Singers,1PnK10WrpfSmnN1b1fzZou,185333,2013-07-23,0,0.716,0.315,9,-13.562,1,0.0319,0.131,0.000312,0.0594,0.969,95.107,6cDddiZ8Bl0s9pgZtFrM4J,Ilocano Songs
3FyDrDJpzqTGNijATjHGCR,Malmalday Ta Pusom,317sZ5Tefi3Nb3ZsU5Y2sK,Bukros Singers,1PnK10WrpfSmnN1b1fzZou,226720,2013-07-23,0,0.631,0.433,9,-12.904,1,0.0333,0.499,4.75e-06,0.0835,0.724,123.669,6cDddiZ8Bl0s9pgZtFrM4J,Ilocano Songs
3Wjro4NPOdH1cX0Dz1xAIA,No Inayat Nak,317sZ5Tefi3Nb3ZsU5Y2sK,Bukros Singers,1PnK10WrpfSmnN1b1fzZou,257893,2013-07-23,0,0.636,0.402,0,-11.769,1,0.0263,0.552,0.0,0.0894,0.612,110.719,6cDddiZ8Bl0s9pgZtFrM4J,Ilocano Songs
