playlist_id,playlist_name,playlist_total_tracks,owner_id,owner_name,total_followers
37i9dQZF1DX2Nc3B70tvx0,Ultimate Indie,100,spotify,Spotify,2051083
37i9dQZF1DX2sUQwD7tbmL,Feel-Good Indie Rock,200,spotify,Spotify,1381683
37i9dQZF1DWWEcRhUVtL8n,Indie Pop,125,spotify,Spotify,1358982
37i9dQZF1DWVV27DiNWxkR,Sad Indie,90,spotify,Spotify,852069
37i9dQZF1DX2rVwh3lcWku,Todo Indie,80,spotify,Spotify,685885
37i9dQZF1DX9B1hu73DioC,Indie Chillout,75,spotify,Spotify,616383
37i9dQZF1DWUoqEG4WY6ce,Indie Rock Road Trip,89,spotify,Spotify,614524
37i9dQZF1DWXx6OpWBkqVv,Indiespensável,62,spotify,Spotify,597990
37i9dQZF1DWWM6GBnxtToT,Feelgood Indie,100,spotify,Spotify,420000
37i9dQZF1DX6PSDDh80gxI,Indie Italia,50,spotify,Spotify,379287
37i9dQZF1DX35DWKgAk2B5,Indie Rock Club,50,spotify,Spotify,321828
37i9dQZF1DXd82NU5rAcTZ,IndieNesia,96,spotify,Spotify,227146
37i9dQZF1DWYJeWl6ior4d,Indie Klassiker,100,spotify,Spotify,225395
37i9dQZF1DX5y8xoSWyhcz,indie pop & chill,95,spotify,Spotify,190921
37i9dQZF1DXb67OkZ6150Z,Indie Covers,75,spotify,Spotify,166083
37i9dQZF1DXaLaoaQqrfyO,Indie Pop 2010s,100,spotify,Spotify,159394
37i9dQZF1DWVbu3wLXA48X,Indie Shuffle,81,spotify,Spotify,75966
6UdRcqXgaswdXInKtXFXrd,Indie Radar,16,lefigox0w6mahr059z7bmpzt8,Elite Playlist,60543
5tOffZXVBFTMS7mkKQ3tpX,Indie Folk Chill,249,rj9wvs6jynpiwpzb5s99rwu6f,CaffeinatedFox,35631
0E0zWjChYTKFNpdjrNRSJK,Indie - Brasil,50,215h3ar7vq4xvim7gp7zu5fki,Rafael Silvestre,28930
5wZUE6fAP31BEw9nwkdvJj,Indie Vibes 🎸,167,m91zhgclzoujm5x6i1ods2wsu,oceanify,13222
5BfO9dyYnvn9ZNj3Czia8j,Indie OPM Feels,59,12142087711,Erjohn Nieva,5961
5cGOb6nYsIL45U8MhHSOiY,Indie Arcade,47,v2x6b9m33bd57xfbq0knblpd1,Rocking Out,1697
