playlist_id,playlist_name,playlist_total_tracks,owner_id,owner_name,total_followers
37i9dQZF1DWVqfgj8NZEp1,Coffee Table Jazz,143,spotify,Spotify,2286149
37i9dQZF1DXbITWG1ZJKYt,Jazz Classics,100,spotify,Spotify,1922305
37i9dQZF1DX4wta20PHgwo,Late Night Jazz,80,spotify,Spotify,1853567
37i9dQZF1DX0SM0LYsmbMT,Jazz Vibes,350,spotify,Spotify,1782519
37i9dQZF1DWTbzY5gOVvKd,Jazzy Romance,60,spotify,Spotify,999100
37i9dQZF1DXa1rZf8gLhyz,Jazz for Sleep,115,spotify,Spotify,860625
37i9dQZF1DX8Kgdykz6OKj,Jazz Rap,100,spotify,Spotify,779239
37i9dQZF1DX5OepaGriAIm,Women of Jazz,100,spotify,Spotify,768305
37i9dQZF1DXbOVU4mpMJjh,Jazz Relax,50,spotify,Spotify,633490
37i9dQZF1DX2vYju3i0lNX,Chilled Jazz,127,spotify,Spotify,548154
37i9dQZF1DX55dNU0PWnO5,Jazztronica,50,spotify,Spotify,490095
37i9dQZF1DX7YCknf2jT6s,State of Jazz,50,spotify,Spotify,475852
37i9dQZF1DX661EjJOj3Tu,Latin Jazz,100,spotify,Spotify,409031
37i9dQZF1DX5D4gDh3HAsM,Christmas Jazz,50,spotify,Spotify,403602
37i9dQZF1DWTALrdBtcXjw,Jazzy Dinner,58,spotify,Spotify,332715
37i9dQZF1DWTR4ZOXTfd9K,Jazz Classics Blue Note Edition,87,spotify,Spotify,317640
37i9dQZF1DX71VcjjnyaBQ,Good Morning Jazz,50,spotify,Spotify,268149
37i9dQZF1DX3SiCzCxMDOH,Jazz for Study,137,spotify,Spotify,254851
37i9dQZF1DWZv6UE8BMPO0,Christmas Cocktail Jazz,58,spotify,Spotify,236033
37i9dQZF1DX2mmt7R81K2b,Jazz – Classical Crossings,54,spotify,Spotify,228650
37i9dQZF1DXdwTUxmGKrdN,Smooth Jazz,50,spotify,Spotify,219879
37i9dQZF1DWV7EzJMK2FUI,Jazz in the Background,145,spotify,Spotify,198518
37i9dQZF1DXbHcQpOiXk1D,Jazz UK,75,spotify,Spotify,193957
37i9dQZF1DWTcEjayzrZ4x,Lazy Jazz Cat,156,spotify,Spotify,165671
37i9dQZF1DWSBRKlyNxSuy,Pure Mellow Jazz,50,spotify,Spotify,161802
45i3KQ4ENPoZNRYtReXBcU,The Jazz Hop Cafe,102,thejazzhopcafe,The Jazz Hop Café,153482
37i9dQZF1DWYxwmBaMqxsl,Rainy Day Jazz,82,spotify,Spotify,138391
37i9dQZF1DWU6MDxlH7Sr1,Cocktail Jazz,98,spotify,Spotify,126476
37i9dQZF1DWU5TxeYcalut,Jazz Brasileiro,90,spotify,Spotify,123583
148My4xA7WoEaNDmnl2A8Z,Smooth Jazz - Instrumental,1248,pmartika,Pekka Martikainen,120923
37i9dQZF1DWXSyfX6gqDNp,Evening Jazz,76,spotify,Spotify,113880
37i9dQZF1DX7UE7qrnkvsf,Jazz for Autumn,100,spotify,Spotify,107810
37i9dQZF1DWXHghfFFOaS6,Acid Jazz,90,spotify,Spotify,106088
37i9dQZF1DWZrhFFq3bnGV,Jazz Anak Negeri,101,spotify,Spotify,89712
37i9dQZF1DWTKxc7ZObqeH,Summer Jazz,125,spotify,Spotify,85196
37i9dQZF1DX5YTAi6JhwZm,Happy Jazz!,50,spotify,Spotify,74324
37i9dQZF1DX85XJl1mZAlp,Jazz X-Press,75,spotify,Spotify,70249
37i9dQZF1DWUb0uBnlJuTi,Jazz-Funk,55,spotify,Spotify,69628
37i9dQZF1DXdziGPHNE40t,Jazzy Morning,85,spotify,Spotify,69524
37i9dQZF1DX1S1NduGwpsa,Jazz Club,50,spotify,Spotify,67761
37i9dQZF1DWU0r6G8OGirN,Cozy Christmas Jazz,46,spotify,Spotify,67048
5VItICXtFUzgoAmqy7QRFL,Jazz Piano,78,1210415129,Sam Suechting,66410
2UPjWBRjJqMQY3LRV2aDTS,Starbucks Jazz,279,starbucks,Starbucks,57091
37i9dQZF1DX2kt7dB63bU1,Vocal Jazz,116,spotify,Spotify,54540
1i9NKaGOEQsRmR392BqMxE,"Blues, Jazz & Funk",91,1235883758,Martin Bosley,52682
37i9dQZF1DX6ZiG5Dz8cUM,Date Night Jazz,76,spotify,Spotify,50648
37i9dQZF1DX05Q6G4VDGLq,Jazz Tranquilo,100,spotify,Spotify,48063
7CRSph8ASmA7TbAMr4MkYb,Jazz Hip Hop,100,1pcz41sabtrnf7bp6gn5vh23y,Johnny Jazzmatazz,47575
37i9dQZF1DWTsUzn4pp2rW,Jazz Pop,150,spotify,Spotify,47006
37i9dQZF1DX1U93rnCNfyR,Jazz para Dormir,55,spotify,Spotify,45407
5jtIpYaaFTza3O9ZnaVrLa,JazzHop,397,nsqx6avzxhybkmfumqb1juwmn,Fantastic Music,42761
37i9dQZF1DX6kQOEoHSaYy,Hyggelig Jazz,112,spotify,Spotify,42418
6FJQEBg5EkaTitPWcSbBI7,French Jazz Café,78,hastings.riley,hastings.riley,41547
4xKFUXoma8EepzgxKguJUi,JAZZ/BLUES,290,124717907,Katherine Forrest,38202
6JZcwNB8yQwRfYeqQSIrNP,Jazz covers popular songs,117,1178359561,Tjörvi Hrafnkelsson,37953
06TSMDjFOBBwP3uVOTWJhS,slow jazz,79,joelkrigstrom,Joel Krigström,36666
37i9dQZF1DX72wBcERxgla,Jazz for Reading,100,spotify,Spotify,35006
37i9dQZF1DXa7FSukIBTlS,Jazz جاز,60,spotify,Spotify,28074
1Rj92hyXm3WjpOJI8XgYtF,Paris Cafe Jazz,421,gym377,gym377,27143
1YJe9dmtfOWC2lKbIdJUWm,Instrumental Jazz,363,1133659742,Valdemar Bille-Lauridsen,25538
4vCAD6vcB6mSElLM1Whb4r,Chill Jazz Vibes 🎷 mellow jazz beats & jazzhop,120,vcdikomxn7xuhp0ci0pn31pn9,Chill Beats Music,19274
37i9dQZF1DWSSSls9eK29h,Smooth Jazz Classics,60,spotify,Spotify,18434
37i9dQZF1DWW2c0C8Vb2IR,All New Jazz,84,spotify,Spotify,18355
37i9dQZF1DWTtzPKJEaTC4,Best Jazz Songs of 2020,57,spotify,Spotify,17784
3ZZBSpcUJ4Gi2uzHjDDpC3,Classic Jazz,222,1242413602,Peter H. Finkel,17128
5OhXxa4OZwYrFm6RZQeUq7,Jazz & Chill Out,127,villazon-mx,villazon-mx,16087
1w34JrNa6VEFkKc3cJsn9c,"Soul, Jazz & Blues  ",55,legrospolo,Paul Paul,16030
3lNSPiQHMfwPnJgNNyZavP,Dinner Jazz,62,vervemusicgroup,Verve Jazz,14980
37i9dQZF1DX010dXHHQF5e,Duerme con Jazz,90,spotify,Spotify,14447
4wAG4IGtyo4cdD80zKKjoB,Coffee jazz,45,sugarbelletruck,sugarbelletruck,13666
37i9dQZF1DX55mNLGdHona,Jazz in Cucina,90,spotify,Spotify,12597
37i9dQZF1DX41cLva7hoYQ,Workday Jazz,90,spotify,Spotify,12420
5mIecwE2CjPRFjkW4GFms1,LoFi Jazz (lo-fi jazz hip hop study chill relax music beats) ,189,83jae2jqdxf6pm0ts3e60zpy3,Lofi Jazz Records 🎺,12288
38CeCKRz1m2gjRuGLU4UNb,Chill Jazz,92,89oqloy6tq7yyf3k2t781c34n,JazzFy,12184
37i9dQZF1DX9GSZDbrndTa,Jazz-Blues,50,spotify,Spotify,10988
6y6NN5sdrPMgnHQjFXHcBm,Jazz Lounge Bar Playlist,391,jazz_playlist_guy,jazz_playlist_guy,10356
37i9dQZF1DX5MImizrZfZg,Smooth Jazz 2000,50,spotify,Spotify,8447
37i9dQZF1DX4VsZErMojE8,Subsuelo Jazz Bar,101,spotify,Spotify,8417
6HhLjsFt1JywDYIbnN7ghQ,Saxophone Jazz,69,c5pphlzzercy3wzg3rxoqeb65,BGMC Records,8414
1lw4EI1LoYNtThG3KScJ0f,Jazz lofi chill relax,157,lmd4t9x2bnl10c1m5efz4xn9p,Background Beats,6886
37i9dQZF1DX30D074EWuy7,Jazz Italia,50,spotify,Spotify,6596
4d9BnsOafG3Y64EbIJJWfW,JAZZ INSTRUMENTAL - BOSSA NOVA,285,prueba381,prueba381,4854
4T0R5nCnC3m6yZZWQ045pt,Coffee Shop Jazz,493,gilmour1962,JOHN ARNOLD,4576
6UHVFlw8kGYPP9N25HQrov,Jazz For Work,216,c5pphlzzercy3wzg3rxoqeb65,BGMC Records,3865
6GNoAopv64BlP5oFXrGbza,Jazz Covers Popular Songs,125,o0fbzeszsjwj57ln417mucadz,Playlists Kool,3514
3Bq6Lo4gnqelM6Q9ogblmt,Piano Jazz,952,ruw81ukowvfvjubi81t0zqupt,Overmoon,3320
37i9dQZF1DWTG7FCdM1HiA,Cool Jazz,40,spotify,Spotify,3043
4Gn6rgEi6D1kbXIn5qKHxV,Smooth Jazz Piano,129,funkyjlo,funkyjlo,2831
582DJmd0ot1ayqJePPSGtA,Relaxing Jazz,80,greenhillmusic,Green Hill,2815
1WxyPZDwKySzXaiE7RHgtV,Jazz Coffee,60,zaz2169,zaz,1660
1idicUefIVcVQIDqkExrSW,Jazz Rythms (Greenhills)  🍻👌,248,12151019285,Markoptions Manansala,950
4uos9MJcD8i0xYSIBB82wl,Jazz Fusion 80s,443,rick.modina1966,rick.modina1966,921
1JLuxFpcrhA6msxMGTK9Ik,Jazz Music 2020 Best Jazz Covers Of Popular Songs 2020 Bossa Nova Jazz 2020,33,217243pznudxarof4mpdp4xja,Jaf Christian Datinguinoo,822
14TYbeYJ0twa757h9tPmLw,Jazz Rhythms / Rhythm and Booze / East St. Louis / Reasons,179,docona02,Ona Fajardo,564
1EhTElSP4qvoG0KC0p1Yhs,"Jazz Rap Dispensary (collection of jazzy rap, chill rap and mellow hip hop)",89,pavdogg,pavdogg,205
561exdPxRXnl4ihpQk7vsi,Jazziq/Busta929/Zuma Hits,40,31t3q7h7sjwzb2qsd4czd4jeqkl4,Mohato Mo Raul Reahola Matsoso,36
5Rj045q77fRQZNDHCYWqDY,"Jazz, Rock, Music for day",1095,zvy3wmydn2u7wizix5iu2c4qq,lella_like,3
2JEBS22993apypJxhVtcqW,"Jazz, Piano, Relax music for the week",654,q2xow09anywwu6htm1uue4vvd,holly_lertu,2
4FZ7hQG3tcnzOZW5bXIRlT,"Jazz, Caffe, Vision, Relax",586,upusefn4eoef6vjrvd49p111z,tuttoviola,0
