track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name
4d2YgepBRyYjr1EXM6slZq,Ascent,408lP4P33XEirDvYHxq8Ib,Art Hirahara,3mNi1VupZNPWagYvTgLYuQ,250869,2020-04-17,63,0.465,0.0604,2,-23.367,0,0.042,0.945,0.893,0.108,0.0394,101.23,37i9dQZF1DWVqfgj8NZEp1,Coffee Table Jazz
2wOlZrHUpRP9hQbqbV9Ae5,Together,0Cioop2zjxXxtcPUme7R46,Matthew Halsall,1fcREbFQfCqfwxXkxGgvV7,672520,2009-10-26,59,0.401,0.0236,6,-18.749,0,0.035,0.978,0.579,0.102,0.163,110.519,37i9dQZF1DWVqfgj8NZEp1,Coffee Table Jazz
2yiISACbYnL2hApy1ffKKs,Misty - Remastered 2020,6C65D20ASusYqHGSIktfED,Erroll Garner,41sYqKPEygmvQrLXKpzWJU,167121,2020-04-17,60,0.327,0.145,5,-20.443,1,0.0397,0.945,0.884,0.091,0.136,178.966,37i9dQZF1DWVqfgj8NZEp1,Coffee Table Jazz
2R1vQwYTC0sl93C6oyVuHC,Simplicity,0FAC6FNPb4LsY5uyp0xTWF,Edward Simon,4GDYdHheKfIOBMjqOgTK6k,309586,2020-10-09,55,0.493,0.107,2,-22.122,1,0.0336,0.881,0.906,0.122,0.126,91.326,37i9dQZF1DWVqfgj8NZEp1,Coffee Table Jazz
7zzaZggdFuadOs0R7SuJlp,My Ideal,5CSkWcdoRvgBQDwJTZZstJ,Jerry Bergonzi,2T8WUL1jRlaGIqj36oD5O5,219766,2021-01-15,50,0.526,0.0767,10,-14.545,1,0.0457,0.802,0.00195,0.0978,0.247,112.768,37i9dQZF1DWVqfgj8NZEp1,Coffee Table Jazz
7LIFp3v3CaTCvcG6fmceIg,Clouds,7c7414LKkYnuDPlkrwDg9a,Portraits in Jazz,3LEyIlY9P6z9Mvp6dpxk9d,283650,2020-11-27,54,0.338,0.165,10,-15.702,1,0.0315,0.977,0.315,0.122,0.174,76.266,37i9dQZF1DWVqfgj8NZEp1,Coffee Table Jazz
1dsVIoiV96Goqv1jGbJySI,Our Son,4PqV4TEgVltnn4N47ODKV6,Al Foster,29cOIY18Ltp3gisRUmNqh8,162280,2019-06-28,54,0.482,0.101,8,-18.914,0,0.0333,0.965,0.00335,0.125,0.189,105.719,37i9dQZF1DWVqfgj8NZEp1,Coffee Table Jazz
0bK9xHtMrJcXsoHFbHklQF,Meditation,6OMYcSur3Y0DthpzbVkxAx,Joel Lyssarides,69jewLma1l3nUoR9FR6yCk,293401,2019-11-10,56,0.338,0.0881,4,-24.308,0,0.0377,0.927,0.892,0.132,0.0473,97.988,37i9dQZF1DWVqfgj8NZEp1,Coffee Table Jazz
7e4cQ65cw0hbgQfbZr9IUD,Little Girl Blue,0ie9W9nN4iPymAkS9WW8nX,Jeremy Pelt,3uF0eDO6FcdBSJcR4wdwms,437720,2020-01-24,54,0.297,0.0805,5,-18.726,1,0.0355,0.963,0.947,0.0898,0.158,80.346,37i9dQZF1DWVqfgj8NZEp1,Coffee Table Jazz
4M7Hi6wUOQ7ECOup83DYov,In Memory,65mwyp96M7Yx78x8XVz39M,Tingvall Trio,1KDGAEkezlMWQ46iXhVuok,318864,2020-10-02,54,0.416,0.111,5,-19.156,1,0.0299,0.836,0.702,0.102,0.0514,101.84,37i9dQZF1DWVqfgj8NZEp1,Coffee Table Jazz
0XHv1jT5QsTbemGea5q8Ek,Song for Fraser,6HQYnRM4OzToCYPpVBInuU,Kamasi Washington,03ZDW1rnnecmoDBmRXt3A1,140004,2020-05-15,35,0.4,0.0763,0,-19.201,0,0.0571,0.968,0.828,0.106,0.173,59.235,37i9dQZF1DWVqfgj8NZEp1,Coffee Table Jazz
7s1hwbCePvSUZxgayvKTCK,A Time For Love,1QoFjUjxsHULNzFihvt8Sd,Rob Barron,3eHtDpsMTiWBek5awHt2fE,388746,2020-10-02,53,0.475,0.104,7,-21.265,0,0.0365,0.932,0.941,0.0966,0.122,115.003,37i9dQZF1DWVqfgj8NZEp1,Coffee Table Jazz
283h1iiG7BVoKvTVAr5bSc,Polka Dots and Moonbeams,79PWBQ4rekAQItLBfqIdzl,Gabriel Latchin Trio,6m6qm8MVQMJGvKTCXDuVe4,329680,2019-04-05,53,0.576,0.132,2,-19.928,0,0.0399,0.97,0.898,0.122,0.122,63.078,37i9dQZF1DWVqfgj8NZEp1,Coffee Table Jazz
