playlist_id,playlist_name,playlist_total_tracks,owner_id,owner_name,total_followers
37i9dQZF1DX0oESWhpVpaJ,Best of Manila Sound,40,spotify,Spotify,192812
5AM8M6GX7HlJYOOQC0ocie,MANILA GREY - Collection,32,manilagrey,MANILA GREY ,6146
7BnXbt5rDr3J9IWO80eS6s,"manila sound, opm, pinoy rock",208,12145807231,Noel de Mesa,4515
0tDRlbqBGhI6ug4gNHaqjG,MANILA Sounds,150,1251549294,Marycar Pasion Espinosa,2633
63xjY4RXFQpSuaDQ4MPyMW,OPM Classic/OPM Jukebox/Manila Sound/Pinoy Ballads,700,12146740932,Ace Feria,1958
3RneyWeKzR6xrMzXVhcwqJ,Manila Sounds of the 70s and 80s,45,kirtpublic,Kirt Xlu,1591
3lMLksotUxiwOLaD7Y7U7T,Hotdog - The best of manila sound,81,1112499797,Blanche Thomsen,1237
47q760p2Lr5TTHHihv1WKu,Tito's and Tita's of Manila 💯,117,22xo7abywebdsmalcq2nvkaxa,Ysh Maligson,1046
2qH7TXBILqIWVPH4nXFofv,SQ Manila,18,efusterdesign,Ed Ramirez Fuster,989
43Jeu5C62Tyjag1bG3YUTq,103.5 K-Lite Manila's Lite Alternative,452,marx_lacap,Mark Gerald Lacap,848
7sVxQbu03doFnvB0fX9tx2,Manila Magic,96,leohmarr,lei-yoh,756
1vlX2IJFMteZYVYjegkPWv,Don Moen: God Will Make A Way MANILA Setlist,22,jefferzee,Jefferzee Brig,598
0Bq6iR4aLqnAUQZkmjTH9S,Faithmusic Manila,50,kathksaquino,kathksaquino,569
3bZDAygXH5kb04zazdAekd,Manila Sounds 70s - 2Ks,487,12173737554,Sonnie Santos,558
09GjJUxNXkcnWYaNrSD1Jw,Manila Girl,43,cherryann0104,cherryann0104,474
3WRCG0QJ79pRDhE5tws88z,MANILA GREY - Essentials,15,manilagrey,MANILA GREY ,457
6NBEibsi7vWzQaopVp6ydv,This is MANILA GREY,39,clmnrlph6,Ralph Columna,450
5CxFLQJTrCx8QRfHa1rJld,Manila Classic Hits,53,12138972696,Bernice Lim,369
3mnjWH9jBaQx5t8x1KILEg,Tiktok Philippines - Tiktok Trending Pinas - Tiktok 2020  - Tiktok Manila,212,hysdryunxj3lq5q3pkslats5e,Blaise Face,366
5YdatWbx74QUSFzvoeKfHk,Manila – Hotdog,124,snowdensp1,snowdensp1,294
07R8yu81w55OkzFCYuCvmY,Love Radio Manila,2624,jmdgamotia,jmdgamotia,241
64PMS5prOk761DyUTSoZQx,Manila Sounds 80's & 90's,541,12124082336,Rae Ramos,201
2f5zDaAMDpnhH6zwjLAzhE,MANILA GREY - Silver Skies,57,jasonbb25,Xyryl Garces,168
0gsi3iheDVssscPsdwZCTT,Manila Sounds + Crossover + 24K,378,pickledpepperspray,pickledpepperspray,145
1IV1QlSRNUGJm2gkUBV6ga,Manila House - Bar,88,12140794431,Anton San Diego,79
68p0GmJa07lSrNKFhsmic4,MANILA SOUNDS,102,t8gnx1nc72gvcpl45rl8419y3,jdgdrums,71
1K4tm7mEZqktf8ET0J0cTN,Manila's Musical Dancing Fountain Songs,10,21dkgkwukrc6cnxitehwbnfva,Em Cee,66
1jtPvp7IsQnvU94VRjQUNU,Manila House - - Lounge,103,12140794431,Anton San Diego,64
37i9dQZF1DZ06evO2J6Qwh,This Is Manila Killa,20,spotify,Spotify,63
