track_id,name,popularity,duration_ms,artist_id,artist_name,num_artists,playlist_id,playlist_name
6u6QRD49NH71kiwNQM1ez7,Sumayaw Sumunod,48,197407,1WHYTMWSXn7ix7PAO82FEX,The Boyfriends,1,37i9dQZF1DX0oESWhpVpaJ,Best of Manila Sound
5DaPq93UhOAu0b16Nyn1Mz,Pumapatak Ang Ulan,44,170640,4RA4PC3WHM9OHZLExirTcU,APO Hiking Society,1,37i9dQZF1DX0oESWhpVpaJ,Best of Manila Sound
3kMhTdHzPORulalqbS1Hta,Dahil Mahal Kita,44,193146,0NTCLJMe5JtkMt3YQuja45,Boyfriends,1,37i9dQZF1DX0oESWhpVpaJ,Best of Manila Sound
3pgyLh4pO79wtecE0FIqDi,Kahit maputi na ang buhok ko,0,204973,5xWPJKDLLSDaz7K7tSMTFu,REY VALERA,1,37i9dQZF1DX0oESWhpVpaJ,Best of Manila Sound
2dsMR11aapObCMpjNFxYLN,"Awitin Mo, Isasayaw Ko",0,278960,1JygQfeB7OmzophGsgNwSb,VST & Company,1,37i9dQZF1DX0oESWhpVpaJ,Best of Manila Sound
4px24lN1Ddu6Y8qN6gi4RZ,Batang-Bata Ka Pa,47,249693,4RA4PC3WHM9OHZLExirTcU,APO Hiking Society,1,37i9dQZF1DX0oESWhpVpaJ,Best of Manila Sound
0wuAxX9bQnOBSy3NnpKyN3,Manila,0,184146,4sEykiNSzZbkFkNXTb1bVd,Hotdog,1,37i9dQZF1DX0oESWhpVpaJ,Best of Manila Sound
3ukgAk4HYpvVUpo1yN0rrX,Ipagpatawad,0,212826,1JygQfeB7OmzophGsgNwSb,VST & Company,1,37i9dQZF1DX0oESWhpVpaJ,Best of Manila Sound
3ZNX5Qp1N5ClWrK6mOJjPW,Maging sino ka man,0,213213,5xWPJKDLLSDaz7K7tSMTFu,REY VALERA,1,37i9dQZF1DX0oESWhpVpaJ,Best of Manila Sound
6FBmqwbojTZsNP1nD3QjBc,Panalangin,43,211226,4RA4PC3WHM9OHZLExirTcU,APO Hiking Society,1,37i9dQZF1DX0oESWhpVpaJ,Best of Manila Sound
7FIDPZy0YOnohh2d2z63h6,Ikaw Ang Miss Universe Ng Buhay Ko,41,222066,4sEykiNSzZbkFkNXTb1bVd,Hotdog,1,37i9dQZF1DX0oESWhpVpaJ,Best of Manila Sound
2cpFyWDtrCshpNzpBi4h0P,Himig natin,0,335440,1wNHRv83hRynWs1Lbn02D0,JUAN DELA CRUZ BAND,1,37i9dQZF1DX0oESWhpVpaJ,Best of Manila Sound
5kLVs3mhOdPxy1jRZJGLSy,Tuloy pa rin ako,0,188920,0NixHJK8GtSdzy89dQRk1q,Labuyo,1,37i9dQZF1DX0oESWhpVpaJ,Best of Manila Sound
5Q9ereRPdDio1lOcontbc0,Awit Ng Barkada,46,217866,4RA4PC3WHM9OHZLExirTcU,APO Hiking Society,1,37i9dQZF1DX0oESWhpVpaJ,Best of Manila Sound
0p2KLdaQuSvvPQk0x54YEj,T.L. Ako Sa'yo,0,182000,65QcnpMJFv1yogXwoOe97v,Cinderella,1,37i9dQZF1DX0oESWhpVpaJ,Best of Manila Sound
0jpu2kF9CYRg2dgcIot3yo,Binibini,0,215626,0GMSTrBKMucDuHH46oXvqo,Rainmakers,1,37i9dQZF1DX0oESWhpVpaJ,Best of Manila Sound
3y7zz4ShoNPUOz4msnQKxe,Paniwalaan,0,212746,1PI4WlIlSXjbueFblPqWnT,Blue Jeans,1,37i9dQZF1DX0oESWhpVpaJ,Best of Manila Sound
2DYuRUD7jYCxQXnv8Kmciz,Nosi Ba Lasi,40,258573,1KoRj2ZFjBc0xgcgMNBMIX,Sampaguita,1,37i9dQZF1DX0oESWhpVpaJ,Best of Manila Sound
6a91trArfz9dX2qazoJxTs,Ikaw Pa Rin,0,167506,0V4IscoIfSrqSxgl6LILST,Tito Mina,1,37i9dQZF1DX0oESWhpVpaJ,Best of Manila Sound
2yNaxIOLAk16AO52Ce0yZ3,Katawan,0,368666,7JJ3NfHRSDv3d6IBBGxtMH,Hagibis,1,37i9dQZF1DX0oESWhpVpaJ,Best of Manila Sound
66jGupeb50kOsufqLjjuSu,Mr. DJ,0,228773,3I5ONm7nnP1LpvqsnA5dBG,Sharon Cuneta,1,37i9dQZF1DX0oESWhpVpaJ,Best of Manila Sound
4LUzGG1QyZPz4HRvm0TIkB,Tao,0,289053,1KoRj2ZFjBc0xgcgMNBMIX,Sampaguita,1,37i9dQZF1DX0oESWhpVpaJ,Best of Manila Sound
1FLf5Xo0FYdsZQYmKy1icc,Ikaw Lang Ang Mamahalin,37,205531,37Aki1DpJUPf8i3vcMhU6L,Joey Albert,1,37i9dQZF1DX0oESWhpVpaJ,Best of Manila Sound
5wtDwqOcrw2uO708nEC4yT,Handog,0,215080,14xDeJRwQRbJIaSBikR4KH,Florante,1,37i9dQZF1DX0oESWhpVpaJ,Best of Manila Sound
271wAzFomxQKKLk3maedho,Macho-Gwapito,0,182506,77hvqYqKgIrS1SC0BhRdQx,RICO J PUNO,1,37i9dQZF1DX0oESWhpVpaJ,Best of Manila Sound
5h5u9BTx7TFzXHjryyj63X,Disco Fever,0,215826,1JygQfeB7OmzophGsgNwSb,VST & Company,1,37i9dQZF1DX0oESWhpVpaJ,Best of Manila Sound
39WqEvV5Qi1AZSj1M65fZV,Itanong mo sa mga bata,0,209866,5pbdyhkEpMobD6Fs6h729Q,Asin,1,37i9dQZF1DX0oESWhpVpaJ,Best of Manila Sound
70WRcgdIIehraOjDonOhx9,Kawawang Cowboy,0,183986,3cwuv0AjI1Fjg207lf6zan,FRED PANOPIO,1,37i9dQZF1DX0oESWhpVpaJ,Best of Manila Sound
5R0LVBRsiJNyKg7sfOZME5,Ikaw ang aking mahal,0,201400,1JygQfeB7OmzophGsgNwSb,VST & Company,1,37i9dQZF1DX0oESWhpVpaJ,Best of Manila Sound
6geaePn1H6YnbN49XeFVKx,Bato sa Buhangin,0,208666,65QcnpMJFv1yogXwoOe97v,Cinderella,1,37i9dQZF1DX0oESWhpVpaJ,Best of Manila Sound
43d44moNAUpF1gpejpc5Rv,The way we were,0,239640,77hvqYqKgIrS1SC0BhRdQx,RICO J PUNO,1,37i9dQZF1DX0oESWhpVpaJ,Best of Manila Sound
037VNiaoQ5um3zayGqMiLB,Legs,0,322666,7JJ3NfHRSDv3d6IBBGxtMH,Hagibis,1,37i9dQZF1DX0oESWhpVpaJ,Best of Manila Sound
