track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name
6u6QRD49NH71kiwNQM1ez7,Sumayaw Sumunod,1WHYTMWSXn7ix7PAO82FEX,The Boyfriends,1vGuMWLzC77OJm4FtNp4v6,197407,2001,48,0.631,0.568,4,-12.701,0,0.117,0.0298,0.000228,0.312,0.845,129.388,6u6QRD49NH71kiwNQM1ez7,6u6QRD49NH71kiwNQM1ez7
5DaPq93UhOAu0b16Nyn1Mz,Pumapatak Ang Ulan,4RA4PC3WHM9OHZLExirTcU,APO Hiking Society,366fSzyBwLyTlmkS0HbchP,170640,1982,44,0.664,0.472,2,-13.575,1,0.175,0.681,0.0,0.0864,0.59,122.142,5DaPq93UhOAu0b16Nyn1Mz,5DaPq93UhOAu0b16Nyn1Mz
3kMhTdHzPORulalqbS1Hta,Dahil Mahal Kita,0NTCLJMe5JtkMt3YQuja45,Boyfriends,4dEvUllaMeAxQAps5tMNvI,193146,2006,44,0.416,0.649,11,-5.317,0,0.0362,0.641,0.0,0.11,0.503,189.771,3kMhTdHzPORulalqbS1Hta,3kMhTdHzPORulalqbS1Hta
3pgyLh4pO79wtecE0FIqDi,Kahit maputi na ang buhok ko,5xWPJKDLLSDaz7K7tSMTFu,REY VALERA,5meVCdjMUGsCRGwMPBWPM5,204973,2009-03-25,0,0.579,0.661,5,-6.101,1,0.0246,0.249,0.0166,0.125,0.364,100.188,3pgyLh4pO79wtecE0FIqDi,3pgyLh4pO79wtecE0FIqDi
2dsMR11aapObCMpjNFxYLN,"Awitin Mo, Isasayaw Ko",1JygQfeB7OmzophGsgNwSb,VST & Company,1edLtXKW4leWB1YtYGhHTD,278960,2009-03-25,0,0.587,0.717,6,-13.762,0,0.0445,0.116,0.000592,0.324,0.879,128.184,2dsMR11aapObCMpjNFxYLN,2dsMR11aapObCMpjNFxYLN
4px24lN1Ddu6Y8qN6gi4RZ,Batang-Bata Ka Pa,4RA4PC3WHM9OHZLExirTcU,APO Hiking Society,4PbzEgZJREiNdSXj592GMm,249693,1980,47,0.416,0.509,4,-10.264,1,0.028,0.495,0.00431,0.195,0.467,143.377,4px24lN1Ddu6Y8qN6gi4RZ,4px24lN1Ddu6Y8qN6gi4RZ
0wuAxX9bQnOBSy3NnpKyN3,Manila,4sEykiNSzZbkFkNXTb1bVd,Hotdog,0lj9baB3ab3p0tAJMT2Uj2,184146,2008-06-18,0,0.801,0.538,5,-9.578,1,0.131,0.285,3.16e-06,0.112,0.46,115.942,0wuAxX9bQnOBSy3NnpKyN3,0wuAxX9bQnOBSy3NnpKyN3
3ukgAk4HYpvVUpo1yN0rrX,Ipagpatawad,1JygQfeB7OmzophGsgNwSb,VST & Company,79J197lei8SqgD7U0HVbLc,212826,2009-02-16,0,0.376,0.272,6,-19.198,0,0.0318,0.888,0.645,0.083,0.388,143.081,3ukgAk4HYpvVUpo1yN0rrX,3ukgAk4HYpvVUpo1yN0rrX
3ZNX5Qp1N5ClWrK6mOJjPW,Maging sino ka man,5xWPJKDLLSDaz7K7tSMTFu,REY VALERA,5meVCdjMUGsCRGwMPBWPM5,213213,2009-03-25,0,0.411,0.568,5,-7.064,1,0.0321,0.0724,0.00194,0.158,0.204,142.358,3ZNX5Qp1N5ClWrK6mOJjPW,3ZNX5Qp1N5ClWrK6mOJjPW
6FBmqwbojTZsNP1nD3QjBc,Panalangin,4RA4PC3WHM9OHZLExirTcU,APO Hiking Society,366fSzyBwLyTlmkS0HbchP,211226,1982,43,0.633,0.531,5,-9.397,1,0.0346,0.192,0.0,0.274,0.614,113.621,6FBmqwbojTZsNP1nD3QjBc,6FBmqwbojTZsNP1nD3QjBc
7FIDPZy0YOnohh2d2z63h6,Ikaw Ang Miss Universe Ng Buhay Ko,4sEykiNSzZbkFkNXTb1bVd,Hotdog,79bznfsF52E0u6zZS4C8lw,222066,2005,41,0.446,0.446,9,-9.731,1,0.0332,0.67,7.94e-05,0.134,0.547,175.025,7FIDPZy0YOnohh2d2z63h6,7FIDPZy0YOnohh2d2z63h6
2cpFyWDtrCshpNzpBi4h0P,Himig natin,1wNHRv83hRynWs1Lbn02D0,JUAN DELA CRUZ BAND,1VjN1SV5s4GZ4AnqUjXKct,335440,2009-02-13,0,0.453,0.389,4,-7.024,1,0.0278,0.876,0.657,0.113,0.331,124.167,2cpFyWDtrCshpNzpBi4h0P,2cpFyWDtrCshpNzpBi4h0P
5kLVs3mhOdPxy1jRZJGLSy,Tuloy pa rin ako,0NixHJK8GtSdzy89dQRk1q,Labuyo,0xpCsmJjFYnt7ADjXWVVrZ,188920,2009-02-04,0,0.541,0.731,0,-8.4,1,0.0386,0.374,0.0934,0.113,0.672,134.945,5kLVs3mhOdPxy1jRZJGLSy,5kLVs3mhOdPxy1jRZJGLSy
5Q9ereRPdDio1lOcontbc0,Awit Ng Barkada,4RA4PC3WHM9OHZLExirTcU,APO Hiking Society,4t2Gvb4it9Mgv9JhZBwoKS,217866,1988,46,0.799,0.221,2,-20.239,1,0.0617,0.815,1.5e-06,0.0877,0.412,132.03,5Q9ereRPdDio1lOcontbc0,5Q9ereRPdDio1lOcontbc0
0p2KLdaQuSvvPQk0x54YEj,T.L. Ako Sa'yo,65QcnpMJFv1yogXwoOe97v,Cinderella,69lTMAXP0Rzn0A07JSf1oi,182000,2008-05-06,0,0.717,0.196,3,-17.368,1,0.0378,0.695,0.0264,0.106,0.495,75.537,0p2KLdaQuSvvPQk0x54YEj,0p2KLdaQuSvvPQk0x54YEj
0jpu2kF9CYRg2dgcIot3yo,Binibini,0GMSTrBKMucDuHH46oXvqo,Rainmakers,7GGjRn5mtxaI8MugFsHYCu,215626,2009-02-13,0,0.393,0.42,7,-11.329,1,0.0253,0.91,0.681,0.243,0.556,78.203,0jpu2kF9CYRg2dgcIot3yo,0jpu2kF9CYRg2dgcIot3yo
3y7zz4ShoNPUOz4msnQKxe,Paniwalaan,1PI4WlIlSXjbueFblPqWnT,Blue Jeans,20aYXW6cd5ZuaSylfgTFGi,212746,2011-10-20,0,0.553,0.38,11,-9.118,1,0.0296,0.225,0.0907,0.391,0.366,77.91,3y7zz4ShoNPUOz4msnQKxe,3y7zz4ShoNPUOz4msnQKxe
2DYuRUD7jYCxQXnv8Kmciz,Nosi Ba Lasi,1KoRj2ZFjBc0xgcgMNBMIX,Sampaguita,1HrmACdQwtEbhWnxJxHbhF,258573,2009,40,0.534,0.897,9,-6.341,0,0.0346,0.224,2.25e-06,0.352,0.549,140.933,2DYuRUD7jYCxQXnv8Kmciz,2DYuRUD7jYCxQXnv8Kmciz
6a91trArfz9dX2qazoJxTs,Ikaw Pa Rin,0V4IscoIfSrqSxgl6LILST,Tito Mina,7iOdjdfoImYo24iGwOSupQ,167506,2009-02-13,0,0.586,0.43,11,-14.173,0,0.138,0.532,0.00591,0.0927,0.184,144.512,6a91trArfz9dX2qazoJxTs,6a91trArfz9dX2qazoJxTs
2yNaxIOLAk16AO52Ce0yZ3,Katawan,7JJ3NfHRSDv3d6IBBGxtMH,Hagibis,5IoV5u7p8lOpzB4w3juven,368666,2008-05-06,0,0.722,0.908,9,-8.297,0,0.184,0.0254,7.34e-05,0.104,0.412,133.784,2yNaxIOLAk16AO52Ce0yZ3,2yNaxIOLAk16AO52Ce0yZ3
66jGupeb50kOsufqLjjuSu,Mr. DJ,3I5ONm7nnP1LpvqsnA5dBG,Sharon Cuneta,6FiHvttBxTb59v38c92NHd,228773,2010-04-21,0,0.364,0.33,2,-10.553,1,0.0301,0.756,0.0,0.0715,0.161,67.507,66jGupeb50kOsufqLjjuSu,66jGupeb50kOsufqLjjuSu
4LUzGG1QyZPz4HRvm0TIkB,Tao,1KoRj2ZFjBc0xgcgMNBMIX,Sampaguita,2bvNAjzaLK41tgvFIcfOlQ,289053,2010-09-08,0,0.478,0.455,2,-11.298,1,0.0316,0.239,0.000193,0.106,0.358,133.394,4LUzGG1QyZPz4HRvm0TIkB,4LUzGG1QyZPz4HRvm0TIkB
1FLf5Xo0FYdsZQYmKy1icc,Ikaw Lang Ang Mamahalin,37Aki1DpJUPf8i3vcMhU6L,Joey Albert,3BK2TmxfCA9jz7Dv2i7qXz,205531,2001,37,0.245,0.223,10,-9.993,1,0.0305,0.952,0.166,0.176,0.0684,90.225,1FLf5Xo0FYdsZQYmKy1icc,1FLf5Xo0FYdsZQYmKy1icc
5wtDwqOcrw2uO708nEC4yT,Handog,14xDeJRwQRbJIaSBikR4KH,Florante,1VjN1SV5s4GZ4AnqUjXKct,215080,2009-02-13,0,0.264,0.482,0,-7.545,1,0.0304,0.303,0.000403,0.19,0.15,103.949,5wtDwqOcrw2uO708nEC4yT,5wtDwqOcrw2uO708nEC4yT
271wAzFomxQKKLk3maedho,Macho-Gwapito,77hvqYqKgIrS1SC0BhRdQx,RICO J PUNO,76z2WJhWXWCse7YFSGgwxv,182506,2008-07-03,0,0.612,0.768,7,-11.102,0,0.156,0.139,1.05e-06,0.158,0.801,142.154,271wAzFomxQKKLk3maedho,271wAzFomxQKKLk3maedho
5h5u9BTx7TFzXHjryyj63X,Disco Fever,1JygQfeB7OmzophGsgNwSb,VST & Company,4ChhVUHMxacGFpuwEH32eB,215826,2012-05-16,0,0.621,0.762,2,-6.067,0,0.0327,0.534,0.472,0.133,0.847,105.326,5h5u9BTx7TFzXHjryyj63X,5h5u9BTx7TFzXHjryyj63X
39WqEvV5Qi1AZSj1M65fZV,Itanong mo sa mga bata,5pbdyhkEpMobD6Fs6h729Q,Asin,2kUiyqaVqNYJPWHgwk7fHf,209866,2009-06-03,0,0.392,0.583,0,-4.679,1,0.0361,0.66,0.0,0.327,0.345,98.13,39WqEvV5Qi1AZSj1M65fZV,39WqEvV5Qi1AZSj1M65fZV
70WRcgdIIehraOjDonOhx9,Kawawang Cowboy,3cwuv0AjI1Fjg207lf6zan,FRED PANOPIO,37RIPQ6XxeQnfv0c22ZH4m,183986,2009-03-06,0,0.733,0.474,2,-8.847,1,0.0282,0.319,0.00238,0.145,0.7,114.011,70WRcgdIIehraOjDonOhx9,70WRcgdIIehraOjDonOhx9
5R0LVBRsiJNyKg7sfOZME5,Ikaw ang aking mahal,1JygQfeB7OmzophGsgNwSb,VST & Company,4Dx2h3OfJEvmzCD7CORGAL,201400,2009-03-25,0,0.461,0.615,9,-5.808,1,0.0268,0.659,0.00801,0.108,0.598,84.447,5R0LVBRsiJNyKg7sfOZME5,5R0LVBRsiJNyKg7sfOZME5
6geaePn1H6YnbN49XeFVKx,Bato sa Buhangin,65QcnpMJFv1yogXwoOe97v,Cinderella,69lTMAXP0Rzn0A07JSf1oi,208666,2008-05-06,0,0.555,0.105,2,-21.814,0,0.0284,0.955,0.0053,0.102,0.313,82.371,6geaePn1H6YnbN49XeFVKx,6geaePn1H6YnbN49XeFVKx
43d44moNAUpF1gpejpc5Rv,The way we were,77hvqYqKgIrS1SC0BhRdQx,RICO J PUNO,5zrxFkGsIKNKstejy4Jhs3,239640,2008-07-18,0,0.295,0.346,6,-6.995,1,0.0376,0.957,0.000525,0.165,0.27,145.607,43d44moNAUpF1gpejpc5Rv,43d44moNAUpF1gpejpc5Rv
