track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name
33N6nIIpfpZfrfdwzlXaGX,The Treasure,6PrmdED3r6myOJO6nQ5X4A,Aeoliah,5toLOOEXR2cCMAvZQc3wH4,428200,2000,0,0.2,0.162,7,-24.051,0,0.0473,0.989,0.956,0.75,0.0308,115.656,33N6nIIpfpZfrfdwzlXaGX,33N6nIIpfpZfrfdwzlXaGX
7auJt6KSsndmLBkVQL0aSI,Oasis,6PrmdED3r6myOJO6nQ5X4A,Aeoliah,5toLOOEXR2cCMAvZQc3wH4,186933,2000,0,0.186,0.614,5,-13.705,1,0.0631,0.918,0.899,0.862,0.0319,114.08,7auJt6KSsndmLBkVQL0aSI,7auJt6KSsndmLBkVQL0aSI
3MV5mBeS5RSkCqJuGHeqPa,Windsong,6PrmdED3r6myOJO6nQ5X4A,Aeoliah,5toLOOEXR2cCMAvZQc3wH4,433733,2000,0,0.173,0.154,0,-19.88,0,0.0476,0.959,0.954,0.667,0.0342,77.238,3MV5mBeS5RSkCqJuGHeqPa,3MV5mBeS5RSkCqJuGHeqPa
5DAWT41u5vi0HJKrtAtCoT,Sea of Bliss,6PrmdED3r6myOJO6nQ5X4A,Aeoliah,5toLOOEXR2cCMAvZQc3wH4,397040,2000,0,0.0706,0.251,0,-19.71,1,0.0545,0.991,0.948,0.109,0.0299,61.544,5DAWT41u5vi0HJKrtAtCoT,5DAWT41u5vi0HJKrtAtCoT
1t7cq3V5icpVUlNnsApGkU,Sanctuary,6PrmdED3r6myOJO6nQ5X4A,Aeoliah,5toLOOEXR2cCMAvZQc3wH4,778600,2000,0,0.0639,0.0643,8,-25.691,1,0.0442,0.973,0.947,0.153,0.0347,62.732,1t7cq3V5icpVUlNnsApGkU,1t7cq3V5icpVUlNnsApGkU
2rraMx0dHq4DeBNZ40lVtM,Radiance,6PrmdED3r6myOJO6nQ5X4A,Aeoliah,5toLOOEXR2cCMAvZQc3wH4,326160,2000,0,0.282,0.0999,9,-19.282,0,0.0441,0.994,0.945,0.109,0.0939,71.945,2rraMx0dHq4DeBNZ40lVtM,2rraMx0dHq4DeBNZ40lVtM
4gAy1vttJP6TzeTpR4HjJ2,Angel Love,6PrmdED3r6myOJO6nQ5X4A,Aeoliah,5toLOOEXR2cCMAvZQc3wH4,578333,2000,0,0.162,0.0564,9,-21.976,0,0.038,0.968,0.971,0.107,0.0359,68.804,4gAy1vttJP6TzeTpR4HjJ2,4gAy1vttJP6TzeTpR4HjJ2
1hkdrA7DE17pj8fVglLs5U,Uno,3AGvwnXbUo9LoAU2P5qYHB,Deuter,0MHdsQOvdHqHyTQPNqnyoP,354973,2008,0,0.263,0.00504,6,-28.14,1,0.0347,0.985,0.965,0.112,0.0494,66.975,1hkdrA7DE17pj8fVglLs5U,1hkdrA7DE17pj8fVglLs5U
2drjvvxnEhyJmlokeZSvhr,Huit,3AGvwnXbUo9LoAU2P5qYHB,Deuter,0MHdsQOvdHqHyTQPNqnyoP,522013,2008,0,0.123,0.122,5,-25.422,1,0.0474,0.914,0.00334,0.272,0.0706,77.516,2drjvvxnEhyJmlokeZSvhr,2drjvvxnEhyJmlokeZSvhr
5yfnUEE8A0VQL7GDJvJI1x,Portal Of Transmutation & Purification,6PrmdED3r6myOJO6nQ5X4A,Aeoliah,1CULm6brWR1Nb7wxkp1w5G,469653,2008-10-02,0,0.0676,0.349,7,-20.795,0,0.0641,0.966,0.938,0.743,0.0399,60.076,5yfnUEE8A0VQL7GDJvJI1x,5yfnUEE8A0VQL7GDJvJI1x
