track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,album_id,album_name
2pAFgfaNVioQGhC0jhtcsG,Ipagpatawad Mo,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,5jzfPxlD5UD4Aw3cEnelcC,239333,2012-01-01,29,0.622,0.522,6,-9.099,0,0.0323,0.672,0.000184,0.102,0.375,139.938,5jzfPxlD5UD4Aw3cEnelcC,Tuloy Pa Rin
33pHgWjuAXvmE6Z9b51avt,Bakit Ba Ganyan,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,5jzfPxlD5UD4Aw3cEnelcC,312293,2012-01-01,25,0.579,0.292,11,-8.784,1,0.0298,0.86,0.00911,0.129,0.245,140.024,5jzfPxlD5UD4Aw3cEnelcC,Tuloy Pa Rin
3O7vNSKiSa5uWpaxjC4712,Pikit,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,5jzfPxlD5UD4Aw3cEnelcC,391080,2012-01-01,11,0.651,0.365,9,-8.716,1,0.0307,0.825,0.0181,0.11,0.151,140.09,5jzfPxlD5UD4Aw3cEnelcC,Tuloy Pa Rin
2PTQBDNpLnjix9Dsa33d8l,Tuloy Pa Rin,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,5jzfPxlD5UD4Aw3cEnelcC,236453,2012-01-01,42,0.8,0.536,7,-7.013,1,0.0359,0.721,0.00741,0.0928,0.724,110.1,5jzfPxlD5UD4Aw3cEnelcC,Tuloy Pa Rin
23kb0nomnO71oLqw7Okj3T,Magkasuyo Buong Gabi,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,5jzfPxlD5UD4Aw3cEnelcC,235226,2012-01-01,21,0.524,0.43,7,-8.917,1,0.053,0.847,0.00145,0.138,0.533,108.331,5jzfPxlD5UD4Aw3cEnelcC,Tuloy Pa Rin
5iiywmGbNU62D0QAKN9tdu,Nandito Ako,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,5jzfPxlD5UD4Aw3cEnelcC,270586,2012-01-01,23,0.647,0.0856,4,-19.046,1,0.0544,0.902,0.0066,0.107,0.421,139.906,5jzfPxlD5UD4Aw3cEnelcC,Tuloy Pa Rin
55KhQcERGBQbDb01bWMnJN,Sa Isip Ko,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,5jzfPxlD5UD4Aw3cEnelcC,215240,2012-01-01,20,0.597,0.38,0,-9.845,1,0.0298,0.594,0.0729,0.133,0.419,171.861,5jzfPxlD5UD4Aw3cEnelcC,Tuloy Pa Rin
3VDmXFIt9fxymAe1WPksD5,Kamakailan Lang,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,5jzfPxlD5UD4Aw3cEnelcC,317293,2012-01-01,11,0.641,0.558,9,-6.539,1,0.0337,0.776,0.00694,0.0556,0.72,145.874,5jzfPxlD5UD4Aw3cEnelcC,Tuloy Pa Rin
7czG9HV8a9oTjzoXqfos8Q,Sana Dalawa Ang Puso Ko,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,5jzfPxlD5UD4Aw3cEnelcC,287546,2012-01-01,19,0.687,0.455,2,-8.18,1,0.0264,0.673,0.000175,0.532,0.229,130.196,5jzfPxlD5UD4Aw3cEnelcC,Tuloy Pa Rin
5U2YOPnIrggKoelaNJVLkj,Miss Kita,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,5jzfPxlD5UD4Aw3cEnelcC,295626,2012-01-01,9,0.588,0.619,1,-6.5,1,0.0737,0.69,0.000269,0.316,0.631,169.919,5jzfPxlD5UD4Aw3cEnelcC,Tuloy Pa Rin
38yZBKFHK1OgXg7VXu7olm,Basta't Kasama Kita,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,5jzfPxlD5UD4Aw3cEnelcC,255040,2012-01-01,29,0.455,0.281,3,-9.234,1,0.0397,0.889,0.00118,0.148,0.329,133.939,5jzfPxlD5UD4Aw3cEnelcC,Tuloy Pa Rin
7JIGvuVUQEzaWdDQglFP0S,Bukas Na Lang Kita Mamahalin,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,5jzfPxlD5UD4Aw3cEnelcC,254986,2012-01-01,21,0.575,0.203,9,-11.202,1,0.0374,0.909,0.0159,0.102,0.156,75.028,5jzfPxlD5UD4Aw3cEnelcC,Tuloy Pa Rin
67ZqWdi9kwy4HYu9eZxUL2,Ipagpatawad Mo - Instrumental,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,4oif6qMFEOF3E6uf0bvDOV,238720,2012-01-01,7,0.669,0.463,6,-10.314,0,0.0295,0.614,0.53,0.098,0.278,140.049,4oif6qMFEOF3E6uf0bvDOV,Tuloy Pa Rin (Minus One Versions)
4ZMDclBXG6YxikZnJb4FLI,Bakit Ba Ganyan - Instrumental,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,4oif6qMFEOF3E6uf0bvDOV,312520,2012-01-01,4,0.686,0.276,11,-10.305,1,0.03,0.865,0.765,0.119,0.147,139.986,4oif6qMFEOF3E6uf0bvDOV,Tuloy Pa Rin (Minus One Versions)
0Wno1Q4pJxHHp0rzIeRS0F,Pikit - Instrumental,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,4oif6qMFEOF3E6uf0bvDOV,392880,2012-01-01,1,0.656,0.345,9,-9.965,1,0.0331,0.831,0.568,0.121,0.0833,140.003,4oif6qMFEOF3E6uf0bvDOV,Tuloy Pa Rin (Minus One Versions)
4zDoXmzC2qDpb3TVFTnpYJ,Tuloy Pa Rin - Instrumental,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,4oif6qMFEOF3E6uf0bvDOV,236333,2012-01-01,3,0.785,0.533,7,-7.372,1,0.0434,0.599,0.82,0.101,0.339,110.02,4oif6qMFEOF3E6uf0bvDOV,Tuloy Pa Rin (Minus One Versions)
7kgfVTeVMwm4jveNR3PDde,Magkasuyo Buong Gabi - Instrumental,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,4oif6qMFEOF3E6uf0bvDOV,237053,2012-01-01,5,0.68,0.36,7,-11.797,1,0.0374,0.804,0.79,0.143,0.374,150.03,4oif6qMFEOF3E6uf0bvDOV,Tuloy Pa Rin (Minus One Versions)
1wPUfVXrpVjPa8b91KwLAC,Nandito Ako - Instrumental,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,4oif6qMFEOF3E6uf0bvDOV,269586,2012-01-01,4,0.684,0.0948,1,-19.83,0,0.0759,0.899,0.789,0.107,0.218,139.892,4oif6qMFEOF3E6uf0bvDOV,Tuloy Pa Rin (Minus One Versions)
5Keg4HiBjG3LZBtwkxUOed,Sa Isip Ko - Instrumental,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,4oif6qMFEOF3E6uf0bvDOV,215213,2012-01-01,1,0.615,0.341,0,-11.684,1,0.0339,0.282,0.854,0.179,0.45,171.937,4oif6qMFEOF3E6uf0bvDOV,Tuloy Pa Rin (Minus One Versions)
