playlist_id,playlist_name,playlist_total_tracks,owner_id,owner_name,total_followers
37i9dQZF1DX4olOMiqFeqU,OPM Favorites,50,spotify,Spotify,2037971
37i9dQZF1DX7Jerj8LqApV,OPM Says Chillax,40,spotify,Spotify,1180015
37i9dQZF1DWXwcRDYKpcpF,Acoustically OPM,40,spotify,Spotify,580039
37i9dQZF1DWT4GbvSrNWS6,OPM: Hits of the '00s,40,spotify,Spotify,244295
37i9dQZF1DXbuvqGDV5qgQ,Women of OPM,70,spotify,Spotify,184074
37i9dQZF1DX53n2vsU9kOm,OPM: Hits of the '90s,36,spotify,Spotify,167017
37i9dQZF1DWZKNkQDWII13,Men of OPM,60,spotify,Spotify,156553
37i9dQZF1DWZaQnTjRLBcl,OPM Workday Marathon,140,spotify,Spotify,147218
46o3Vj0mHd9N6MAwOgTm03,OPM Bands 90’s - 00's,350,12141413785,Jerome Afable,145855
37i9dQZF1DWXjlWxUbm84A,Top OPM Artists of 2018,30,spotify,Spotify,136486
37i9dQZF1DX6i41Du3v1cr,OPM: Hits of the '80s,40,spotify,Spotify,98387
37i9dQZF1DWSVQreDCvFMf,OPM Rising,70,spotify,Spotify,58966
5vwEkzy091ZXNLD3eyavbt,Tunog Kalye / Pinoy Rock OPM Bands 90's,167,12143979903,Nivek Z Zeuqracne,50441
61XRCEsdpJJ8QH8XTbY8nN,OPM Love Songs & Covers,91,12138211261,Allene Mei Ignacio,41688
42URGw4uEXPk0IcR8bC6Fi,OPM Chill Songs 2021 ☕,77,jyhra99st5nhex8kfo4um2dh7,buntala,39585
3JJbvzQIi3nVf4qGYpf31J,OPM 2021 Playlist,44,ug6j71o9sf6yb9uofxmnila42,Rise Music,27031
37i9dQZF1DX5k7rLBXjRX0,Top OPM Artists of 2019,30,spotify,Spotify,24331
4lObtefEePTCH2st4AdriF,Pinoy Band Opm hits,118,artenian_enney,Artenian Mariano Casulla,24104
2Ryzf9BECIj0fVZJwelmov,OPM Songs 2021 - OPM Love Songs Tagalog Playlist 2021 (New Filipino Song),40,redmusiccompany,redmusiccompany,23674
6ssHgVFDNaWmXcvFJttFmW,Acoustic OPM,131,ren_x7,ren_x7,21726
0fY2Gburuvsk0iQtBc1oQC,OPM Classics,267,nry46oytz4vw2zi1s1xwj7j9y,Ryan Kenneth,20995
4jneV6JimNjTUqfr2XSGlV,Greatest OPM Lovesong ,296,kikopareja,kikopareja,20390
3LNqOl5rIF1zfO8NAhswjq,OPM LOVE SONGS,93,1236257428,Gian Borbon,17825
1RatVZEeiZzC7P785mVeWS,OPM 2000s(Batang 90s),150,lezliemalagu,Lezlie Joy Macapagal,17171
3aH7JVuR39qMBzIzkgLzeR,OPM Hits 2020 to 2021,272,r98ont7i3ip7z4dl1hllheog5,Ethan Jan Andino,17165
6VgO7TCchZrvOS6kWGdOii,Filipino Love Songs ❣️ 🇵🇭  | OPM,112,oy13j90x9sykocejpxq5l84f1,WE:CARE,14399
2PlkKyfu8pFrNLErOSXN6e,OPM HUGOT SONG 2021,64,21wkmdi2b7l4nfjizkfyiotly,Albert DC,14250
2SHK6wnQVOC2rjDC4vBbOU,90's OPM bands,27,12143376112,Denz Domingo,13245
1a0D55h97nBbMjPsHvdIqB,"TUNOG KALYE (90""S OPM BANDS)",96,zj_toshiro,zj_toshiro,12797
2JuzTWBCTQW37Kf2eg5ETZ,Chocolate Factory & OPM reggae,27,21ozn4dbksdqeepd4ennm4xoi,Mark Anthony Toremotcha Alvarez,11382
14mF3i7gZxCE165ufk0JQf,Broken Hearted OPM Songs 2021 💔,59,jyhra99st5nhex8kfo4um2dh7,buntala,8719
