playlist_id,playlist_name,playlist_total_tracks,owner_id,owner_name,total_followers
37i9dQZF1DX0iFfuXuP4Pm,Tatak Pinoy,60,spotify,Spotify,1305628
37i9dQZF1DWYDQ8wBxd7xt,Pinoy Classic Rock,63,spotify,Spotify,467554
37i9dQZF1DX1BlWKDM98c2,Pinoy Party,40,spotify,Spotify,418932
37i9dQZF1DWSjwScXt3ScZ,Pinoy Love Ballads,61,spotify,Spotify,354668
37i9dQZF1DX7JQSRbPlmZT,Pinoy Covers,72,spotify,Spotify,239047
37i9dQZF1DWU0rV6Im72pA,Paskong Pinoy,94,spotify,Spotify,234651
37i9dQZF1DXcfJb5A3855D,Pinoy Karaoke Hits,50,spotify,Spotify,209056
37i9dQZF1DWZpPC3clG38j,Pinoy Reggae,31,spotify,Spotify,201289
37i9dQZF1DWT1KGzDW6y8x,Pinoy Alt Rock,86,spotify,Spotify,155601
37i9dQZF1DX9GXluf5qKxo,Pinoy Rakrakan!,51,spotify,Spotify,148074
37i9dQZF1DX6oLdwrroY56,Pinoy Indie Mix,75,spotify,Spotify,132962
5vwEkzy091ZXNLD3eyavbt,Tunog Kalye / Pinoy Rock OPM Bands 90's,167,12143979903,Nivek Z Zeuqracne,50502
4lObtefEePTCH2st4AdriF,Pinoy Band Opm hits,118,artenian_enney,Artenian Mariano Casulla,24149
7LMIiIo6Lmyb2NpgivrzBY,PINOY RAP 2020,192,12144462149,Jake Montibon,23293
5QGdmXrLsLHhHK5LOAmmft,Pinoy Rock 90's - 2000's,237,allenryanb.jose,Allen Ryan Jose,11133
1yqb4DSkbCbHG2jynhlEVb,PINOY HITS 2021,92,server4444,Spotify,10439
30hbGXFiw5VHLvLU4eEWbH,Pinoy Bands 90s-00s,57,12164446300,LJ Timario,6101
4lenE5ioOSXP3v0btnWyFn,Pinoy/inuman playlist🇵🇭🍻,213,223qdhhvmjwbtsb2utmqqjk6q,Robert John Dela Cruz,5859
37i9dQZF1DXe4km52zNT5r,Tatak Pinoy Presents... Best OPM Songs of 2020,20,spotify,Spotify,5813
7qdNa0n7Kf31vfFor2gmdz,PINOY HITS SONGS 🔥🎶🔊🇵🇭,174,farahqui,farahqui,5216
37JzH6SGqp76cKrcbVtadj,Pinoy Reggae 2021🚦,42,jyhra99st5nhex8kfo4um2dh7,buntala,4049
6ZCxh3XHVZMfKgh3OiNmtI,Pinoy Rap 2021 👑,107,jyhra99st5nhex8kfo4um2dh7,buntala,4012
1vD43LAlBxvTxvJCvZWNMY,90s OPM Pinoy Love Songs,88,31mza2blzkqqrhfqrmna2hhpuneu,Ang,3960
1DPCU9lRJLtFTScSm9TgXw,Pinoy Hugot Songs 2021 😭,73,jyhra99st5nhex8kfo4um2dh7,buntala,3884
0l3xByPNbH4OWKohjLe7Cb,Pinoy Love Songs 2021 ❤,83,jyhra99st5nhex8kfo4um2dh7,buntala,3818
2jVqJrnTWKip0SK3O6faEQ,Pinoy hip-hop 2020,69,9yrue8g51rtoetksu46jwem1r,Goobs,3356
1L6evwRHb8t2nchAPMu3CK,Pinoy acoustics and Senti OPM,85,12151339542,Ellomer Entia,2230
0NQzmzEzUwA5WrKJGr1bhf,Pinoy Bands 2000s,170,lucikevin29,Kevin Luci,2126
1y9aFeoDsM894fwWm83dd0,Pinoy Cover Songs 2021 🌺,85,jyhra99st5nhex8kfo4um2dh7,buntala,2029
0vL9sKwxVa3OKe8Wkvfzwo,Pinoy Pop Hits 2021 🌟,85,jyhra99st5nhex8kfo4um2dh7,buntala,1918
7k9PaZO3HthSwuKLA7cFop,Pinoy Rnb 2021 💜,57,jyhra99st5nhex8kfo4um2dh7,buntala,1773
3puEaZ8HmeNn2koGNzDFFW,Pinoy Dance Hits 2021 💃,40,jyhra99st5nhex8kfo4um2dh7,buntala,1535
6LOzT3OmXk4UYQkWLXss3I,Pinoy 80's/90's Disco hits,121,12137391090,Rye Bet,1445
4T9omq1SYZlxb4OCWQaf3b,90s PINOY Alternative,149,rsarrojo.milikhaya,rsarrojo.milikhaya,1407
5NZNu9WiGs3v1Vcq1gOnwf,ZUMBA Pinoy PlayList,21,22ojs3bx4uzrszn74nuukxhii,Beverlyn Almario Alquiros,1227
54AnWifFJbMOeFhqUdm9Xw,Pinoy alternative/rock /90's/2000s,53,12167396932,MaryZxshel Lector,1166
2hPLwE5kuawyCxKdCKktdJ,Pinoy Rap 90's-20's,129,8g8vs69qhr6uzwxdqxutp8nmq,GMG,1117
