track_id,name,popularity,duration_ms,artist_id,artist_name,num_artists,playlist_id,playlist_name
7bUvgvAf0tdQIty95lV5wf,Dance With You,75,244321,"['117XFtbZPnCI1EYKjYZWJc', '5xOvrnVpLjzfGi69GDlzQY']","['Skusta Clee', 'Yuridope']",2,37i9dQZF1DX0iFfuXuP4Pm,Tatak Pinoy
3ZoHHYydoQNWIKdP59knYA,Pajama Party,66,323476,"['1HkpK55jsORzgtOURbOeQH', '1kBeFZ3qUQxTi2H3OuECQQ', '1TiPIraQUT2F6712xJzKa4', '628sA5Y2q5paSlR7UeH8gq', '7ewhl7cUjURt6UhWMWvJBk', '2jquEtQTt24egI9P6t2MLD']","['1096Gang', 'Guddhist', 'youngwise', 'Polo Pi', 'Ghetto Gecko', 'Luci J']",6,37i9dQZF1DX0iFfuXuP4Pm,Tatak Pinoy
3us3yACYidjyZwm9to0czY,Magandang Dilag,64,237818,"['2JyNzzFJh2wkkZo7ZjMSs2', '0rx2UZbWDlT7ODEHARgi1L']","['JM Bales', 'KVN']",2,37i9dQZF1DX0iFfuXuP4Pm,Tatak Pinoy
5X0rdNMk9xtQ5dNVMfZA6x,Sana'y Di Nalang,62,339184,4slXciON4jYY6mqE9LjSFx,Bandang Lapis,1,37i9dQZF1DX0iFfuXuP4Pm,Tatak Pinoy
6ARo0nru7gskXfzZJI5Zom,Much Better - Remix,57,198530,"['0xyijUZwKlIH8yjj0OuDf6', '1fvuMnq0pDbG66sDbjiSLV', '39qldDKGoK9dUxw2M0EEYc']","['Zo zo', 'Skusta Clee', 'Adda Cstr']",3,37i9dQZF1DX0iFfuXuP4Pm,Tatak Pinoy
3o2i5lJIHshmbL62vSzVMv,Nararahuyo,61,156923,"['1SrWbIDP84JcSDr0oTBAQw', '5IBvcnaqYrSaeyM0q6sHuf']","['Matthaios', 'Dudut']",2,37i9dQZF1DX0iFfuXuP4Pm,Tatak Pinoy
3a22L5P9cix1HFNzjb3SpB,Sulyap,68,255530,"['3r0NbTTxtCBUyxcIR4prXr', '0TlpoVBa03V0XNXBq7Gjrh', '1BRWy7wxFVAwIgkKSKv3mg']","['Jr Crown', 'Thome', 'Chris Line']",3,37i9dQZF1DX0iFfuXuP4Pm,Tatak Pinoy
1vU8NkZL8tVfPHDYNhuVbu,Pangalawang Bitaw,55,260000,1YlibpAvhJBbMZMBwN1KGv,The Juans,1,37i9dQZF1DX0iFfuXuP4Pm,Tatak Pinoy
4Rw1o8Wnfqp6EEdulIZmqm,Crush,58,323567,0WleeEe3UurwlNbDGhb5Yz,ALLMO$T,1,37i9dQZF1DX0iFfuXuP4Pm,Tatak Pinoy
5xd70ihEAM1UA1DnM8af2v,Nandito Lang Ako,64,303442,"['117XFtbZPnCI1EYKjYZWJc', '0uD1WQbTE0pNDiJe0iGEaU', '4uTrcSQy4Mln47xoNTTaYh', '1AUXkzvFyZ10nzrpb9kDg4', '5MfvrLwRcs98YwS3C9Uf1u', '3PDFGpPl4ienSn5Vwisfrh', '5p2PcSTLcpEYenYp1kDgv8']","['Skusta Clee', 'Jnske', 'Leslie', 'Honcho', 'Bullet D', 'Flow G', 'Flip-D']",7,37i9dQZF1DX0iFfuXuP4Pm,Tatak Pinoy
