track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name
7bUvgvAf0tdQIty95lV5wf,Dance With You,117XFtbZPnCI1EYKjYZWJc,Skusta Clee,3SIGbTYOaRM0UHA64nUtgE,244321,2020-11-19,75,0.771,0.629,8,-7.1,1,0.0833,0.0375,0.0,0.108,0.552,116.0,7bUvgvAf0tdQIty95lV5wf,7bUvgvAf0tdQIty95lV5wf
3ZoHHYydoQNWIKdP59knYA,Pajama Party,1HkpK55jsORzgtOURbOeQH,1096Gang,6bTUbqEPiSNLbOLTSmKGDP,323476,2021-01-09,66,0.752,0.607,11,-9.236,1,0.123,0.091,0.0,0.25,0.765,88.021,3ZoHHYydoQNWIKdP59knYA,3ZoHHYydoQNWIKdP59knYA
3us3yACYidjyZwm9to0czY,Magandang Dilag,2JyNzzFJh2wkkZo7ZjMSs2,JM Bales,7cqjb3DH3G3aLe7VEIuUkQ,237818,2020-11-20,64,0.898,0.458,6,-12.568,0,0.0463,0.07,0.0,0.387,0.748,110.014,3us3yACYidjyZwm9to0czY,3us3yACYidjyZwm9to0czY
5X0rdNMk9xtQ5dNVMfZA6x,Sana'y Di Nalang,4slXciON4jYY6mqE9LjSFx,Bandang Lapis,61D2BnO52eYRaTc8E3nina,339184,2020-03-06,62,0.246,0.516,7,-8.133,1,0.0353,0.492,0.0,0.108,0.232,61.256,5X0rdNMk9xtQ5dNVMfZA6x,5X0rdNMk9xtQ5dNVMfZA6x
6ARo0nru7gskXfzZJI5Zom,Much Better - Remix,0xyijUZwKlIH8yjj0OuDf6,Zo zo,7fQyHrLFFF7k75I4mkmBoS,198530,2020-12-24,57,0.682,0.776,1,-4.783,1,0.0541,0.0234,0.0,0.193,0.774,130.016,6ARo0nru7gskXfzZJI5Zom,6ARo0nru7gskXfzZJI5Zom
3o2i5lJIHshmbL62vSzVMv,Nararahuyo,1SrWbIDP84JcSDr0oTBAQw,Matthaios,0rwZF21j5rI8VUpaYa9h9d,156923,2020-10-07,61,0.524,0.331,4,-11.344,1,0.326,0.622,0.0,0.141,0.407,86.872,3o2i5lJIHshmbL62vSzVMv,3o2i5lJIHshmbL62vSzVMv
3a22L5P9cix1HFNzjb3SpB,Sulyap,3r0NbTTxtCBUyxcIR4prXr,Jr Crown,651Y3kzsh0EK5I8iKLpGdJ,255530,2020-07-13,68,0.823,0.527,0,-10.771,1,0.091,0.455,0.0,0.0796,0.947,145.966,3a22L5P9cix1HFNzjb3SpB,3a22L5P9cix1HFNzjb3SpB
1vU8NkZL8tVfPHDYNhuVbu,Pangalawang Bitaw,1YlibpAvhJBbMZMBwN1KGv,The Juans,0qHMgdku6xFIEKiR0dLg00,260000,2020-11-13,55,0.546,0.364,11,-10.703,1,0.0259,0.609,0.0133,0.153,0.3,87.989,1vU8NkZL8tVfPHDYNhuVbu,1vU8NkZL8tVfPHDYNhuVbu
4Rw1o8Wnfqp6EEdulIZmqm,Crush,0WleeEe3UurwlNbDGhb5Yz,ALLMO$T,1L6KfjYAfPwsJOUs3rX2zK,323567,2020-11-09,58,0.707,0.637,5,-8.721,0,0.0496,0.0839,9.2e-06,0.193,0.435,94.006,4Rw1o8Wnfqp6EEdulIZmqm,4Rw1o8Wnfqp6EEdulIZmqm
5xd70ihEAM1UA1DnM8af2v,Nandito Lang Ako,117XFtbZPnCI1EYKjYZWJc,Skusta Clee,1bT0QNeT7fKtPCokTIXsR9,303442,2020-09-27,64,0.738,0.51,10,-9.119,1,0.0826,0.242,0.0,0.101,0.286,94.491,5xd70ihEAM1UA1DnM8af2v,5xd70ihEAM1UA1DnM8af2v
1mXxolyhAm7eP91K48L57k,Samahan Mo Ako,1NIQyQhhLxI07lSrY00HVB,Je,3cQnZJpy16sCjo52KUiEDL,212976,2021-01-07,54,0.663,0.442,5,-12.106,1,0.0874,0.477,2.51e-06,0.179,0.649,79.973,1mXxolyhAm7eP91K48L57k,1mXxolyhAm7eP91K48L57k
