playlist_id,playlist_name,playlist_total_tracks,owner_id,owner_name,total_followers
37i9dQZF1DWYmmr74INQlb,I Love My '00s R&B,40,spotify,Spotify,3347050
37i9dQZF1DX6VDO8a6cQME,I Love My '90s R&B,45,spotify,Spotify,2488608
37i9dQZF1DX2UgsUIg75Vg,Chilled R&B,50,spotify,Spotify,2071425
37i9dQZF1DWSfMe9z89s9B,Alternative R&B,100,spotify,Spotify,960026
37i9dQZF1DXbirtHQBuwCo,TrenChill K-R&B,70,spotify,Spotify,536989
37i9dQZF1DX2WkIBRaChxW,R&B Right Now,55,spotify,Spotify,331871
36scvoM0cRA50MCZGhv3wo,R&B Party Classics,134,sonymusicentertainment,Filtr Sweden,314018
37i9dQZF1DXch2nNxu927l,Suprême R&B,50,spotify,Spotify,275970
37i9dQZF1DWXbttAJcbphz,I Love My '10s R&B,50,spotify,Spotify,238843
37i9dQZF1DX7J2y2eWxEnR,R&B Connect,60,spotify,Spotify,169425
37i9dQZF1DX7FY5ma9162x,R&B Favourites,100,spotify,Spotify,117781
37i9dQZF1DX942d1NzGgzk,R&B UK,60,spotify,Spotify,96236
37i9dQZF1DX6GYkg76TRV8,R&B Feels,60,spotify,Spotify,94424
37i9dQZF1DX04mASjTsvf0,R&B Classics,100,spotify,Spotify,64736
37i9dQZF1DX2LoIIQLAhdb,R&Bae,40,spotify,Spotify,54401
1Os7m597ihMJ4xTohCkZIz,R&B Hits 2021,153,savz8vts72hqdy7von3mqc29g,Esydia,32922
37i9dQZF1DX3ORvAIr1RbU,Hip Hop + R&B FM,100,spotify,Spotify,32235
4jCtgTbM8IfhB551206q6P,2000 R&B Hits,221,12155088627,12155088627,32105
1Te7qxGGp1zlWng9qWCx4J,R&B 2000's mix,282,saloni44,saloni44,27026
37i9dQZF1DXdSavJjIP6Fb,Bollywood R&B,39,spotify,Spotify,25400
1UQxILdfMFpi4kWrqAw1ux,R&B 2000s Greatest hits,303,spotifylorentsen,Lars-Erik Lorentsen,15189
2RSibZjck56m22fzsZPDQc,R&B & Hip Hop 2000-2010,469,lemavi27,@2LMV7,14321
1fb2kUcysJ6BvfFYbUPJ3h,R&B love songs 1990-2020,243,jr8cdrlna5kjb6s7v36gna8sx,Munoz.luis,11075
4ZVlrmh3k3Q9N1bW0m6Kkz,"2000s R&B, Hiphop and Pop Hits",150,empty022,Leo Lobaton,9614
52rM6t6MUzA5lzPy0ljwtY,R&B Grind: Jazmine Sullivan Takeover,251,playstation_music,PlayStation™️ Music,4917
4jQ6XB3f0NBtak8FxjiJI3,R&B Playlist 2021 - Today’s TOP R&B Hits (New RnB Songs Playlist),42,redmusiccompany,redmusiccompany,3925
7gVRP4rL1Yox8ID09ROvjN,"⭐""R&B""",20,vn99t75a9wcj231czkzl1ozrn,청각예술,3819
0DHxjwbLM78QOi7oWGZDNe,R&B HITS ,73,a2u4b8fhx8me9lix6qldxz5ns,Artekal,3717
4DOHnNFzpeE0dBVSpNFBCQ,R&B/Slow Jams 90's/00's,252,bingwings,bingwings,3205
3SsPWyQnAh1ccWEXZPYaCY,R&B 2021 - Best R&B Songs Playlist (RNB Music 2021),62,redmusiccompany,redmusiccompany,3024
37i9dQZF1DWZuIX5Q3yUjF,anima R&B,50,spotify,Spotify,2006
6VzQB7ZZQFwIss2xaL7gC5,r&b/soul/acosutic songs from international Filipino artists,31,z9jnead90ofw0ty4iw8111dpr,binibining yena,681
3LHwHEDemGnIB7WL3pVnZS,R&B JAZZ,31,trpu1r3ty5al76crfz7o2m358,Dwig,590
2pHasUOcjBYJXuQqcBCsvL,R&B RUNNING TRACKS,122,nb0kigg7evki8x2nxlhcaizsl,Melbourne Runners,84
7ch6Xa2o4W2iu8EaS3gChU,R&B 2000,62,21ul77rdac4g4elnu6fc3urfy,Tiffany,55
5S8jN5MGk5hlalunR1YrwS,"R&B Shit  – J.I the Prince of N.Y, A Boogie wit da Hoodie",50,r59qyuhdemlmr25xvygbwj6io,New Albums,41
