track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name
0JC3ynTNoZaWjZHXzeapYy,Into You (feat. Fabolous),0le01dl1WllSHhjEXRl4in,Tamia,0WdxQHUdLZBGbscwYV72zM,294093,2004,55,0.677,0.531,7,-7.683,0,0.0327,0.219,0.0,0.173,0.57,91.104,37i9dQZF1DWYmmr74INQlb,I Love My '00s R&B
2RqZFOLOnzVmHUX7ZMcaES,Let It Go,1vfezMIyCr4XUdYRaKIKi3,Keyshia Cole,7mdy09EO4q6F9VWBtXDDjK,238333,2007-01-01,67,0.806,0.721,10,-5.167,0,0.215,0.197,0.0,0.209,0.781,94.967,37i9dQZF1DWYmmr74INQlb,I Love My '00s R&B
3LmvfNUQtglbTrydsdIqFU,We Belong Together,4iHNK0tOyZPYnBU7nGAgpQ,Mariah Carey,43iBTEWECK7hSnE0p6GgNo,201400,2005-01-01,68,0.837,0.462,0,-7.89,1,0.0601,0.0339,0.0,0.09,0.762,139.986,37i9dQZF1DWYmmr74INQlb,I Love My '00s R&B
4iuNZTcvT9diFySSzVsnVS,When I See U,7xAcVHPiirnUqfdqo0USb1,Fantasia,42DybH3gl3WcfXAQySOEiX,217346,2006-12-09,68,0.569,0.596,8,-6.486,1,0.171,0.457,8.99e-05,0.205,0.757,93.134,37i9dQZF1DWYmmr74INQlb,I Love My '00s R&B
3ibKnFDaa3GhpPGlOUj7ff,Let Me Love You,20s0P9QLxGqKuCsGwFsp7w,Mario,7EXstuWka51pNFzEAidEol,256733,2004-09-21,74,0.656,0.578,7,-8.97,0,0.0922,0.235,0.0,0.118,0.556,94.514,37i9dQZF1DWYmmr74INQlb,I Love My '00s R&B
1zpu1PZ8ecmcX525Z3X8cl,Yo (Excuse Me Miss),7bXgB6jMjp9ATFy66eO08Z,Chris Brown,2gRm1k9fVkhTfZDHvBI2sR,229040,2005-11-29,0,0.605,0.633,1,-5.899,0,0.251,0.119,0.0,0.225,0.592,87.26,37i9dQZF1DWYmmr74INQlb,I Love My '00s R&B
6XsT5UGfpaFeHQf5LRIy4W,"Me, Myself and I",6vWDO969PvNqNYHIOW5v0m,Beyoncé,6oxVabMIqCMJRYN1GqR3Vf,301133,2003-06-24,63,0.75,0.458,1,-9.092,1,0.0803,0.226,3.25e-05,0.137,0.536,83.61,37i9dQZF1DWYmmr74INQlb,I Love My '00s R&B
0W4NhJhcqKCqEP2GIpDCDq,Love,1vfezMIyCr4XUdYRaKIKi3,Keyshia Cole,4zEAsP0RIfbGARdtsgAaUV,255333,2005-01-01,73,0.688,0.519,5,-4.285,1,0.0283,0.064,0.0,0.1,0.318,116.714,37i9dQZF1DWYmmr74INQlb,I Love My '00s R&B
0Uyh92tLyb9JawG8lmWCzJ,Differences,7r8RF1tN2A4CiGEplkp1oP,Ginuwine,5IZeegMeRHlyKE6LKrVuYt,265533,2001-04-03,67,0.562,0.594,3,-4.578,0,0.0558,0.318,0.0,0.311,0.423,62.876,37i9dQZF1DWYmmr74INQlb,I Love My '00s R&B
2YegxR5As7BeQuVp2U6pek,Be Without You - Kendu Mix,1XkoF8ryArs86LZvFOkbyr,Mary J. Blige,5cnNuunPepqlcT0VoFdLOh,246333,2005-01-01,61,0.724,0.705,2,-5.859,0,0.112,0.067,0.0,0.262,0.662,146.589,37i9dQZF1DWYmmr74INQlb,I Love My '00s R&B
