playlist_id,playlist_name,playlist_total_tracks,owner_id,owner_name,total_followers
5HkDj73uvbHNVyIuOrwLnK,Tagalog Love Songs,211,12154529246,Angelique Claire,68475
2jqVgkjhQz3y63W5cJMpvu,New OPM Love Songs 2021 - Tagalog Music Playlist,40,redmusiccompany,redmusiccompany,18339
4PPzZNjqcxwn28hJ3TUyxA,reggae tagalog🍻,37,vargasmicko,Micko Vargas,17087
1W3VYl4ZcOcOOeCly3mg0C,Tagalog' OPM Hits.....,39,22d3yzvl3ja6et2kupmaa3lra,Tolrahc Allertse,12781
62mNggxlpwgKQllIOXSPTf,Wedding Songs (English & Tagalog mix),48,7uykt825kdgqomp8t495dx10l,Kirby A.,10774
5fL4PLgv1dwgAM5ohdriPw,TAGALOG WORSHIP SONGS,106,11179771154,She Capio,10088
2p1857Jj9LUH6Msj8HocrP,Tagalog Senti Songs 2021 💔,59,jyhra99st5nhex8kfo4um2dh7,buntala,8599
6Mi66iWTGNguHAx6wa3aup,Tiktok dance Challenge (tagalog/english),32,31ndq3icvrsfnnlnql5havbsacvm,Judith Abulencia,5763
6INprhE5Xs56G9aVl3Y3Pf,OPM TAGALOG LOVE SONGS 80's and 90's,87,babah12,Dareil Galing,5638
6iROidPX3LdT1YB1SIgoSY,Tagalog-Christian Songs,94,macarmelagalvez,macarmelagalvez,5337
0UmMzO43OZLn627yOeQaji,Tagalog lovesongs 90's,27,cristinyen,cristinyen,5328
2aWfLWI6ft6RRbyYumFqTm,OPM 70's 80's Tagalog,496,jake_fernandez,jake_fernandez,5289
0G9Vg6nb2ykfwWk1YF5FDO,TAGALOG 2020,38,ziz96rfdn2boysd9dzem5wxxd,Tin,5173
2JTFAQCvlLarbqQM6nJU0O,Broken hearted OPM Tagalog,199,u5dmme6g3v74e7tjp7zbzf0k4,WardraX,4948
10EXMyGI1rRd7aImFAISNN,Catholic Mass Songs Tagalog,57,22p37mhhjck24fw6r5nfdayda,Vher Villasurda,4050
6ELuJAEYVObhRRk44UjI0c,❤️TIKTOK TAGALOG PLAYLIST💝,21,32oiar27bjg6xuzagjjcin7sf,32oiar27bjg6xuzagjjcin7sf,3897
6QNwlqeb1kdufNFURcNaVC,TAGALOG PAPURI SONGS ,108,222hemog5kht4ncmhena75xwi,Claudine Romero,3802
7eLtL8SjOgM7Z8E8WgHaS9,Tagalog Rap 2020,23,12153060743,Plenx Quinto,3145
58CwOpojBQvfbswhNkAzqr,Tagalog OPM Best 90's/2000's hits,99,w36kwedvld0xj40kfgicgxm51,Sam20amamenze@gmail.com,2982
0Amc9TDauBE7LzsLM5mzmZ,rap tagalog 2019,18,ruby.eoy,ruby.eoy,2912
7L0hBBSyMrQlG38OZvTmnI,Old Opm songs tagalog,144,21jowi4kjvkq4aeglfj7utysq,Yu Ki Ko,2844
0zEh6xS44yDdgSBviC3wtz,Tagalog old songs,56,22xpmq55twixrqii7o6uqdocy,Dirk Manalo Sabornido,2315
063OfIg8qkyXwQKTUUdJLo,WORSHIP - TAGALOG,47,22u6o62qqyjmmba52ahmvuzdi,Ber Ram,2196
2GPEAJNXH8pDffj2hAoKmv,Tagalog RAP/R&B,127,blud7027,B,2119
5byY4odoEhAJ3mCN4mveTp,Tagalog opm bands 2020,42,31uybtfdnnuu33ugdqrddpsmrd24,Eris Cruz,2106
3ZXNUGGuImFEYfAVJ50WMI,TAGALOG SONGS (OPM),38,bi58zjtn0tug88s8eabe4jdrc,jie,2099
0hlOIVH9MGeKtBnj0MseJ6,Tagalog church songs,187,jilllorenjuanatas,jilllorenjuanatas,2050
3EJATs4Ypi3cXjQFFRsHSL,Tagalog Rap Love songs,31,lnt_astih,Mark Cyron Buenviaje,1975
3AcEyTMXlfzRwD7BostRAz,Best Tagalog Praise & Worship,121,yr61zz93uvptpq96kpsq09i0y,Jezmyr,1849
4w16qpolmadIEl2zePIvRt,OPM Old Tagalog Love songs 💕,61,12147883863,Shane Capuso-Guno,1736
3XiIbE8vimEp9ueCgJULAm,Tagalog Sad Songs! 😢,85,12180007646,Lhęs Thęr,1535
2V7b735zXRT8fWG4j8UMw8,best tagalog love songs,40,catjo23,catjo23,1244
3KmL0bhoU4NPsVWilkz5mP,Tagalog Songs 70s & 80s,224,dansen09,dansen09,1199
3mssqdrkVBB3GMLlt2A3HA,Tagalog Chill Songs 2021 ⛺,76,jyhra99st5nhex8kfo4um2dh7,buntala,1021
2b6baABD1LeYnyDdu7dgWW,Sunday's Best Tagalog,60,gulams13,gulams13,1005
0rKH1hPSkwRKDNmakmr8Ic,Tagalog Opm lovesongs,62,96ethnarchy,96ethnarchy,949
4LnQvzNI3iwb8ZPGFzSlhW,tagalog love song remix,31,224wdyf3lnywncenwfh4wluea,Jhona Yrreverre,772
0z6DkXS1sELGH0Strx6H9N,"Tagalog- Aegis, Asin, Corita, Florante",38,1294139044,Antonio Falgui Dela Cruz,764
0rreCEJRQMyjW2Xp2GWJvc,Tagalog pampatulog love songs,18,a91fc6zebykjrce7jto30jji4,rene,753
3JDIEWsitih0Zxq1xA0Gtk,2020 Rap Songs Tagalog,125,22ewu7otduuuruwuixb7cljtq,Ellyza Dorado,736
1XMgsDQMBS84Sz6kIgDQg3,Tagalog Reggae - Top Tagalog Reggae Songs,96,12139096378,Braz Be,693
0N3knxLzANV83zeGodAwHS,NEW TAGALOG SONGS 2020-2021,161,kennyedra89,kennyedra89,666
1Q4uYvieuZTSYg3iAsBknx,Tagalog-Rock/OPM,98,mrckrdq5as4s0bu2zmggmazz3,Elaineyy,635
2owwN16P8AKJ7PJYRuIWWa,Victory Worship Tagalog 💜,16,jishikashi,Jess Manguerra,604
2TXfechvog664kWcB3Zous,Tagalog Rap/OPM 2020!,47,12180779935,Kent August Bergado,550
4YxeBa3bPJJKsQEmNFYVD3,JAYA (Tagalog Songs),32,12140102505,Remareden,472
6Dd5OhZlLaA4lVSwGREtzo,TAGALOG HILLSONG,37,pzicmnh37vm4q5xadzotmgvu4,DUNHILL,326
2WJLHYACj0ankkj8htpIaB,Tagalog broken songs 2020,18,82ebxelclu1jp40b85ziigdqe,Melany Dela Cruz,262
2VUZ8BUC42FKiWvIAbTjfv,Tagalog Songs 70's 80's 90's,452,12160905350,Junrey Berondo Ongcol,101
5JDRtmDcWpBZ730nqvzWmm,tagalog sad song 2020,10,e1c9zxspw922yb7wyckpqegkk,slaywithanna,96
7djgDa9nHvYP0jvWGCxDrL,Tagalog Love Songs 2020,22,xwic7leuos135mgf3pt4ys3xm,Alvin Alejano,67
