track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name
4y7x4K88Ba0GjOLkrtmcHi,Para Lang Sa'Yo,0GnuCXvnvVtX5DShryuyp9,Aiza Seguerra,5k7aWTsQLspOM6FgbtV4Xr,234560,2009-03-04,0,0.552,0.154,0,-13.662,1,0.0388,0.916,0.0,0.0845,0.352,143.671,4y7x4K88Ba0GjOLkrtmcHi,4y7x4K88Ba0GjOLkrtmcHi
5DdSN5U634K0bREQEbz6VI,Dati,2P3aLwJ41aRYkyFFw2FRM7,Sam Concepcion,4WBmtqpXR1uws9d2Sg6UrZ,240600,2013,48,0.601,0.644,8,-5.741,1,0.114,0.239,0.0,0.124,0.758,183.905,5DdSN5U634K0bREQEbz6VI,5DdSN5U634K0bREQEbz6VI
4VDEetWkMbgqVj3yiM7STJ,Ngiti,6GbCVaJ6iTA0OnZaOiDpl0,Ronnie Liang,0buexIfMQ2H9vaPUah6Eyx,208306,2008,29,0.579,0.454,1,-8.889,1,0.0266,0.412,0.0,0.133,0.398,77.977,4VDEetWkMbgqVj3yiM7STJ,4VDEetWkMbgqVj3yiM7STJ
4Cr5ZdbgntUlinyEfrFYIl,Lemonade - Ukulele Version,5Z8UTQtTYNu5o5FA66LFgv,Jeremy Passion,14Z8ZmmAMO73qSY7A1Sf31,181504,2011-12-13,0,0.546,0.221,2,-8.915,1,0.063,0.868,0.0,0.0994,0.593,128.144,4Cr5ZdbgntUlinyEfrFYIl,4Cr5ZdbgntUlinyEfrFYIl
2rS0ZXxD6bfsZyek1j6QQs,Chinito,0DnjaQqb436AH1idffI6CQ,Yeng Constantino,6xBKsMfvhpKZwn9AAeIdFk,226821,2013-01-14,0,0.846,0.675,1,-5.324,0,0.0385,0.197,0.00766,0.357,0.774,128.018,2rS0ZXxD6bfsZyek1j6QQs,2rS0ZXxD6bfsZyek1j6QQs
4I4BxfwjzXnybm6Nlmy3Sd,Gisingin Ang Puso,3sfqAkmtEsyMFqa9Q4KLI0,Liezel Garcia,2yCqMWsueIYfeHrGbvK24e,247356,2011-01-03,0,0.464,0.438,5,-7.208,1,0.0314,0.611,0.0,0.0923,0.17,150.025,4I4BxfwjzXnybm6Nlmy3Sd,4I4BxfwjzXnybm6Nlmy3Sd
5RSYFLaZYd8PUYDuLsKKHB,Pangarap Lang Kita,2XHTklRsNMOOQT56Zm3WS4,Parokya Ni Edgar,50RSaw1KJzLHbeOVcOFcFG,195573,2014-03-17,0,0.728,0.355,3,-9.711,1,0.0326,0.506,1.25e-05,0.115,0.373,118.037,5RSYFLaZYd8PUYDuLsKKHB,5RSYFLaZYd8PUYDuLsKKHB
0n7IgjDUih3y01LLzB4MpD,Harana,2XHTklRsNMOOQT56Zm3WS4,Parokya Ni Edgar,50RSaw1KJzLHbeOVcOFcFG,183093,2014-03-17,0,0.577,0.445,7,-9.181,1,0.0374,0.816,3.63e-05,0.0992,0.494,151.648,0n7IgjDUih3y01LLzB4MpD,0n7IgjDUih3y01LLzB4MpD
5aUka9BRLttl8onLqsYJlI,Choco Latte,2XHTklRsNMOOQT56Zm3WS4,Parokya Ni Edgar,0kV35wyXIJKk04VRG0DdF4,211973,2003,36,0.574,0.892,9,-4.996,1,0.0503,0.214,0.0,0.317,0.724,80.364,5aUka9BRLttl8onLqsYJlI,5aUka9BRLttl8onLqsYJlI
3V7Lou7Sqk3XQo2Hu5Yf3p,So Slow,0jarApAsbmiCkYhz0590mE,Freestyle,3pxrjpT6FoRmeKDKORu8S7,277933,2004-09-01,0,0.73,0.297,0,-10.495,1,0.0362,0.535,0.0,0.0819,0.451,106.16,3V7Lou7Sqk3XQo2Hu5Yf3p,3V7Lou7Sqk3XQo2Hu5Yf3p
2Xn4eCbACdPHD3QVcd7Zzr,'Di Lang Ikaw,4BNWanhw4AjSXjBm9L1Jzy,Juris,7bKZChZTaYM3R6AjbZqYGE,289201,2011-01-26,0,0.456,0.0823,6,-14.466,1,0.0425,0.959,3.7e-06,0.129,0.283,113.765,2Xn4eCbACdPHD3QVcd7Zzr,2Xn4eCbACdPHD3QVcd7Zzr
61jf9MgiThk48p5vouNRsd,Kahit Kailan,3z0IVhtuFvt9VYUZGT98PU,Jay R,1EB9ylqI3zbjiJSwX6YTey,320413,2010-02-20,30,0.553,0.351,8,-8.518,1,0.0255,0.759,0.0,0.113,0.176,109.859,61jf9MgiThk48p5vouNRsd,61jf9MgiThk48p5vouNRsd
2QEjgJ3Xh59twy2DKUZx7y,True,0dToYOYov3XigByESD9hcW,Arnee,4P3ojMMZPa9JhyLHvzlB1H,338253,2012,23,0.667,0.38,4,-8.732,1,0.0279,0.71,0.0,0.12,0.28,94.905,2QEjgJ3Xh59twy2DKUZx7y,2QEjgJ3Xh59twy2DKUZx7y
7k0wtsJzYwU4RtodDuDKPH,Simpleng Tao - original,7HJDRQAfEcFiARVehhM6qD,Gloc 9,3ljOyOPA3SvOeq3DI9VkOo,246600,2005-08-16,0,0.696,0.669,6,-6.593,1,0.0486,0.183,0.00991,0.0368,0.962,176.082,7k0wtsJzYwU4RtodDuDKPH,7k0wtsJzYwU4RtodDuDKPH
1iSN2EhZ6F8B5BoSCmVdF0,Till My Heartaches End,52Dft7jhdBlT0Mzp39Jvbk,DK Tijam,5itVyXWvPeSNQbZZ8Rj5bZ,265386,2003,0,0.61,0.387,11,-8.86,1,0.0292,0.451,0.0,0.235,0.159,133.839,1iSN2EhZ6F8B5BoSCmVdF0,1iSN2EhZ6F8B5BoSCmVdF0
7LHUeaY6tKDcrZSQJZRgKn,Gitara,2XHTklRsNMOOQT56Zm3WS4,Parokya Ni Edgar,50RSaw1KJzLHbeOVcOFcFG,243733,2014-03-17,0,0.767,0.291,7,-9.204,1,0.0341,0.871,9.53e-06,0.0946,0.624,113.46,7LHUeaY6tKDcrZSQJZRgKn,7LHUeaY6tKDcrZSQJZRgKn
5Z79hw8ShzgK0HExRiYIWZ,Paligoy-ligoy,17Do37U0HEbxu1tOrKH8dL,Nadine Lustre,1NX6WiuSINsEMhTs3YHCpf,198533,2014-03-26,0,0.766,0.793,5,-4.435,1,0.0274,0.0261,0.0,0.0368,0.925,98.008,5Z79hw8ShzgK0HExRiYIWZ,5Z79hw8ShzgK0HExRiYIWZ
3GSloVq0BZOAqiPNy64dtt,Litrato,4VkqlQl3hGhxjchI34xp2V,Thyro,2mi19rA5Sehpj8CAF1Wq0k,311640,2011-11-29,0,0.66,0.717,2,-4.956,1,0.0314,0.0874,0.0,0.307,0.502,125.007,3GSloVq0BZOAqiPNy64dtt,3GSloVq0BZOAqiPNy64dtt
2YM9HMnW0zcYVKrh3bVpDt,Sayang,2XHTklRsNMOOQT56Zm3WS4,Parokya Ni Edgar,29tJR2oXdGAFHMQkcgPUmn,180200,1997,47,0.547,0.626,9,-11.825,1,0.0509,0.444,0.00287,0.156,0.862,127.336,2YM9HMnW0zcYVKrh3bVpDt,2YM9HMnW0zcYVKrh3bVpDt
1RTcvQFSS9hTJC1wSoWpXm,Tambay,1tXFYQZSAswt4JLB42lpye,Sponge Cola,2PNW14mi4SjSOTG3TZEAlf,216000,2011,42,0.672,0.877,1,-4.566,1,0.0369,0.000671,0.0,0.307,0.795,136.93,1RTcvQFSS9hTJC1wSoWpXm,1RTcvQFSS9hTJC1wSoWpXm
5z3cGRnrOfnRPDb9R0ZbIC,Forevermore,4BNWanhw4AjSXjBm9L1Jzy,Juris,6qN7WcmIk2InzfPYVMFEp0,294716,2011-07-22,0,0.276,0.258,7,-10.434,1,0.041,0.898,0.0,0.155,0.3,74.698,5z3cGRnrOfnRPDb9R0ZbIC,5z3cGRnrOfnRPDb9R0ZbIC
7d2O0K8pZcnQ7GEwRgPY7y,Someday,7DW4ijH3n36QN0RlC0n649,Angeline Quinto,6brd7B5qnaxDDhogtz8Qwv,227892,2014-06-30,0,0.646,0.493,6,-7.314,1,0.0391,0.263,1.09e-06,0.125,0.187,126.139,7d2O0K8pZcnQ7GEwRgPY7y,7d2O0K8pZcnQ7GEwRgPY7y
486aIdnOmXE2chTId5LMAD,Selosa,1NOSCOKFdmNyek0IUT5R1G,Maldita,3h7N5QBlS3n5hJ5n4rGcNB,239880,2011-01-05,0,0.624,0.558,6,-5.578,1,0.034,0.116,0.000288,0.11,0.238,129.701,486aIdnOmXE2chTId5LMAD,486aIdnOmXE2chTId5LMAD
4wNYE08R3kV8wkU0nRACz5,Bakit?,1NOSCOKFdmNyek0IUT5R1G,Maldita,3h7N5QBlS3n5hJ5n4rGcNB,294066,2011-01-05,0,0.449,0.337,4,-5.137,1,0.0277,0.788,0.0,0.122,0.393,99.819,4wNYE08R3kV8wkU0nRACz5,4wNYE08R3kV8wkU0nRACz5
6GOAMiqZuXvJtixsSlbEKP,Porque - Chagalog Version,1NOSCOKFdmNyek0IUT5R1G,Maldita,3h7N5QBlS3n5hJ5n4rGcNB,295426,2011-01-05,0,0.378,0.318,4,-5.287,1,0.0322,0.739,0.0,0.12,0.495,199.314,6GOAMiqZuXvJtixsSlbEKP,6GOAMiqZuXvJtixsSlbEKP
2OedeVZkRGvGckwP19kvgx,Kailan,5elcNQkZ6FCZA3grSOMngY,MYMP,0tH9g6Q7va9BzCY2pAFygZ,277013,2005-05-09,47,0.522,0.285,6,-9.074,1,0.0392,0.845,0.0,0.136,0.494,204.708,2OedeVZkRGvGckwP19kvgx,2OedeVZkRGvGckwP19kvgx
6CiuHbascZBxfFqdixSXiW,Set You Free,5elcNQkZ6FCZA3grSOMngY,MYMP,4vZ9jbxJDvWVO18RUOCuUo,264573,2008-08-15,51,0.642,0.281,4,-11.478,1,0.0346,0.821,0.0,0.123,0.101,60.009,6CiuHbascZBxfFqdixSXiW,6CiuHbascZBxfFqdixSXiW
3RbVSvmF9F13J1dhB9F9PY,Just a Smile Away,5elcNQkZ6FCZA3grSOMngY,MYMP,6PDpFbKeyKYrnHwqq2BN2T,194466,2014-02-14,34,0.568,0.139,2,-12.628,1,0.0361,0.97,0.0,0.178,0.355,164.059,3RbVSvmF9F13J1dhB9F9PY,3RbVSvmF9F13J1dhB9F9PY
0VNhy1QT2xzZ7D6mtG0DIl,Givin Up On You,5elcNQkZ6FCZA3grSOMngY,MYMP,6PDpFbKeyKYrnHwqq2BN2T,268746,2014-02-14,22,0.72,0.238,2,-11.12,1,0.0355,0.967,2.18e-05,0.119,0.325,119.963,0VNhy1QT2xzZ7D6mtG0DIl,0VNhy1QT2xzZ7D6mtG0DIl
3VcVQmMivq2ISfKUmIuvMK,Rainbow,6ZgBJRjJsK1iOJGKGZxEUv,South Border,6bMej3xtNOTiiHLdhR4wzX,347120,2005-01-01,63,0.66,0.224,5,-13.426,1,0.0307,0.425,2.02e-06,0.101,0.382,88.011,3VcVQmMivq2ISfKUmIuvMK,3VcVQmMivq2ISfKUmIuvMK
2hE6fvfRWuyEZ0zO0PS5dp,Well Done,5Z8UTQtTYNu5o5FA66LFgv,Jeremy Passion,14Z8ZmmAMO73qSY7A1Sf31,258369,2011-12-13,0,0.761,0.408,5,-9.565,1,0.034,0.662,0.0,0.119,0.372,88.006,2hE6fvfRWuyEZ0zO0PS5dp,2hE6fvfRWuyEZ0zO0PS5dp
0SrkVEzLqJCG1pxWMqeT1P,I Don't Care,5Z8UTQtTYNu5o5FA66LFgv,Jeremy Passion,6by5LaWKjVRXcGQeUnPUXM,292878,2011-12-13,0,0.555,0.303,1,-6.369,1,0.0402,0.677,0.0,0.122,0.536,178.472,0SrkVEzLqJCG1pxWMqeT1P,0SrkVEzLqJCG1pxWMqeT1P
4wOISjicRMhm89CnvX7zuR,Maybe This Time,6aiCKnIN68hohzU3ZzNq48,Sarah Geronimo,453Ok0696evJwrzN4DAa6c,255608,2014-05-05,0,0.389,0.273,6,-7.697,1,0.0362,0.705,0.0,0.117,0.176,134.124,4wOISjicRMhm89CnvX7zuR,4wOISjicRMhm89CnvX7zuR
7jhElwmyKzHEGIinmF4KIh,Fallin',6ty99gP6NrhgCOkMF2ONpy,Janno Gibbs,0fKASh4urktCpqdmXkHTvV,263226,2013-09-03,35,0.492,0.313,8,-12.393,1,0.0278,0.441,0.0,0.0865,0.33,59.954,7jhElwmyKzHEGIinmF4KIh,7jhElwmyKzHEGIinmF4KIh
1LHp5uqGhOmLsLHKvcREu9,How did you know,0GnuCXvnvVtX5DShryuyp9,Aiza Seguerra,5JWNTw5xtfzAQEJc7MRRfR,221146,2010-10-28,0,0.417,0.207,7,-15.808,1,0.0392,0.629,0.0138,0.115,0.168,175.756,1LHp5uqGhOmLsLHKvcREu9,1LHp5uqGhOmLsLHKvcREu9
39V6cEoNFwDFRJEOKyj4OR,Let Me Be the One,4NeCu267LZemnoq44lZYKy,Julie Anne San Jose,7xq2b0gkMRI47DCek284HB,280413,2012,50,0.587,0.396,10,-8.722,1,0.0399,0.643,0.0,0.106,0.207,123.873,39V6cEoNFwDFRJEOKyj4OR,39V6cEoNFwDFRJEOKyj4OR
3jkQ8gbcJlHq7Q91qOzesP,Kung Maibabalik Ko Lang,4NeCu267LZemnoq44lZYKy,Julie Anne San Jose,09t5M2YujQwtojduKKF1af,251668,2014-06-01,35,0.637,0.582,9,-5.508,1,0.0441,0.249,0.0,0.114,0.512,137.936,3jkQ8gbcJlHq7Q91qOzesP,3jkQ8gbcJlHq7Q91qOzesP
75gaCpaWWiJrc1K51popEo,Nang Dahil Sa Pag-Ibig,0kRAKgEOVI43Qkz9PLmPt8,Bugoy Drilon,2FYXUf1G1n8jcIT7AFk0ip,262037,2011-03-17,0,0.492,0.408,9,-6.801,1,0.0252,0.461,0.0,0.107,0.307,95.942,75gaCpaWWiJrc1K51popEo,75gaCpaWWiJrc1K51popEo
4XF1aEPrIQjbZFM3cZhENu,Pagkat Mahal Kita,0kRAKgEOVI43Qkz9PLmPt8,Bugoy Drilon,7qQ4mVtxZIIXcXhirSR4ki,213341,2010-01-22,0,0.512,0.342,2,-10.042,1,0.0291,0.743,1.14e-06,0.207,0.361,130.757,4XF1aEPrIQjbZFM3cZhENu,4XF1aEPrIQjbZFM3cZhENu
0iGtmXPzzseAyxgRMZow3t,All My Life,3Co9MbLi86tHHtN4f0wNpb,Sam Milby,5Roji6Tag4k3AJp1dN7QeN,180848,2011-06-15,0,0.29,0.487,9,-6.946,1,0.0301,0.334,0.0,0.278,0.21,81.703,0iGtmXPzzseAyxgRMZow3t,0iGtmXPzzseAyxgRMZow3t
5Uk8a3n5tRqbZvW0xglovo,Nagmamakaawa,0kRAKgEOVI43Qkz9PLmPt8,Bugoy Drilon,2FYXUf1G1n8jcIT7AFk0ip,246912,2011-03-17,0,0.604,0.376,8,-7.602,1,0.0272,0.777,0.0,0.155,0.281,140.0,5Uk8a3n5tRqbZvW0xglovo,5Uk8a3n5tRqbZvW0xglovo
1vcPSMAaYCK62WIwiCob8W,Almost Over You,0GnuCXvnvVtX5DShryuyp9,Aiza Seguerra,5Roji6Tag4k3AJp1dN7QeN,260417,2011-06-15,0,0.472,0.169,5,-15.099,1,0.042,0.941,1.51e-06,0.119,0.0929,134.027,1vcPSMAaYCK62WIwiCob8W,1vcPSMAaYCK62WIwiCob8W
29OmqZsuwkfqqmwdQUJ1pp,This Time,3JITwr6Xwkz8p6cm9leNUh,Side A & Freestyle,5m3Qj30Vp2BKZVGzBFxCyD,287346,2004-11-06,0,0.446,0.427,4,-9.892,0,0.0342,0.679,0.0,0.193,0.256,67.701,29OmqZsuwkfqqmwdQUJ1pp,29OmqZsuwkfqqmwdQUJ1pp
3Hvz6Bqq2iCpTkIHxVOwR4,Labing Isang Numero,6UQ0UX0CUYmGvpae5nt5J0,Thyro Alfaro,1NX6WiuSINsEMhTs3YHCpf,189146,2014-03-26,0,0.684,0.846,11,-3.201,0,0.0692,0.126,0.0,0.317,0.889,104.997,3Hvz6Bqq2iCpTkIHxVOwR4,3Hvz6Bqq2iCpTkIHxVOwR4
5oXLnSy8fiR011HQfAO45r,Dyosa,3Lm6KZ2WWaRdUNneczEhp5,Yumi Lacsamana,1NX6WiuSINsEMhTs3YHCpf,217973,2014-03-26,0,0.701,0.877,8,-2.715,1,0.0308,0.0192,0.0264,0.159,0.634,128.009,5oXLnSy8fiR011HQfAO45r,5oXLnSy8fiR011HQfAO45r
4fNnsiAKYULcJyuzwDuE5F,Mayro'n Na Bang Iba,0kRAKgEOVI43Qkz9PLmPt8,Bugoy Drilon,2FYXUf1G1n8jcIT7AFk0ip,212012,2011-03-17,0,0.326,0.45,7,-7.204,1,0.0334,0.774,4.99e-06,0.236,0.191,155.574,4fNnsiAKYULcJyuzwDuE5F,4fNnsiAKYULcJyuzwDuE5F
0H4kr8RgJnoNVuTHTbWYaK,Pwede Bang Ako Na Lang Ulit,0kRAKgEOVI43Qkz9PLmPt8,Bugoy Drilon,4X6mJqYt7LVw6znSb7HsTV,255506,2013-02-21,0,0.496,0.38,6,-9.804,1,0.0274,0.403,0.00256,0.108,0.173,128.671,0H4kr8RgJnoNVuTHTbWYaK,0H4kr8RgJnoNVuTHTbWYaK
7heL8McByaNSQ9S4aBLVwx,Falling for You (feat. Marié Digby),3z0IVhtuFvt9VYUZGT98PU,Jay R,14x4tRqiW9hrEAHNYTzcGp,233685,2014-10-20,21,0.63,0.558,8,-6.745,1,0.0253,0.555,4.87e-06,0.118,0.465,90.986,7heL8McByaNSQ9S4aBLVwx,7heL8McByaNSQ9S4aBLVwx
6clfAtnSyMwhbnbu7DfRbs,Pakiusap Lang - Lasingin Nyo Ako,2XHTklRsNMOOQT56Zm3WS4,Parokya Ni Edgar,50RSaw1KJzLHbeOVcOFcFG,192560,2014-03-17,0,0.473,0.908,4,-5.388,1,0.0409,0.0278,0.0,0.388,0.96,149.187,6clfAtnSyMwhbnbu7DfRbs,6clfAtnSyMwhbnbu7DfRbs
