playlist_id,playlist_name,playlist_total_tracks,owner_id,owner_name,total_followers
37i9dQZF1DWWEJlAGA9gs0,Classical Essentials,172,spotify,Spotify,2262767
37i9dQZF1DWV0gynK7G6pD,Classical New Releases,50,spotify,Spotify,575609
37i9dQZF1DX9G9wwzwWL2k,Epic Classical,107,spotify,Spotify,469519
37i9dQZF1DWUvHZA1zLcjW,Chilled Classical,92,spotify,Spotify,415396
37i9dQZF1DX8Sz1gsYZdwj,Classical Sleep,72,spotify,Spotify,365059
37i9dQZF1DX4s3V2rTswzO,Classical Romance,97,spotify,Spotify,331377
37i9dQZF1DX0Aaer4Jzfgm,Easy Classical,66,spotify,Spotify,327093
1ZJpJahEFst7u8njXeGFyv,Relaxing Classical,60,sonymusicuk,Filtr UK,310365
37i9dQZF1DX9OZisIoJQhG,Morning Classical,49,spotify,Spotify,278079
37i9dQZF1DX6K3W8KBiALe,Classical Moments in Movies,72,spotify,Spotify,255889
37i9dQZF1DX0i61tT0OnnK,Space-themed Classical Music,77,spotify,Spotify,255652
37i9dQZF1DWUPafHP1BJw1,Pop Goes Classical,98,spotify,Spotify,251218
37i9dQZF1DX7cBprxbt1Fn,Gentle Classical,67,spotify,Spotify,246037
37i9dQZF1DX2mmt7R81K2b,Jazz – Classical Crossings,54,spotify,Spotify,228761
6sNDAFPubg3k4CuyH1fqrR,Movie Soundtracks and Cinematic music (Classical / Instrumental),769,1139683356,Tobias Schneider,191539
37i9dQZF1DX4P0ijJK5lUv,Classical Christmas,154,spotify,Spotify,174486
37i9dQZF1DXd5zUwdn6lPb,Classical Focus,100,spotify,Spotify,171994
36qQ3naFyPxCbbr7QpdADN,Classical Music for Reading,300,legacysweden,Filtr Legacy Sweden,154488
37i9dQZF1DWYkztttC1w38,Classical Reading,96,spotify,Spotify,139142
37i9dQZF1DWVFeEut75IAL,Calming Classical,96,spotify,Spotify,138446
37i9dQZF1DWSw8liJZcPOI,Not Quite Classical,80,spotify,Spotify,126191
37i9dQZF1DWXBq4mDDFnfA,Classical Guitar 50: Spotify Picks,50,spotify,Spotify,114577
5ifMsPihlkYEGCakqfqj17,Classical Piano Essentials,164,doublejmusic,Pianoramix,104622
37i9dQZF1DX2aCk0vzzaZQ,Classical Music For Metalheads,65,spotify,Spotify,103808
6wObnEPQ63a4kei1sEcMdH,Classical Music For Studying,71,klassieke_muziek,Klassieke Muziek by Maestro Music,100569
1h0CEZCm6IbFTbxThn6Xcs,Best Classical Music,78,peacefulclassics,Peaceful Classics,95640
37i9dQZF1DWYtpM7d4h5Xa,Pop Songs Based on Classical Music,100,spotify,Spotify,84886
37i9dQZF1DXbm0dp7JzNeL,Sad Classical,52,spotify,Spotify,83935
72oczUf02H4RGoaUBC87JQ,Mozart: Classical Music for Studying,48,halidon,HalidonMusic,78476
37i9dQZF1DXb2oE8NhWxT6,Classical Meets Electronica,30,spotify,Spotify,76846
3sw0t0icwozVoQP5J2Z8cX,Classical Study Music,100,peacefulclassics,Peaceful Classics,75888
37i9dQZF1DX7dzHXrANAir,Classical X,103,spotify,Spotify,75567
37i9dQZF1DWVJd52AtCSiR,Disney Classical,96,spotify,Spotify,72637
