playlist_id,playlist_name,playlist_total_tracks,owner_id,owner_name,total_followers
37i9dQZF1DX1lVhptIYRda,Hot Country,55,spotify,Spotify,6238593
37i9dQZF1DWYnwbYQ5HnZU,Country Gold,62,spotify,Spotify,1596092
37i9dQZF1DX8WMG8VPSOJC,Country Kind of Love,50,spotify,Spotify,1390853
6nU0t33tQA2i0qTI5HiyRV,Country Hits,50,digster.fm,digster.fm,989872
37i9dQZF1DWVpjAJGB70vU,90's Country,64,spotify,Spotify,859508
37i9dQZF1DX5mB2C8gBeUM,Wild Country,72,spotify,Spotify,797612
37i9dQZF1DWYiR2Uqcon0X,Country Coffeehouse,76,spotify,Spotify,591704
37i9dQZF1DWXi7h4mmmkzD,Country Nights,92,spotify,Spotify,504216
37i9dQZF1DXaiEFNvQPZrM,Country's Greatest Hits:  The '90s,135,spotify,Spotify,467485
37i9dQZF1DWSK8os4XIQBk,All About Country,70,spotify,Spotify,453424
37i9dQZF1DWWH0izG4erma,Country Rocks,67,spotify,Spotify,328257
37i9dQZF1DX9hWdQ46pHPo,Forever Country,78,spotify,Spotify,313512
37i9dQZF1DX6RCydf9ytsj,Country's Greatest Hits:  The '80s,163,spotify,Spotify,294895
37i9dQZF1DX49poIUZYXp7,Women of Country,84,spotify,Spotify,283614
37i9dQZF1DXdfhOsjRMISB,Country Drive,150,spotify,Spotify,251351
37i9dQZF1DWXepGEFFmQXJ,Fresh Country,61,spotify,Spotify,241882
37i9dQZF1DX0MuOvUqmxDz,Country Christmas,104,spotify,Spotify,231653
37i9dQZF1DXaJXCbmtHVHV,Big Country,41,spotify,Spotify,220902
37i9dQZF1DX7CGYgLhqwu5,Country's Greatest Hits:  The '60s,102,spotify,Spotify,216552
37i9dQZF1DWU2LcZVHsTdv,Country by the Grace of God,77,spotify,Spotify,210339
37i9dQZF1DXbIbVYph0Zr5,Country Cookout,95,spotify,Spotify,205712
37i9dQZF1DXdxUH6sNtcDe,Country's Greatest Hits:  The '00s,150,spotify,Spotify,192325
37i9dQZF1DWW7RgkOJG32Y,Breakout Country,67,spotify,Spotify,185342
37i9dQZF1DX13ZzXoot6Jc,Country Favourites,100,spotify,Spotify,180971
37i9dQZF1DWZQIRdXaBqdE,Classic Country Drive,100,spotify,Spotify,177061
37i9dQZF1DWYP5PUsVbso9,Country's Greatest Hits:  The '70's,96,spotify,Spotify,170267
37i9dQZF1DWWnpcjfCqaW0,Country's Greatest Hits:  The '50s,96,spotify,Spotify,154831
1f6kfopjy0uVYzKN9MUVMr,Country Hits Today and Yesterday,275,mareike009,mareike009,128336
3Iy6IrE5A54fi8Ngnsrk8Z,Old country classics and more,251,sambone2,21672901827,114429
37i9dQZF1DWZBCPUIUs2iR,Country Music 101:  Country's Greatest Hits,99,spotify,Spotify,102857
37i9dQZF1DWSCp8Clax7tf,Legendary Women of Country,90,spotify,Spotify,94469
0dZ6X4lEBOHBgQwRtg1cwP,New Country 2021,3333,126038170,Travis James,88501
3W8sIVX1FigsYLh4344d8R,90's Country (Top 100),169,tdkqms1h1k98zcv23ug77vcb1,a.j.matthews16,80273
37i9dQZF1DWYubIwLN4Hq2,Country Party,65,spotify,Spotify,78884
37i9dQZF1DXdmMcgFhLQ8u,Country Heartache,74,spotify,Spotify,76363
3rEkY4Z25FQ4x3NJ0pMxra,Country Party Songs ,244,1251776024,Ethan LeBlanc,68670
37i9dQZF1DX4bf0P6HTTom,Country Rock Classics,49,spotify,Spotify,68461
37i9dQZF1DWXdiK4WAVRUW,Country's Greatest Hits:  The 2010's,179,spotify,Spotify,68304
6wQFfOF4QYyoZhBGlhCWHZ,Today’s Country 2021,335,trosser6258,trosser6258,64914
37i9dQZF1DWYvU2z6HruAo,Hot Country Presents:  Best Country Songs of 2020,62,spotify,Spotify,59761
37i9dQZF1DWYV2Gh2QglGo,Live Country,72,spotify,Spotify,57735
7fIdjWhWzPbf1g5OSDKOXw,TEXAS COUNTRY 🌵,473,1276364988,1276364988,53972
6gXgPeZLfob30T6RSoy9nb,2000 Country Music,283,225maj3hqpdbqhxihtfoyphdy,Lexi Rangel,50710
3U25AXqlklo3o6LqM1wX1I,Country Music Playlist 2021 - Best Country Songs 2021,50,redmusiccompany,redmusiccompany,44867
1mJhSx6aYQmINsZ8dG4gzU,Best country songs (greatest hits),211,tebbey671,Kevin Damia,43497
7d85RPHimZb0gR4PlY3IKq,Top Country Hits of Today,316,seaon09,Reggie Regis,41560
0v4DvG8cBpHGOBOxVuVvgV,Country Rock Hits,92,joppek27,joppek27,30904
13HYHjm9Tv5QWJIFSQlv7h,Country Classics,338,kristenpirie,kristenpirie,29018
37i9dQZF1DWTQrwBpetTXv,#SpotifyTBT: Women of Country,70,spotify,Spotify,27389
37i9dQZF1DXcYKwAtV4NDh,History of Country Music,107,spotify,Spotify,26002
37i9dQZF1DX5OrO2Jxuvdn,Country Workout,126,spotify,Spotify,25509
6G7ZJuBDKwjCrk9ftdu82D,Outlaw Country,142,hithimnotme,21782910469,24864
37i9dQZF1DX47i8ytbYGJE,Country 101: Rockabilly,204,spotify,Spotify,24542
5LeYztyxSMJLwotoHVQbZi,Pop Country,207,zacharykillam,Phil Allen,23982
37i9dQZF1DWYUfsq4hxHWP,Fresh Finds Country,79,spotify,Spotify,23318
7z6RIVYNhtGXw1yRmpDHmW,COUNTRY AMERICANO,51,jacques_vanier,jacques vanier,22573
6U8AxQBEDDW4GlzbqkoRMV,Classic Country Gold,151,travisgadient,Ty Hoelscher,21134
37i9dQZF1DX021HD78u2gQ,Irish Country,54,spotify,Spotify,20614
4Gv69Ip2MNq71pwNC55JlO,country love songs 💛,162,taushalovescats,taushanelson,20278
1DYu12tYLFBXgHL5LtdYnV,Country Love Songs 💜,94,kelsey-rose-us,kelsey-rose-us,19928
3G0pyfnFl1wl2aqUattY6Z,Todays Country Hits,233,khrisgerrish20,Jake Smith,18620
37i9dQZF1DWYBXdN7izJSV,Alt Country Classics,75,spotify,Spotify,18569
6mwr3I0wXSF06GmJaWKhVc,Hot Country 2021,89,jar410,jar410,17886
7iwxYj68KXMrhO7W25Tfp9,Old Country Hits,304,1220472074,1220472074,16389
37i9dQZF1DWXjt5iSjw7DI,Legendary Country Live,249,spotify,Spotify,16382
7ot6fpKqnafbgXDLU9kLNC,Country 2020-2021,151,1225816146,Ryan Robinette,14860
3oybL4xdKqkPO0ObreSPDM,Top Country Songs 2021 - Most Popular Country of 2021,70,7bntwjdswpqhrnqr0gssydbd0,Redlist Playlists,13245
0EJX1BDUM0VPzXFcMmsWKB,2000's Country,80,myplay.com,Filtr US,9436
37i9dQZF1DXaDsAWldGrpI,Country Live,87,spotify,Spotify,7926
2aLVOrU1Frcqjb8IjTjxEp,Upbeat Country Hits,359,martin_roy4,Martin G Roy,6598
04l5zHU0ZsEAEhOTxi3ET1,COUNTRY SONGS 2021 🔥 Top Country Hits + New Country Songs,135,williamdzn,Soy William,5995
5DbPMnIRSKCWPQBOJMTcHv,"Country Songs, Blues, Medleys & Love Songs",72,224fug667qxdj26ujaofojkhy,Jac Serdeña Sevilla,5838
