Position,Track Name,Artist,Streams,URL,Date
1,Despacito - Remix,Luis Fonsi,161435,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb,2017-08-23
2,"Two Less Lonely People in the World (Official Movie Theme Song Of ""Kita Kita"")",KZ Tandingan,140722,https://open.spotify.com/track/46ixegtxjERQMCutmp09Sa,2017-08-23
3,Super Far,LANY,133458,https://open.spotify.com/track/74ODGXs4byLTRdnKGM4s6E,2017-08-23
4,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",DJ Khaled,132155,https://open.spotify.com/track/3DXncPQOG4VBw3QHh3S817,2017-08-23
5,Mama,Jonas Blue,130326,https://open.spotify.com/track/0NiXXAI876aGImAd6rTj8w,2017-08-23
6,Strip That Down,Liam Payne,126523,https://open.spotify.com/track/6EpRaXYhGOB3fj4V2uDkMJ,2017-08-23
7,I Like Me Better,Lauv,125422,https://open.spotify.com/track/1wjzFQodRWrPcQ0AnYnvQ9,2017-08-23
8,Back to You (feat. Bebe Rexha & Digital Farm Animals),Louis Tomlinson,110602,https://open.spotify.com/track/7F9vK8hNFMml4GtHsaXui6,2017-08-23
9,Attention,Charlie Puth,106944,https://open.spotify.com/track/4iLqG9SeJSnt0cSPICSjxv,2017-08-23
10,There for You,Martin Garrix,106650,https://open.spotify.com/track/6jA8HL9i4QGzsj6fjoxp8Y,2017-08-23
11,Dahil Sa'Yo,Inigo Pascual,106360,https://open.spotify.com/track/4ai7c2BUjNpElhZdZDH7qF,2017-08-23
12,Sorry Not Sorry,Demi Lovato,103906,https://open.spotify.com/track/25C5CowdsfXld2jJanbiex,2017-08-23
13,Pretty Girl - Cheat Codes X CADE Remix,Maggie Lindemann,102534,https://open.spotify.com/track/1NDxZ7cFAo481dtYWdrUnR,2017-08-23
14,Say You Won't Let Go,James Arthur,99696,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh,2017-08-23
15,Shape of You,Ed Sheeran,98817,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,2017-08-23
16,New Rules,Dua Lipa,97532,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0,2017-08-23
17,2U (feat. Justin Bieber),David Guetta,96683,https://open.spotify.com/track/3A7qX2QjDlPnazUsRk5y0M,2017-08-23
18,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",Calvin Harris,95683,https://open.spotify.com/track/5bcTCxgc7xVfSaMV3RuVke,2017-08-23
19,Slow Hands,Niall Horan,93731,https://open.spotify.com/track/167NczpNbRF7oWakJaY3Hh,2017-08-23
20,Young Dumb & Broke,Khalid,92709,https://open.spotify.com/track/5Z3GHaZ6ec9bsiI5BenrbY,2017-08-23
21,Symphony (feat. Zara Larsson),Clean Bandit,89289,https://open.spotify.com/track/1x5sYLZiu9r5E43kMlt9f8,2017-08-23
22,Thunder,Imagine Dragons,87221,https://open.spotify.com/track/0tKcYR2II1VCQWT79i5NrW,2017-08-23
23,Friends (with BloodPop®),Justin Bieber,86435,https://open.spotify.com/track/7nZmah2llfvLDiUjm0kiyz,2017-08-23
24,No Promises (feat. Demi Lovato),Cheat Codes,86410,https://open.spotify.com/track/1louJpMmzEicAn7lzDalPW,2017-08-23
25,Your Song,Rita Ora,85561,https://open.spotify.com/track/4c2W3VKsOFoIg2SFaO6DY5,2017-08-23
26,Something Just Like This,The Chainsmokers,81749,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW,2017-08-23
27,That's What I Like,Bruno Mars,81686,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU,2017-08-23
28,Most Girls,Hailee Steinfeld,77486,https://open.spotify.com/track/2mfUa8bLs2s5N4VaqJZ4lZ,2017-08-23
29,There's Nothing Holdin' Me Back,Shawn Mendes,75209,https://open.spotify.com/track/79cuOz3SPQTuFrp8WgftAu,2017-08-23
30,Versace on the Floor,Bruno Mars,73603,https://open.spotify.com/track/0kN8xEmgMW9mh7UmDYHlJP,2017-08-23
31,Swalla (feat. Nicki Minaj & Ty Dolla $ign),Jason Derulo,73346,https://open.spotify.com/track/6kex4EBAj0WHXDKZMEJaaF,2017-08-23
32,Sila,SUD,71522,https://open.spotify.com/track/2IMODbij0lZ5CuAjZi0IDE,2017-08-23
33,The Way I Are (Dance with Somebody) (feat. Lil Wayne) - Spotify Version,Bebe Rexha,71176,https://open.spotify.com/track/6Pw3Gvw4wNMZfTYZa6IQal,2017-08-23
34,Havana,Camila Cabello,70813,https://open.spotify.com/track/0ofbQMrRDsUaVKq2mGLEAb,2017-08-23
35,The Cure,Lady Gaga,68282,https://open.spotify.com/track/51PIvodunv6NmX5250zxAh,2017-08-23
36,Hiling,Mark Carpio,67977,https://open.spotify.com/track/6xQs6y6CpDqK9VKCktApEL,2017-08-23
37,Down,Fifth Harmony,67500,https://open.spotify.com/track/7LEydI5NfjY6mZfKwYIptZ,2017-08-23
38,Tadhana,Up Dharma Down,66708,https://open.spotify.com/track/6NFKf8vBApSvtzkapYmnVR,2017-08-23
