playlist_id,playlist_name,playlist_total_tracks,owner_id,owner_name,total_followers
37i9dQZF1DWVCHIm2MEeIy,Electronic Circus,70,spotify,Spotify,631861
5Udnh472z0CeexGPSpdIw9,Dance Music 2021 | Deep House & Electronica,152,x43zjmj9fxfa65thdh3xeetli,Panther's Groove,514346
37i9dQZF1DX8AliSIsGeKd,Electronic Rising,69,spotify,Spotify,433734
5CvETxDs2E5rQeNji0LPaA,Electronica & Dance Music 2021,194,kpu7ttyvk94i360ju1ym63upj,Desired Music,285365
37i9dQZF1DX3XuTDjo5z5z,Electronic Concentration,79,spotify,Spotify,258413
37i9dQZF1DWYUYYlhkTuEn,Yoga Electronica,60,spotify,Spotify,127528
1U4hhbOslvsB9HPwXrBuws,Gaming Music 🎮 Electronic Music 2021 ,117,ntf4uj17uxr1edwz1jb1gjzm3,Adept Records,125702
6dTEYYCzvvOdHXUid1uXj2,Electronic Dance VIBES,33,xznbyii4eo2o8yitdbexd4yv0,VIBE Lifestyle,115992
37i9dQZF1DWZaNRXtvIrDt,Top Shelf Electronic,68,spotify,Spotify,112157
37i9dQZF1DX0wMD4IoQ5aJ,Electronic Focus,117,spotify,Spotify,101678
4c2ioMQMB99zWmshecKKYK,Musica Electronica 2021,97,12124472742,Fernando Barillas Gamas,93204
2wSNKxLM217jpZnkAgYZPH,"Anjunadeep New Releases (Deep House, Techno, Electronica)",80,anjunadeep,Anjunadeep,84809
2NAGzZNbDQHaOlXsb8Qsfr,Indietronica - Indie Electronica,125,enrouterecords,Enroute Rec,81092
37i9dQZF1DXb2oE8NhWxT6,Classical Meets Electronica,30,spotify,Spotify,76846
4YOMJJdRy95wpJd1dmWTnE,GAMING ELECTRONIC,86,clutchrecords,clutchrecords,67886
37i9dQZF1DX4Y1uAfxGdKJ,Electronic Running,78,spotify,Spotify,57094
3zu01ph5nXfp5cIfMNHWDd,Musica Electronica 💙,80,kradoz,EDM Fans,43232
5krTavx8jTh19eDXBrK5Tk,Lets Dance to ELECTRONIC,51,sov9mdng435qrpeexg4347rcc,Wall lace,37237
0I41QKgHkF8TPUSiUtnL6n,Ambient Electronic,966,cotter,John Cotter,35759
1hNZYgTx3gh6RPBVU8x7GJ,Electronic,43,4wdi11tctuv9fdgzzfja2ybg6,Wonderlist,34164
2C20XxxwxjBXOiJRnDlvEF,Electronic music lights,50,lrhwkq1sovptcjnwqlodybdbq,Open tuned,33714
5V4qshTBesb0pCSaUh5YHt,Electronics x House x Chill Out,50,kebvhxbnu9xdo34hocwg4hiif,Grass sounds,33558
12uHWjT4W5DHJrY58XtdiO,"Electronica Éxitos 2021 - Dance 2021, Electronica 2021, Electronica para Fiestas, Bass Boosted 2021",490,auxlondon,Aux London,33482
37i9dQZF1DX9WbnZpHWMaI,Women of Electronic,58,spotify,Spotify,32754
1AsVFc0487EvJwDqEIJHBa,Melodic Dubstep // Chillstep // Epic Electronic,975,122614182,Adam Morgan,31036
5jghjbtcaz89R81m088uV4,Electronica Vieja,225,drbono,drbono,29626
3oPZUM5GPpjgaXhNewhqVO,Best Electronic Music,74,12183168707,Black Harmony,28680
57rLc4B0AUS2yKNwP9IMUr,Electronic Chill & Deep House,102,uoak,UOAK,25510
5GBJpEiKMiFy3cBPKR2TaH,Synthwave | Retro 80s Electronic,2810,12159337686,Patrick Spence,23317
37i9dQZF1DWX4UM2EREq2R,Best Electronic Songs of 2O2O,101,spotify,Spotify,20814
4sjsye4xyuVeYFQh0MJlMG,Electronic Chill,62,enhanced_music,Enhanced Music,20211
38NGYIE9cjJTD7kcSmEuHt,Electronic Dance Music,239,bsdh3zcy7u51uamx5358puoat,Fresh Finds,12910
0hLKYU2Wwv5WTu7XwnesPg, Electronic Gems,113,qnksfwkaonmy414y339ddk3zx,Ringo Jones,12040
3HNtiKCsaInBrRbYh3bjEV,electronica 2012 2013 2014 2015 ,48,22mrskkuxsm4haomvsez3iiiy,Juan Carlos Pico Mendoza,12007
7z1cdrQ822ONXQqgcW8yu7,Electronica Hits,77,31acarq2lkuttghvdi7tl6cia4pi,ElectroFans is Love,11547
1hzFfwM27ZBhciazyGhAIu,Electronica 2010-2021,168,acamposa01,acamposa01,9335
