track_id,name,popularity,duration_ms,artist_id,artist_name,num_artists,playlist_id,playlist_name
0PkwtUYZiNpGtbkVYZkvMZ,Purple Noise,45,322020,1z5xbcOeFRQXBVDpvRPh8H,MEUTE,1,37i9dQZF1DWVCHIm2MEeIy,Electronic Circus
5x0lhxt4DBf7ja3RRCLCXF,HI,50,505336,5zovXI5By2gUhdr7EByjLa,Monkey Safari,1,37i9dQZF1DWVCHIm2MEeIy,Electronic Circus
6IgWuSYV5Q9IA000SQ26mS,Feel Good,12,341818,1YkHCcMgZ6fTQMeEQyYKTf,Moonbootica,1,37i9dQZF1DWVCHIm2MEeIy,Electronic Circus
3aDixsN2cxlm2cSZMLg7T0,Bali,47,270406,7tL5UmgvPx6TqKyf0Sjjw6,Marek Hemmann,1,37i9dQZF1DWVCHIm2MEeIy,Electronic Circus
4fO0HqjTcWidMX1Im1six5,Speak Up,48,303596,0rasA5Z5h1ITtHelCpfu9R,Paul Kalkbrenner,1,37i9dQZF1DWVCHIm2MEeIy,Electronic Circus
4WuxGJdcbN9SPrNn3UFLFy,"Numb - Joris Voorn Remix, Edit",56,237865,"['2vf4pRsEY6LpL5tKmqWb64', '4jGpKAmwvU263l0tUh4xKU']","['Elderbrook', 'Joris Voorn']",2,37i9dQZF1DWVCHIm2MEeIy,Electronic Circus
6RCT4geaXTmDmtiwFLJv8j,To the Sea - Einmusik Remix,52,452000,"['2CKaDZ1Yo8YnWega9IeUzB', '5CkVLGKUJkIc1pmSk10QP4', '1LXTXZjheh25pXMEUT9iC1']","['Booka Shade', 'Eli & Fur', 'Einmusik']",3,37i9dQZF1DWVCHIm2MEeIy,Electronic Circus
3rURdGhiVS3rcRQM4NPoz4,Raaaw,37,300967,64fjAjykuM8Oc3Bqup4g72,AKA AKA,1,37i9dQZF1DWVCHIm2MEeIy,Electronic Circus
4Np4NOxEBsYvPNBZ8W0BDu,Home,64,221090,5wJK4kQAkVGjqM9x46KQOC,Solomun,1,37i9dQZF1DWVCHIm2MEeIy,Electronic Circus
0k4A0wcdZLY0OSQ1ugfi3J,Paris,57,201290,7keGfmQR4X5w0two1xKZ7d,Kungs,1,37i9dQZF1DWVCHIm2MEeIy,Electronic Circus
228kjRtCmbB6fLGV3ExrDr,Different Mind,47,353750,"['2OWQQKizLqny2GKSvqfV9h', '3d0H0Tv3MvhhZpELZPkf8G']","['Dayne S', 'colour your mind']",2,37i9dQZF1DWVCHIm2MEeIy,Electronic Circus
0HcuetqlzCA2yDfhKuWrxz,The Oracle,45,282520,27j5PRcPefcI6q8as58zWF,Mollono.Bass,1,37i9dQZF1DWVCHIm2MEeIy,Electronic Circus
5G04a8o6Ta2MzLlrH4QdQN,Entrudo,50,364000,5RPzPJCg4ER1LzQkorZ31p,Worakls,1,37i9dQZF1DWVCHIm2MEeIy,Electronic Circus
4ILbBQfSyeH9sdR2sWupDn,Airborne,43,371615,"['6t2Dat6onFMWgVdW05EAVA', '1WRIadWbSkM7qY3kLzBrdn']","['Sammy Legs', 'Magic Woman']",2,37i9dQZF1DWVCHIm2MEeIy,Electronic Circus
0KaVFd0jKjEjX0Xc5gmHc7,Paper Aeroplane (feat. Leo Stannard),46,166440,"['6VpuPMBN4oVa62K1wS9bGS', '37fzXndf2fxVrk7qarhyo0']","['HRRTZ', 'Leo Stannard']",2,37i9dQZF1DWVCHIm2MEeIy,Electronic Circus
