track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name
0PkwtUYZiNpGtbkVYZkvMZ,Purple Noise,1z5xbcOeFRQXBVDpvRPh8H,MEUTE,5x7HlzUrvG4KxSrGjDEcBO,322020,2020-02-21,45,0.853,0.374,6,-12.989,1,0.0371,0.63,0.875,0.108,0.199,125.996,37i9dQZF1DWVCHIm2MEeIy,Electronic Circus
5x0lhxt4DBf7ja3RRCLCXF,HI,5zovXI5By2gUhdr7EByjLa,Monkey Safari,2wj4oyjeXPn6XlGxsaqAmB,505336,2019-05-31,50,0.744,0.583,4,-9.163,0,0.0684,0.016,0.521,0.13,0.402,122.027,37i9dQZF1DWVCHIm2MEeIy,Electronic Circus
6IgWuSYV5Q9IA000SQ26mS,Feel Good,1YkHCcMgZ6fTQMeEQyYKTf,Moonbootica,4TL4UXRiiviP9FNn0Sx6J2,341818,2019-10-04,12,0.821,0.862,5,-9.44,0,0.0408,0.000485,0.0592,0.126,0.228,125.005,37i9dQZF1DWVCHIm2MEeIy,Electronic Circus
3aDixsN2cxlm2cSZMLg7T0,Bali,7tL5UmgvPx6TqKyf0Sjjw6,Marek Hemmann,2DisdlWjkPjtA1ri7vs3BU,270406,2019-05-24,47,0.637,0.854,4,-7.731,0,0.031,0.00158,0.83,0.295,0.223,124.0,37i9dQZF1DWVCHIm2MEeIy,Electronic Circus
4fO0HqjTcWidMX1Im1six5,Speak Up,0rasA5Z5h1ITtHelCpfu9R,Paul Kalkbrenner,0BS8NtWrOjl6Muwhk6cOcg,303596,2020-06-05,48,0.799,0.463,1,-17.334,1,0.0806,0.606,0.926,0.11,0.789,128.017,37i9dQZF1DWVCHIm2MEeIy,Electronic Circus
4WuxGJdcbN9SPrNn3UFLFy,"Numb - Joris Voorn Remix, Edit",2vf4pRsEY6LpL5tKmqWb64,Elderbrook,0vTR69DaeGYKkf4DNioMfF,237865,2020-04-24,56,0.614,0.828,8,-6.911,1,0.0352,0.003,0.403,0.357,0.493,126.01,37i9dQZF1DWVCHIm2MEeIy,Electronic Circus
6RCT4geaXTmDmtiwFLJv8j,To the Sea - Einmusik Remix,2CKaDZ1Yo8YnWega9IeUzB,Booka Shade,5mIRtNHm2HMi6vsxIS1QGl,452000,2020-06-12,52,0.741,0.853,4,-10.141,0,0.0406,0.00706,0.831,0.0757,0.124,123.998,37i9dQZF1DWVCHIm2MEeIy,Electronic Circus
3rURdGhiVS3rcRQM4NPoz4,Raaaw,64fjAjykuM8Oc3Bqup4g72,AKA AKA,5TsjXGjgAS1MTgcxBO9BVp,300967,2020-10-30,37,0.66,0.719,7,-9.53,1,0.0423,0.0111,0.907,0.0989,0.212,123.992,37i9dQZF1DWVCHIm2MEeIy,Electronic Circus
4Np4NOxEBsYvPNBZ8W0BDu,Home,5wJK4kQAkVGjqM9x46KQOC,Solomun,6wXKar1LAK5xSRcPLhbzjR,221090,2020-10-16,64,0.679,0.707,2,-11.453,1,0.04,0.00634,0.855,0.18,0.258,120.007,37i9dQZF1DWVCHIm2MEeIy,Electronic Circus
0k4A0wcdZLY0OSQ1ugfi3J,Paris,7keGfmQR4X5w0two1xKZ7d,Kungs,2UJpW4aO9nXGEh7arP5uW8,201290,2019-11-29,57,0.579,0.596,10,-10.767,1,0.256,0.00543,0.962,0.273,0.0537,124.005,37i9dQZF1DWVCHIm2MEeIy,Electronic Circus
228kjRtCmbB6fLGV3ExrDr,Different Mind,2OWQQKizLqny2GKSvqfV9h,Dayne S,7IDwkEgL1yO5Gxw9d140n6,353750,2019-07-19,47,0.777,0.655,7,-4.877,1,0.0429,0.00573,0.407,0.0568,0.609,120.016,37i9dQZF1DWVCHIm2MEeIy,Electronic Circus
0HcuetqlzCA2yDfhKuWrxz,The Oracle,27j5PRcPefcI6q8as58zWF,Mollono.Bass,3Z9EKeISsOLgsfdMNZbUO4,282520,2020-06-19,45,0.746,0.55,4,-10.943,0,0.0474,0.000741,0.889,0.0904,0.532,120.006,37i9dQZF1DWVCHIm2MEeIy,Electronic Circus
5G04a8o6Ta2MzLlrH4QdQN,Entrudo,5RPzPJCg4ER1LzQkorZ31p,Worakls,4js9rdHmcTlhM0BaAeQMKY,364000,2019-03-08,50,0.756,0.404,4,-11.767,0,0.0439,0.0663,0.912,0.101,0.198,120.005,37i9dQZF1DWVCHIm2MEeIy,Electronic Circus
4ILbBQfSyeH9sdR2sWupDn,Airborne,6t2Dat6onFMWgVdW05EAVA,Sammy Legs,1IckeBPMs7fGdJVhuoR4Qe,371615,2019-10-04,43,0.743,0.751,6,-6.3,1,0.0502,0.111,0.055,0.14,0.0387,123.97,37i9dQZF1DWVCHIm2MEeIy,Electronic Circus
0KaVFd0jKjEjX0Xc5gmHc7,Paper Aeroplane (feat. Leo Stannard),6VpuPMBN4oVa62K1wS9bGS,HRRTZ,1aXKAtOlUmGlPco5YvXkZ1,166440,2020-05-01,46,0.732,0.809,11,-8.141,1,0.0384,0.0367,0.279,0.0829,0.133,124.025,37i9dQZF1DWVCHIm2MEeIy,Electronic Circus
58iabqF6o0s28v262ycuUn,Blaze - Extended,2CKaDZ1Yo8YnWega9IeUzB,Booka Shade,0yzwuCt5GjlnUgNDROF4ls,410000,2020-07-31,49,0.719,0.714,1,-7.486,0,0.0454,0.0264,0.555,0.0656,0.475,124.008,37i9dQZF1DWVCHIm2MEeIy,Electronic Circus
2fjSqGaz3ElHPdGxfVLtCv,Slip,1z5xbcOeFRQXBVDpvRPh8H,MEUTE,3yz2COT2SPoRPK0j5ux1SJ,427776,2020-01-22,42,0.729,0.571,5,-12.028,0,0.0436,0.489,0.846,0.0653,0.0512,127.989,37i9dQZF1DWVCHIm2MEeIy,Electronic Circus
