playlist_id,playlist_name,playlist_total_tracks,owner_id,owner_name,total_followers
37i9dQZF1DWSkMjlBZAZ07,Happy Folk,119,spotify,Spotify,1873930
37i9dQZF1DWVl5gPCRkquk,Chill as Folk,120,spotify,Spotify,782045
37i9dQZF1DX2taNm7KfjOX,Infinite Indie Folk,130,spotify,Spotify,701680
37i9dQZF1DWXJyjYpHunCf,Folk Pop,100,spotify,Spotify,700875
37i9dQZF1DWU6Vfrf87eTG,Indie Folk for Focus,116,spotify,Spotify,697466
37i9dQZF1DXaUDcU6KDCj4,Fresh Folk,157,spotify,Spotify,630351
37i9dQZF1DX1BGjF5N5O7F,Sexy as Folk,48,spotify,Spotify,491854
37i9dQZF1DWVmps5U8gHNv,Essential Folk,115,spotify,Spotify,488234
37i9dQZF1DXcDxnC0UqHJa,Folksy Covers,100,spotify,Spotify,447322
37i9dQZF1DXat5j4Lk8UEj,Folk Rock Favorites,100,spotify,Spotify,436615
37i9dQZF1DX9HwI3Crikcm,Irish Folk,86,spotify,Spotify,244451
37i9dQZF1DWSIcimvN18p3,Women of Folk,200,spotify,Spotify,224069
37i9dQZF1DX2ULa1Ss8vbo,Irish Folk - Ballads,50,spotify,Spotify,209005
37i9dQZF1DX3uZHsihe90o,Family Folk,70,spotify,Spotify,180283
37i9dQZF1DX1nqy6pUAoUv,Contemporary Folk,105,spotify,Spotify,146296
37i9dQZF1DWWv6MSZULLBi,Folk & Friends,100,spotify,Spotify,139087
37i9dQZF1DX4jUyNIMkj6N,Nordic Folk,60,spotify,Spotify,129572
37i9dQZF1DX7Y2xcY13mN1,50 Irish Folk Songs,50,spotify,Spotify,118342
37i9dQZF1DX6o2KmaQFzHW,Folklore de Siempre,90,spotify,Spotify,106922
37i9dQZF1DWZyQUsU1vj4x,Cinematic Indie Folk,91,spotify,Spotify,104416
37i9dQZF1DX5TMFhaZc9ov,Queer As Folk,83,spotify,Spotify,81188
3i85OZp17tSPHmvk1W8RSi,Bridgerton Vibes • Cottagecore • Folklore • Evermore • Cabin • Woods • Forrest,69,o16a7ny37b9026pxfoqc4rhe1,Retro Tones,72212
37i9dQZF1DX0z6CeZuw5dA,Folk-inspired Classical Music,50,spotify,Spotify,68218
37i9dQZF1DX5k79xc4NSUM,What the Folk!,50,spotify,Spotify,66278
2r2V05xfXLf4YGQx2WRuFl,Songs that Excite the White Folk,479,jetsman96,jetsman96,57955
4eOtGyE7j1W34uyghmXKLw,VIKING Music (Nordic folk),73,21ps3v4c5il27v4dihiklqspq,Artem Shr,57314
0AKmgvkqEc2CISLFARhjv9,Grown Folks R&B ,28,8ooisnq84p62mi37kozpnbnxq,Illy,51516
37i9dQZF1DXdaMkR2m2cl5,Folk Feast,100,spotify,Spotify,46933
3uQywS57rCK3AJTsaNLR0T,Irish Folk Songs,185,bschwagger95,Blake Schweigert,44267
37i9dQZF1DX8c93KtGDPub,Folksy Christmas,174,spotify,Spotify,42204
5hFTrxOOXChMzceLPaBt7a,That's All FOLKS,50,sq3z6din86z8ppbxp91jhmig4,Bourbon Jazz,36136
5tOffZXVBFTMS7mkKQ3tpX,Indie Folk Chill,249,rj9wvs6jynpiwpzb5s99rwu6f,CaffeinatedFox,35387
0PX3TxTKNvQ3f2nYqHfOfx,FOLKS EVERYTHING,50,19hc4z1cz47q1e67hubbhvm8x,Kind Song Book,34975
37i9dQZF1DX2PfO7FL9zWG,Folk Favourites,100,spotify,Spotify,30034
37i9dQZF1DWWHw0yK8z3Pm,Renegade Folk,97,spotify,Spotify,29747
37i9dQZF1DX5b3XEYmInJL,Instrumental Celtic Folk,60,spotify,Spotify,27023
6GxBZn0yu0miclv2bhImBd,Folklore Argentino 🇦🇷,65,rhx49rfeivj18x2b33v86nw96,Música Argentina,24852
1bkVHCaX4P8e4dyc1h197M,Folklore Argentino 2021,112,11141143289,Top Music,24014
37i9dQZF1DWSRhcVioua5c,Folklore Romántico ,80,spotify,Spotify,21113
37i9dQZF1DX4VkeNQew5Ex,Roots Rising presents...Best Folk & Americana Songs of 2020,102,spotify,Spotify,20522
37i9dQZF1DX62XscWX9t6h,Folk Fabrique,80,spotify,Spotify,19617
2lEP7FPdvEoRtPwaVbjEPA,folklore & evermore,34,mathsmart2,anna claire,18453
