playlist_id,playlist_name,playlist_total_tracks,owner_id,owner_name,total_followers
5WNUX6jisX0NRlVDTm6RDd,HipHop 2021,159,sonymusicentertainment,Filtr Sweden,425601
2YLYJT19TUBMD4eDQEnivw,Workout Motivation / HipHop / Rap 2021,149,uptown_as,uptown_as,265046
18PtAXbx353eX5M7ROSzwE,HipHops Finest,12,npz5x68u99c5yj2vxywzs0o1g,HipHops Finest,232390
5772HGqmp2E99GQo5tfmcJ, 90's Rap / HipHop,221,19jconnell79,19jconnell79,193792
5QjgJ20xSbkyfDY2iPERtz,Japanese Lofi HipHop,123,thebootlegboy,thebootlegboy,154323
4QZ4F2Yxc6RLx7ybP0Ozn4,Hiphop NL,62,digsternl,Digster Nederland,121671
4nEoTzQTZCVf0e1NnPcyXg,HipHop Nation,9,kx3q4axl0jim5ehvyv40768ge,Top Gun Promotion,100799
4n1MmxkjlOGAVKkDIFxc7f,HipHop Weekly,13,seh44c9tfl325k9zfu6f7rme5,HipHop Weekly,99603
6KYkiwUEsmEEkBShfe9VGB,HIPHOP FIGURES,50,69b07p6xur8wd53kzm2cj6bze,HolaMusic,75863
3oYfbpE01BNMgMvmWdKFxF,90s RNB/HIPHOP,330,1118860764,Clarisse Van den Steen,58519
5TZkls9cEOzWDR6qCxwDot,HipHop 2021,144,theswingingturtle,The Swinging Turtle,54375
3dcaUSkC0ZgFrXzmp3sD3V,Hiphop Written,50,f7k3jlztsdhdtb48g3ljm9fx0,Happy Chill End,48625
5zWx4nzIkTxHM5fPS6MHnJ,Svensk Hiphop & Rap,153,sonymusicentertainment,Filtr Sweden,44083
3wVuygKfrB3ZrSganknUHo,Planet Hiphop,53,jq2sud1ucnbpfxy3ol1iipnsk,Callup,42435
2pF0BFwi7aTQUSZQnu0cSo,Hiphop Squads,50,15173sqbjt4ct8c2jdquii6i1,Chill Reggae,40599
5Rgm0KlX9rzQMYnIApEOUu,Hiphop For The Culture,50,j4gv2jer275iu487s272vzdn9,Bass Culture,39876
2m1a06jWwGTKXkAC2mMtRV,HipHop 2021,100,thegoodfm,TheGoodVibe,39270
1vIDwjZb8KYW470ihPo5Sd,Blissful Hiphop,50,2rnz5aun197wu6npsxj2as0k9,Blissful Hiphop,39064
6RU5ThcO3yRcLDcQEt87n3,HipHop Solitude,50,up4gdw49gkeaz4dr1j3fr6hyt,Funky Soul,37946
1MANhtJS3eXcQeJLjRw6FG,Hiphop Favors,50,2tlfrnd33n20c2vk2m5q8q1ue,Inspired With You,37810
5vwyfbggGoq2qj4AgW0ny0,Hiphop Rebels,50,9cca2gtjf8ravmcbuacz67nzw,Blues Rebel,37442
6L1iDgsSb0eQH1GNDdsr1Y,Hiphop Rythms,50,84uf2ehucwdrvshdeaqeh8b2v,Body Rhythms,37341
6o1BCSdwXiFX3f3lMfkbED,Ambition's Lofi Hiphop Playlist,92,ambition-music,ambition-music,36118
1RN6QcBfge9DAi12qGqGL2,Hiphop Heavy Tracks,50,83c8creo70fyyv61duos7huee,SickTunes,36114
36xcyunCG4tbRNdZThxsbN,Thrill Hiphop,50,zwo9uonhq02anskcwelgao2g1,Chill Rap,36082
6V8I2fViZCZWUKJw7sPLeD,Hiphop Number Ones,50,gc173aaf0mrclsom9nwuu9vwj,Allin jazz,35578
58fFSQJ8WEdpCJzACUmhqg,Hiphop Filler,50,kjorvedy5150vd7wpkve1fh0m,Colorful Hits,35472
4TLG0UMGFuXfPsUPBQHPWd,Hiphop For One,52,49di7l2idbb70fz140qqorddl,Once More Call,35179
4hBswgculKF2cbGVCeex0p,Hiphop Selects,50,68kijfy1sh3bit9jpeqalzx7h,Time for Selects,35074
71019EDcRamfMmOEEoTdEu,Sad & Sleepy beats 😴 (Lofi HipHop),150,thebootlegboy,thebootlegboy,34907
044OTPBixvPOJTI42ScpHL,Hiphop Circuit,53,n6c6pkbabckd4n7hndcqfox0q,Lounge Friends,34573
7IbCA06xBYB0P6InqMV7jC,Japanese LoFi HipHop / Chillhop,86,dn126saxzj654qk9yf82ozahr,Tokyo Tapes,34461
4IBnRaZlAHrAf5l47F8mke,HipHop Connected,50,cipanwonrzhjuj2emcednb2al,Soundssavage,33880
4plBI8FtZBDIFZkn88vin1,Amazingly Hiphop,50,xlxwpej99lso537dmdxhj9f32,Amazing Beats,33388
5OWmyxTwqPcAptWFF3YXAi,Hiphop Tomorrow Hits,53,jtao7b4binj8kc8hz90748a3o,Search for Tomorrow,31882
2LgwuztRfDRcmLOdtFlXbJ,Hiphop Discovery,50,rx4rolvmbk6numdmxv49tfiod,Discover Magic,31760
7uYVMklACiE3Hb94fe52Cm,HipHop 2021 🔥 | New Rap !,135,kor3wjfaaobanwyyg77wuqzag,TodaysGeneration,23092
37i9dQZF1DZ06evO4u84Yc,This Is Hiphop Tamizha,50,spotify,Spotify,22039
7HvSpIbLkox0iodVWt1eYT,HIPHOP/RAP HITS 2020,12,7rmsbj7rmzaui0wqariyea106,One Pulse,21073
1ZK6XxERSYKtjpazUTrkJH,90's Hiphop Classics,98,1148078967,Perquisite,19437
0C2zyPdlkbWHrwVg9gqNdU,90s Rap | 90s Hiphop | Old School Hip Hop House Party!,135,mammenag,Anish Mammen,18813
1BwUVBzO6hKst0iqmrh2RJ,HIPHOP ANOS 90 E 2000,97,22rhszi7ntbugrtwctg7gfymy,Leonardo Martins,18170
5iu1sp3UBb1rjf8KNKETtJ,Star Wars Lofi HipHop,32,1243672619,David Machiavello,17357
74C43e0KhAcPDtNhgCXBnn,HipHop das Antigas,136,12144835481,Hudson Santos,17256
5MtMCsXwPG1hoGXUDxoq2b,Oldschool HipHop,118,till4554,till4554,15979
37i9dQZF1DXbYUVKgXZtWJ,Suomi-hiphopin klassikot,89,spotify,Spotify,15715
2YhWjFEOnzd2HGBsa2a2tY,Samurai Lofi HipHop Beats,72,xhaoh,xhaoh,12428
6h2G7A5B401eA2BauiXf5I,HipHop Oldschool,161,1138988812,Spotify FV,11562
5N8pqYMxvmobsh25NQfu0B,HipHop Workout,82,djblue89,Jean-Frédérick Marcoux,10588
0C0o35fU32F6sfcmRcAbKP,90' HipHop,1222,wittenbergjohann,wittenbergjohann,9846
4ZVlrmh3k3Q9N1bW0m6Kkz,"2000s R&B, Hiphop and Pop Hits",148,empty022,Leo Lobaton,9443
1ng4GwTBZuyiyrbch0NE2w,hiphop 2000 🤞🏾,36,vanessalemoss,Vanessa Lemos,8907
6daY694UtkdYtpWjm11c1H,favorite hiphop music,13,12153973,Darris Robins,8880
33I6RpefRQcRh69xEczaKT,Hiphop 2000's,263,1160742066,Leon Bouw,8266
1rbjVWsewSzdBJbF96Vxip,🇦🇺 Aussie HipHop - Best Of 🦘,244,1180726893,Dale,8258
1c6a0r4ELbSaEFp7FdATmw,chill hiphop 💤💤,302,1232752239,1232752239,8052
0HdNZtdr9CgJPlIhHOX7sg,Spanish rap/hiphop💯💯🔥,366,1229961762,Linda Pereira,7887
3oHIgA81nHSvhravXVEPef,2014-2016 HipHop,231,mystritz,mystritz,7773
0o0c5xXSh8IH8PiK4bhK7Z,RnB & HipHop Party 2021,192,1170385223,@fynn_gloeckner,6826
5f2lkQXy0JDCEGNdWTTuTy,80 hiphop,136,1236152803,Veronica Martinez,6262
4E1UqqR59lCGN9noylx8fJ,2021 CLEAN HIPHOP SONGS,177,phx602623,phx602623,5548
5BKsHjI5ujWcCxEVr1mDcy,Straight Fire HipHop,21,eseenic,eseenic,5524
3PcNftl2BiNgoH00q0E971,90er  Rnb HipHop  MegaHits,93,ninjosubi-de,ninjosubi-de,4573
5IYybZWavhd6mELEPfLwwb,Jazzy HipHop,48,amosdunse1,amosdunse1,4516
4oJre64WQYs8l1V69ELrrJ,HipHop Workout 2020 ( Hip-Hop Workout Mix | Rap Workout Bangers | Workout Hard ),92,tunemunk,Tunemunk Records,4192
4LK17e9zqmNscb4FSkllbJ,90’s Hiphop,288,6fax4wfd7bppetuaepx2wshg5,71pac,3832
70ykChSMK0bxtvgrLFBWxe,Hiphop dance routine,143,beluochoa1,bel,2505
2MOqzRnIikBt5jiruMRv0r,Classic Hiphop 90s & 2000s,346,muscv53pjgsju04oc8y8mzgok,Jeff,2504
6A0r9nySDSv34pZGg7GD1K,Dirty South Hiphop,195,1vrljh32x4k8j0pemb9g07fsm,DIRTY SOUTH HIPHOP,2303
5LsuUBbSaTjhQmhKYyKnOF,new fire hiphop,8,12153973,Darris Robins,2290
6YxOyEFCVb3I7L8z8KRoHr,new hiphop vibes,10,12153973,Darris Robins,2246
5w4mBmreB6eLNHIww1CI5f,favorite fire hiphop,11,12153973,Darris Robins,2239
5oloY8C1dH5vcDlyQ8Ody3,fire hiphop,7,12153973,Darris Robins,2237
65wyVrhg85JcgflEnHS3PE,new hiphop music,10,12153973,Darris Robins,2220
