track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name
6zFMeegAMYQo0mt8rXtrli,HOLIDAY,7jVv8c5Fj3E9VhNjxT4snq,Lil Nas X,4EvukZrmNBiqJbs3LwOSHu,154997,2020-11-13,90,0.81,0.511,5,-6.924,0,0.164,0.12,0.0,0.0832,0.837,151.947,6zFMeegAMYQo0mt8rXtrli,6zFMeegAMYQo0mt8rXtrli
2V6pjeOCuPBVlatcWTXUtP,Coco (feat. DaBaby),6fWVd57NKTalqvmjRd2t8Z,24kGoldn,2wIHInPRTBuGELQ3tdB3pc,142000,2020-12-04,80,0.692,0.774,7,-4.385,0,0.0872,0.146,0.0,0.155,0.533,98.066,2V6pjeOCuPBVlatcWTXUtP,2V6pjeOCuPBVlatcWTXUtP
27OeeYzk6klgBh83TSvGMA,WITHOUT YOU,2tIP7SsRs7vjIcLrU85W8J,The Kid LAROI,3YjfdLdpQcVI72uKhooZst,161384,2020-11-06,93,0.662,0.413,0,-7.357,1,0.0299,0.213,0.0,0.134,0.467,93.005,27OeeYzk6klgBh83TSvGMA,27OeeYzk6klgBh83TSvGMA
4HMFQ406JW9C5qJwo0qnz9,Moonwalking in Calabasas Remix,0WK3H9OErSn5zKOkOV5egm,DDG,2Ts8dcG84QJLkc1eBhqxa6,170232,2020-08-20,65,0.926,0.338,11,-10.195,0,0.108,0.0608,0.0,0.165,0.761,129.943,4HMFQ406JW9C5qJwo0qnz9,4HMFQ406JW9C5qJwo0qnz9
3tjFYV6RSFtuktYl3ZtYcq,Mood (feat. iann dior),6fWVd57NKTalqvmjRd2t8Z,24kGoldn,4YMnOf4a7obOcN1Gy2QEuM,140525,2020-07-24,95,0.7,0.722,7,-3.558,0,0.0369,0.221,0.0,0.272,0.756,90.989,3tjFYV6RSFtuktYl3ZtYcq,3tjFYV6RSFtuktYl3ZtYcq
4jVBIpuOiMj1crqd8LoCrJ,FRANCHISE (feat. Young Thug & M.I.A.),0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott,4Bp7LKA5Afo1PRoXuQe8qZ,202794,2020-09-25,80,0.835,0.699,8,-5.405,0,0.277,0.00671,0.0,0.195,0.547,154.981,4jVBIpuOiMj1crqd8LoCrJ,4jVBIpuOiMj1crqd8LoCrJ
6aEiA09wJa5YVFvdLYPb4n,Talk About It,0uuwZ3aC3dhl9e7J66Ag13,B.Baby,7q1WrCf4QAWPOdh1fCnu4c,141166,2020-12-21,63,0.648,0.505,8,-11.009,0,0.889,0.322,3.65e-05,0.112,0.571,92.062,6aEiA09wJa5YVFvdLYPb4n,6aEiA09wJa5YVFvdLYPb4n
4Q34FP1AT7GEl9oLgNtiWj,Mr. Right Now (feat. Drake),1URnnhqYAYcrqrcwql10ft,21 Savage,6wTyGUWGCilBFZ837k5aRi,193838,2020-10-02,81,0.647,0.667,5,-5.563,1,0.304,0.231,0.0,0.133,0.704,172.08,4Q34FP1AT7GEl9oLgNtiWj,4Q34FP1AT7GEl9oLgNtiWj
3qgPpwtuRu5oP8EtFSj8HE,SO DONE,2tIP7SsRs7vjIcLrU85W8J,The Kid LAROI,3YjfdLdpQcVI72uKhooZst,126521,2020-11-06,81,0.719,0.598,9,-6.254,1,0.077,0.232,0.0,0.115,0.303,142.592,3qgPpwtuRu5oP8EtFSj8HE,3qgPpwtuRu5oP8EtFSj8HE
4Iedi94TIaB2GGb1nMB68v,On Me,5f7VJjfbwm532GiveGC0ZK,Lil Baby,25gJpQKgXxT5CrMitr0DQO,135959,2020-12-04,82,0.856,0.564,6,-6.295,0,0.392,0.00327,0.0,0.134,0.483,77.972,4Iedi94TIaB2GGb1nMB68v,4Iedi94TIaB2GGb1nMB68v
