playlist_id,playlist_name,playlist_total_tracks,owner_id,owner_name,total_followers
37i9dQZF1DWTwnEm1IYyoj,Soft Pop Hits,232,spotify,Spotify,4761187
37i9dQZF1DX50QitC6Oqtn,Love Pop,100,spotify,Spotify,3257814
37i9dQZF1DXcZDD7cfEKhW,Pop Remix,50,spotify,Spotify,3216151
37i9dQZF1DX6aTaZa0K6VA,Pop Up,80,spotify,Spotify,3009064
37i9dQZF1DX9tPFwDMOaN1,K-Pop Daebak,50,spotify,Spotify,2786346
37i9dQZF1DWVLcZxJO5zyf,Pop Brasil,60,spotify,Spotify,2143576
37i9dQZF1DWUa8ZRTfalHk,Pop Rising,88,spotify,Spotify,2045268
37i9dQZF1DX3WvGXE8FqYX,Women of Pop,70,spotify,Spotify,2036132
37i9dQZF1DXa9wYJr1oMFq,Pop Punk Powerhouses,50,spotify,Spotify,1820227
37i9dQZF1DX1QnNyJOBQBv,Latin Pop Hits,50,spotify,Spotify,1777429
37i9dQZF1DX6ThddIjWuGT,Latin Pop Classics,100,spotify,Spotify,1550186
37i9dQZF1DX4YhSbTs17ha,Sólo Pop,90,spotify,Spotify,1367710
37i9dQZF1DWWEcRhUVtL8n,Indie Pop,125,spotify,Spotify,1354139
37i9dQZF1DXbIGqYf7WDxP,Pop Chillout,95,spotify,Spotify,1262970
37i9dQZF1DWUaThf8nMdW6,Best of '00s Pop,50,spotify,Spotify,1188456
37i9dQZF1DX5gQonLbZD9s,Pumped Pop,60,spotify,Spotify,1123954
37i9dQZF1DX3YMp9n8fkNx,'90s Pop Rock Essentials,101,spotify,Spotify,955179
37i9dQZF1DX9ASuQophyb3,Türkçe Pop,50,spotify,Spotify,905891
37i9dQZF1DX92MLsP3K1fI,Top Pop,142,spotify,Spotify,848740
37i9dQZF1DWVlLVXKTOAYa,Pop Right Now,100,spotify,Spotify,836317
37i9dQZF1DX3sCT1ItXgNd,Pop con Ñ,60,spotify,Spotify,811980
37i9dQZF1DXcxvFzl58uP7,Bedroom Pop,100,spotify,Spotify,720719
37i9dQZF1DWXJyjYpHunCf,Folk Pop,100,spotify,Spotify,700620
37i9dQZF1DXaPCIWxzZwR1,Pop Sauce,106,spotify,Spotify,694230
37i9dQZF1DWSVtp02hITpN,The Pop List,80,spotify,Spotify,678353
37i9dQZF1DXasneILDRM7B,Pure Pop Punk,50,spotify,Spotify,605887
37i9dQZF1DX1ngEVM0lKrb,Pop Internacional,100,spotify,Spotify,594151
37i9dQZF1DWWqNV5cS50j6,Anti Pop,157,spotify,Spotify,581261
37i9dQZF1DWYVURwQHUqnN,Pop Urbaine,49,spotify,Spotify,567640
37i9dQZF1DX4FcAKI5Nhzq,K-Pop Rising,72,spotify,Spotify,506176
37i9dQZF1DWTPDzakLfYZr,Popetón,70,spotify,Spotify,488827
37i9dQZF1DX0MLFaUdXnjA,Chill Pop,92,spotify,Spotify,483175
37i9dQZF1DWVlYsZJXqdym,Happy Pop Hits,50,spotify,Spotify,477029
37i9dQZF1DXarRysLJmuju,Pop All Day,78,spotify,Spotify,460799
37i9dQZF1DWYOiy3rOFsDS,Boleros Pop,100,spotify,Spotify,445525
37i9dQZF1DX4v0Y84QklHD,Classic Pop Picks,50,spotify,Spotify,434152
37i9dQZF1DWW6EwN6CPxGO,Funk Pop,70,spotify,Spotify,432475
37i9dQZF1DX07Bg0Q5GozA,OFF POP,50,spotify,Spotify,419762
37i9dQZF1DX1ewVhAJ17m4,Pop Punk's Not Dead,100,spotify,Spotify,417133
37i9dQZF1DX9L93gfg5cPa,Mega Pop Mix,100,spotify,Spotify,398665
5oxZIYU1L9N1CczN0C4JkM,Instrumental Pop Covers,519,x40fn74nzd798rvmpy6o5vue7,instrumental pop covers,392630
37i9dQZF1DX1WhyP6stXXl,Pop Brandneu,47,spotify,Spotify,392533
37i9dQZF1DWSoyxGghlqv5,Pop Study,60,spotify,Spotify,348885
37i9dQZF1DX1H4LbvY4OJi,Happy Pop,80,spotify,Spotify,334046
37i9dQZF1DX8mWv7JDZ0Ht,Pop Leve,80,spotify,Spotify,312628
37i9dQZF1DX5cc7vmfioLh,Yabancı Pop,75,spotify,Spotify,306129
37i9dQZF1DWSpF87bP6JSF,Pop Latino,50,spotify,Spotify,297484
37i9dQZF1DXcTieYAg7jq1,Retro Pop,148,spotify,Spotify,278580
37i9dQZF1DWTyTiBbDrmml,Pop Clásico,85,spotify,Spotify,273430
37i9dQZF1DWUPafHP1BJw1,Pop Goes Classical,103,spotify,Spotify,250012
37i9dQZF1DWV7FWPDK0Dg1,Flamenco Pop,60,spotify,Spotify,242974
37i9dQZF1DX7eEfahN5cwF,Pop Soul Classics,38,spotify,Spotify,242051
37i9dQZF1DXboDblu798Pk,Get Popped!,80,spotify,Spotify,239841
37i9dQZF1DX6ec78YGWIGS,Pop Argentina,100,spotify,Spotify,239343
37i9dQZF1DX8ttEdg9VJHO,Feelgood Pop,50,spotify,Spotify,201441
37i9dQZF1DX9VAqVAZ6EMr,Hinos Pop,50,spotify,Spotify,199877
37i9dQZF1DZ06evO04kFZs,This Is Pop Smoke,38,spotify,Spotify,194928
37i9dQZF1DWUSKuTscFFGY,Nouveautés Pop,50,spotify,Spotify,192844
37i9dQZF1DWXti3N4Wp5xy,Pop Party,100,spotify,Spotify,188773
