playlist_id,playlist_name,playlist_total_tracks,owner_id,owner_name,total_followers
37i9dQZF1DX0XUsuxWHRQd,RapCaviar,50,spotify,Spotify,13602078
37i9dQZF1DX76t638V6CA8,Rap Workout,59,spotify,Spotify,1281129
37i9dQZF1DWSIvbYYt1Dvi,RAPública,60,spotify,Spotify,996480
37i9dQZF1DX8Kgdykz6OKj,Jazz Rap,100,spotify,Spotify,780266
37i9dQZF1DX6PKX5dyBKeq,Rap UK,76,spotify,Spotify,722633
37i9dQZF1DWU4xkXueiKGW,Fresh Rap,51,spotify,Spotify,632377
4Ao85ZB0F474SYUelDH1Xi,Sad Rap,137,promotingsounds,Promoting Sounds,472623
37i9dQZF1DX0Na9FTYame5,Rap in deep,50,spotify,Spotify,444294
37i9dQZF1DXcd2Vmhfon1w,Rap Español,50,spotify,Spotify,365002
37i9dQZF1DWTgSTuHRv7LV,Mucho Rap,50,spotify,Spotify,359990
37i9dQZF1DWXfi2vTRVTna,This Is O Rappa,30,spotify,Spotify,348524
37i9dQZF1DWTf69iQOGkD2,Rap Acústico,83,spotify,Spotify,323439
37i9dQZF1DX5jNEiuvPyWr,Cloud Rap,50,spotify,Spotify,312235
37i9dQZF1DXawlg2SZawZf,Classiques du Rap US,61,spotify,Spotify,288948
37i9dQZF1DXdxFkXW4j8RX,Rap Chileno,100,spotify,Spotify,281041
2YLYJT19TUBMD4eDQEnivw,Workout Motivation / HipHop / Rap 2021,149,uptown_as,uptown_as,265046
37i9dQZF1DWSrqNVMcxGKc,Classiques du Rap Français,50,spotify,Spotify,253477
37i9dQZF1DXcEJw9C2rUbi,Rap oder Liebe,50,spotify,Spotify,252633
0MF1XGKzqqeL0ZHeqMrq7R,Rap Fr | Rap Francais 2021 | Hits Rap,68,digster.fr,Digster France,208095
5772HGqmp2E99GQo5tfmcJ, 90's Rap / HipHop,221,19jconnell79,19jconnell79,193793
37i9dQZF1DWUQru3jd69v5,Raptopia,45,spotify,Spotify,186353
37i9dQZF1DWXRPjCBAuFj3,Rap Internazionale,55,spotify,Spotify,175306
0mSf78pnq5xVU6kOtdv6dx,Chill Rap Playlist,179,promotingsounds,Promoting Sounds,170613
4l1CEhc7ZPbaEtiPdCSGbl,Rap Francais 2021,65,thomas.guenancia,Thomas Guenancia,158628
37i9dQZF1DX40O80BIPklU,Rap en Español,60,spotify,Spotify,143073
37i9dQZF1DX37pZLd58ED5,Mezzanotte Chill Rap,52,spotify,Spotify,129788
5ySBdOIQPpfpCO75lu20Uq,Chill Rap,192,irhvzi9jf9q9nolzou6g35wra,musiphy,128411
38iI10NJQ5HY0ilCItMz5r,Rap 2021 | Hip Hop & Rap  Hits 2021,118,kpu7ttyvk94i360ju1ym63upj,Desired Music,128370
37i9dQZF1DXdpF2suW27SP,Rap Tuga,60,spotify,Spotify,127602
1M25OrTF4Zr6T1LJ7XGzx4,Clean Rap 2020-2021 / Best Clean Rap Hits 🔥,600,ikd5w5sgnw6dbvzb3vfaycex8,KULTPOP!,117249
37i9dQZF1DWW5pQp5JqjY4,RapCaviar Presents... Best Hip-Hop Songs of 2020,50,spotify,Spotify,109844
37i9dQZF1DWXo9v62EXLlM,Rap sztosy,70,spotify,Spotify,101020
37i9dQZF1DX1ct2TQrAvRf,RAP 91,72,spotify,Spotify,95815
5eYb5BMPeWH4aiD2mv3bb2,Ala Türkçe Rap,76,alatokel,alatokel,95692
37i9dQZF1DXdhDukKQ88Cc,DK rap,62,spotify,Spotify,92175
37i9dQZF1DX2y6end4Tb8T,Rap Skills,100,spotify,Spotify,88181
37i9dQZF1DWYBofUhpgE88,Rap Motivazionale,40,spotify,Spotify,84735
598jBq5x1Jg6YwqYDUf3xb,Chill Rap Vibes 2021 ,92,metrmusic,metr,82657
37i9dQZF1DWSxF6XNtQ9Rg,Hit Rap Italiane,70,spotify,Spotify,75403
37i9dQZF1DX5cpU86I7OAy,Svensk Rap,80,spotify,Spotify,68454
0FAb3s3yJArWnikZbEOO9p,HIP HOP 2021 🔥 New Rap & Trap Hits,179,williamdzn,Soy William,62726
10j2Ju2XhtSBAYyjLxoAo1,Chill Rap Vibes,746,graemecharterspotify,graemecharterspotify,62419
2Ra5hGLAyFvWiRJEXNjeUD,Rap 2021 by SKRT,223,m210vtjz6mr4cind3o7jkmqxz,SKRT,59732
0vHJEpZtv6IaNi6ELq2Pg1,GENERATIONEN - Dansk Rap 2021,313,sonymusicdenmark,Filtr Danmark,58809
3VwlaafldslRaaWq8vsU6S,2000s Hip Hop / Rap,385,1228891937,Matt Hingle,58610
37i9dQZF1DXa3d3ljLBxSG,Rap motywacja,60,spotify,Spotify,55341
5Djnt1SjSdvkAWm41tVAZB,Rap US 2020,56,grefml3x5uyg5fh5hcw9dr8l0,edwardNicholas,53158
4X3f7cuU0EtRZN3BKfLmls,Gym Rap | Workout Rap 2021,114,kor3wjfaaobanwyyg77wuqzag,TodaysGeneration,43199
2o1qRzi61Qpzv8mB7aBPaP,American Rap 🇺🇸,282,sjoerdbosmuiderberg,Sjoerd Bos,42859
7z61o6acJK0TqCIlbc0d9d,Rap💥Playlist,3,ziiul8sucjm6w75b8znh9az1z,Ender Demir,35477
5zVTjqiHYpNyF8EzJ96Aqb,RapCloud,42,z9fgk0o70m9q15yydnwy1gziw,RapCloud,33419
4wJJY7tYsrxhHGpGYuJo7K,WORKOUT RAP 2021 🔥 ,84,b2umpujki69td3thrxvmu0ajn,Bass Lovers,33244
4dx099NEMVYP8l2YFq8xTL,RAP FRANÇAIS 🇫🇷 ,187,adil2k7xbnt8lzx0qxuyccbjy,@spoti.nath | Instagram,32128
37i9dQZF1DX5qf3Iz15QLv,Bago Sa Rap,60,spotify,Spotify,31891
0Cvbuwej6GdgQw5pJ51TtH,Rap Songs 2021  🔥  Rap Music : Hype Music ,71,sanik007,Indiemono,31378
37i9dQZF1DWZyonhntyFxW,Rap Egypt,50,spotify,Spotify,24874
6fy8pUHjKDJX78gB1EjX8j,Sleep Rap 💤 ,417,nd6dhbl1608063ojohuzilejo,Ardayh,22235
37i9dQZF1DWSQqwba4QPMZ,RapPrezent,60,spotify,Spotify,20772
6oyC0iXdugI7cLEZ6AJkEX,hype rap everyone knows,112,am31jxzg59kadkqw4gkdzly37,pragya mathur,20022
37i9dQZF1DWYtEjm4ihp5w,RapMaroc,55,spotify,Spotify,15196
37i9dQZF1DXczv0e5n6k9E,Hot Greek Rap,50,spotify,Spotify,14417
