playlist_id,playlist_name,playlist_total_tracks,owner_id,owner_name,total_followers
37i9dQZF1DWY7IeIP1cdjF,Baila Reggaeton,50,spotify,Spotify,10183364
37i9dQZF1DWZjqjZMudx9T,Mansión Reggaetón,50,spotify,Spotify,3354466
37i9dQZF1DXbSbnqxMTGx9,Reggae Classics,60,spotify,Spotify,2327207
37i9dQZF1DX8SfyqmSFDwe,Reggaeton Classics,100,spotify,Spotify,2091803
7xWuNevFBmwnFEg6wzdCc7,Reggaeton 2021 ☀️,308,12127298960,Diego Fernando Bravo,1304389
37i9dQZF1DWVYs6zNzJ0ci,Reggae en Español,100,spotify,Spotify,1155384
37i9dQZF1DWTMlvEhEJDRB,Nação Reggae,70,spotify,Spotify,478902
37i9dQZF1DWWU6Rfto8Ppm,Reggaetón Viejito,200,spotify,Spotify,463272
37i9dQZF1DXbwoaqxaoAVr,Sunshine Reggae,65,spotify,Spotify,458224
4csIMGPI3aGo3Xy7WG8jBi,Todo Reggaeton,100,el_listón,Digster España,400553
37i9dQZF1DX3mvx0imueXo,Island Reggae,48,spotify,Spotify,349892
03sDEv7FN58Mb9CJOs1Tgn,Reggaeton 2021 😍 🔥,125,12168854749,Alex Garcia,282305
37i9dQZF1DWYtKpmml7moA,Chilled Reggae,49,spotify,Spotify,277086
37i9dQZF1DWSkkUxEhrBdF,Reggae Infusions,56,spotify,Spotify,269653
4B5rhAH80qM2Sj3wCyr0jC,REGAETON 2021 🍑 REGGAETON 2021 HITS,200,partyfiesta!,partyfiesta!,249822
08mTMG7Xc6kBj4r1qdInNO,Reggaeton Viejito🔥,258,12163988544,Adriana Murrieta,211828
37i9dQZF1DWZpPC3clG38j,Pinoy Reggae,31,spotify,Spotify,201240
37i9dQZF1DX8TCaiq7EoZA,Reggae Acústico,30,spotify,Spotify,163912
37i9dQZF1DXco4ODkIraMD,Reggaetón Rewind,125,spotify,Spotify,159153
4vZCzdgMj0tH8OA3bkGkVE,REGGEATON 2021 : 'El Mejor Reggaeton 2021',100,mejoresplaylistsspotify,Filtr Éxitos,157272
061xZeYgr9dCCYh2MWovDs,Reguetón 2021 | Lo Más Nuevo | Reggaeton 2020,69,kunkbox,Kunkbox,115379
