track_id,name,popularity,duration_ms,artist_id,artist_name,num_artists,playlist_id,playlist_name
41BzKiCrKpUQHS3TP0jmdr,Agua de Jamaica,69,176970,1r4hJ1h58CWwUQe3MxPuau,Maluma,1,37i9dQZF1DWY7IeIP1cdjF,Baila Reggaeton
1xK1Gg9SxG8fy2Ya373oqb,Bandido,91,232853,"['7iK8PXO48WeuP03g8YR51W', '2LmcxBak1alK1bf7d1beTr']","['Myke Towers', 'Juhn']",2,37i9dQZF1DWY7IeIP1cdjF,Baila Reggaeton
7LE1K0lZyRFZjSlrnm7lfD,"La Curiosidad (feat. Dj Nelson, Jhay Cortez, Lunay & Kendo Kaponi) - Blue Grand Prix Remix",82,382555,"['2cPqdH7XMvwaBJEVjheH8g', '7iK8PXO48WeuP03g8YR51W', '1mcTU81TzQhprhouKaTkpq', '2ydZrTy8U3kOMOzx20s3dg', '0EFisYRi20PTADoJrifHrz', '47MpMsUfWtgyIIBEFOr4FE', '1WMwuNKzEFtU6pPkdtryYS']","['Jay Wheeler', 'Myke Towers', 'Rauw Alejandro', 'DJ Nelson', 'Jhay Cortez', 'Lunay', 'Kendo Kaponi']",7,37i9dQZF1DWY7IeIP1cdjF,Baila Reggaeton
47EiUVwUp4C9fGccaPuUCS,DÁKITI,94,205090,"['4q3ewBCX7sLwd24euuV69X', '0EFisYRi20PTADoJrifHrz']","['Bad Bunny', 'Jhay Cortez']",2,37i9dQZF1DWY7IeIP1cdjF,Baila Reggaeton
73O30uMI7n6DuzBmbtO7kC,Antes,81,206586,"['2R21vXR83lH98kGeO99Y66', '1i8SpTcr7yvPOmcqrbnVXY']","['Anuel AA', 'Ozuna']",2,37i9dQZF1DWY7IeIP1cdjF,Baila Reggaeton
7ndTONDDRFGiPnnhOzOXxq,La Nota,90,216107,"['0tmwSHipWxN12fsoLcFU3B', '1mcTU81TzQhprhouKaTkpq', '7iK8PXO48WeuP03g8YR51W']","['Manuel Turizo', 'Rauw Alejandro', 'Myke Towers']",3,37i9dQZF1DWY7IeIP1cdjF,Baila Reggaeton
7vrJn5hDSXRmdXoR30KgF1,BICHOTA,94,178946,790FomKkXshlbRYZFtlgla,KAROL G,1,37i9dQZF1DWY7IeIP1cdjF,Baila Reggaeton
70uX4beGHc1nQikXveOknp,Mala Costumbre,78,230728,"['0tmwSHipWxN12fsoLcFU3B', '1wZtkThiXbVNtj6hee6dz9']","['Manuel Turizo', 'Wisin & Yandel']",2,37i9dQZF1DWY7IeIP1cdjF,Baila Reggaeton
4C6BlqqMwjFzOXzqpTeoWR,Ponte Pa' Mi,84,202373,14zUHaJZo1mnYtn6IBRaRP,Justin Quiles,1,37i9dQZF1DWY7IeIP1cdjF,Baila Reggaeton
4J1Xxrqi4YEhclPzYbvo6V,La Neta,70,174545,1pQWsZQehhS4wavwh7Fnxd,Lenny Tavárez,1,37i9dQZF1DWY7IeIP1cdjF,Baila Reggaeton
4PEfJZpVjdclfzZ9XO8uDw,Hasta Abajo,81,229826,"['1RBzGO6Nm3uyhUSxP7EDWO', '6w9ToX5slZ4uIdmD17hJ3c', '1Ts9of7VPZElwPQnqnDSfW']","['Kevin Roldan', 'Bryant Myers', 'Lyanno']",3,37i9dQZF1DWY7IeIP1cdjF,Baila Reggaeton
5y7DaS3jAc9eZzcSOoUIwU,Una Locura,88,230693,"['1i8SpTcr7yvPOmcqrbnVXY', '1vyhD5VmyZ7KMfW5gqLgo5', '37230BxxYs9ksS7OkZw3IU']","['Ozuna', 'J Balvin', 'Chencho Corleone']",3,37i9dQZF1DWY7IeIP1cdjF,Baila Reggaeton
5xwjEzvJ2OSdnHlzusKNYA,CHIMBITA,74,156533,"['2LRoIwlKmHjgvigdNGBHNo', '51XrH5fQP2oIQynuKxSWcW']","['Feid', 'Sky Rompiendo']",2,37i9dQZF1DWY7IeIP1cdjF,Baila Reggaeton
69Y5IZuBvGyzySFt5x7kCq,Más De La Una,83,236731,"['4bw2Am3p9ji3mYsXNXtQcd', '1r4hJ1h58CWwUQe3MxPuau']","['Piso 21', 'Maluma']",2,37i9dQZF1DWY7IeIP1cdjF,Baila Reggaeton
3VvA1wSxukMLsvXoXtlwWx,Hecha Pa' Mi,91,186133,2NfSBtmWe7oPw1EmetJVso,Boza,1,37i9dQZF1DWY7IeIP1cdjF,Baila Reggaeton
5zj8WNkBrEzlI5FKeYV4ol,La Luz,83,216746,"['77ziqFxp5gaInVrF2lj4ht', '1vyhD5VmyZ7KMfW5gqLgo5']","['Sech', 'J Balvin']",2,37i9dQZF1DWY7IeIP1cdjF,Baila Reggaeton
20vM5hycZtDFwvpNWXU6su,Fantasia Sexual,75,253469,"['00XhexlJEXQstHimpZN910', '7iK8PXO48WeuP03g8YR51W', '47MpMsUfWtgyIIBEFOr4FE', '2wYOpkTJZGByNEOjEnSmoW', '1mcTU81TzQhprhouKaTkpq']","['Brytiago', 'Myke Towers', 'Lunay', 'Revol', 'Rauw Alejandro']",5,37i9dQZF1DWY7IeIP1cdjF,Baila Reggaeton
5RubKOuDoPn5Kj5TLVxSxY,TE MUDASTE,88,130013,4q3ewBCX7sLwd24euuV69X,Bad Bunny,1,37i9dQZF1DWY7IeIP1cdjF,Baila Reggaeton
5Bc130ZswADfOY9bxk1y98,"A Mi También ft. Alvaro Diaz, Feid",70,171832,"['0GM7qgcRCORpGnfcN2tCiB', '5J7rXWjtn5HzUkJ4Jet8Fr', '2LRoIwlKmHjgvigdNGBHNo']","['Tainy', 'Alvaro Diaz', 'Feid']",3,37i9dQZF1DWY7IeIP1cdjF,Baila Reggaeton
2k6bBYA3qx3UJh6PsOq8R4,Cuando Bebe,70,206750,"['7iK8PXO48WeuP03g8YR51W', '5RVuxgqu3esPo4LIrf4HUs', '3EiLUeyEcA6fbRPSHkG5kb', '1Ts9of7VPZElwPQnqnDSfW', '68RF5OHUlOjlXcBZ7pxZQk', '2T1aUibqR2QC2sINIDQOAK', '64aJYyrXljOodnUG6jvhRD']","['Myke Towers', 'Jay Menez', 'De La Ghetto', 'Lyanno', 'Kingz Daddy', 'Mambo Kingz', 'DJ Luian']",7,37i9dQZF1DWY7IeIP1cdjF,Baila Reggaeton
2etJ67Egf7woMgOikVrlJM,Travesuras,80,204180,"['2oT7xd9iTO2ejLsNGIMa5f', '5hdhHgpxyniooUiQVaPxQ0', '1fux65HMCBvfJHqlBc4Nno']","['Flow La Movie', 'Nio Garcia', 'Casper Magico']",3,37i9dQZF1DWY7IeIP1cdjF,Baila Reggaeton
