track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name
41BzKiCrKpUQHS3TP0jmdr,Agua de Jamaica,1r4hJ1h58CWwUQe3MxPuau,Maluma,7vZC8PTQUCcw3687OxqY98,176970,2021-01-28,69,0.664,0.665,10,-3.616,1,0.0879,0.123,0.0,0.411,0.726,173.961,41BzKiCrKpUQHS3TP0jmdr,41BzKiCrKpUQHS3TP0jmdr
1xK1Gg9SxG8fy2Ya373oqb,Bandido,7iK8PXO48WeuP03g8YR51W,Myke Towers,5sIyJyOgwEIOgBhLxIGG3t,232853,2020-12-10,91,0.713,0.617,8,-4.637,1,0.0887,0.122,0.0,0.0962,0.682,168.021,1xK1Gg9SxG8fy2Ya373oqb,1xK1Gg9SxG8fy2Ya373oqb
7LE1K0lZyRFZjSlrnm7lfD,"La Curiosidad (feat. Dj Nelson, Jhay Cortez, Lunay & Kendo Kaponi) - Blue Grand Prix Remix",2cPqdH7XMvwaBJEVjheH8g,Jay Wheeler,0KhKYoSXQqEnXDRmIKMmGm,382555,2020-12-17,82,0.841,0.674,2,-5.35,1,0.0962,0.104,0.0,0.131,0.761,90.007,7LE1K0lZyRFZjSlrnm7lfD,7LE1K0lZyRFZjSlrnm7lfD
47EiUVwUp4C9fGccaPuUCS,DÁKITI,4q3ewBCX7sLwd24euuV69X,Bad Bunny,43dl8hP5uNN9s6YeeJA5fv,205090,2020-10-30,94,0.731,0.573,4,-10.059,0,0.0544,0.401,5.22e-05,0.113,0.145,109.928,47EiUVwUp4C9fGccaPuUCS,47EiUVwUp4C9fGccaPuUCS
73O30uMI7n6DuzBmbtO7kC,Antes,2R21vXR83lH98kGeO99Y66,Anuel AA,28adqly9V7wm5DFr7hlqtK,206586,2021-01-22,81,0.817,0.737,6,-5.453,0,0.102,0.046,1.57e-05,0.092,0.67,93.985,73O30uMI7n6DuzBmbtO7kC,73O30uMI7n6DuzBmbtO7kC
7ndTONDDRFGiPnnhOzOXxq,La Nota,0tmwSHipWxN12fsoLcFU3B,Manuel Turizo,61qU7ompl7BKKGEgsbO4Ly,216107,2020-10-08,90,0.736,0.632,11,-4.939,0,0.0648,0.18,0.0,0.349,0.503,92.03,7ndTONDDRFGiPnnhOzOXxq,7ndTONDDRFGiPnnhOzOXxq
7vrJn5hDSXRmdXoR30KgF1,BICHOTA,790FomKkXshlbRYZFtlgla,KAROL G,6LO6I2uJMkc0u7GHBYHa4Y,178946,2020-10-23,94,0.863,0.666,1,-4.158,0,0.152,0.212,0.000493,0.103,0.838,163.908,7vrJn5hDSXRmdXoR30KgF1,7vrJn5hDSXRmdXoR30KgF1
70uX4beGHc1nQikXveOknp,Mala Costumbre,0tmwSHipWxN12fsoLcFU3B,Manuel Turizo,1YJjyV8YutIhzL4MWAB1LY,230728,2021-01-07,78,0.823,0.772,0,-4.935,1,0.0591,0.243,0.0,0.118,0.582,96.001,70uX4beGHc1nQikXveOknp,70uX4beGHc1nQikXveOknp
4C6BlqqMwjFzOXzqpTeoWR,Ponte Pa' Mi,14zUHaJZo1mnYtn6IBRaRP,Justin Quiles,3Nle45IcWgxIkXQw8EtYq1,202373,2020-11-20,84,0.878,0.713,5,-4.566,0,0.0948,0.0581,0.0,0.0822,0.615,92.028,4C6BlqqMwjFzOXzqpTeoWR,4C6BlqqMwjFzOXzqpTeoWR
4J1Xxrqi4YEhclPzYbvo6V,La Neta,1pQWsZQehhS4wavwh7Fnxd,Lenny Tavárez,3I3NjslmEdUiChC5Wyfc5W,174545,2021-01-14,70,0.812,0.774,11,-2.081,0,0.275,0.134,0.00039,0.108,0.742,175.84,4J1Xxrqi4YEhclPzYbvo6V,4J1Xxrqi4YEhclPzYbvo6V
4PEfJZpVjdclfzZ9XO8uDw,Hasta Abajo,1RBzGO6Nm3uyhUSxP7EDWO,Kevin Roldan,0UEG3km1FB7nGZHwiSun8x,229826,2019-10-04,81,0.714,0.671,5,-5.119,1,0.362,0.289,0.0,0.325,0.641,169.732,4PEfJZpVjdclfzZ9XO8uDw,4PEfJZpVjdclfzZ9XO8uDw
5y7DaS3jAc9eZzcSOoUIwU,Una Locura,1i8SpTcr7yvPOmcqrbnVXY,Ozuna,69iuPQsXel3luOSDNF0q2Q,230693,2020-09-04,88,0.714,0.761,5,-4.596,0,0.0427,0.139,0.00035,0.241,0.906,168.022,5y7DaS3jAc9eZzcSOoUIwU,5y7DaS3jAc9eZzcSOoUIwU
5xwjEzvJ2OSdnHlzusKNYA,CHIMBITA,2LRoIwlKmHjgvigdNGBHNo,Feid,4EzWlTDdNOPHfMZZmqHOxr,156533,2020-12-11,74,0.683,0.673,1,-4.434,0,0.2,0.14,1.02e-06,0.109,0.507,185.942,5xwjEzvJ2OSdnHlzusKNYA,5xwjEzvJ2OSdnHlzusKNYA
69Y5IZuBvGyzySFt5x7kCq,Más De La Una,4bw2Am3p9ji3mYsXNXtQcd,Piso 21,0fz7mvsACRDrvT5PYTt4U9,236731,2020-12-03,83,0.605,0.8,10,-3.018,1,0.312,0.518,0.000128,0.0763,0.732,92.284,69Y5IZuBvGyzySFt5x7kCq,69Y5IZuBvGyzySFt5x7kCq
3VvA1wSxukMLsvXoXtlwWx,Hecha Pa' Mi,2NfSBtmWe7oPw1EmetJVso,Boza,1dzGsItgF4Gp1G4TNsdoXU,186133,2020-07-31,91,0.725,0.756,4,-5.013,1,0.0572,0.362,0.000685,0.103,0.828,100.07,3VvA1wSxukMLsvXoXtlwWx,3VvA1wSxukMLsvXoXtlwWx
5zj8WNkBrEzlI5FKeYV4ol,La Luz,77ziqFxp5gaInVrF2lj4ht,Sech,68JMNFwtqRgtdY4ufFG8EE,216746,2020-10-31,83,0.665,0.697,9,-4.819,0,0.154,0.427,1.39e-05,0.599,0.556,94.053,5zj8WNkBrEzlI5FKeYV4ol,5zj8WNkBrEzlI5FKeYV4ol
20vM5hycZtDFwvpNWXU6su,Fantasia Sexual,00XhexlJEXQstHimpZN910,Brytiago,4sEb19IjG8t64m64B7rbbK,253469,2021-01-13,75,0.831,0.625,1,-3.576,1,0.0851,0.179,0.0,0.104,0.267,98.011,20vM5hycZtDFwvpNWXU6su,20vM5hycZtDFwvpNWXU6su
5RubKOuDoPn5Kj5TLVxSxY,TE MUDASTE,4q3ewBCX7sLwd24euuV69X,Bad Bunny,2d9BCZeAAhiZWPpbX9aPCW,130013,2020-11-27,88,0.811,0.637,10,-4.835,0,0.0591,0.234,0.000572,0.118,0.471,92.025,5RubKOuDoPn5Kj5TLVxSxY,5RubKOuDoPn5Kj5TLVxSxY
5Bc130ZswADfOY9bxk1y98,"A Mi También ft. Alvaro Diaz, Feid",0GM7qgcRCORpGnfcN2tCiB,Tainy,4cvaXlyY8HozBQXr6VzsEU,171832,2020-12-18,70,0.761,0.644,9,-4.496,1,0.0523,0.344,1.55e-06,0.274,0.696,83.986,5Bc130ZswADfOY9bxk1y98,5Bc130ZswADfOY9bxk1y98
2k6bBYA3qx3UJh6PsOq8R4,Cuando Bebe,7iK8PXO48WeuP03g8YR51W,Myke Towers,1MvJIFW3YdPA3MYlO36ipm,206750,2021-01-08,70,0.736,0.639,6,-7.465,1,0.0885,0.181,7.35e-05,0.18,0.698,180.07,2k6bBYA3qx3UJh6PsOq8R4,2k6bBYA3qx3UJh6PsOq8R4
2etJ67Egf7woMgOikVrlJM,Travesuras,2oT7xd9iTO2ejLsNGIMa5f,Flow La Movie,6aKBvPUoqy0brM7geYXPLn,204180,2020-11-05,80,0.756,0.83,1,-5.288,1,0.0842,0.182,0.000384,0.227,0.422,175.961,2etJ67Egf7woMgOikVrlJM,2etJ67Egf7woMgOikVrlJM
2mM3gZ0BbPwPPMelbA8vgt,No Te Enamores - Remix,7kXCcNRLEnblbTAppPraBp,Milly,77aeZo4yYPoMsnnRtPPpuk,289933,2020-11-20,83,0.824,0.837,5,-4.603,1,0.107,0.573,1.66e-05,0.271,0.58,100.021,2mM3gZ0BbPwPPMelbA8vgt,2mM3gZ0BbPwPPMelbA8vgt
