playlist_id,playlist_name,playlist_total_tracks,owner_id,owner_name,total_followers
37i9dQZF1DWXRqgorJj26U,Rock Classics,145,spotify,Spotify,8743130
37i9dQZF1DXcF6B6QPhFDv,Rock This,50,spotify,Spotify,4490659
37i9dQZF1DX1rVvRgjX59F,90s Rock Anthems,150,spotify,Spotify,4111532
37i9dQZF1DWYN0zdqzbEwl,Rock en Español,60,spotify,Spotify,3829864
37i9dQZF1DX3oM43CtKnRV,00s Rock Anthems,50,spotify,Spotify,3474724
37i9dQZF1DX6xOPeSOGone,Soft Rock,100,spotify,Spotify,2818775
37i9dQZF1DX8FwnYE6PRvL,Rock Party,50,spotify,Spotify,1820009
37i9dQZF1DX68H8ZujdnN7,’80s Hard Rock,104,spotify,Spotify,1537344
37i9dQZF1DX2sUQwD7tbmL,Feel-Good Indie Rock,200,spotify,Spotify,1380489
37i9dQZF1DWWRktbhJiuqL,Pure Rock & Roll,100,spotify,Spotify,1339217
37i9dQZF1DX49jUV2NfGku,Rock Solid,80,spotify,Spotify,1178566
37i9dQZF1DX3YMp9n8fkNx,'90s Pop Rock Essentials,101,spotify,Spotify,955863
37i9dQZF1DXcmaoFmN75bi,Rock Forever,95,spotify,Spotify,924098
37i9dQZF1DWZYWNM3NfvzJ,Beast Mode Rock,100,spotify,Spotify,848028
37i9dQZF1DXb3m918yXHxA,Yacht Rock,169,spotify,Spotify,799344
3Ho3iO0iJykgEQNbjB2sic,"Classic Rock 70s 80s 90s, Rock Classics - 70s Rock, 80s Rock, 90s Rock, Rock Classicos",631,juan20150,Juan20150,781051
37i9dQZF1DWWJOmJ7nRx0C,Rock Hard,135,spotify,Spotify,745297
37i9dQZF1DX1te6miphixI,Radio Rock,50,spotify,Spotify,726040
20LKsiDZd4ALrlihncFcFa,90s Alternative Rock,100,myplay.com,Filtr US,715680
37i9dQZF1DWSDoVybeQisg,Psychedelic Rock,50,spotify,Spotify,708873
37i9dQZF1DX0rCrO4CFRfM,Acoustic Rock,50,spotify,Spotify,674810
37i9dQZF1DWUoqEG4WY6ce,Indie Rock Road Trip,89,spotify,Spotify,613764
37i9dQZF1DWWzBc3TOlaAV,60s Rock Anthems,101,spotify,Spotify,574255
37i9dQZF1DWWzBc3TOlaAV,60s Rock Anthems,101,spotify,Spotify,574255
37i9dQZF1DX4vth7idTQch,Rockhymnen,100,spotify,Spotify,547223
37i9dQZF1DWXs1L3AC0Xio,Rock Ballads,75,spotify,Spotify,531680
37i9dQZF1DX2S9rTKTX6JP,Rock Covers,100,spotify,Spotify,520072
37i9dQZF1DXdOEFt9ZX0dh,Classic Rock Drive,150,spotify,Spotify,496618
37i9dQZF1DXbMYUPb05hjJ,Garage Rock Revival,90,spotify,Spotify,479136
37i9dQZF1DXbFRZSqP41al,Rock Your Body,50,spotify,Spotify,468374
37i9dQZF1DWYDQ8wBxd7xt,Pinoy Classic Rock,63,spotify,Spotify,467333
37i9dQZF1DX0xLQsW8b5Zx,Rockabilly Mania,60,spotify,Spotify,443519
37i9dQZF1DX6hvx9KDaW4s,The Rock Workout,60,spotify,Spotify,441793
37i9dQZF1DXat5j4Lk8UEj,Folk Rock Favorites,100,spotify,Spotify,436609
37i9dQZF1DWUNNEvaozpW5,Rock Español,70,spotify,Spotify,428208
37i9dQZF1DWTMU14XJYy0g,Rock Argentino,88,spotify,Spotify,425521
37i9dQZF1DWTMU14XJYy0g,Rock Argentino,88,spotify,Spotify,425521
37i9dQZF1DX2aneNMeYHQ8,Rockin' Vibes,126,spotify,Spotify,421537
37i9dQZF1DWYNSm3Z3MxiM,Classic Rock Workout,65,spotify,Spotify,410323
37i9dQZF1DX23YPJntYMnh,Funk Rock,60,spotify,Spotify,395146
37i9dQZF1DWZjmJmeiazwd,Ultimate Rock Gaming,150,spotify,Spotify,390650
5BygwTQ3OrbiwVsQhXFHMz,Classic Rock,135,sonymusicfinland,Filtr Finland,382882
37i9dQZF1DX3RfxtU3KC3j,Türkçe Rock,50,spotify,Spotify,372551
37i9dQZF1DWXTHBOfJ8aI7,Légendes du Rock,60,spotify,Spotify,359734
37i9dQZF1DWY6vTWIdZ54A,Dirty Rock,135,spotify,Spotify,359285
37i9dQZF1DXdSo2zQhniZC,Aussie Rock Classics,60,spotify,Spotify,350318
37i9dQZF1DWWH0izG4erma,Country Rocks,67,spotify,Spotify,328257
37i9dQZF1DX35DWKgAk2B5,Indie Rock Club,50,spotify,Spotify,320804
37i9dQZF1DWYMHB55fgZrY,Iconos del Rock Mexicano,200,spotify,Spotify,313730
37i9dQZF1DWZeuoGxfO4e2,Iconos del Rock Latinoamericano,100,spotify,Spotify,275673
37i9dQZF1DWZJhOVGWqUKF,Rock Rotation,100,spotify,Spotify,252824
37i9dQZF1DX99DRG9N39X3,10s Rock Anthems,50,spotify,Spotify,250268
37i9dQZF1DX9bvVeeesP1m,Anadolu Rock,50,spotify,Spotify,205635
37i9dQZF1DX1X7WV84927n,Hard Rock,120,spotify,Spotify,199633
37i9dQZF1DX7Ku6cgJPhh5,Rock Drive,100,spotify,Spotify,195046
37i9dQZF1DX7Z7kYpKKGTc,Rock Love Songs,50,spotify,Spotify,192317
01zzqHy5rv189lOqeLJgl9,Rock 80-90 Internacional,202,12185592411,Sem perfil,158699
37i9dQZF1DWTfrr8pte1rT,Rocktronic,75,spotify,Spotify,157692
7hihXEo683OGE9P04HZ1XE,Rocket League,68,playstation_music,PlayStation™️ Music,117788
3rEtasq7NeGLOrLRxwBCUb,ROCK INTERNACIONAL 🤘,184,marcus.pca,13817201948,104698
37i9dQZF1DX6TIU4D13lOY,Soft Rock Drive,80,spotify,Spotify,101567
37i9dQZF1DX8pxtTvJ2V4V,Best of Rock: 1980,60,spotify,Spotify,91584
37i9dQZF1DX2EykupcJRsV,This Is A$AP Rocky,49,spotify,Spotify,85326
37i9dQZF1DXb9ynY7YLqCC,Rock Barrial,80,spotify,Spotify,79967
37i9dQZF1DX4vCk1GJH7zl,Rock Leve,73,spotify,Spotify,74667
37i9dQZF1DX2UyG74cWOyT,Rock This Presents...Best Rock Songs of 2020,105,spotify,Spotify,68995
3eobMiJrHHSCQ3U0LJLTg0,Rocky Balboa Motivation,61,uster8hdylghmf0kxl7ieigm8,Goliath,65102
56dbowk1V5ycS5jW7DSvi5,Blues Rock,64,100yearsoftheblues,100 Years Of The Blues,61847
37i9dQZF1DXc8YFRm3hen8,Rock del Día,80,spotify,Spotify,50572
37i9dQZF1DX1helbHcrYM1,Modern Rock,100,spotify,Spotify,45212
37i9dQZF1DX1o1CavDfr20,Rock Callejero,70,spotify,Spotify,43194
6gUFdcGzKAHyDXY9TKC6cP,Classic Rock Retrogamer,300,playstation_music,PlayStation™️ Music,36371
37i9dQZF1DWWsq4e0rDzty,Rock School,73,spotify,Spotify,35647
37i9dQZF1DX2SThom9u2re,Bollywood Rock,40,spotify,Spotify,35446
0v4DvG8cBpHGOBOxVuVvgV,Country Rock Hits,92,joppek27,joppek27,30902
37i9dQZF1DX6tTgVVjGVN7,Clásicos del Rock,50,spotify,Spotify,29568
0y8MUle9Lf8VDNjPsskzJB,Rock Ballads 80s 90s | Best Rock Love Songs 80's 90's Music Hits,52,listanauta,Listanauta,26014
37i9dQZF1DX50zbPdCCGia,70s Soft Rock,100,spotify,Spotify,26013
37i9dQZF1DXatFAWyNT5ad,Pop Rock,80,spotify,Spotify,25665
37i9dQZF1DXccljMjoDjBT,80s Soft Rock,100,spotify,Spotify,24482
37i9dQZF1DWUVz2IHyFor3,Rock FM,100,spotify,Spotify,23396
37i9dQZF1DXe3fHHqLkbnV,90s Soft Rock,100,spotify,Spotify,22141
5xLbtujmZBZAMI7HJFj6if,Rock ballads - Slow Rock - Power Ballads - Soft Rock - Love songs,150,aibiec8,aibiec8,16200
1OqJYcbB1WBS7uwTUk9gcZ,Rock Gaúcho (as Melhores),80,pww1rterul1a75dfssng2kr57,Di Pietro,2766
1noSANq3yuDDxti7zU7vy6,"Rock hard, train hard!",76,5b1womgdt889nc2fdh1xf0oli,Memelistas MX,1406
51jmytNPDjIn6gyoNxtZBm,Rock Peruano de Combi ,231,31knyqz5zog6t5cuzdwdkohyqstu,PeruvianSongsParaTomaryLlorar,1374
1jHCKNXCQpdQJxH7I23ppe,Rockstar — Mahal Pa Rin Kita,41,madelitamaldita,madelpaz,1266
3hspOzgYr1qLJAjfvHUcEA,Rock Nacional Acústico MTV - Rock Brasil - Rock Brasileiro,67,vovz43md05hvsub2q1rv658kh,Best Of Rock,1232
7AAjEz4LlWFOylom6TxufR,Rock Nacional para Academia,62,22qggabihiytqjenod3h26jrq,Bruno Kikuichi,649
5lpNrCG6BL2PcyygyQX0qp,Rocks Clássicos Nacionais,121,12182009925,Guilherme Pereira,539
2GMTN6evS3tndlIQsTvwzA,ROCK HURBANO,39,marioatorres7703,marioatorres7703,485
59SJ1gYjVrTqB8iyrzEDke,Rock en Español by Yaz,85,1216932046,Yaz EM,335
6LnoI2TybxU602mrKviZNm,Rock Nacional para entrenar,51,11165359377,Bruno Pascuccio,232
4gyZeZgWo2WJDLPqRNeYF2,ROCK DE LOS 70 80 Y 90,55,pablovmr,Pablo Valentin Marrufo Reyes,128
2N8bWrAnSRv9O9z1ZrKL0k,Rocking bollywood,78,31qskcnysyrzb2kf727vrwzrmhyu,31qskcnysyrzb2kf727vrwzrmhyu,116
3uZwRG8Xqz3ndH9T7Crqfm,Rock de los 80 Argentina,83,roerle,roerle,86
