playlist_id,playlist_name,playlist_total_tracks,owner_id,owner_name,total_followers
37i9dQZF1DWXmlLSKkfdAk,Acoustic Covers,169,spotify,Spotify,3688675
37i9dQZF1DWUH2AzNQzWua,Acoustic Hits: Oldies but Goodies,50,spotify,Spotify,3467837
37i9dQZF1DX4E3UdUs7fUx,Afternoon Acoustic,111,spotify,Spotify,2372624
37i9dQZF1DX504r1DvyvxG,Classic Acoustic,80,spotify,Spotify,2165108
37i9dQZF1DX6z20IXmBjWI,Infinite Acoustic,198,spotify,Spotify,2116194
37i9dQZF1DXb9LIXaj5WhL,90s Acoustic,75,spotify,Spotify,2104669
37i9dQZF1DWX9VXBLRgDqu,Acoustic Favorites,90,spotify,Spotify,2096648
37i9dQZF1DWUNIrSzKgQbP,Winter Acoustic,91,spotify,Spotify,1662395
37i9dQZF1DWSlwBojgQEcN,Acoustic Love,100,spotify,Spotify,1607031
37i9dQZF1DX8TvdyVZSYFY,Acoustic Throwbacks,110,spotify,Spotify,1399072
37i9dQZF1DX4VvfRBFClxm,Acoustic Hits,100,spotify,Spotify,1356321
37i9dQZF1DXcWBRiUaG3o5,Evening Acoustic,115,spotify,Spotify,1334001
37i9dQZF1DXdd3gw5QVjt9,Morning Acoustic,84,spotify,Spotify,1211025
37i9dQZF1DWY8U6Zq7nvbE,Hot Acoustics,100,spotify,Spotify,1075144
37i9dQZF1DX0JKUIfwQSJh,70s & 80s Acoustic,60,spotify,Spotify,693203
37i9dQZF1DX0rCrO4CFRfM,Acoustic Rock,50,spotify,Spotify,676361
37i9dQZF1DX2iUghHXGIjj,Acoustic Blues,84,spotify,Spotify,632531
37i9dQZF1DXaImRpG7HXqp,Calming Acoustic,231,spotify,Spotify,617882
37i9dQZF1DWXwcRDYKpcpF,Acoustically OPM,40,spotify,Spotify,580632
37i9dQZF1DXcLDm348RRYK,Acoustic Concentration,61,spotify,Spotify,554358
37i9dQZF1DXc3FQfFV3K6V,Laidback Acoustic,98,spotify,Spotify,549434
37i9dQZF1DX5lDysu4GbKR,Acoustic Soul,98,spotify,Spotify,475520
2JtkUgJumiz7K4AblbFlgK,Acoustic Room,106,digster.co.uk,HITS,393393
0DXoY83tBvgWkd8QH49yAI,Acoustic Lounge - Chillout & Easy Listening Acoustic Playlist,58,lmljoe,Joe,350879
37i9dQZF1DWXRvPx3nttRN,Feeling Acoustically Good,110,spotify,Spotify,331509
4XkMSl1R3f7WsNeTZgrxv5,Boyce Avenue Acoustic Covers,289,boyceavenue,Boyce Avenue,316971
37i9dQZF1DX571ttkrxAeN,Acoustic Cafe International,78,spotify,Spotify,310740
37i9dQZF1DX5GiUwx1edLZ,mint Acoustic,100,spotify,Spotify,268711
