track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name
2IpHdNslMW4mijoiTKF3j3,Calm Skies,2cUQRSrBnFd4OKJKhlVVDc,Edu Lahmar,3Z6ejTSGeCcThfOjvv5sP4,127236,2021-01-26,0,0.217,0.0335,10,-21.797,1,0.0451,0.992,0.945,0.102,0.142,205.965,2IpHdNslMW4mijoiTKF3j3,2IpHdNslMW4mijoiTKF3j3
6ZolaAx9dpXGBDlD83TGAT,Sleepy Meadows,2biLvSI1dr6gdNAZAnq6z2,Julia Andersson,6MdzdWtD1WUDDE25TV05w3,209000,2020-11-06,62,0.25,0.13,5,-25.726,0,0.0428,0.987,0.926,0.0915,0.0505,114.73,6ZolaAx9dpXGBDlD83TGAT,6ZolaAx9dpXGBDlD83TGAT
0BXq9t3wTA8HMqFPvGxZYf,Sweet Redolence,3llSwjdelb4sV1khXfWFPQ,Cedric Armfeldt,2BkNgqpxRpu2lMH2yi0FJC,114400,2020-08-07,65,0.395,0.0307,2,-31.07,1,0.0482,0.991,0.896,0.109,0.386,131.514,0BXq9t3wTA8HMqFPvGxZYf,0BXq9t3wTA8HMqFPvGxZYf
6lnhnrHB83cj7EO38t4vgP,Apart,13gyOR6KA3pA8MIuWW2Pcm,Lucas Forch,171iVmp0gn0SVHV5DGBQAt,195750,2021-01-29,6,0.277,0.0425,6,-30.461,1,0.0376,0.994,0.896,0.106,0.173,141.151,6lnhnrHB83cj7EO38t4vgP,6lnhnrHB83cj7EO38t4vgP
6mib8jl6fASfaAahkDoCr8,Agile,0CqDF46d81NfjoRM74rPtl,Pontus De Bjorn,5aaxGHW6MyyYF8TSjBeGyF,206250,2020-09-28,65,0.355,0.0117,8,-32.75,0,0.0412,0.995,0.891,0.0999,0.161,124.238,6mib8jl6fASfaAahkDoCr8,6mib8jl6fASfaAahkDoCr8
6i3GB9JYHvYD2cH3EIDa3e,A Moment to Ponder,3LkHg6D2NUGLLrqpnp1HTt,Aimon Cour,2mTcWwHdIJePrAkiou8HRo,114505,2020-11-06,61,0.359,0.0962,7,-22.682,1,0.0431,0.996,0.961,0.106,0.372,72.342,6i3GB9JYHvYD2cH3EIDa3e,6i3GB9JYHvYD2cH3EIDa3e
64IBUAyeOxHHtV2VNl6CQ3,From Here to Eternity,52Zsdd1lO36Y5DdJ19YVwp,Chordialilies,7IK1Yc1wqhmgZqq0iyTwZB,205275,2020-11-20,60,0.501,0.0921,3,-26.609,1,0.0459,0.996,0.951,0.12,0.175,139.14,64IBUAyeOxHHtV2VNl6CQ3,64IBUAyeOxHHtV2VNl6CQ3
732WjGszph77XuuwYTpjpJ,Le Carrousel,6TjSQf8b2FKQ0iLI9F1l1v,Petit Lilou,2NtVUnyN8ABOx2W0yJBePl,161431,2020-12-17,5,0.195,0.122,0,-25.608,1,0.051,0.99,0.899,0.111,0.0469,202.707,732WjGszph77XuuwYTpjpJ,732WjGszph77XuuwYTpjpJ
3q0OFkCGpCB8XND1BKnnkL,I Promise You This,0VnIScjCdDU0cmMZTTEnrf,Jenifer Tremblay,22fgElZ2UTCJHLkol5HfW4,129199,2020-11-06,60,0.243,0.0785,10,-23.19,0,0.0391,0.992,0.926,0.114,0.195,181.135,3q0OFkCGpCB8XND1BKnnkL,3q0OFkCGpCB8XND1BKnnkL
1sWI71ajS4mERuwG2k5vvD,silbermond,4wMoov0OVG8UOIR6tPnvnV,Flavia Cortez,2WcreYeMZTha6QjVopTaBo,169578,2020-11-11,63,0.112,0.0137,6,-28.804,1,0.0449,0.995,0.903,0.105,0.126,63.495,1sWI71ajS4mERuwG2k5vvD,1sWI71ajS4mERuwG2k5vvD
76N81Kjyn0CLyjyU6a7sUg,The Balance,6vv8DZKpEVRMWVPCy2u6gc,Jacob LaVallee,5DftGjcxi5Gg6WUTw1AfqR,157272,2021-01-29,6,0.536,0.0655,5,-18.886,0,0.0506,0.995,0.95,0.124,0.0692,117.105,76N81Kjyn0CLyjyU6a7sUg,76N81Kjyn0CLyjyU6a7sUg
5UJtLkVsd0vcJuFdUNcpks,Buffet De Joie,3uADykN9RMDJGAc6mIN4mX,Alicia Première,7IZua1FG2Ajgi3Chytc9Ru,174996,2020-06-17,62,0.32,0.0227,3,-26.848,1,0.0418,0.989,0.911,0.103,0.0391,126.936,5UJtLkVsd0vcJuFdUNcpks,5UJtLkVsd0vcJuFdUNcpks
5FRKQvwwsBVwHKfG5QuL4h,reflect,3T6VP5tdYDJR2H9sc62fMW,Anna Goya,2HPnSOnsjv5OMhhKZD83eD,146000,2020-11-20,61,0.367,0.0679,5,-26.149,0,0.0315,0.975,0.873,0.105,0.245,67.841,5FRKQvwwsBVwHKfG5QuL4h,5FRKQvwwsBVwHKfG5QuL4h
6FEpVWSgpAadjPVuKNwCcx,Gouttes,59TontIdB13G6OPjg6m7NN,Guilliaume Om,5Fws3ZQPPNC8m9vcR3H2Yx,194250,2020-11-23,62,0.222,0.0326,3,-26.193,1,0.0371,0.991,0.907,0.106,0.136,156.849,6FEpVWSgpAadjPVuKNwCcx,6FEpVWSgpAadjPVuKNwCcx
4bi0GnPBgHmlqb5OtXk9oE,Saga,6FhL947nyB3vI5QUecgylC,Bodi Lukasz,3wr966vVFS29mukRY6UZUC,121773,2021-01-27,0,0.225,0.127,5,-23.39,0,0.0509,0.984,0.947,0.11,0.198,184.56,4bi0GnPBgHmlqb5OtXk9oE,4bi0GnPBgHmlqb5OtXk9oE
3c0jigaQuhR3R4c6RGX6Ao,the time has come,6U9R5Ba5DxvK0ALylOx60v,Alfons Daiminger,7lUBViasfvFfPgJvxTuXnC,146810,2020-09-17,67,0.383,0.00952,5,-24.973,1,0.063,0.994,0.926,0.111,0.0865,135.194,3c0jigaQuhR3R4c6RGX6Ao,3c0jigaQuhR3R4c6RGX6Ao
7wksCozvMX6I0imUoTWBCE,Tree Rhythm,3SfdWSRQSadzwAMuxNMO5C,Gerald Sherman,707TxgMgJjfzU5fWLo0UHb,170740,2020-10-08,60,0.503,0.0409,3,-30.746,1,0.0498,0.98,0.851,0.108,0.485,120.425,7wksCozvMX6I0imUoTWBCE,7wksCozvMX6I0imUoTWBCE
000tG7ZCNMDFLzIxobVSUZ,Your Love,0HT4Y9hhNdkrCEE2tKokzO,William Cas,645jck6JPjVMjb4NwNscBZ,160090,2020-10-30,62,0.431,0.0486,6,-23.585,1,0.0334,0.994,0.906,0.107,0.345,156.648,000tG7ZCNMDFLzIxobVSUZ,000tG7ZCNMDFLzIxobVSUZ
2YIC6Cp33wgMVEYruivCuH,Heart of the River of the Sun,3We2SFbH59mXg6D42TPhWJ,Lama House,1wrDM0xtWqoTWtJ1mYuDny,151782,2020-08-07,60,0.472,0.124,10,-22.252,1,0.041,0.967,0.917,0.112,0.0759,109.567,2YIC6Cp33wgMVEYruivCuH,2YIC6Cp33wgMVEYruivCuH
