playlist_id,playlist_name,playlist_total_tracks,owner_id,owner_name,total_followers
37i9dQZF1DX1lVhptIYRda,Hot Country,51,spotify,Spotify,6240527
37i9dQZF1DWTkxQvqMy4WW,Chillin' on a Dirt Road,80,spotify,Spotify,2546712
37i9dQZF1DWYnwbYQ5HnZU,Country Gold,62,spotify,Spotify,1596389
37i9dQZF1DX8WMG8VPSOJC,Country Kind of Love,50,spotify,Spotify,1392437
37i9dQZF1DXcb6CQIjdqKy,Top Christian,100,spotify,Spotify,1302748
6nU0t33tQA2i0qTI5HiyRV,Country Hits,48,digster.fm,digster.fm,990433
37i9dQZF1DWVpjAJGB70vU,90's Country,64,spotify,Spotify,862006
37i9dQZF1DX5mB2C8gBeUM,Wild Country,69,spotify,Spotify,798088
37i9dQZF1DWYiR2Uqcon0X,Country Coffeehouse,76,spotify,Spotify,592626
37i9dQZF1DWXi7h4mmmkzD,Country Nights,88,spotify,Spotify,504219
37i9dQZF1DXaiEFNvQPZrM,Country's Greatest Hits:  The '90s,135,spotify,Spotify,469054
37i9dQZF1DWSK8os4XIQBk,All About Country,68,spotify,Spotify,453638
37i9dQZF1DWWH0izG4erma,Country Rocks,65,spotify,Spotify,329472
37i9dQZF1DWUgBy0IJPlHq,Indigo,103,spotify,Spotify,317522
37i9dQZF1DX9hWdQ46pHPo,Forever Country,78,spotify,Spotify,313714
37i9dQZF1DX6RCydf9ytsj,Country's Greatest Hits:  The '80s,163,spotify,Spotify,295997
37i9dQZF1DX49poIUZYXp7,Women of Country,84,spotify,Spotify,283718
37i9dQZF1DXdfhOsjRMISB,Country Drive,150,spotify,Spotify,251981
37i9dQZF1DWXepGEFFmQXJ,Fresh Country,56,spotify,Spotify,242185
37i9dQZF1DXaJXCbmtHVHV,Big Country,38,spotify,Spotify,221801
37i9dQZF1DX7CGYgLhqwu5,Country's Greatest Hits:  The '60s,102,spotify,Spotify,217362
37i9dQZF1DWU2LcZVHsTdv,Country by the Grace of God,77,spotify,Spotify,210624
37i9dQZF1DXbIbVYph0Zr5,Country Cookout,90,spotify,Spotify,206546
37i9dQZF1DXdxUH6sNtcDe,Country's Greatest Hits:  The '00s,150,spotify,Spotify,194711
37i9dQZF1DWW7RgkOJG32Y,Breakout Country,62,spotify,Spotify,186671
37i9dQZF1DX13ZzXoot6Jc,Country Favourites,100,spotify,Spotify,181889
37i9dQZF1DWZQIRdXaBqdE,Classic Country Drive,100,spotify,Spotify,177868
37i9dQZF1DWYP5PUsVbso9,Country's Greatest Hits:  The '70's,96,spotify,Spotify,170843
37i9dQZF1DWWnpcjfCqaW0,Country's Greatest Hits:  The '50s,96,spotify,Spotify,155447
1f6kfopjy0uVYzKN9MUVMr,Country Hits Today and Yesterday,277,mareike009,mareike009,130121
3Iy6IrE5A54fi8Ngnsrk8Z,Old country classics and more,258,sambone2,21672901827,114479
37i9dQZF1DWZBCPUIUs2iR,Country Music 101:  Country's Greatest Hits,99,spotify,Spotify,103699
37i9dQZF1DWSCp8Clax7tf,Legendary Women of Country,90,spotify,Spotify,94996
0dZ6X4lEBOHBgQwRtg1cwP,New Country 2021,3334,126038170,Travis James,88550
3W8sIVX1FigsYLh4344d8R,90's Country (Top 100),170,tdkqms1h1k98zcv23ug77vcb1,a.j.matthews16,80513
37i9dQZF1DWYubIwLN4Hq2,Country Party,64,spotify,Spotify,79117
37i9dQZF1DXdmMcgFhLQ8u,Country Heartache,72,spotify,Spotify,76739
37i9dQZF1DWXdiK4WAVRUW,Country's Greatest Hits:  The 2010's,179,spotify,Spotify,69820
37i9dQZF1DX4bf0P6HTTom,Country Rock Classics,49,spotify,Spotify,68905
3rEkY4Z25FQ4x3NJ0pMxra,Country Party Songs ,244,1251776024,Ethan LeBlanc,68813
6wQFfOF4QYyoZhBGlhCWHZ,Today’s Country 2021,339,trosser6258,trosser6258,64920
37i9dQZF1DWYvU2z6HruAo,Hot Country Presents:  Best Country Songs of 2020,62,spotify,Spotify,61657
37i9dQZF1DWYV2Gh2QglGo,Live Country,72,spotify,Spotify,57740
7fIdjWhWzPbf1g5OSDKOXw,TEXAS COUNTRY 🌵,475,1276364988,1276364988,54105
6gXgPeZLfob30T6RSoy9nb,2000 Country Music,283,225maj3hqpdbqhxihtfoyphdy,Lexi Rangel,50763
37i9dQZF1DXamBAn43YNB9,Country Chill,58,spotify,Spotify,46257
3U25AXqlklo3o6LqM1wX1I,Country Music Playlist 2021 - Best Country Songs 2021,50,redmusiccompany,redmusiccompany,44996
1mJhSx6aYQmINsZ8dG4gzU,Best country songs (greatest hits),214,tebbey671,Kevin Damia,43669
7d85RPHimZb0gR4PlY3IKq,Top Country Hits of Today,317,seaon09,Reggie Regis,41729
0v4DvG8cBpHGOBOxVuVvgV,Country Rock Hits,92,joppek27,joppek27,31363
13HYHjm9Tv5QWJIFSQlv7h,Country Classics,338,kristenpirie,kristenpirie,29057
37i9dQZF1DWTQrwBpetTXv,#SpotifyTBT: Women of Country,70,spotify,Spotify,27857
37i9dQZF1DXcYKwAtV4NDh,History of Country Music,107,spotify,Spotify,26321
37i9dQZF1DX5OrO2Jxuvdn,Country Workout,125,spotify,Spotify,25844
6G7ZJuBDKwjCrk9ftdu82D,Outlaw Country,147,hithimnotme,21782910469,25137
37i9dQZF1DX47i8ytbYGJE,Country 101: Rockabilly,204,spotify,Spotify,24830
5LeYztyxSMJLwotoHVQbZi,Pop Country,214,zacharykillam,Phil Allen,23979
37i9dQZF1DWYUfsq4hxHWP,Fresh Finds: Country,79,spotify,Spotify,23458
7z6RIVYNhtGXw1yRmpDHmW,COUNTRY AMERICANO,51,jacques_vanier,jacques vanier,22804
6U8AxQBEDDW4GlzbqkoRMV,Classic Country Gold,155,travisgadient,Ty Hoelscher,21279
37i9dQZF1DX021HD78u2gQ,Irish Country,54,spotify,Spotify,20772
4Gv69Ip2MNq71pwNC55JlO,country love songs 💛,162,taushalovescats,taushanelson,20548
1DYu12tYLFBXgHL5LtdYnV,Country Love Songs 💜,94,kelsey-rose-us,kelsey-rose-us,19961
3G0pyfnFl1wl2aqUattY6Z,Todays Country Hits,235,khrisgerrish20,Jake Smith,18803
37i9dQZF1DWYBXdN7izJSV,Alt Country Classics,75,spotify,Spotify,18802
6mwr3I0wXSF06GmJaWKhVc,Hot Country 2021,89,jar410,jar410,17924
