playlist_id,playlist_name,playlist_total_tracks,owner_id,owner_name,total_followers
37i9dQZF1DX4o1oenSJRJd,All Out 00s,100,spotify,Spotify,9025313
37i9dQZF1DX4dyzvuaRJ0n,mint,84,spotify,Spotify,5571273
37i9dQZF1DWXLeA8Omikj7,Brain Food,100,spotify,Spotify,3498614
37i9dQZF1DX3PFzdbtx1Us,Music For Concentration,90,spotify,Spotify,1209955
37i9dQZF1DX5uokaTN4FTR,Massive Dance Hits,58,spotify,Spotify,1169431
7ozIozDp260fjNOZy1yzRG,Chillout 2021,201,wearediamond,We Are Diamond,919243
09tdi9JkYgC7DP0XYBl4Az,Electrónica 2021 & Dance Music : La Mejor Música Electrónica 2021 ,200,mejoresplaylistsspotify,Filtr Éxitos,897612
0xrcpsSBNGorqGjSeIgvF6,Electrónica 2021 & Dance Music : Gym Motivation 🍉 ,71,a902190,Strange Fruits,869767
37i9dQZF1DWVCHIm2MEeIy,Electronic Circus,70,spotify,Spotify,632970
5Udnh472z0CeexGPSpdIw9,Dance Music 2021 | Deep House & Electronica,144,x43zjmj9fxfa65thdh3xeetli,Panther's Groove,518270
37i9dQZF1DX8AliSIsGeKd,Electronic Rising,70,spotify,Spotify,434693
37i9dQZF1DXa71eg5j9dKZ,Altar,100,spotify,Spotify,352621
5CvETxDs2E5rQeNji0LPaA,Electronica & Dance Music 2021,198,kpu7ttyvk94i360ju1ym63upj,Desired Music,287296
37i9dQZF1DX3XuTDjo5z5z,Electronic Concentration,79,spotify,Spotify,258403
7eMgRTWRFE7v6TtshgqJ8U,Electrónica 2021 | Dance Music,117,metanoiamusic[mm],M-Cubed MGMT,240650
37i9dQZF1DX6QbU3i33zqm,Electrónica Máxima,100,spotify,Spotify,148813
37i9dQZF1DWYUYYlhkTuEn,Yoga Electronica,60,spotify,Spotify,128087
1U4hhbOslvsB9HPwXrBuws,Gaming Music 🎮 Electronic Music 2021 ,121,ntf4uj17uxr1edwz1jb1gjzm3,Adept Records,126195
6dTEYYCzvvOdHXUid1uXj2,Electronic Dance VIBES,32,xznbyii4eo2o8yitdbexd4yv0,VIBE Lifestyle,116175
37i9dQZF1DWZaNRXtvIrDt,Top Shelf Electronic,68,spotify,Spotify,112192
37i9dQZF1DX0wMD4IoQ5aJ,Electronic Focus,117,spotify,Spotify,102459
