track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name
5zF2zGPkL6Ipsn9AfAK6RP,This Love,04gDigrS5kc9YWfZHwBETP,Maroon 5,7gGcnUEEQgIMV2JRwVQbrF,206200,2002-06-25,1,0.714,0.868,5,-4.596,0,0.0363,0.0551,0.0,0.0987,0.78,95.05,5zF2zGPkL6Ipsn9AfAK6RP,5zF2zGPkL6Ipsn9AfAK6RP
49FYlytm3dAAraYgpoJZux,Umbrella,5pKCCKE2ajJHZ9KAiaK11H,Rihanna,3JSWZWeTHF4HDGt5Eozdy7,275986,2008-06-02,81,0.583,0.829,1,-4.603,1,0.134,0.00864,0.0,0.0426,0.575,174.028,49FYlytm3dAAraYgpoJZux,49FYlytm3dAAraYgpoJZux
5vQXxfGn1bjv5WESrYVVpw,Just Dance,1HY2Jd0NmPuamShAr6KMms,Lady Gaga,6sjW1TdbydfGkxADcsHXoU,244440,2008-01-01,63,0.821,0.741,1,-4.57,0,0.0313,0.0278,2.51e-05,0.19,0.741,118.984,5vQXxfGn1bjv5WESrYVVpw,5vQXxfGn1bjv5WESrYVVpw
3E7dfMvvCLUddWissuqMwr,Party In The U.S.A.,5YGY8feqx7naU7z4HrwZM6,Miley Cyrus,0IuHVgAvbNDJnJepuSZ8Oz,202066,2009-01-01,78,0.652,0.698,10,-4.667,0,0.042,0.00112,0.000115,0.0886,0.47,96.021,3E7dfMvvCLUddWissuqMwr,3E7dfMvvCLUddWissuqMwr
3ZFTkvIE7kyPt6Nu3PEa7V,Hips Don't Lie (feat. Wyclef Jean),0EmeFodog0BfCgMzAIvKQp,Shakira,5ppnlEoj4HdRRdRihnY3jU,218093,2005-11-28,81,0.778,0.824,10,-5.892,0,0.0712,0.284,0.0,0.405,0.756,100.024,3ZFTkvIE7kyPt6Nu3PEa7V,3ZFTkvIE7kyPt6Nu3PEa7V
2PkeVPcL32LA96cK5ySC3c,Yeah!,23zg3TcAtWQy7J6upgbUnj,Usher,021pXDAIuTIb2ADbS6VjbC,250066,2004-02-09,0,0.895,0.795,2,-4.693,1,0.0977,0.0219,0.0,0.0403,0.574,105.004,2PkeVPcL32LA96cK5ySC3c,2PkeVPcL32LA96cK5ySC3c
4TsmezEQVSZNNPv5RJ65Ov,Pon de Replay,5pKCCKE2ajJHZ9KAiaK11H,Rihanna,4FyGpObwABjn0o8Tdp7AZz,246960,2005-08-29,77,0.779,0.64,7,-8.415,1,0.159,0.000155,0.00077,0.101,0.498,99.019,4TsmezEQVSZNNPv5RJ65Ov,4TsmezEQVSZNNPv5RJ65Ov
1vrd6UOGamcKNGnSHJQlSt,Love Story,06HL4z0CvFAxyc27GXpf02,Taylor Swift,2dqn5yOQWdyGwOpOIi9O4x,235266,2008-11-11,69,0.618,0.741,2,-3.95,1,0.031,0.17,0.0,0.0822,0.296,118.984,1vrd6UOGamcKNGnSHJQlSt,1vrd6UOGamcKNGnSHJQlSt
455AfCsOhhLPRc68sE01D8,Last Friday Night (T.G.I.F.),6jJ0s89eD6GaHleKKya26X,Katy Perry,5BvgP623rtvlc0HDcpzquz,230746,2012-03-12,73,0.649,0.815,3,-3.796,0,0.0415,0.00125,4.31e-05,0.671,0.765,126.03,455AfCsOhhLPRc68sE01D8,455AfCsOhhLPRc68sE01D8
4vp2J1l5RD4gMZwGFLfRAu,I Gotta Feeling,1yxSLGMDHlW21z4YXirZDS,Black Eyed Peas,36fdxiOzdlmsrHgGcfvqUJ,289133,2009-01-01,71,0.743,0.766,0,-6.375,1,0.0265,0.0873,0.0,0.509,0.61,127.96,4vp2J1l5RD4gMZwGFLfRAu,4vp2J1l5RD4gMZwGFLfRAu
2gam98EZKrF9XuOkU13ApN,Promiscuous,2jw70GZXlAI8QzWeY2bgRc,Nelly Furtado,2yboV2QBcVGEhcRlYuPpDT,242293,2006-01-01,79,0.808,0.97,10,-6.098,0,0.0506,0.0569,6.13e-05,0.154,0.868,114.328,2gam98EZKrF9XuOkU13ApN,2gam98EZKrF9XuOkU13ApN
395C2pn0PdOYPzM4B1jLoO,Sex on Fire,2qk9voo8llSGYcZ6xrBzKx,Kings of Leon,3zcaaeSOpOZJyxoQF9rPXU,204586,2008-08-11,0,0.544,0.903,9,-5.651,1,0.0545,0.00166,0.00632,0.1,0.432,153.629,395C2pn0PdOYPzM4B1jLoO,395C2pn0PdOYPzM4B1jLoO
