playlist_id,playlist_name,playlist_total_tracks,owner_id,owner_name,total_followers
37i9dQZF1DWSkMjlBZAZ07,Happy Folk,119,spotify,Spotify,1874418
37i9dQZF1DWYV7OOaGhoH0,Roots Rising,103,spotify,Spotify,1821437
37i9dQZF1DX4VvfRBFClxm,Acoustic Hits,100,spotify,Spotify,1356413
37i9dQZF1DWVl5gPCRkquk,Chill as Folk,120,spotify,Spotify,783137
37i9dQZF1DX2taNm7KfjOX,Infinite Indie Folk,130,spotify,Spotify,702544
37i9dQZF1DWXJyjYpHunCf,Folk Pop,100,spotify,Spotify,701584
37i9dQZF1DWU6Vfrf87eTG,Indie Folk for Focus,116,spotify,Spotify,697368
37i9dQZF1DXaUDcU6KDCj4,Fresh Folk,141,spotify,Spotify,631294
37i9dQZF1DX1BGjF5N5O7F,Sexy as Folk,48,spotify,Spotify,492166
37i9dQZF1DWVmps5U8gHNv,Essential Folk,115,spotify,Spotify,489075
37i9dQZF1DXcDxnC0UqHJa,Folksy Covers,100,spotify,Spotify,447401
37i9dQZF1DXat5j4Lk8UEj,Folk Rock Favorites,100,spotify,Spotify,437212
37i9dQZF1DX9HwI3Crikcm,Irish Folk,86,spotify,Spotify,244800
37i9dQZF1DWXhcuQw7KIeM,Northern Spirits,84,spotify,Spotify,231202
37i9dQZF1DWSIcimvN18p3,Women of Folk,200,spotify,Spotify,224326
37i9dQZF1DX2ULa1Ss8vbo,Irish Folk - Ballads,50,spotify,Spotify,209418
37i9dQZF1DX3uZHsihe90o,Family Folk,70,spotify,Spotify,180501
37i9dQZF1DX1nqy6pUAoUv,Contemporary Folk,105,spotify,Spotify,146507
37i9dQZF1DWWv6MSZULLBi,Folk & Friends,101,spotify,Spotify,139235
37i9dQZF1DX4jUyNIMkj6N,Nordic Folk,60,spotify,Spotify,129924
37i9dQZF1DX7Y2xcY13mN1,50 Irish Folk Songs,50,spotify,Spotify,118645
37i9dQZF1DX6o2KmaQFzHW,Folklore de Siempre,90,spotify,Spotify,107310
37i9dQZF1DWZyQUsU1vj4x,Cinematic Indie Folk,91,spotify,Spotify,104553
37i9dQZF1DX5TMFhaZc9ov,Queer As Folk,83,spotify,Spotify,81451
3i85OZp17tSPHmvk1W8RSi,Bridgerton Vibes • Cottagecore • Folklore • Evermore • Cabin • Woods • Forrest,77,o16a7ny37b9026pxfoqc4rhe1,Retro Tones,71694
37i9dQZF1DX0z6CeZuw5dA,Folk-inspired Classical Music,50,spotify,Spotify,68302
37i9dQZF1DX5k79xc4NSUM,What the Folk!,50,spotify,Spotify,66470
2r2V05xfXLf4YGQx2WRuFl,Songs that Excite the White Folk,480,jetsman96,jetsman96,62029
4eOtGyE7j1W34uyghmXKLw,VIKING Music (Nordic folk),73,21ps3v4c5il27v4dihiklqspq,Artem Shr,57735
0AKmgvkqEc2CISLFARhjv9,Grown Folks R&B ,27,8ooisnq84p62mi37kozpnbnxq,Illy,51543
37i9dQZF1DXdaMkR2m2cl5,Folk Feast,100,spotify,Spotify,46989
3uQywS57rCK3AJTsaNLR0T,Irish Folk Songs,185,bschwagger95,Blake Schweigert,44684
5hFTrxOOXChMzceLPaBt7a,That's All FOLKS,52,sq3z6din86z8ppbxp91jhmig4,Bourbon Jazz,36325
5tOffZXVBFTMS7mkKQ3tpX,Indie Folk Chill,249,rj9wvs6jynpiwpzb5s99rwu6f,CaffeinatedFox,35800
0PX3TxTKNvQ3f2nYqHfOfx,FOLKS EVERYTHING,50,19hc4z1cz47q1e67hubbhvm8x,Kind Song Book,35144
37i9dQZF1DX2PfO7FL9zWG,Folk Favourites,100,spotify,Spotify,30166
37i9dQZF1DWWHw0yK8z3Pm,Renegade Folk,97,spotify,Spotify,29801
37i9dQZF1DX5b3XEYmInJL,Instrumental Celtic Folk,60,spotify,Spotify,27691
6GxBZn0yu0miclv2bhImBd,Folklore Argentino 🇦🇷,65,rhx49rfeivj18x2b33v86nw96,Música Global,24988
1bkVHCaX4P8e4dyc1h197M,Folklore Argentino 2021,112,11141143289,Top Music,24045
37i9dQZF1DWSRhcVioua5c,Folklore Romántico ,80,spotify,Spotify,21389
37i9dQZF1DX62XscWX9t6h,Folk Fabrique,80,spotify,Spotify,20345
2lEP7FPdvEoRtPwaVbjEPA,folklore & evermore,34,mathsmart2,anna claire,19741
6jvQiScdEWO3oZNrcISu6X,Folk-Punk,492,tom-sherman,Tom Sherman,18231
37i9dQZF1DXe2qatBbqA5s,Italian Folk,75,spotify,Spotify,17887
37i9dQZF1DWYLoJq8d80ds,Lunas de Folklore,84,spotify,Spotify,16072
37i9dQZF1DXd4iOmOg4ha3,Folktronics,47,spotify,Spotify,15994
37i9dQZF1DWY6ckhaeMxjf,Bollywood Folk,32,spotify,Spotify,15593
7hJtx8QB7ONHF0LLw20Nxs,Russian Folk Music,91,11149653421,Agonga,14931
37i9dQZF1DWT9XEOPDgFX3,Folk Arc,108,spotify,Spotify,14801
37i9dQZF1DWWaRrWCYcg1N,The Misty Moors,47,spotify,Spotify,14736
54yp3skLKD8ChD50lxVv4N,Folk Rock,80,21ccavqrh37bmu2mode4wyzdi,Timothy Walschaerts,14552
6vfJDywgbubwqV6UcpEEHV,Scottish Folk & Gaelic Singing,98,erinhomie,Erin Holmes,13752
2dJTclveMvEtslLgQb9LV3,Folk Songs Greatest Hits,104,vancerkim,Roy Arana,13555
