playlist_id,playlist_name,playlist_total_tracks,owner_id,owner_name,total_followers
37i9dQZF1DX0XUsuxWHRQd,RapCaviar,50,spotify,Spotify,13610115
37i9dQZF1DX0SM0LYsmbMT,Jazz Vibes,300,spotify,Spotify,1787348
37i9dQZF1DXc8kgYqQLMfH,Lush Lofi,182,spotify,Spotify,914938
37i9dQZF1DXcDoDDetPsEg,Who We Be,67,spotify,Spotify,644692
37i9dQZF1DX19xRtMyA5LM,Woordenschat,61,spotify,Spotify,544351
37i9dQZF1DWWPcvnOpPG3x,Run This Town 150–165 BPM,50,spotify,Spotify,517363
5WNUX6jisX0NRlVDTm6RDd,HipHop 2021,119,sonymusicentertainment,Filtr Sweden,425508
2YLYJT19TUBMD4eDQEnivw,Workout Motivation / HipHop / Rap 2021,149,uptown_as,uptown_as,265917
18PtAXbx353eX5M7ROSzwE,HipHops Finest,12,npz5x68u99c5yj2vxywzs0o1g,HipHops Finest,225280
37i9dQZF1DWXfgo3OOonqa,100,80,spotify,Spotify,214225
5772HGqmp2E99GQo5tfmcJ, 90's Rap / HipHop,222,19jconnell79,19jconnell79,194450
5QjgJ20xSbkyfDY2iPERtz,Japanese Lofi HipHop,124,thebootlegboy,thebootlegboy,154768
4QZ4F2Yxc6RLx7ybP0Ozn4,Hiphop NL,62,digsternl,Digster Nederland,121576
4nEoTzQTZCVf0e1NnPcyXg,HipHop Nation,9,kx3q4axl0jim5ehvyv40768ge,Top Gun Promotion,100799
4n1MmxkjlOGAVKkDIFxc7f,HipHop Weekly,14,seh44c9tfl325k9zfu6f7rme5,HipHop Weekly,99331
37i9dQZF1DXdhDukKQ88Cc,DK rap,64,spotify,Spotify,92243
6KYkiwUEsmEEkBShfe9VGB,HIPHOP FIGURES,50,69b07p6xur8wd53kzm2cj6bze,HolaMusic,76005
3oYfbpE01BNMgMvmWdKFxF,90s RNB/HIPHOP,330,1118860764,Clarisse Van den Steen,58523
5TZkls9cEOzWDR6qCxwDot,HipHop 2021,141,theswingingturtle,The Swinging Turtle,54783
3dcaUSkC0ZgFrXzmp3sD3V,Hiphop Written,50,f7k3jlztsdhdtb48g3ljm9fx0,Happy Chill End,48741
5zWx4nzIkTxHM5fPS6MHnJ,Svensk Hiphop & Rap,153,sonymusicentertainment,Filtr Sweden,44080
