playlist_id,playlist_name,playlist_total_tracks,owner_id,owner_name,total_followers
37i9dQZF1DX2Nc3B70tvx0,Ultimate Indie,100,spotify,Spotify,2051993
37i9dQZF1DX2sUQwD7tbmL,Feel-Good Indie Rock,200,spotify,Spotify,1382642
37i9dQZF1DWWEcRhUVtL8n,Indie Pop,125,spotify,Spotify,1361963
37i9dQZF1DX2xhsrO0GW1M,Indiespensables,60,spotify,Spotify,1136032
37i9dQZF1DXdbXrPNafg9d,All New Indie,162,spotify,Spotify,1081481
37i9dQZF1DWTtTyjgd08yp,Deep Dark Indie,89,spotify,Spotify,997945
37i9dQZF1DWVV27DiNWxkR,Sad Indie,90,spotify,Spotify,852802
37i9dQZF1DWYBF1dYDPlHw,Sing-Along Indie Hits,100,spotify,Spotify,787182
37i9dQZF1DX2taNm7KfjOX,Infinite Indie Folk,130,spotify,Spotify,702547
37i9dQZF1DX2rVwh3lcWku,Todo Indie,75,spotify,Spotify,685966
37i9dQZF1DX9B1hu73DioC,Indie Chillout,75,spotify,Spotify,617093
37i9dQZF1DWUoqEG4WY6ce,Indie Rock Road Trip,89,spotify,Spotify,615209
37i9dQZF1DWXx6OpWBkqVv,Indiespensável,62,spotify,Spotify,598115
37i9dQZF1DX26DKvjp0s9M,Essential Indie,80,spotify,Spotify,498391
37i9dQZF1DWSQScAbo5nGF,Indie Roadtrip,100,spotify,Spotify,485419
37i9dQZF1DWWM6GBnxtToT,Feelgood Indie,100,spotify,Spotify,420164
37i9dQZF1DX6PSDDh80gxI,Indie Italia,50,spotify,Spotify,379475
37i9dQZF1DX0x36cwEyOTG,Peaceful Indie Ambient,110,spotify,Spotify,368144
37i9dQZF1DX4jSp9PHDkEC,Melancolía Indie,300,spotify,Spotify,365454
37i9dQZF1DWTujiC7wfofZ,Indie Party,100,spotify,Spotify,345680
37i9dQZF1DX35DWKgAk2B5,Indie Rock Club,50,spotify,Spotify,322602
37i9dQZF1DWSXAHZTiX76o,Fiesta Indie,50,spotify,Spotify,296064
37i9dQZF1DWVTKDs2aOkxu,The Indie List,50,spotify,Spotify,287913
37i9dQZF1DXaRL7xbcDl7X,Indie Workout,100,spotify,Spotify,285775
37i9dQZF1DXdTb8AG95jne,In The K-Indie,50,spotify,Spotify,265127
37i9dQZF1DXaaU1AaHpZeu,Novedades Indie,50,spotify,Spotify,260595
37i9dQZF1DX0CIO5EOSHeD,Lo-fi Indie,80,spotify,Spotify,259114
37i9dQZF1DWSrj7tqQ9IOu,Made Indie France,50,spotify,Spotify,242219
37i9dQZF1DXd82NU5rAcTZ,IndieNesia,96,spotify,Spotify,227213
37i9dQZF1DWYJeWl6ior4d,Indie Klassiker,100,spotify,Spotify,225714
37i9dQZF1DX0yL7UvjSKZT,Indie Bluegrass,80,spotify,Spotify,215584
37i9dQZF1DX5y8xoSWyhcz,indie pop & chill,97,spotify,Spotify,191005
37i9dQZF1DXb67OkZ6150Z,Indie Covers,75,spotify,Spotify,166363
37i9dQZF1DXaLaoaQqrfyO,Indie Pop 2010s,100,spotify,Spotify,160618
37i9dQZF1DX6JdAKMqGwZ5,Radar Indie,80,spotify,Spotify,145720
37i9dQZF1DX9LbdoYID5v7,Indie Pop 2000s,75,spotify,Spotify,137693
37i9dQZF1DWUWC0NIJDJKL,Indie Sunshine,67,spotify,Spotify,135884
37i9dQZF1DX7XNgsy4UFju,Indie All Stars,95,spotify,Spotify,133956
37i9dQZF1DWV8ttjhONFA1,Indie Argentina,100,spotify,Spotify,126433
37i9dQZF1DX5q67ZpWyRrZ,Indie India,75,spotify,Spotify,122354
37i9dQZF1DX8hcTuUCeYxa,Indie Brandneu,80,spotify,Spotify,101077
