track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name
1HHIv96gVeVkoOBzQeH9d8,Too Good,4kIwETcbpuFgRukE8o7Opx,Arlo Parks,42joEEymK7EIHODfNB4yug,221000,2021-01-29,55,0.718,0.772,5,-5.155,0,0.0529,0.298,0.0,0.337,0.843,95.917,1HHIv96gVeVkoOBzQeH9d8,1HHIv96gVeVkoOBzQeH9d8
3b9xmyHRcolDEoaECLJ3OF,Immune,11dABkjSoOjcP9p3TFSNRj,Jensen McRae,1UQp3aKtwOaczyLpvf5NYn,210165,2021-01-27,53,0.545,0.365,6,-8.97,1,0.0396,0.136,4.86e-06,0.201,0.233,150.125,3b9xmyHRcolDEoaECLJ3OF,3b9xmyHRcolDEoaECLJ3OF
1LTWcRVy9o96Zzn29wXLsa,Garden Song,1r1uxoy19fzMxunt3ONAkG,Phoebe Bridgers,4Qjp6b3M3pL2mb4b1oF3vP,220065,2020-02-26,60,0.371,0.256,0,-16.7,1,0.227,0.868,0.00507,0.112,0.171,195.674,1LTWcRVy9o96Zzn29wXLsa,1LTWcRVy9o96Zzn29wXLsa
3A0cAzFKPefBCz7Z02UnnO,The Divine Chord,3C8RpaI3Go0yFF9whvKoED,The Avalanches,755yBlrk0Sz8tIgMMTgyr1,187586,2020-12-11,65,0.557,0.863,0,-5.321,0,0.0391,0.104,0.0,0.697,0.373,105.362,3A0cAzFKPefBCz7Z02UnnO,3A0cAzFKPefBCz7Z02UnnO
15gL4n95OG5KEQLCMXPQzp,Dionne (feat. Justin Vernon),3IunaFjvNKj98JW89JYv9u,The Japanese House,1OlByJ5jsP9Eklfp03Xn8z,284578,2020-08-12,61,0.313,0.727,4,-6.104,1,0.0996,0.37,0.00838,0.101,0.273,149.867,15gL4n95OG5KEQLCMXPQzp,15gL4n95OG5KEQLCMXPQzp
2ixabSVbccs9np9r5CpbWW,Don't Judge Me,6nB0iY1cjSY1KyhYyuIIKH,FKA twigs,12xYnvNkZWg4yPn2edO0cm,213679,2021-01-26,62,0.61,0.625,9,-8.393,0,0.38,0.454,0.0043,0.109,0.236,96.063,2ixabSVbccs9np9r5CpbWW,2ixabSVbccs9np9r5CpbWW
7z7HuJQUzk93pSnP1qZkTp,Fire,5IWCU0V9evBlW4gIeGY4zF,Waxahatchee,3T0O1rAk16A6FVB4dyG5DH,217373,2020-01-22,1,0.48,0.451,7,-11.81,1,0.0532,0.675,7.8e-06,0.138,0.189,84.314,7z7HuJQUzk93pSnP1qZkTp,7z7HuJQUzk93pSnP1qZkTp
0VF7YLIxSQKyNiFL3X6MmN,Stargazing,77SW9BnxLY8rJ0RciFqkHh,The Neighbourhood,2JyArayVlT6t3MVWLLdSwZ,217026,2020-12-11,75,0.512,0.483,0,-7.798,1,0.0298,0.00304,0.0011,0.12,0.367,160.009,0VF7YLIxSQKyNiFL3X6MmN,0VF7YLIxSQKyNiFL3X6MmN
1DRqfEpJYxBxpymDtkgZG2,Come In Closer,2AcUPzkVWo81vumdzeLLRN,Rhye,0Sy9608jISmLUYPozS2iOE,216053,2021-01-07,41,0.823,0.316,8,-11.151,1,0.128,0.385,0.415,0.0917,0.531,105.987,1DRqfEpJYxBxpymDtkgZG2,1DRqfEpJYxBxpymDtkgZG2
3pYB28IRzhtR5cHXLINchp,Can I Believe You,4EVpmkEwrLYEg6jIsiPMIb,Fleet Foxes,0lmjCPEcec2k6L7ysNIcd3,244186,2020-09-22,67,0.514,0.755,11,-8.455,1,0.03,0.354,0.0664,0.144,0.599,77.415,3pYB28IRzhtR5cHXLINchp,3pYB28IRzhtR5cHXLINchp
