playlist_id,playlist_name,playlist_total_tracks,owner_id,owner_name,total_followers
37i9dQZF1DWWQRwui0ExPn,Lo-Fi Beats,450,spotify,Spotify,3808549
37i9dQZF1DWVqfgj8NZEp1,Coffee Table Jazz,143,spotify,Spotify,2288358
37i9dQZF1DXbITWG1ZJKYt,Jazz Classics,100,spotify,Spotify,1931272
37i9dQZF1DX4wta20PHgwo,Late Night Jazz,80,spotify,Spotify,1854083
37i9dQZF1DX0SM0LYsmbMT,Jazz Vibes,300,spotify,Spotify,1787354
37i9dQZF1DWTbzY5gOVvKd,Jazzy Romance,60,spotify,Spotify,1000493
37i9dQZF1DXa1rZf8gLhyz,Jazz for Sleep,118,spotify,Spotify,861727
37i9dQZF1DX8Kgdykz6OKj,Jazz Rap,100,spotify,Spotify,782993
37i9dQZF1DX5OepaGriAIm,Women of Jazz,100,spotify,Spotify,769401
37i9dQZF1DXbOVU4mpMJjh,Jazz Relax,50,spotify,Spotify,636243
37i9dQZF1DX2vYju3i0lNX,Chilled Jazz,128,spotify,Spotify,551228
37i9dQZF1DX55dNU0PWnO5,Jazztronica,50,spotify,Spotify,491226
37i9dQZF1DX7YCknf2jT6s,State of Jazz,50,spotify,Spotify,476527
37i9dQZF1DX661EjJOj3Tu,Latin Jazz,100,spotify,Spotify,409803
37i9dQZF1DX5D4gDh3HAsM,Christmas Jazz,50,spotify,Spotify,402980
37i9dQZF1DWTALrdBtcXjw,Jazzy Dinner,58,spotify,Spotify,333029
37i9dQZF1DWTR4ZOXTfd9K,Jazz Classics Blue Note Edition,87,spotify,Spotify,318644
37i9dQZF1DX71VcjjnyaBQ,Good Morning Jazz,50,spotify,Spotify,268711
37i9dQZF1DX3SiCzCxMDOH,Jazz for Study,136,spotify,Spotify,256354
37i9dQZF1DWZv6UE8BMPO0,Christmas Cocktail Jazz,58,spotify,Spotify,235291
37i9dQZF1DX2mmt7R81K2b,Jazz – Classical Crossings,54,spotify,Spotify,229047
37i9dQZF1DXdwTUxmGKrdN,Smooth Jazz,50,spotify,Spotify,221949
37i9dQZF1DWV7EzJMK2FUI,Jazz in the Background,151,spotify,Spotify,205237
37i9dQZF1DXbHcQpOiXk1D,Jazz UK,75,spotify,Spotify,194816
37i9dQZF1DWTcEjayzrZ4x,Lazy Jazz Cat,143,spotify,Spotify,166854
37i9dQZF1DWSBRKlyNxSuy,Pure Mellow Jazz,50,spotify,Spotify,162077
45i3KQ4ENPoZNRYtReXBcU,The Jazz Hop Cafe,150,thejazzhopcafe,The Jazz Hop Café,153468
37i9dQZF1DWYxwmBaMqxsl,Rainy Day Jazz,82,spotify,Spotify,139487
37i9dQZF1DWU6MDxlH7Sr1,Cocktail Jazz,96,spotify,Spotify,127299
37i9dQZF1DWU5TxeYcalut,Jazz Brasileiro,90,spotify,Spotify,123753
148My4xA7WoEaNDmnl2A8Z,Smooth Jazz - Instrumental,1248,pmartika,Pekka Martikainen,121074
37i9dQZF1DWXSyfX6gqDNp,Evening Jazz,74,spotify,Spotify,114169
37i9dQZF1DX7UE7qrnkvsf,Jazz for Autumn,100,spotify,Spotify,107746
37i9dQZF1DWXHghfFFOaS6,Acid Jazz,90,spotify,Spotify,106818
37i9dQZF1DWZrhFFq3bnGV,Jazz Anak Negeri,101,spotify,Spotify,89871
37i9dQZF1DWTKxc7ZObqeH,Summer Jazz,122,spotify,Spotify,85504
37i9dQZF1DX5YTAi6JhwZm,Happy Jazz!,50,spotify,Spotify,75449
37i9dQZF1DWUb0uBnlJuTi,Jazz-Funk,55,spotify,Spotify,71977
37i9dQZF1DX85XJl1mZAlp,Jazz X-Press,75,spotify,Spotify,70810
37i9dQZF1DXdziGPHNE40t,Jazzy Morning,85,spotify,Spotify,70480
37i9dQZF1DX1S1NduGwpsa,Jazz Club,50,spotify,Spotify,68216
5VItICXtFUzgoAmqy7QRFL,Jazz Piano,78,1210415129,Sam Suechting,66451
2UPjWBRjJqMQY3LRV2aDTS,Starbucks Jazz,279,starbucks,Starbucks,57279
37i9dQZF1DX2kt7dB63bU1,Vocal Jazz,116,spotify,Spotify,54773
1i9NKaGOEQsRmR392BqMxE,"Blues, Jazz & Funk",91,1235883758,Martin Bosley,53133
37i9dQZF1DX6ZiG5Dz8cUM,Date Night Jazz,75,spotify,Spotify,51227
37i9dQZF1DX05Q6G4VDGLq,Jazz Tranquilo,100,spotify,Spotify,48772
37i9dQZF1DWTsUzn4pp2rW,Jazz Pop,150,spotify,Spotify,47735
7CRSph8ASmA7TbAMr4MkYb,Jazz Hip Hop,100,1pcz41sabtrnf7bp6gn5vh23y,Johnny Jazzmatazz,47734
37i9dQZF1DX1U93rnCNfyR,Jazz para Dormir,55,spotify,Spotify,45887
5jtIpYaaFTza3O9ZnaVrLa,JazzHop,404,nsqx6avzxhybkmfumqb1juwmn,Fantastic Music,42956
37i9dQZF1DX6kQOEoHSaYy,Hyggelig Jazz,112,spotify,Spotify,42494
6FJQEBg5EkaTitPWcSbBI7,French Jazz Café,78,hastings.riley,hastings.riley,42217
4xKFUXoma8EepzgxKguJUi,JAZZ/BLUES,290,124717907,Katherine Forrest,39065
6JZcwNB8yQwRfYeqQSIrNP,Jazz covers popular songs,117,1178359561,Tjörvi Hrafnkelsson,38362
06TSMDjFOBBwP3uVOTWJhS,slow jazz,79,joelkrigstrom,Joel Krigström,36804
