track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name
2wKHx2Bg7AysBPrZ9axL1D,Tracy,4ORraGZcslg1PN7gNYbEaX,Pontiac Puma,4VLvQbzARPSRPyF39qvMgg,122666,2020-03-30,59,0.704,0.245,2,-12.954,1,0.216,0.714,0.717,0.147,0.19,90.156,2wKHx2Bg7AysBPrZ9axL1D,2wKHx2Bg7AysBPrZ9axL1D
3v1O6lndJhBf7BXgnNs42x,Careless,54Eehq7Ls4ZXE8pdTTPClj,Coastal,1gm3U9qhpCZwdOFxt6sJk8,160000,2019-11-16,59,0.618,0.243,0,-13.537,0,0.122,0.953,0.902,0.0736,0.321,90.026,3v1O6lndJhBf7BXgnNs42x,3v1O6lndJhBf7BXgnNs42x
3GkSDGupydidufnOGZn2FE,Peach,5wEF5my54dE5vMMmSUz2q3,Glimlip,4RXwLRCGekAGFem4o3EuYS,136525,2019-10-23,62,0.811,0.35,1,-11.318,1,0.0439,0.406,0.907,0.105,0.635,118.009,3GkSDGupydidufnOGZn2FE,3GkSDGupydidufnOGZn2FE
2uUNTBmq2VBW1UMJcAqOEn,Favorite Sause,0N2on1pgu8mv01ch9Cs9XF,DJ Garlik,5mdVpX2SpB24YHfRXhcm8G,108800,2020-01-06,61,0.636,0.438,9,-12.56,1,0.0707,0.374,0.837,0.873,0.915,149.981,2uUNTBmq2VBW1UMJcAqOEn,2uUNTBmq2VBW1UMJcAqOEn
5BIwDSCZB1DVt7CJJn6UAa,1am in nyc,6kqOxJqJ4r4cIlbYR4GbP4,"oh, the joy.",3wImABsinR6BGpjMt9XUGn,144177,2020-07-31,59,0.588,0.354,1,-10.283,0,0.0469,0.475,0.863,0.119,0.316,80.018,5BIwDSCZB1DVt7CJJn6UAa,5BIwDSCZB1DVt7CJJn6UAa
3tRzqJdt8IJGFyVJac26cj,Awake,3FEUxHWFYivuxwd4tjIPoT,Rosehip,7wOp0FV5sQy2sdOckuzlPC,186000,2020-06-05,58,0.649,0.464,0,-9.226,0,0.0448,0.252,0.913,0.349,0.0695,80.033,3tRzqJdt8IJGFyVJac26cj,3tRzqJdt8IJGFyVJac26cj
7suV4LZglmw8Kf8JAMHxQU,feather light melodies,7KtVS0f2RQoEhjxDcSGBtJ,santpoort,0X2oaUwKbgpDQyLVclScOU,188893,2021-01-22,56,0.735,0.456,3,-12.937,0,0.0524,0.949,0.878,0.118,0.708,147.97,7suV4LZglmw8Kf8JAMHxQU,7suV4LZglmw8Kf8JAMHxQU
2wQpl8D5EExuyARWBaoH1M,Unmo,46NCqFl8vhQZD77y7XkvJs,goosetaf,5SB94F4ACl0iqteWlsaV86,133120,2020-09-04,59,0.576,0.2,0,-15.973,1,0.0534,0.893,0.917,0.143,0.168,68.964,2wQpl8D5EExuyARWBaoH1M,2wQpl8D5EExuyARWBaoH1M
5R3LL4RqH7fCgpKAjsZajO,blind blossom,0BRMPrv2B9YgQuYQ3H4fja,Emperose,4Atoilf40kAURLuQi10QpV,196557,2019-12-03,57,0.393,0.468,7,-10.046,0,0.0546,0.439,0.9,0.482,0.112,109.846,5R3LL4RqH7fCgpKAjsZajO,5R3LL4RqH7fCgpKAjsZajO
6DTKZsmOR9drYUqPqxe48U,Painting My Thoughts,59WcuCFVwOnZdOUvAHW1NV,Obie Hans,5767LRfb1YKV5k8KRbTmoP,149831,2021-01-14,60,0.745,0.383,9,-17.446,1,0.0614,0.7,0.954,0.108,0.157,80.005,6DTKZsmOR9drYUqPqxe48U,6DTKZsmOR9drYUqPqxe48U
19HQQW3lGcT8Yq7svGJnbA,Rained In,2Jo4Zz3YTkRH5hq65BFMqe,Nathan Kawanishi,7ohFFeTof1lGfxV7VxWTYw,157884,2020-01-02,55,0.491,0.532,7,-9.54,1,0.0344,0.339,0.971,0.257,0.102,65.091,19HQQW3lGcT8Yq7svGJnbA,19HQQW3lGcT8Yq7svGJnbA
5k0MvADsuxZCmFXnN3BSto,Endless Ether,6psQOFgr41pQ2CiL2CCi47,fantompower,377ThFJEcKOtJFohEzHde5,201874,2019-11-25,0,0.689,0.377,10,-17.186,1,0.042,0.845,0.89,0.112,0.137,126.927,5k0MvADsuxZCmFXnN3BSto,5k0MvADsuxZCmFXnN3BSto
5kGxA8CYmy5aUAcv2zHtwj,Sweet Hangover,1xMxQQ71TIGQgzH4NY0ECM,Peter Kind,2dCrwbfYQ0YcTOGI5PFWj6,112714,2020-11-13,61,0.742,0.334,1,-9.704,0,0.068,0.418,0.0193,0.105,0.615,80.008,5kGxA8CYmy5aUAcv2zHtwj,5kGxA8CYmy5aUAcv2zHtwj
6wJxIARTR6bs1j6lNSMhpS,Melloton,42kGyvHgadMRxO36dX8vuy,Liam Huston,7pcUDZWLONswYQz5cMYEOd,156750,2020-05-25,59,0.794,0.295,6,-14.197,1,0.0501,0.396,0.841,0.111,0.226,79.993,6wJxIARTR6bs1j6lNSMhpS,6wJxIARTR6bs1j6lNSMhpS
6vzaMfWEWYJtfnoKlCY5xP,Dearest Alfred (MyJoy),2mVVjNmdjXZZDvhgQWiakk,Khruangbin,0TqtywamjgAfAor5J7L6vo,195604,2021-01-28,57,0.412,0.273,11,-19.519,0,0.374,0.802,0.9,0.109,0.661,82.581,6vzaMfWEWYJtfnoKlCY5xP,6vzaMfWEWYJtfnoKlCY5xP
58c5egFFYyDPggIzBggeOd,Isthmus,3gdyXwWMfOPBIZrIDMg40u,Mila Coolness,0MomEupDPdYtz7m097yFiN,198301,2020-06-08,57,0.612,0.0997,5,-19.531,1,0.0325,0.665,0.848,0.0811,0.215,77.51,58c5egFFYyDPggIzBggeOd,58c5egFFYyDPggIzBggeOd
7w6gEfTguVjuys3WjRCXMI,I Thought it would be Different this Time,4J6llszQj5aasQouHnuC1k,Fdluxx,1KwjgLqNgs55kGJ5VIXNFI,160909,2020-06-01,55,0.687,0.283,6,-13.306,1,0.113,0.808,0.889,0.11,0.37,175.857,7w6gEfTguVjuys3WjRCXMI,7w6gEfTguVjuys3WjRCXMI
1u24Ut4Enu0OeMmeB2a4wq,Jasmine,5jZeLexrrwGNUy6nv7tzdr,C4C,1kUtwvX4TBQUTl5AdP2f3M,151168,2020-08-28,58,0.624,0.172,11,-20.261,1,0.0512,0.904,0.926,0.0878,0.336,153.974,1u24Ut4Enu0OeMmeB2a4wq,1u24Ut4Enu0OeMmeB2a4wq
2KIjwpSFtH2HYpKlk09oaZ,Nearly Home,71DwiHPKOnvr0mrJKovKcm,ZENDR,4zcPrtzxIrwPY65FJMpNke,124235,2020-02-27,56,0.703,0.378,6,-14.418,1,0.0538,0.405,0.868,0.158,0.163,79.007,2KIjwpSFtH2HYpKlk09oaZ,2KIjwpSFtH2HYpKlk09oaZ
1ZjyCYFu9OtCY54IQr6eqh,Hey Chuck,4Vk1NkBCNhg2qaR5RlCpZV,JAY VANILLA,0MZcUZFDi9vST595VC1YaB,117988,2021-01-15,58,0.549,0.57,8,-8.278,0,0.2,0.707,0.765,0.112,0.541,83.499,1ZjyCYFu9OtCY54IQr6eqh,1ZjyCYFu9OtCY54IQr6eqh
2U5PWftVMHfPwCxQwOQzPl,Drag Me Down - Instrumental,6litgQBcPxkKUnL0njgh4l,Kartoffel Club,1gfUeU36EisbawNXr4KlUY,174110,2017-11-27,56,0.679,0.412,2,-11.551,1,0.043,0.506,0.83,0.111,0.0859,142.034,2U5PWftVMHfPwCxQwOQzPl,2U5PWftVMHfPwCxQwOQzPl
3rrx5ef9rcoo7LfGOLdgiY,Opulence,2Jo4Zz3YTkRH5hq65BFMqe,Nathan Kawanishi,7fZpbDpbGV1wASS3uajLLe,128835,2019-12-26,55,0.686,0.714,4,-7.635,0,0.0804,0.21,0.041,0.747,0.704,150.121,3rrx5ef9rcoo7LfGOLdgiY,3rrx5ef9rcoo7LfGOLdgiY
21NHuCeoEJ76SVggMgNsNw,5am in cairo,6kqOxJqJ4r4cIlbYR4GbP4,"oh, the joy.",1roCs0WmQH30We3HBrCvOn,177288,2020-07-26,58,0.758,0.191,3,-15.904,1,0.0439,0.937,0.937,0.11,0.201,113.972,21NHuCeoEJ76SVggMgNsNw,21NHuCeoEJ76SVggMgNsNw
2tVHXIMmky5mOeQrolyOUV,Aconcagua,2c0SyAUT82Al3gJQ3uezBv,Slumberville,480XGKz77Nqgcf8QHQXcMy,119076,2019-08-30,0,0.82,0.17,1,-12.969,1,0.0971,0.416,0.859,0.0986,0.29,129.993,2tVHXIMmky5mOeQrolyOUV,2tVHXIMmky5mOeQrolyOUV
0pVwoyQqtyF0GWyaMeYy6q,If I Wrote You,0IXo2RN5Z2J7T6W1oyrBWX,Import Export,2DRpdqUh2AgR0LPxudSNi4,133723,2021-01-15,57,0.599,0.38,6,-7.541,0,0.134,0.44,0.901,0.111,0.149,93.855,0pVwoyQqtyF0GWyaMeYy6q,0pVwoyQqtyF0GWyaMeYy6q
4ruExpSbEiBnBa6uowGv3M,Somewhere New,5Y2wHchGaDlDsk9FPC0YSE,Kid Kio,5UHWKxiLTm23tNTEfRNdBI,123076,2020-06-15,57,0.494,0.254,9,-13.709,0,0.0351,0.762,0.865,0.0884,0.147,156.001,4ruExpSbEiBnBa6uowGv3M,4ruExpSbEiBnBa6uowGv3M
15LqhqSSDfZmIylBdlxxVK,sundown,2V9zpugQCHRiu2lPjsUM6d,mt. fujitive,4rrjKhuPxr11fsXNkmJIr7,106899,2019-09-03,0,0.653,0.167,5,-19.743,1,0.0396,0.958,0.931,0.0986,0.461,75.962,15LqhqSSDfZmIylBdlxxVK,15LqhqSSDfZmIylBdlxxVK
