playlist_id,playlist_name,playlist_total_tracks,owner_id,owner_name,total_followers
37i9dQZF1DWTwnEm1IYyoj,Soft Pop Hits,232,spotify,Spotify,4778120
37i9dQZF1DX50QitC6Oqtn,Love Pop,100,spotify,Spotify,3258215
37i9dQZF1DXcZDD7cfEKhW,Pop Remix,50,spotify,Spotify,3216528
37i9dQZF1DX6aTaZa0K6VA,Pop Up,80,spotify,Spotify,3009416
37i9dQZF1DX9tPFwDMOaN1,K-Pop Daebak,50,spotify,Spotify,2791661
37i9dQZF1DWVLcZxJO5zyf,Pop Brasil,60,spotify,Spotify,2145533
37i9dQZF1DWUa8ZRTfalHk,Pop Rising,87,spotify,Spotify,2046420
37i9dQZF1DX3WvGXE8FqYX,Women of Pop,70,spotify,Spotify,2038342
37i9dQZF1DXa9wYJr1oMFq,Pop Punk Powerhouses,50,spotify,Spotify,1825520
37i9dQZF1DX1QnNyJOBQBv,Latin Pop Hits,50,spotify,Spotify,1777657
37i9dQZF1DX6ThddIjWuGT,Latin Pop Classics,100,spotify,Spotify,1553861
37i9dQZF1DX4YhSbTs17ha,Sólo Pop,90,spotify,Spotify,1369906
37i9dQZF1DWWEcRhUVtL8n,Indie Pop,125,spotify,Spotify,1361608
37i9dQZF1DXbIGqYf7WDxP,Pop Chillout,95,spotify,Spotify,1263241
37i9dQZF1DWUaThf8nMdW6,Best of '00s Pop,50,spotify,Spotify,1190812
37i9dQZF1DX5gQonLbZD9s,Pumped Pop,60,spotify,Spotify,1126267
37i9dQZF1DX3YMp9n8fkNx,'90s Pop Rock Essentials,101,spotify,Spotify,957530
37i9dQZF1DX9ASuQophyb3,Türkçe Pop,50,spotify,Spotify,906923
37i9dQZF1DX92MLsP3K1fI,Top Pop,142,spotify,Spotify,852847
37i9dQZF1DWVlLVXKTOAYa,Pop Right Now,100,spotify,Spotify,839463
37i9dQZF1DX3sCT1ItXgNd,Pop con Ñ,60,spotify,Spotify,812664
37i9dQZF1DXcxvFzl58uP7,Bedroom Pop,100,spotify,Spotify,724520
37i9dQZF1DWXJyjYpHunCf,Folk Pop,100,spotify,Spotify,701566
37i9dQZF1DXaPCIWxzZwR1,Pop Sauce,105,spotify,Spotify,699601
37i9dQZF1DWSVtp02hITpN,The Pop List,80,spotify,Spotify,678256
37i9dQZF1DXasneILDRM7B,Pure Pop Punk,50,spotify,Spotify,613018
37i9dQZF1DX1ngEVM0lKrb,Pop Internacional,100,spotify,Spotify,596480
37i9dQZF1DWWqNV5cS50j6,Anti Pop,158,spotify,Spotify,581925
37i9dQZF1DWYVURwQHUqnN,Pop Urbaine,50,spotify,Spotify,568050
37i9dQZF1DX4FcAKI5Nhzq,K-Pop Rising,74,spotify,Spotify,507946
37i9dQZF1DWTPDzakLfYZr,Popetón,70,spotify,Spotify,491250
37i9dQZF1DX0MLFaUdXnjA,Chill Pop,92,spotify,Spotify,483678
37i9dQZF1DWVlYsZJXqdym,Happy Pop Hits,50,spotify,Spotify,477678
37i9dQZF1DXarRysLJmuju,Pop All Day,78,spotify,Spotify,460787
37i9dQZF1DWYOiy3rOFsDS,Boleros Pop,100,spotify,Spotify,446405
37i9dQZF1DX4v0Y84QklHD,Classic Pop Picks,50,spotify,Spotify,438134
37i9dQZF1DWW6EwN6CPxGO,Funk Pop,70,spotify,Spotify,433242
37i9dQZF1DX07Bg0Q5GozA,OFF POP,55,spotify,Spotify,420053
37i9dQZF1DX1ewVhAJ17m4,Pop Punk's Not Dead,100,spotify,Spotify,419744
37i9dQZF1DX9L93gfg5cPa,Mega Pop Mix,100,spotify,Spotify,399863
5oxZIYU1L9N1CczN0C4JkM,Instrumental Pop Covers,459,x40fn74nzd798rvmpy6o5vue7,instrumental pop covers,393641
37i9dQZF1DX1WhyP6stXXl,Pop Brandneu,51,spotify,Spotify,393423
37i9dQZF1DWSoyxGghlqv5,Pop Study,60,spotify,Spotify,349852
37i9dQZF1DX1H4LbvY4OJi,Happy Pop,80,spotify,Spotify,334663
37i9dQZF1DX8mWv7JDZ0Ht,Pop Leve,80,spotify,Spotify,314631
