playlist_id,playlist_name,playlist_total_tracks,owner_id,owner_name,total_followers
37i9dQZF1DX4SBhb3fqCJd,Are & Be,40,spotify,Spotify,5481257
37i9dQZF1DWYmmr74INQlb,I Love My '00s R&B,40,spotify,Spotify,3349852
37i9dQZF1DX6VDO8a6cQME,I Love My '90s R&B,45,spotify,Spotify,2490109
37i9dQZF1DX2UgsUIg75Vg,Chilled R&B,50,spotify,Spotify,2072327
37i9dQZF1DWX3387IZmjNa,B.A.E.,50,spotify,Spotify,1806474
37i9dQZF1DX4y8h9WqDPAE,Channel X,50,spotify,Spotify,1636749
37i9dQZF1DX2Ma8k80RiMN,The Sweet Suite,40,spotify,Spotify,1271017
37i9dQZF1DWVEvzGeX3eRs,'90s Baby Makers,47,spotify,Spotify,1192416
37i9dQZF1DWSfMe9z89s9B,Alternative R&B,100,spotify,Spotify,961615
37i9dQZF1DWUzFXarNiofw,The Newness,50,spotify,Spotify,746159
37i9dQZF1DX6JzJ8vAK836,This Is Prince,73,spotify,Spotify,672105
37i9dQZF1DXcDoDDetPsEg,Who We Be,67,spotify,Spotify,644688
37i9dQZF1DX4a0nQYnltiQ,This Is How We Do,54,spotify,Spotify,607120
37i9dQZF1DXbirtHQBuwCo,TrenChill K-R&B,70,spotify,Spotify,537735
37i9dQZF1DX0H8hDpv38Ju,’80s Jam Session,40,spotify,Spotify,531902
37i9dQZF1DWWPcvnOpPG3x,Run This Town 150–165 BPM,50,spotify,Spotify,517353
37i9dQZF1DX1wNY9tfWQsS,Women of R&B,70,spotify,Spotify,362322
37i9dQZF1DX2WkIBRaChxW,R&B Right Now,55,spotify,Spotify,331945
36scvoM0cRA50MCZGhv3wo,R&B Party Classics,134,sonymusicentertainment,Filtr Sweden,313997
37i9dQZF1DWW5pERGrNVob,This is MAMAMOO,50,spotify,Spotify,302086
37i9dQZF1DXch2nNxu927l,Suprême R&B,50,spotify,Spotify,276055
37i9dQZF1DWXbttAJcbphz,I Love My '10s R&B,50,spotify,Spotify,241605
37i9dQZF1DXa49JU4zzjb9,The Flavour,50,spotify,Spotify,232693
37i9dQZF1DWY12BqhkMFW2,Soul Revived,35,spotify,Spotify,226045
37i9dQZF1DX82JyyzBd3eq,This Is Daniel Caesar,25,spotify,Spotify,208902
37i9dQZF1DX32nf7PAbnUl,Chicha Royale,70,spotify,Spotify,193376
37i9dQZF1DWYgA6FKKHSd6,Sax and the City,117,spotify,Spotify,189737
37i9dQZF1DX7J2y2eWxEnR,R&B Connect,60,spotify,Spotify,169484
37i9dQZF1DX6EQe4DjJNfI,R&B Brasil,80,spotify,Spotify,125040
37i9dQZF1DX7FY5ma9162x,R&B Favourites,100,spotify,Spotify,117910
37i9dQZF1DX9UuQbl12Nmb,À l'ancienne,50,spotify,Spotify,115189
37i9dQZF1DWWWvWJNPeyJE,Sexy R&B,55,spotify,Spotify,112968
6X0dR2HGRp4cIkgqdNvGSP,R&B VIBES,32,xznbyii4eo2o8yitdbexd4yv0,VIBE Lifestyle,108950
37i9dQZF1DX2BCjruDQhfl,Vibes,125,spotify,Spotify,105884
37i9dQZF1DWUFAJPVM3HTX,Fresh Finds: The Wave,75,spotify,Spotify,98678
37i9dQZF1DX942d1NzGgzk,R&B UK,60,spotify,Spotify,96288
37i9dQZF1DX6GYkg76TRV8,R&B Feels,60,spotify,Spotify,94460
37i9dQZF1DX8LIZNmf5qj3,Douces Vibes,50,spotify,Spotify,93220
