track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name
0XkQ23l4GT8sFHgeNRGAO4,LET'S GET MARRIED,2HPaUgqeutzr3jx5a9WyDV,PARTYNEXTDOOR,2Uyia7M6Hv8XmhMSEbpfgm,224014,2021-01-29,61,0.501,0.643,1,-6.763,1,0.0383,0.0605,0.000137,0.151,0.22,130.85,0XkQ23l4GT8sFHgeNRGAO4,0XkQ23l4GT8sFHgeNRGAO4
3YJJjQPAbDT7mGpX3WtQ9A,Good Days,7tYKF4w9nC0nq9CsPZTHyP,SZA,781cKhbTPwLnPmo9BALQl7,279204,2020-12-25,92,0.436,0.655,1,-8.37,0,0.0583,0.499,8.1e-06,0.688,0.412,121.002,3YJJjQPAbDT7mGpX3WtQ9A,3YJJjQPAbDT7mGpX3WtQ9A
5VlTQnZO89Ioku8ssdbqJk,Dead Man Walking,3tlXnStJ1fFhdScmQeLpuG,Brent Faiyaz,7JN4bDXgC4mDcuhghlFBHc,247079,2020-09-18,82,0.505,0.267,9,-13.763,0,0.05,0.279,0.0,0.096,0.439,143.929,5VlTQnZO89Ioku8ssdbqJk,5VlTQnZO89Ioku8ssdbqJk
0KS2h61pHQ4WmOwruD7uxD,Damage,3Y7RZ31TRPVadSFVy1o8os,H.E.R.,2pPGkrEYiHUmqSyg3sAGII,223414,2020-10-21,73,0.646,0.696,1,-6.505,1,0.065,0.113,0.0,0.115,0.18,81.336,0KS2h61pHQ4WmOwruD7uxD,0KS2h61pHQ4WmOwruD7uxD
5XqDJFVCyRTm5J7cIfRmR1,Not Another Love Song,7HkdQ0gt53LP4zmHsL0nap,Ella Mai,5QJAMz9LqY5DC2BAjLmO7p,217801,2020-10-02,73,0.499,0.612,4,-5.947,0,0.127,0.171,4.99e-05,0.0993,0.218,157.218,5XqDJFVCyRTm5J7cIfRmR1,5XqDJFVCyRTm5J7cIfRmR1
4Xr6BbSSu5HhImp8vfxMbg,On It,7gSjFKpVmDgC2MMsnN8CYq,Jazmine Sullivan,5g9YhHW8tE7Tcslgxsk5u9,205000,2021-01-08,68,0.422,0.377,1,-6.7,0,0.0376,0.315,0.0,0.107,0.227,128.441,4Xr6BbSSu5HhImp8vfxMbg,4Xr6BbSSu5HhImp8vfxMbg
1LyDCI7Adz9s0z57TXezgQ,He Said (feat. Miguel),7e1ICztHM2Sc4JNLxeMXYl,dvsn,1M0lODGuJBWpiSqlw43qWt,191998,2021-01-15,65,0.747,0.64,2,-4.776,0,0.0269,0.0119,1.29e-06,0.119,0.539,100.028,1LyDCI7Adz9s0z57TXezgQ,1LyDCI7Adz9s0z57TXezgQ
29zlMCUoFqwWMMTFwY7rTI,"Your Turn (feat. Musiq Soulchild, Tish Hyman & 6LACK)",7c0XG5cIJTrrAgEC3ULPiq,Ty Dolla $ign,6M4Nu5UgX097dxeF2lm9P8,319555,2020-10-23,64,0.533,0.389,0,-9.175,1,0.0542,0.18,0.0,0.112,0.248,145.894,29zlMCUoFqwWMMTFwY7rTI,29zlMCUoFqwWMMTFwY7rTI
3Fy2uMZm0H6WbWhkXGjbmJ,Grounded,1vaQ6v3pOFxAIrFoPrAcom,Ari Lennox,4kOpSbxzI6UDsFeDlLKhfq,89442,2020-09-25,61,0.823,0.489,0,-8.077,1,0.0753,0.386,0.0985,0.0783,0.0799,102.084,3Fy2uMZm0H6WbWhkXGjbmJ,3Fy2uMZm0H6WbWhkXGjbmJ
08HPWLi0YmRUStJzkQ1ffh,Stuck On You,4fxd5Ee7UefO4CUXgwJ7IP,Giveon,3Gy88OoWtHL93e8PQHiLTX,205116,2020-09-30,75,0.599,0.449,7,-7.423,1,0.0529,0.161,2.66e-05,0.107,0.143,158.0,08HPWLi0YmRUStJzkQ1ffh,08HPWLi0YmRUStJzkQ1ffh
2JLVZYEMmqPWbUoAJAMKfm,Pick Up Your Feelings,7gSjFKpVmDgC2MMsnN8CYq,Jazmine Sullivan,1wsPNQ8DFxRYNQnCs0hMu7,232096,2020-11-20,68,0.729,0.414,7,-6.138,0,0.0565,0.291,0.0,0.0793,0.565,85.729,2JLVZYEMmqPWbUoAJAMKfm,2JLVZYEMmqPWbUoAJAMKfm
7IM5Blpr2xlz9hFBgr79cC,Wasted Energy (feat. Kaash Paige & Diamond Platnumz) - Remix,3DiDSECUqqY1AuBP8qtaIa,Alicia Keys,1168pCxg0HeTRqyutFf4o1,277610,2020-12-18,62,0.688,0.638,11,-5.562,0,0.0907,0.146,0.000669,0.0805,0.83,79.948,7IM5Blpr2xlz9hFBgr79cC,7IM5Blpr2xlz9hFBgr79cC
0LGtMvQJ37SsEYbkP6TcVJ,Outta Time (feat. Drake),2EMAnMvWE2eb56ToJVfCWs,Bryson Tiller,4tLP29vbVVV4JaahjSmKjp,198821,2020-10-02,68,0.714,0.582,5,-7.272,0,0.0808,0.0129,0.0,0.0774,0.338,92.819,0LGtMvQJ37SsEYbkP6TcVJ,0LGtMvQJ37SsEYbkP6TcVJ
1KFHD2MK0wQADYddeed7Qf,Sending My Love - Spotify Singles,0AsThoR4KZSVktALiNcQwW,Chloe x Halle,7KKRDqdnhfBV61qQ1EVxY2,173206,2020-11-20,63,0.578,0.599,4,-8.692,0,0.0402,0.0339,0.0,0.286,0.475,95.005,1KFHD2MK0wQADYddeed7Qf,1KFHD2MK0wQADYddeed7Qf
1OKy6TtXWD7oz1b1dComxI,Girl Like Me (feat. H.E.R.),7gSjFKpVmDgC2MMsnN8CYq,Jazmine Sullivan,7zur3l7Shcxd6JfOFl8UB0,223842,2021-01-06,63,0.613,0.626,9,-3.905,1,0.0755,0.657,0.0,0.599,0.676,81.364,1OKy6TtXWD7oz1b1dComxI,1OKy6TtXWD7oz1b1dComxI
02UJ1sCanP94fS2MdsWafh,PERSIAN RUGS,2HPaUgqeutzr3jx5a9WyDV,PARTYNEXTDOOR,3CPGfq4GT326ZiecqegH2t,174306,2020-10-16,68,0.768,0.428,1,-8.156,0,0.0459,0.0489,0.000491,0.105,0.147,110.478,02UJ1sCanP94fS2MdsWafh,02UJ1sCanP94fS2MdsWafh
7Bar1kLTmsRmH6FCKKMEyU,Hit Different,7tYKF4w9nC0nq9CsPZTHyP,SZA,4xmJCh7ct63QvQ5wRc44db,202007,2020-09-04,80,0.679,0.516,0,-6.371,0,0.0452,0.199,0.0,0.0965,0.716,120.074,7Bar1kLTmsRmH6FCKKMEyU,7Bar1kLTmsRmH6FCKKMEyU
2uddLj27GIDBIdwRuIomE4,All About You,3qnGvpP8Yth1AqSBMqON5x,Leon Bridges,36Lr1Ipl7w3gn0NdZbRcge,180095,2020-10-16,66,0.746,0.454,9,-8.79,1,0.0583,0.122,1.52e-05,0.296,0.268,121.921,2uddLj27GIDBIdwRuIomE4,2uddLj27GIDBIdwRuIomE4
55q1k6Ewwy1CWdHT4niANb,Superstar,0XIKGBo9PnK1ApI5tZA60d,DaniLeigh,4d9fUkdY8BOJK0awqObMs6,153596,2020-11-13,64,0.504,0.492,9,-7.634,1,0.237,0.696,4.2e-05,0.369,0.478,72.974,55q1k6Ewwy1CWdHT4niANb,55q1k6Ewwy1CWdHT4niANb
2KkNkv6ciB6bt2hvHtOrin,Wake Up Love,4ULO7IGI3M2bo0Ap7B9h8a,Teyana Taylor,4bIuE7S9tX7bZttvusd6QR,215329,2020-06-12,65,0.583,0.766,11,-4.743,0,0.405,0.502,1.79e-06,0.159,0.203,131.374,2KkNkv6ciB6bt2hvHtOrin,2KkNkv6ciB6bt2hvHtOrin
7beY8mXJuC4l0J2WgVoCfm,Bad Habits,23zg3TcAtWQy7J6upgbUnj,Usher,2sD4s8plx7sdr7Qn580kK6,257249,2020-09-10,65,0.62,0.829,5,-4.433,1,0.101,0.0934,0.0,0.111,0.636,152.279,7beY8mXJuC4l0J2WgVoCfm,7beY8mXJuC4l0J2WgVoCfm
2Ee9amLUslOwgoJWZEpSSD,Mystery Lady (feat. Don Toliver),3ycxRkcZ67ALN3GQJ57Vig,Masego,3iJYwx4U2xHyDi7BRjskIJ,228453,2020-11-10,75,0.747,0.494,3,-7.957,0,0.141,0.393,0.0,0.0982,0.624,76.006,2Ee9amLUslOwgoJWZEpSSD,2Ee9amLUslOwgoJWZEpSSD
0OcRaDIJXOBj8BKllfp3Fi,Use Somebody,7e1ICztHM2Sc4JNLxeMXYl,dvsn,27pAJ7HDxqaHr2prUTbJL9,270873,2021-01-08,63,0.619,0.801,3,-6.857,0,0.042,0.162,0.000143,0.106,0.193,153.056,0OcRaDIJXOBj8BKllfp3Fi,0OcRaDIJXOBj8BKllfp3Fi
1pZwFpiLKrSfNtXs6WQLlf,Rain (feat. Swae Lee),2iojnBLj0qIMiKPvVhLnsH,Trey Songz,6tJKIc90Q5FuHbAWsrBPkI,223799,2020-10-09,62,0.618,0.416,1,-9.077,1,0.0772,0.733,0.0,0.106,0.404,137.851,1pZwFpiLKrSfNtXs6WQLlf,1pZwFpiLKrSfNtXs6WQLlf
1FhxEhPZpBBOJTDwSf6MA5,Borderline,05oH07COxkXKIMt6mIPRee,Brandy,09jppw0ufVFDiotrHDMK1w,312459,2020-07-31,62,0.545,0.429,2,-7.925,0,0.0278,0.581,0.000335,0.113,0.364,98.957,1FhxEhPZpBBOJTDwSf6MA5,1FhxEhPZpBBOJTDwSf6MA5
1lxs63LaZX1wHBr0qIt5oK,SURF (feat. Masego),3UjPnt2nRmw10N58bBeNOg,Xavier Omär,3MbutmdmYVZkJet5KXtALG,202106,2020-10-23,62,0.603,0.569,11,-7.472,0,0.346,0.11,0.000459,0.101,0.305,166.051,1lxs63LaZX1wHBr0qIt5oK,1lxs63LaZX1wHBr0qIt5oK
4tGGaI4N2KDjmAwXxF1e7P,Lie To Me,3nViOFa3kZW8OMSNOzwr98,Queen Naija,2rJoBiht61YjK4VZVe98kH,192823,2020-10-02,61,0.52,0.719,0,-4.866,1,0.383,0.31,0.0,0.0882,0.663,173.19,4tGGaI4N2KDjmAwXxF1e7P,4tGGaI4N2KDjmAwXxF1e7P
4ngz3vlQcFj3aNnTNikoRv,"U 2 Luv (Remix feat. Jeremih, Queen Naija, & Lil Durk)",21E3waRsmPlU7jZsS13rcj,Ne-Yo,76nSjhqsGsujyJ9isQCzmr,185934,2020-10-23,61,0.656,0.647,6,-7.584,1,0.108,0.0845,8.73e-05,0.315,0.686,181.884,4ngz3vlQcFj3aNnTNikoRv,4ngz3vlQcFj3aNnTNikoRv
3HY9qrtAKtobL2nCQ535h0,Lost One,7gSjFKpVmDgC2MMsnN8CYq,Jazmine Sullivan,53JvgHHILTK9VsqNsL6lXf,180345,2020-08-28,65,0.494,0.425,0,-5.317,0,0.0746,0.848,5.12e-05,0.0895,0.275,66.602,3HY9qrtAKtobL2nCQ535h0,3HY9qrtAKtobL2nCQ535h0
71hBQ9qHsZU2M3vDF8MtaN,By Yourself (feat. Jhené Aiko & Mustard),7c0XG5cIJTrrAgEC3ULPiq,Ty Dolla $ign,1CQFYWHVdRypCsU2IU80t1,148988,2020-10-16,46,0.757,0.536,1,-6.818,1,0.0466,0.0836,0.0,0.645,0.205,103.931,71hBQ9qHsZU2M3vDF8MtaN,71hBQ9qHsZU2M3vDF8MtaN
4lsHZ92XCFOQfzJFBTluk8,You Got It,3wVXTWabe3viT0jF7DfjOL,Vedo,4LxNdEodxvcd7q41asR17h,201586,2020-03-27,82,0.774,0.376,5,-9.372,1,0.208,0.297,0.0,0.165,0.391,122.089,4lsHZ92XCFOQfzJFBTluk8,4lsHZ92XCFOQfzJFBTluk8
0zcRUprLKw7LtndkBurb3S,Hold On,3Y7RZ31TRPVadSFVy1o8os,H.E.R.,3WWfApLKg76DOgntZABET6,203214,2020-10-25,64,0.461,0.542,5,-5.202,1,0.0457,0.453,4.32e-06,0.146,0.189,120.209,0zcRUprLKw7LtndkBurb3S,0zcRUprLKw7LtndkBurb3S
3X3TlieuOl8aWzw2HeigUo,So Done (feat. Khalid),3DiDSECUqqY1AuBP8qtaIa,Alicia Keys,062XA53aUGExhE7e8ngYQO,235785,2020-08-14,67,0.399,0.459,7,-6.359,0,0.0938,0.813,0.0,0.11,0.375,82.528,3X3TlieuOl8aWzw2HeigUo,3X3TlieuOl8aWzw2HeigUo
2aSM4sbNN7cSmpYOG0sf46,My Affection (with PARTYNEXTDOOR),57LYzLEk2LcFghVwuWbcuS,Summer Walker,0MJ0Sjfn5PCa4kpUbU31JR,213933,2020-07-10,66,0.632,0.495,7,-8.335,1,0.143,0.333,0.0,0.0941,0.233,77.083,2aSM4sbNN7cSmpYOG0sf46,2aSM4sbNN7cSmpYOG0sf46
7z9lRMknTiGUeV2cD7oTy6,Trenches,6nzxy2wXs6tLgzEtqOkEi2,Monica,1PiIRn8PuixYfBJ5iculYB,215797,2020-08-31,62,0.622,0.501,1,-4.33,1,0.21,0.00642,0.0,0.167,0.308,202.007,7z9lRMknTiGUeV2cD7oTy6,7z9lRMknTiGUeV2cD7oTy6
5E1aFH3QO8NHlocnXIPTYo,Go Crazy,7bXgB6jMjp9ATFy66eO08Z,Chris Brown,655K6xPQko0QunUAClwrLq,176960,2020-05-05,1,0.755,0.578,0,-8.932,0,0.145,0.316,0.0,0.25,0.581,94.148,5E1aFH3QO8NHlocnXIPTYo,5E1aFH3QO8NHlocnXIPTYo
4ptJnPKDD6S038BlYss3Tf,Inhale,2EMAnMvWE2eb56ToJVfCWs,Bryson Tiller,5n8vnVCFsIi8XYNSZpvyd6,174091,2020-09-03,58,0.464,0.714,4,-8.23,0,0.411,0.317,0.00274,0.247,0.456,77.524,4ptJnPKDD6S038BlYss3Tf,4ptJnPKDD6S038BlYss3Tf
7GU4sdexteLwpjIZ36QPFL,Circles,2iojnBLj0qIMiKPvVhLnsH,Trey Songz,65tz6yI9G9USj9R7jh1qh5,257385,2020-08-14,24,0.681,0.651,9,-5.533,1,0.104,0.103,0.0,0.103,0.416,106.045,7GU4sdexteLwpjIZ36QPFL,7GU4sdexteLwpjIZ36QPFL
1Tv6DohXfBPROpBCVWnVCP,Comeback,5xuNBZoM7z1Vv8IQ6uM0p6,JoJo,4ZkPgA3xwggOxEtHndkb9R,190933,2020-08-28,56,0.683,0.541,8,-7.615,0,0.0695,0.0666,0.00939,0.107,0.291,122.989,1Tv6DohXfBPROpBCVWnVCP,1Tv6DohXfBPROpBCVWnVCP
6rij5OZoU4FSA2lTbFmRgi,Put In Work (with Chris Brown),4tMm1dU6Gn04VAZ9ClHcIZ,Jacquees,2pnBtHPmWH9u5QFKwgVd9R,199897,2020-07-24,67,0.6,0.678,10,-5.227,0,0.13,0.0491,0.0,0.138,0.494,136.858,6rij5OZoU4FSA2lTbFmRgi,6rij5OZoU4FSA2lTbFmRgi
2RqZFOLOnzVmHUX7ZMcaES,Let It Go,1vfezMIyCr4XUdYRaKIKi3,Keyshia Cole,7mdy09EO4q6F9VWBtXDDjK,238333,2007-01-01,67,0.806,0.721,10,-5.167,0,0.215,0.197,0.0,0.209,0.781,94.967,2RqZFOLOnzVmHUX7ZMcaES,2RqZFOLOnzVmHUX7ZMcaES
0JC3ynTNoZaWjZHXzeapYy,Into You (feat. Fabolous),0le01dl1WllSHhjEXRl4in,Tamia,0WdxQHUdLZBGbscwYV72zM,294093,2004,55,0.677,0.531,7,-7.683,0,0.0327,0.219,0.0,0.173,0.57,91.104,0JC3ynTNoZaWjZHXzeapYy,0JC3ynTNoZaWjZHXzeapYy
3LmvfNUQtglbTrydsdIqFU,We Belong Together,4iHNK0tOyZPYnBU7nGAgpQ,Mariah Carey,43iBTEWECK7hSnE0p6GgNo,201400,2005-01-01,68,0.837,0.462,0,-7.89,1,0.0601,0.0339,0.0,0.09,0.762,139.986,3LmvfNUQtglbTrydsdIqFU,3LmvfNUQtglbTrydsdIqFU
1zpu1PZ8ecmcX525Z3X8cl,Yo (Excuse Me Miss),7bXgB6jMjp9ATFy66eO08Z,Chris Brown,2gRm1k9fVkhTfZDHvBI2sR,229040,2005-11-29,0,0.605,0.633,1,-5.899,0,0.251,0.119,0.0,0.225,0.592,87.26,1zpu1PZ8ecmcX525Z3X8cl,1zpu1PZ8ecmcX525Z3X8cl
4iuNZTcvT9diFySSzVsnVS,When I See U,7xAcVHPiirnUqfdqo0USb1,Fantasia,42DybH3gl3WcfXAQySOEiX,217346,2006-12-09,68,0.569,0.596,8,-6.486,1,0.171,0.457,8.99e-05,0.205,0.757,93.134,4iuNZTcvT9diFySSzVsnVS,4iuNZTcvT9diFySSzVsnVS
3ibKnFDaa3GhpPGlOUj7ff,Let Me Love You,20s0P9QLxGqKuCsGwFsp7w,Mario,7EXstuWka51pNFzEAidEol,256733,2004-09-21,74,0.656,0.578,7,-8.97,0,0.0922,0.235,0.0,0.118,0.556,94.514,3ibKnFDaa3GhpPGlOUj7ff,3ibKnFDaa3GhpPGlOUj7ff
6XsT5UGfpaFeHQf5LRIy4W,"Me, Myself and I",6vWDO969PvNqNYHIOW5v0m,Beyoncé,6oxVabMIqCMJRYN1GqR3Vf,301133,2003-06-24,63,0.75,0.458,1,-9.092,1,0.0803,0.226,3.25e-05,0.137,0.536,83.61,6XsT5UGfpaFeHQf5LRIy4W,6XsT5UGfpaFeHQf5LRIy4W
0W4NhJhcqKCqEP2GIpDCDq,Love,1vfezMIyCr4XUdYRaKIKi3,Keyshia Cole,4zEAsP0RIfbGARdtsgAaUV,255333,2005-01-01,73,0.688,0.519,5,-4.285,1,0.0283,0.064,0.0,0.1,0.318,116.714,0W4NhJhcqKCqEP2GIpDCDq,0W4NhJhcqKCqEP2GIpDCDq
