playlist_id,playlist_name,playlist_total_tracks,owner_id,owner_name,total_followers
37i9dQZF1DX0XUsuxWHRQd,RapCaviar,50,spotify,Spotify,13610208
37i9dQZF1DX186v583rmzp,I Love My '90s Hip-Hop,100,spotify,Spotify,5439443
37i9dQZF1DX36edUJpD76c,Modus Mio,50,spotify,Spotify,1551997
37i9dQZF1DX36edUJpD76c,Modus Mio,50,spotify,Spotify,1551997
37i9dQZF1DX76t638V6CA8,Rap Workout,59,spotify,Spotify,1287394
37i9dQZF1DX1X23oiQRTB5,PVNCHLNRS,50,spotify,Spotify,1056769
37i9dQZF1DWSIvbYYt1Dvi,RAPública,60,spotify,Spotify,997913
37i9dQZF1DX8Kgdykz6OKj,Jazz Rap,100,spotify,Spotify,783013
37i9dQZF1DX6PKX5dyBKeq,Rap UK,77,spotify,Spotify,723980
37i9dQZF1DWU4xkXueiKGW,Fresh Rap,51,spotify,Spotify,632922
37i9dQZF1DXbvIwPsyNnKl,Kalye Hip-Hop,60,spotify,Spotify,557690
37i9dQZF1DX19xRtMyA5LM,Woordenschat,61,spotify,Spotify,544353
4Ao85ZB0F474SYUelDH1Xi,Sad Rap,137,promotingsounds,Promoting Sounds,475197
37i9dQZF1DX0Na9FTYame5,Rap in deep,50,spotify,Spotify,444853
37i9dQZF1DXcd2Vmhfon1w,Rap Español,50,spotify,Spotify,365574
37i9dQZF1DWTgSTuHRv7LV,Mucho Rap,50,spotify,Spotify,361091
37i9dQZF1DWXfi2vTRVTna,This Is O Rappa,30,spotify,Spotify,349180
37i9dQZF1DWTf69iQOGkD2,Rap Acústico,84,spotify,Spotify,325298
37i9dQZF1DX5jNEiuvPyWr,Cloud Rap,50,spotify,Spotify,312472
37i9dQZF1DXawlg2SZawZf,Classiques du Rap US,61,spotify,Spotify,289372
37i9dQZF1DXdxFkXW4j8RX,Rap Chileno,100,spotify,Spotify,281178
2YLYJT19TUBMD4eDQEnivw,Workout Motivation / HipHop / Rap 2021,149,uptown_as,uptown_as,265940
37i9dQZF1DWSrqNVMcxGKc,Classiques du Rap Français,50,spotify,Spotify,253756
37i9dQZF1DXcEJw9C2rUbi,Rap oder Liebe,50,spotify,Spotify,253039
37i9dQZF1DWXfgo3OOonqa,100,80,spotify,Spotify,214226
0MF1XGKzqqeL0ZHeqMrq7R,Rap Fr | Rap Francais 2021 | Hits Rap,68,digster.fr,Digster France,208047
37i9dQZF1DWUQru3jd69v5,Raptopia,50,spotify,Spotify,186468
37i9dQZF1DWXJnyndhASBe,Generacja Hip Hop,50,spotify,Spotify,182700
37i9dQZF1DWXRPjCBAuFj3,Rap Internazionale,55,spotify,Spotify,175569
0mSf78pnq5xVU6kOtdv6dx,Chill Rap Playlist,179,promotingsounds,Promoting Sounds,172007
4l1CEhc7ZPbaEtiPdCSGbl,Rap Francais 2021,65,thomas.guenancia,Thomas Guenancia,159063
37i9dQZF1DX40O80BIPklU,Rap en Español,60,spotify,Spotify,144104
5ySBdOIQPpfpCO75lu20Uq,Chill Rap,165,irhvzi9jf9q9nolzou6g35wra,musiphy,131413
38iI10NJQ5HY0ilCItMz5r,Rap 2021 | Hip Hop & Rap  Hits 2021,119,kpu7ttyvk94i360ju1ym63upj,Desired Music,129729
37i9dQZF1DXdpF2suW27SP,Rap Tuga,65,spotify,Spotify,127774
4fGyjVkLOHTbQjeqw3XAPL,Emo Rap,121,promotingsounds,Promoting Sounds,119097
1M25OrTF4Zr6T1LJ7XGzx4,Clean Rap 2020-2021 / Best Clean Rap Hits 🔥,600,ikd5w5sgnw6dbvzb3vfaycex8,KULTPOP!,117537
37i9dQZF1DWW5pQp5JqjY4,RapCaviar Presents... Best Hip-Hop Songs of 2020,50,spotify,Spotify,110191
37i9dQZF1DWXo9v62EXLlM,Rap sztosy,70,spotify,Spotify,101437
37i9dQZF1DX1ct2TQrAvRf,RAP 91,72,spotify,Spotify,96344
5eYb5BMPeWH4aiD2mv3bb2,Ala Türkçe Rap,76,alatokel,alatokel,95712
37i9dQZF1DXdhDukKQ88Cc,DK rap,64,spotify,Spotify,92243
37i9dQZF1DX2y6end4Tb8T,Rap Skills,100,spotify,Spotify,88398
598jBq5x1Jg6YwqYDUf3xb,Chill Rap Vibes 2021 ,95,metrmusic,metr,85112
37i9dQZF1DWYBofUhpgE88,Rap Motivazionale,40,spotify,Spotify,84936
37i9dQZF1DWSxF6XNtQ9Rg,Hit Rap Italiane,70,spotify,Spotify,75883
37i9dQZF1DX3HUaZJRcDLd,Rap klub,60,spotify,Spotify,69532
1hSttVSF5skEvOU02Hv0XE,Rap Life,35,mfal2njkkgvolgb8vecwjlb2o,Grove Music,69013
37i9dQZF1DX5cpU86I7OAy,Svensk Rap,80,spotify,Spotify,68532
0FAb3s3yJArWnikZbEOO9p,HIP HOP 2021 🔥 New Rap & Trap Hits,178,williamdzn,Soy William,63835
2Ra5hGLAyFvWiRJEXNjeUD,Rap 2021 by SKRT,238,m210vtjz6mr4cind3o7jkmqxz,SKRT,60446
3VwlaafldslRaaWq8vsU6S,2000s Hip Hop / Rap,385,1228891937,Matt Hingle,59302
0vHJEpZtv6IaNi6ELq2Pg1,GENERATIONEN - Dansk Rap 2021,320,sonymusicdenmark,Filtr Danmark,58758
37i9dQZF1DXa3d3ljLBxSG,Rap motywacja,60,spotify,Spotify,55452
4X3f7cuU0EtRZN3BKfLmls,Gym Rap | Workout Rap 2021,122,kor3wjfaaobanwyyg77wuqzag,TodaysGeneration,43793
2o1qRzi61Qpzv8mB7aBPaP,American Rap 🇺🇸,287,sjoerdbosmuiderberg,Sjoerd Bos,43105
4wJJY7tYsrxhHGpGYuJo7K,WORKOUT RAP 2021 🔥 ,84,b2umpujki69td3thrxvmu0ajn,Bass Lovers,34748
5zVTjqiHYpNyF8EzJ96Aqb,RapCloud,42,z9fgk0o70m9q15yydnwy1gziw,RapCloud,33369
4dx099NEMVYP8l2YFq8xTL,RAP FRANÇAIS 🇫🇷,186,adil2k7xbnt8lzx0qxuyccbjy,@spoti.nath | Instagram,32282
37i9dQZF1DX5qf3Iz15QLv,Bago Sa Rap,60,spotify,Spotify,32281
0Cvbuwej6GdgQw5pJ51TtH,Rap Songs 2021  🔥  Rap Music : Hype Music ,73,sanik007,Indiemono,31441
4mn7A7i3b3SD3ABMyBGkL0,English Rap 2021 🔥 Best Rap 2021 🔥  Rap & Hip Hop Songs : New Rap Music 2021 🔥 ,138,sanik007,Indiemono,27741
6fy8pUHjKDJX78gB1EjX8j,Sleep Rap 💤 ,418,nd6dhbl1608063ojohuzilejo,Ardayh,22563
37i9dQZF1DWSQqwba4QPMZ,RapPrezent,60,spotify,Spotify,20931
6oyC0iXdugI7cLEZ6AJkEX,hype rap everyone knows,112,am31jxzg59kadkqw4gkdzly37,pragya mathur,20548
37i9dQZF1DWYtEjm4ihp5w,RapMaroc,58,spotify,Spotify,15468
37i9dQZF1DXczv0e5n6k9E,Hot Greek Rap,50,spotify,Spotify,14550
7iPqYQs9pyCipWLl5xnqqX,UsaT/Rap2k21,48,b06afhfpi2jd54j1rd0yujfd1,MusicaManagementUSA,14279
4GECFDTBO6jpOnIdcrnvJk,Rap Mexicano 2021 🇲🇽 Hip Hop Mexicano 2021 🇲🇽 Rap mexicano 🇲🇽🇲🇽 Hip Hop Mexicano 🇲🇽🇲🇽,54,iksoxkzlfe6lunrfgn00dccq0,Playlist Chidas,13327
37i9dQZF1DX3tB6HA5bPgd,RapDZ,50,spotify,Spotify,12225
7G0iRFYswiSydm9L0R6mIV,RAP BANGERS ONLY 💯 ,108,0dx6vzsb7xi0kz0nxvni5v4lg,Bella Renas,9204
0TaPQjDB5YtyopzKY14biY,Rap Chileno 🇨🇱,332,12153636058,Lukas Cruzat Ugarte,9144
37i9dQZF1DX7YBEurFPUfV,RapTounsi,50,spotify,Spotify,8687
0zdLeI7eqbTpgE9bbGHU1c,2016 rap throwbacks,141,itsyaboiacez,itsyaboiacez,8189
3Zmj9XTN9xJCwAEDJRHHeF,fresh hit rap,5,21kmu23x7enhri52qwltbagaq,Eric Vida,6074
2EqLtiIvHBLqwXlhHiFV6F,Rap Deluxe,27,qavjvi1iyj2lm8mgybsra9umx,Deluxe Playlists,5800
5CwaqOaJSqYh5JjzyDhAAl,Rap Songs OPM 2020,53,meijilyn_montes,meijilyn_montes,4552
0fdkjMtEenRcX3E8Xbt8ug,Rap Italiano,62,playstation_music,PlayStation™️ Music,3203
0Amc9TDauBE7LzsLM5mzmZ,rap tagalog 2019,18,ruby.eoy,ruby.eoy,2915
6lQE9CNlZmcDuoFtpXaEsQ,Rap no Violão,85,supertoydigital,NgMusic Records,1451
0jxMS8xNyfqGaZSlmYY3vd,RapZone,60,hhf01vquwh5l99jgavix1xwhj,Listify,1437
76xlnzQDrurGFtBth0OHBo,RAPGAME SK/CZ 💎 RUKA HORE,262,ruka_hore,ruka_hore,1419
42gw6efCrbu9jcP31WgO2g,RapTV NECESSITIES ,25,31w7dg47hk3zazd2ap2mvsgug5vy,Rap TV,1385
3ClGeqaKKRxvW58l8oRnvx,Rap do Solitário – Marcinho,45,jandirpalhano,Jandir Palhano,1317
