playlist_id,playlist_name,playlist_total_tracks,owner_id,owner_name,total_followers
37i9dQZF1DX10zKzsJ2jva,¡Viva Latino!,50,spotify,Spotify,10809043
37i9dQZF1DWY7IeIP1cdjF,Baila Reggaeton,50,spotify,Spotify,10184102
37i9dQZF1DXdnGF35OawbN,Verano Forever,80,spotify,Spotify,3868094
37i9dQZF1DWZjqjZMudx9T,Mansión Reggaetón,50,spotify,Spotify,3363450
37i9dQZF1DXbSbnqxMTGx9,Reggae Classics,60,spotify,Spotify,2330235
37i9dQZF1DX8SfyqmSFDwe,Reggaeton Classics,100,spotify,Spotify,2094739
7xWuNevFBmwnFEg6wzdCc7,Reggaeton 2021 ☀️,308,12127298960,Diego Fernando Bravo,1303863
37i9dQZF1DWVskFRGurTfg,Hits Urbanos,70,spotify,Spotify,1166072
37i9dQZF1DWVskFRGurTfg,Hits Urbanos,70,spotify,Spotify,1166072
37i9dQZF1DWVYs6zNzJ0ci,Reggae en Español,100,spotify,Spotify,1156000
37i9dQZF1DWTMlvEhEJDRB,Nação Reggae,70,spotify,Spotify,478935
37i9dQZF1DWWU6Rfto8Ppm,Reggaetón Viejito,200,spotify,Spotify,470737
37i9dQZF1DXbwoaqxaoAVr,Sunshine Reggae,66,spotify,Spotify,459322
37i9dQZF1DWZdsS73T1ogG,New Urbano,57,spotify,Spotify,458736
37i9dQZF1DWUlCmB8llCTB,Perreo City,100,spotify,Spotify,435632
4csIMGPI3aGo3Xy7WG8jBi,Todo Reggaeton,100,el_listón,Digster España,400376
37i9dQZF1DX3mvx0imueXo,Island Reggae,49,spotify,Spotify,350084
37i9dQZF1DWVOLXBOylBUZ,El Ritmo,100,spotify,Spotify,348936
03sDEv7FN58Mb9CJOs1Tgn,Reggaeton 2021 😍 🔥,126,12168854749,Alex Garcia,285203
37i9dQZF1DWYBUdckfg1va,This Is: Don Omar,53,spotify,Spotify,278125
37i9dQZF1DWYtKpmml7moA,Chilled Reggae,50,spotify,Spotify,277623
37i9dQZF1DWSkkUxEhrBdF,Reggae Infusions,52,spotify,Spotify,269852
4B5rhAH80qM2Sj3wCyr0jC,REGAETON 2021 🍑 REGGAETON 2021 HITS,200,partyfiesta!,partyfiesta!,250032
08mTMG7Xc6kBj4r1qdInNO,Reggaeton Viejito🔥,258,12163988544,Adriana Murrieta,211664
37i9dQZF1DWZpPC3clG38j,Pinoy Reggae,31,spotify,Spotify,201365
37i9dQZF1DX1HCSfq0nSal,PEGAO,50,spotify,Spotify,169192
37i9dQZF1DX8TCaiq7EoZA,Reggae Acústico,31,spotify,Spotify,164212
37i9dQZF1DXco4ODkIraMD,Reggaetón Rewind,125,spotify,Spotify,161040
4vZCzdgMj0tH8OA3bkGkVE,REGGEATON 2021 : 'El Mejor Reggaeton 2021',100,mejoresplaylistsspotify,Filtr Éxitos,157435
5Whb5YPTBJeHRoD69BU0ds,Vintage Reggae Café 🌱,205,pmb-music,PMB Music,107946
37i9dQZF1DX2oc5aN4UDfD,Ultimate Reggae,50,spotify,Spotify,97280
5iPuvj02slqof2cGoJZczO,Old School Reggaeton ,186,sayragrimaldo,sayragrimaldo,91497
6xVwcKe3bjKcIriAKxF07B,Reggaeton y Perreo,178,12150809594,Digster Music,89609
2WK90sJkUGOd6O0NmckQYg,Éxitos Reggaetón Viejito 🔥,229,1276818072,Israel Torres,85522
0s8tfHVdQa8duFMev3ZlgD,Dub Reggae,134,constantinex,Constantinos Zervos,81660
1Oe3ujVVzhMIEz59QMBnSB,"I Love Reggaeton, Trap",156,0sm3pmaaaukrqqijhusbkjo2o,Radio Exclusive,78483
4n6LswPVJ9m9Vm3Jwl5FCH,"Lamparoso Talk ( Doggi Krazy,YoungBoy NBA,OG 3Three,Quando Rondo,",46,zkemsqh2udyclcr9nhlaye776,Doggi Krazy,74730
36Yd5mQUk4Hit1QT3p8Ufk,Reggaeton Old School,176,embje4sc4l8c21tmeoxdou5i9,MG,73051
37i9dQZF1DXa8n42306eJB,Reggae Party,52,spotify,Spotify,71479
1Tv0okbBQZJbdPbpkcObGA,Reggaetón viejos éxitos,214,chemass10,Jose Cabrera,71291
4GCVjCmC4nSPoMeaAQAdgM,Reggaetón. ,219,22eqwcms747lshetd4btdi4bq,Lina Tejeiro,71011
37i9dQZF1DX963rxJxOMIA,Reggaetón Colombia,50,spotify,Spotify,68449
37i9dQZF1DX2HAzsgPV6Kx,Lo Mejor de Mansión Reggaetón 2020,50,spotify,Spotify,64557
42E6uFhL4e2nXmbmeigwXb,REGGAETON ANTIGUO 🔥,188,aleexsanchezm,aleexsanchezm,64513
37i9dQZF1DX4iPyiZG8RHQ,Reggae Nation,60,spotify,Spotify,62392
37i9dQZF1DX0SZWVrotKn1,Perreo en Casa,60,spotify,Spotify,59991
1SihNxlDTAzFUghwXkadOv,Reggae Brasil ❤��,118,12152508590,Diego Oliveira,54515
37i9dQZF1DX0oAhAessKvf,Reggaeton: El Inicio,37,spotify,Spotify,52107
5b9AV5zwI4VDqBagX7Vpex,Reggae Nacional,202,wtrolly,Willian Trolly,46291
37i9dQZF1DX4Ux6OGNoFON,Volando con Reggae,60,spotify,Spotify,42534
4Ox1cEOCzfJVrDmwjy0kVK,Reggae Covers Hits,96,11149656956,Antonin Fons-Llatas,38663
5oTurs9dSXVxKt26qV13Lv,Reggaeton and Play: Bad Bunny Takeover,276,playstation_music,PlayStation™️ Music,38342
37i9dQZF1DX20S3TU4dlyR,Reggae Al Sur,89,spotify,Spotify,37852
