track_id,name,popularity,duration_ms,artist_id,artist_name,num_artists,playlist_id,playlist_name
3VvA1wSxukMLsvXoXtlwWx,Hecha Pa' Mi,91,186133,2NfSBtmWe7oPw1EmetJVso,Boza,1,37i9dQZF1DX10zKzsJ2jva,¡Viva Latino!
2XIc1pqjXV3Cr2BQUGNBck,LA NOCHE DE ANOCHE,93,203200,"['4q3ewBCX7sLwd24euuV69X', '7ltDVBr6mKbRvohxheJ9h1']","['Bad Bunny', 'ROSALÍA']",2,37i9dQZF1DX10zKzsJ2jva,¡Viva Latino!
1xK1Gg9SxG8fy2Ya373oqb,Bandido,91,232853,"['7iK8PXO48WeuP03g8YR51W', '2LmcxBak1alK1bf7d1beTr']","['Myke Towers', 'Juhn']",2,37i9dQZF1DX10zKzsJ2jva,¡Viva Latino!
7vrJn5hDSXRmdXoR30KgF1,BICHOTA,94,178946,790FomKkXshlbRYZFtlgla,KAROL G,1,37i9dQZF1DX10zKzsJ2jva,¡Viva Latino!
69Y5IZuBvGyzySFt5x7kCq,Más De La Una,83,236731,"['4bw2Am3p9ji3mYsXNXtQcd', '1r4hJ1h58CWwUQe3MxPuau']","['Piso 21', 'Maluma']",2,37i9dQZF1DX10zKzsJ2jva,¡Viva Latino!
21N4Buj4xsyLb218lYle61,Chica Ideal,89,183240,"['07YUOmWljBTXwIseAUd9TW', '0BqURncJM5B1BBu7UM51eq']","['Sebastian Yatra', 'Guaynaa']",2,37i9dQZF1DX10zKzsJ2jva,¡Viva Latino!
0psS4i5YooJrXfDnGvWRLi,Lo Vas A Olvidar (with ROSALÍA),83,203464,"['6qqNVTkY8uBg9cP3Jd7DAH', '7ltDVBr6mKbRvohxheJ9h1']","['Billie Eilish', 'ROSALÍA']",2,37i9dQZF1DX10zKzsJ2jva,¡Viva Latino!
70uX4beGHc1nQikXveOknp,Mala Costumbre,79,230728,"['0tmwSHipWxN12fsoLcFU3B', '1wZtkThiXbVNtj6hee6dz9']","['Manuel Turizo', 'Wisin & Yandel']",2,37i9dQZF1DX10zKzsJ2jva,¡Viva Latino!
73O30uMI7n6DuzBmbtO7kC,Antes,81,206586,"['2R21vXR83lH98kGeO99Y66', '1i8SpTcr7yvPOmcqrbnVXY']","['Anuel AA', 'Ozuna']",2,37i9dQZF1DX10zKzsJ2jva,¡Viva Latino!
7BIy3EGQhg98CsRdKYHnJC,Ropa Cara,82,163320,28gNT5KBp7IjEOQoevXf9N,Camilo,1,37i9dQZF1DX10zKzsJ2jva,¡Viva Latino!
0D75ciM842cdUMKSMfAR9y,Baila Conmigo (with Rauw Alejandro),79,186087,"['0C8ZW7ezQVs4URX5aX7Kqx', '1mcTU81TzQhprhouKaTkpq']","['Selena Gomez', 'Rauw Alejandro']",2,37i9dQZF1DX10zKzsJ2jva,¡Viva Latino!
47EiUVwUp4C9fGccaPuUCS,DÁKITI,94,205090,"['4q3ewBCX7sLwd24euuV69X', '0EFisYRi20PTADoJrifHrz']","['Bad Bunny', 'Jhay Cortez']",2,37i9dQZF1DX10zKzsJ2jva,¡Viva Latino!
7ndTONDDRFGiPnnhOzOXxq,La Nota,90,216107,"['0tmwSHipWxN12fsoLcFU3B', '1mcTU81TzQhprhouKaTkpq', '7iK8PXO48WeuP03g8YR51W']","['Manuel Turizo', 'Rauw Alejandro', 'Myke Towers']",3,37i9dQZF1DX10zKzsJ2jva,¡Viva Latino!
1zLBsSVxETQOfINOLYvT5m,GIRL LIKE ME,86,222522,"['1yxSLGMDHlW21z4YXirZDS', '0EmeFodog0BfCgMzAIvKQp']","['Black Eyed Peas', 'Shakira']",2,37i9dQZF1DX10zKzsJ2jva,¡Viva Latino!
35UUpTmrcFXNIVIN26ujXl,Relación - Remix,89,247308,"['77ziqFxp5gaInVrF2lj4ht', '4VMYDCV2IEDYJArk749S6m', '1vyhD5VmyZ7KMfW5gqLgo5', '7ltDVBr6mKbRvohxheJ9h1', '329e4yvIujISKGKz1BZZbO']","['Sech', 'Daddy Yankee', 'J Balvin', 'ROSALÍA', 'Farruko']",5,37i9dQZF1DX10zKzsJ2jva,¡Viva Latino!
7D7EH7MGyNHWSkqrszerI1,BEBÉ,88,198706,"['28gNT5KBp7IjEOQoevXf9N', '2oQX8QiMXOyuqbcZEFsZfm']","['Camilo', 'El Alfa']",2,37i9dQZF1DX10zKzsJ2jva,¡Viva Latino!
2mM3gZ0BbPwPPMelbA8vgt,No Te Enamores - Remix,83,289933,"['7kXCcNRLEnblbTAppPraBp', '329e4yvIujISKGKz1BZZbO', '5hdhHgpxyniooUiQVaPxQ0', '2cPqdH7XMvwaBJEVjheH8g', '6kq4GHwUcUojGIu0ziSNXf']","['Milly', 'Farruko', 'Nio Garcia', 'Jay Wheeler', 'Amenazzy']",5,37i9dQZF1DX10zKzsJ2jva,¡Viva Latino!
1vucS7X4otbyQSZ9RXYXFI,ANTES QUE SALGA EL SOL,72,183926,"['1GDbiv3spRmZ1XdM1jQbT7', '3MHaV05u0io8fQbZ2XPtlC']","['Natti Natasha', 'Prince Royce']",2,37i9dQZF1DX10zKzsJ2jva,¡Viva Latino!
