track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name
3VvA1wSxukMLsvXoXtlwWx,Hecha Pa' Mi,2NfSBtmWe7oPw1EmetJVso,Boza,1dzGsItgF4Gp1G4TNsdoXU,186133,2020-07-31,91,0.725,0.756,4,-5.013,1,0.0572,0.362,0.000685,0.103,0.828,100.07,3VvA1wSxukMLsvXoXtlwWx,3VvA1wSxukMLsvXoXtlwWx
2XIc1pqjXV3Cr2BQUGNBck,LA NOCHE DE ANOCHE,4q3ewBCX7sLwd24euuV69X,Bad Bunny,2d9BCZeAAhiZWPpbX9aPCW,203200,2020-11-27,93,0.856,0.618,7,-4.892,1,0.286,0.0303,0.0,0.0866,0.391,81.993,2XIc1pqjXV3Cr2BQUGNBck,2XIc1pqjXV3Cr2BQUGNBck
1xK1Gg9SxG8fy2Ya373oqb,Bandido,7iK8PXO48WeuP03g8YR51W,Myke Towers,5sIyJyOgwEIOgBhLxIGG3t,232853,2020-12-10,91,0.713,0.617,8,-4.637,1,0.0887,0.122,0.0,0.0962,0.682,168.021,1xK1Gg9SxG8fy2Ya373oqb,1xK1Gg9SxG8fy2Ya373oqb
7vrJn5hDSXRmdXoR30KgF1,BICHOTA,790FomKkXshlbRYZFtlgla,KAROL G,6LO6I2uJMkc0u7GHBYHa4Y,178946,2020-10-23,94,0.863,0.666,1,-4.158,0,0.152,0.212,0.000493,0.103,0.838,163.908,7vrJn5hDSXRmdXoR30KgF1,7vrJn5hDSXRmdXoR30KgF1
69Y5IZuBvGyzySFt5x7kCq,Más De La Una,4bw2Am3p9ji3mYsXNXtQcd,Piso 21,0fz7mvsACRDrvT5PYTt4U9,236731,2020-12-03,83,0.605,0.8,10,-3.018,1,0.312,0.518,0.000128,0.0763,0.732,92.284,69Y5IZuBvGyzySFt5x7kCq,69Y5IZuBvGyzySFt5x7kCq
21N4Buj4xsyLb218lYle61,Chica Ideal,07YUOmWljBTXwIseAUd9TW,Sebastian Yatra,7aS92ROK5rixV65VSRGPct,183240,2020-10-16,89,0.574,0.891,0,-3.665,0,0.157,0.0847,0.0,0.16,0.707,100.978,21N4Buj4xsyLb218lYle61,21N4Buj4xsyLb218lYle61
0psS4i5YooJrXfDnGvWRLi,Lo Vas A Olvidar (with ROSALÍA),6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,4E8puNI8tw7cXz6YJkwMew,203464,2021-01-21,83,0.343,0.243,4,-14.66,0,0.0777,0.721,0.00198,0.0668,0.032,135.154,0psS4i5YooJrXfDnGvWRLi,0psS4i5YooJrXfDnGvWRLi
70uX4beGHc1nQikXveOknp,Mala Costumbre,0tmwSHipWxN12fsoLcFU3B,Manuel Turizo,1YJjyV8YutIhzL4MWAB1LY,230728,2021-01-07,79,0.823,0.772,0,-4.935,1,0.0591,0.243,0.0,0.118,0.582,96.001,70uX4beGHc1nQikXveOknp,70uX4beGHc1nQikXveOknp
73O30uMI7n6DuzBmbtO7kC,Antes,2R21vXR83lH98kGeO99Y66,Anuel AA,28adqly9V7wm5DFr7hlqtK,206586,2021-01-22,81,0.817,0.737,6,-5.453,0,0.102,0.046,1.57e-05,0.092,0.67,93.985,73O30uMI7n6DuzBmbtO7kC,73O30uMI7n6DuzBmbtO7kC
7BIy3EGQhg98CsRdKYHnJC,Ropa Cara,28gNT5KBp7IjEOQoevXf9N,Camilo,02ydUO8KGCVf3WQyCmEh4G,163320,2021-01-18,82,0.813,0.526,4,-4.787,0,0.125,0.105,0.000661,0.11,0.608,170.002,7BIy3EGQhg98CsRdKYHnJC,7BIy3EGQhg98CsRdKYHnJC
