playlist_id,playlist_name,playlist_total_tracks,owner_id,owner_name,total_followers
37i9dQZF1DWXRqgorJj26U,Rock Classics,145,spotify,Spotify,8752964
37i9dQZF1DWTwnEm1IYyoj,Soft Pop Hits,232,spotify,Spotify,4778265
37i9dQZF1DXcF6B6QPhFDv,Rock This,50,spotify,Spotify,4490431
37i9dQZF1DX1rVvRgjX59F,90s Rock Anthems,150,spotify,Spotify,4118099
37i9dQZF1DWYN0zdqzbEwl,Rock en Español,60,spotify,Spotify,3830889
37i9dQZF1DX3oM43CtKnRV,00s Rock Anthems,50,spotify,Spotify,3481984
37i9dQZF1DX6xOPeSOGone,Soft Rock,100,spotify,Spotify,2825041
37i9dQZF1DX8FwnYE6PRvL,Rock Party,50,spotify,Spotify,1821413
37i9dQZF1DX68H8ZujdnN7,’80s Hard Rock,104,spotify,Spotify,1539430
37i9dQZF1DX2sUQwD7tbmL,Feel-Good Indie Rock,200,spotify,Spotify,1382558
37i9dQZF1DX49jUV2NfGku,Rock Solid,80,spotify,Spotify,1179493
37i9dQZF1DWWwzidNQX6jx,70s Rock Anthems,80,spotify,Spotify,1165494
37i9dQZF1DX3YMp9n8fkNx,'90s Pop Rock Essentials,101,spotify,Spotify,957553
37i9dQZF1DXcmaoFmN75bi,Rock Forever,95,spotify,Spotify,925774
37i9dQZF1DWZU5DGR2xCSH,Iconos del Rock Argentino,80,spotify,Spotify,925461
37i9dQZF1DXb3m918yXHxA,Yacht Rock,169,spotify,Spotify,802236
37i9dQZF1DWWJOmJ7nRx0C,Rock Hard,135,spotify,Spotify,745987
37i9dQZF1DX1te6miphixI,Radio Rock,50,spotify,Spotify,726337
37i9dQZF1DX0rCrO4CFRfM,Acoustic Rock,50,spotify,Spotify,676392
37i9dQZF1DWUoqEG4WY6ce,Indie Rock Road Trip,89,spotify,Spotify,615145
37i9dQZF1DWWzBc3TOlaAV,60s Rock Anthems,101,spotify,Spotify,575701
37i9dQZF1DX4vth7idTQch,Rockhymnen,100,spotify,Spotify,547692
37i9dQZF1DWXs1L3AC0Xio,Rock Ballads,75,spotify,Spotify,532688
37i9dQZF1DX2S9rTKTX6JP,Rock Covers,100,spotify,Spotify,521020
37i9dQZF1DWSKpvyAAcaNZ,Blues & Roots Rock,149,spotify,Spotify,501949
37i9dQZF1DXdOEFt9ZX0dh,Classic Rock Drive,150,spotify,Spotify,497889
37i9dQZF1DXbFRZSqP41al,Rock Your Body,50,spotify,Spotify,469271
37i9dQZF1DWYDQ8wBxd7xt,Pinoy Classic Rock,63,spotify,Spotify,467876
37i9dQZF1DX2UXfvEIZvDK,Modern Chill Rock,50,spotify,Spotify,449996
37i9dQZF1DX0xLQsW8b5Zx,Rockabilly Mania,60,spotify,Spotify,443822
37i9dQZF1DX6hvx9KDaW4s,The Rock Workout,60,spotify,Spotify,442063
37i9dQZF1DXat5j4Lk8UEj,Folk Rock Favorites,100,spotify,Spotify,437178
37i9dQZF1DWTMU14XJYy0g,Rock Argentino,88,spotify,Spotify,426117
37i9dQZF1DWYNSm3Z3MxiM,Classic Rock Workout,65,spotify,Spotify,412508
37i9dQZF1DX23YPJntYMnh,Funk Rock,60,spotify,Spotify,395625
37i9dQZF1DWZjmJmeiazwd,Ultimate Rock Gaming,150,spotify,Spotify,391642
5BygwTQ3OrbiwVsQhXFHMz,Classic Rock,135,sonymusicfinland,Filtr Finland,383368
