playlist_id,playlist_name,playlist_total_tracks,owner_id,owner_name,total_followers
6dm9jZ2p8iGGTLre7nY4hf,Breakup Songs,123,sonymusic,Filtr Norway,502908
62pRqlBrKNhjJys98FTCoR,Breakup Songs,112,er32ebvzz277tfmxmh4hlwf0k,frtyfve,102528
3M2bwfoxDYOrV6yKPYaIiS,Kourtney Kardashian's Breakup Playlist,36,hbyyus8o128omibexm6w9sjr1,Poosh,31044
2qrcRUgIXinCWyUFAbIn7R,breakup 💔,414,r_nae22,Renee Won,19437
1s46XlyR2fNyHHMEMLdZSf,breakup songs to scream to in the car,127,1290715844,Makayla Erin,15059
3gtGyk1hQFsQQbYw71ltnI, female empowerment/breakup songs,207,oliviamaurer_,Olivia Maurer,10613
0Se0pDVMfxbndIEMRu6k70,Lofi Breakup - Sad Lofi Beats,64,udzfheh97b7w0yf0s2ddrn013,Lofi Lurks,8246
0UqKZxlfyUavUHZsBqCQem,Breakup list 💔,99,inafina12,ina granér,7718
5P30QJuUANvhoS1phFtBAh,Breakup songs 🖕🏻after being dumped,166,eg0v6n8a7j0vv5kaxfsdgd9z7,S.melnyk16,7525
12kPjYo6GyCzamnpET3Xd9,Empowering Breakup Songs ,163,thriftshop88,thriftshop88,7179
78A7ZCoqYoaCFNMLJTfis1,breakup playlist):,205,_leslie.c,lesliecital,6655
7p6oSuF8WZajIXBMNHT2Td,BAD BITCH BREAKUP PLAYLIST,226,71vg9rew8y4cu4bu2lmozsbyl,Kourtlong234,6638
5hNubL1qntoPw2otRxW2zF,FUCKBOYS/BREAKUP,234,12177805630,sophia dashing,5116
6zyTEKWRjYVfjBqGUQTAqg,Breakup playlist for getting over your ex,115,abby92902,abby92902,5021
6UwCh7r6rjsGt5NQBKTJuC,bad bitch songs after a breakup ;),186,z60ewntwmdubf1ms7z8snaotk,Delilah Hernandez,4717
7kwi6Dsto66HnaWIZc2TKb,after breakup bad bitch vibes u deserve better ,92,suu_chada,suchada,3981
2r1Ouaed7XrzTvkwclcOf5,Breakup Songs,284,0ajpulhwgbd8sywvk9hfuxe6p,Alexa Fredericks,3932
