track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name
2gA74HvN6NKFrhgzpd5oNE,Line By Line,66W9LaWS0DPdL7Sz8iYGYe,JP Saxe,0a6mnIEhvLCsIKZNGRcjaK,208186,2021-01-13,68,0.645,0.486,0,-7.299,1,0.0425,0.274,0.0,0.135,0.453,72.536,6dm9jZ2p8iGGTLre7nY4hf,Breakup Songs
5euRP53moGQyGCsq8aNjvo,Connexion,5ZsFI1h6hIdQRw2ti0hz81,ZAYN,2yuQqhSklmfWgn8lmJNk5t,196493,2021-01-15,73,0.619,0.375,2,-10.06,0,0.0886,0.59,0.0,0.108,0.574,171.797,6dm9jZ2p8iGGTLre7nY4hf,Breakup Songs
55Am8neGJkdj2ADaM3aw5H,Train Wreck,4IWBUUAFIplrNtaOHcJPRM,James Arthur,7oiJYvEJHsmYtrgviAVIBD,208826,2016-10-28,90,0.311,0.485,6,-5.726,0,0.0365,0.701,0.0,0.0726,0.225,77.355,6dm9jZ2p8iGGTLre7nY4hf,Breakup Songs
5bpT0Qnne7wMea5woXgU2y,You Broke Me,3rTRHzFfbTk5GL3LpYZGHR,Maria Mena,6HmkYZsG58mPBFenb27ank,209120,2020-10-23,48,0.687,0.391,7,-9.758,0,0.0504,0.172,0.0,0.114,0.153,119.999,6dm9jZ2p8iGGTLre7nY4hf,Breakup Songs
4VPXFi4vFTtS9wHe6oMQaT,I Can't Fall in Love Without You,1Xylc3o4UrD53lo9CvFvVg,Zara Larsson,5YLRVHDVRw3QqWbeTGpC5B,180640,2017-03-17,72,0.485,0.332,4,-9.244,1,0.0338,0.784,0.000122,0.146,0.273,130.813,6dm9jZ2p8iGGTLre7nY4hf,Breakup Songs
0QdePZJfBpRIBautuT4FSx,Angels Like You,5YGY8feqx7naU7z4HrwZM6,Miley Cyrus,0BCjAmbM8ryCM9gxy5yW7h,196453,2020-11-27,76,0.672,0.642,5,-4.035,1,0.0313,0.0981,0.0,0.1,0.494,121.981,6dm9jZ2p8iGGTLre7nY4hf,Breakup Songs
2nZq5WQOW4FEPxCVTdNGfB,Kissin' In The Cold,66W9LaWS0DPdL7Sz8iYGYe,JP Saxe,1HsifiywuteSStUutGfkpO,224083,2020-12-08,74,0.528,0.343,0,-7.62,1,0.036,0.777,0.0,0.162,0.342,64.879,6dm9jZ2p8iGGTLre7nY4hf,Breakup Songs
5iY8xY72GERPhESVTymA2H,Keep Believing,30wwNbASvE9GkBDsNVCsnn,Christel Alsos,3q1O3RS1aSItjDfeXNcgYz,295590,2021-01-15,36,0.498,0.508,11,-8.002,0,0.0366,0.219,0.0011,0.0968,0.108,75.076,6dm9jZ2p8iGGTLre7nY4hf,Breakup Songs
2kJwzbxV2ppxnQoYw4GLBZ,If the World Was Ending - feat. Julia Michaels,66W9LaWS0DPdL7Sz8iYGYe,JP Saxe,7BrlhEO8dHiNmU8A1Ep9RZ,208687,2019-10-17,88,0.464,0.473,1,-10.086,1,0.129,0.866,0.0,0.109,0.604,75.801,6dm9jZ2p8iGGTLre7nY4hf,Breakup Songs
709F3MwiVvLD0LQXeKs5Cz,Vibez,5ZsFI1h6hIdQRw2ti0hz81,ZAYN,18VcdfV5jJVjn10mh0vOYt,163127,2021-01-08,84,0.635,0.659,7,-7.499,1,0.116,0.242,0.0285,0.105,0.34,96.855,6dm9jZ2p8iGGTLre7nY4hf,Breakup Songs
3fVzF9OZtAURc9EUQxc0us,Holy Feeling,0Qnx1MPnHYt3jJCYrRFVwX,Greyson Chance,0LFRHSJ7ivh3cfDrZiy7gr,246644,2021-01-15,53,0.55,0.783,11,-8.713,1,0.0652,0.0243,0.000225,0.372,0.358,136.915,6dm9jZ2p8iGGTLre7nY4hf,Breakup Songs
27OeeYzk6klgBh83TSvGMA,WITHOUT YOU,2tIP7SsRs7vjIcLrU85W8J,The Kid LAROI,3YjfdLdpQcVI72uKhooZst,161384,2020-11-06,95,0.662,0.413,0,-7.357,1,0.0299,0.213,0.0,0.134,0.467,93.005,6dm9jZ2p8iGGTLre7nY4hf,Breakup Songs
