track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name
3hWfKBt3n7j1xqIy6LA5ve,Astronomia,0daugAjUgbJSqdlyYNwIbT,Vicetone,2GgIFRPmPzyqajQKFABMFL,198095,2016-09-16,77,0.653,0.945,5,-2.634,1,0.096,0.00561,0.915,0.439,0.326,126.093,0eTF0MJymtbVRLIibi3caV,Coffin Dance Meme  - Remix and Original Funeral dance meme
0rG2BChMZVu4thkwM7i7Y1,Astronomia,4NH2deLFDDB0YeV3PNLjWQ,32Stitches,3Atump63aSezVQRnlORnV3,176571,2019-12-09,12,0.614,0.884,7,-5.785,0,0.051,0.0192,0.427,0.117,0.45,140.006,0eTF0MJymtbVRLIibi3caV,Coffin Dance Meme  - Remix and Original Funeral dance meme
1CripirY5YR5NL1EZSu9hG,Astronomia - Remix,0P2nqPOOLzrkl0Qd8bAKwx,Spark,1RyvMWZPjN6LGGPzmbYmn4,146259,2019-08-28,47,0.589,0.705,4,-7.503,1,0.447,0.233,0.00322,0.0266,0.391,127.991,0eTF0MJymtbVRLIibi3caV,Coffin Dance Meme  - Remix and Original Funeral dance meme
1Dza0p6hLzPTWKHt1ftOVU,"Astronomia - Santti, Dan K Remix",2jpQ0ywffgVHhZFQNWaWYW,Tony Igy,7zRH1ToIcWm4G9yyGh8zWT,129677,2019-04-12,45,0.773,0.894,6,-3.987,0,0.044,0.0164,0.462,0.165,0.289,124.01,0eTF0MJymtbVRLIibi3caV,Coffin Dance Meme  - Remix and Original Funeral dance meme
1vxTBDWawhMsqWOZ4rMoJH,Astronomia - remix,5fW4Yi4vE4RyFcptjX4hZ3,Sesi,0x9nUgCtHCTqB1EOEeHWsK,351257,2020-04-10,30,0.683,0.962,6,-5.599,0,0.375,0.00139,0.0117,0.0764,0.336,174.958,0eTF0MJymtbVRLIibi3caV,Coffin Dance Meme  - Remix and Original Funeral dance meme
1b1YB46gEs7YqjRuwtFFPH,Astronomia 2K19 - Workout Remix 130 bpm,5JFDqK3kLIAGJl8zPDHSAk,Stephan F,51U46kMZIsOm3WuNPBuoRg,206770,2019-08-28,5,0.68,0.709,6,-5.49,0,0.325,0.000168,0.898,0.0692,0.578,129.923,0eTF0MJymtbVRLIibi3caV,Coffin Dance Meme  - Remix and Original Funeral dance meme
6kTvEmdMfvXXXZp9jkX5rT,Peter Møller Drømmemål - (Vicetone & Tony Igy - Astronomia Remix),1I3NlW1aUZQEHw4XvDtSvI,vingen,7pYR0qOQbCOakrMX6opWTE,183943,2019-08-09,28,0.457,0.968,7,0.86,0,0.333,0.173,0.0,0.601,0.439,125.778,0eTF0MJymtbVRLIibi3caV,Coffin Dance Meme  - Remix and Original Funeral dance meme
3xmaPIAu2fZlWs1zIwFGe2,Astronomia - Vishwesh Remix,1EaXmv7TWlE65zVC9aEPIG,Vishwesh Pathak,0dKZueKLCpRakEV31CLv85,197970,2020-04-26,0,0.697,0.769,6,-4.409,0,0.123,0.0238,0.933,0.199,0.179,125.996,0eTF0MJymtbVRLIibi3caV,Coffin Dance Meme  - Remix and Original Funeral dance meme
2BLZ66dQXbXCbBrjKOQRoB,Aquecimento Astronomia no Beat Megatron - Remix,3eA45N54gSzt6D6mHFPaKB,DL SANTOS,4PjFzfiWuSsUufCshGHkUH,203221,2020-04-23,28,0.609,0.696,6,-3.336,0,0.271,0.0845,0.104,0.122,0.647,73.77,0eTF0MJymtbVRLIibi3caV,Coffin Dance Meme  - Remix and Original Funeral dance meme
1Crczb86gYHQ8xZ3mOG7Yj,Astronomia Cumbia Remix,6nYkQZXt1BPbVrmd4vAXJZ,Dj Gecko,4LZPaYvHDeNVHAsUprnQHf,151650,2020-04-23,32,0.784,0.707,5,-5.339,0,0.115,0.266,0.684,0.124,0.972,149.976,0eTF0MJymtbVRLIibi3caV,Coffin Dance Meme  - Remix and Original Funeral dance meme
2qtzGVlinYXtP88m7J9Tbt,Astronomia,0K3HwnyYaxoQO9hZCBLtOH,LANNÉ,7fcF0wMkfhN4PXz7eBo4pS,125625,2020-05-15,48,0.773,0.856,8,-5.477,0,0.222,0.0567,0.206,0.211,0.197,127.962,0eTF0MJymtbVRLIibi3caV,Coffin Dance Meme  - Remix and Original Funeral dance meme
1mwCSKK0YRDsgnj2VwyZSU,Butterfly Kisses,4PJHDzdFoQcklrWU18QdsU,Bob Carlisle,164ZlumFzgmF1ahd7gzyDn,340600,1995-06-15,53,0.386,0.364,0,-9.624,1,0.032,0.543,0.0,0.347,0.105,81.895,29laTlGIbkQkmaIYv72I5r,Funeral Songs
7ySbfLwdCwl1EM0zNCJZ38,One Sweet Day,4iHNK0tOyZPYnBU7nGAgpQ,Mariah Carey,1ibYM4abQtSVQFQWvDSo4J,281066,1995-09-26,69,0.568,0.495,1,-8.964,1,0.0299,0.353,0.0,0.0839,0.303,128.234,29laTlGIbkQkmaIYv72I5r,Funeral Songs
7wqSzGeodspE3V6RBD5W8L,See You Again (feat. Charlie Puth),137W8MRPWKqSmrBGDBFSop,Wiz Khalifa,02tTjKlh9iQ5jlWYPbKLJZ,229525,2015-03-10,0,0.689,0.481,10,-7.503,1,0.0815,0.369,1.03e-06,0.0649,0.283,80.025,29laTlGIbkQkmaIYv72I5r,Funeral Songs
4n40hvXBCDQba3DO5BOm6P,Bye Bye,4iHNK0tOyZPYnBU7nGAgpQ,Mariah Carey,7JXUd8N7OXYQz981E5Jaq2,266826,2008-01-01,57,0.788,0.585,10,-4.884,1,0.0559,0.298,0.0,0.346,0.84,136.002,29laTlGIbkQkmaIYv72I5r,Funeral Songs
6GmUVqe73u5YRfUUynZK6I,Let Her Go,0gadJ2b9A4SKsB1RFkBb66,Passenger,2sRnJq6dfXdqhIflBk0ve1,252733,2012-06-29,3,0.479,0.545,7,-7.346,1,0.0688,0.365,0.0,0.0963,0.244,74.897,29laTlGIbkQkmaIYv72I5r,Funeral Songs
7n9QHEiowPHrIWhS9gLCpT,Let Them See You,6fXIdyfCq00oaElvH64eri,JJ Weeks Band,3FcE6DoyOvAW5Q5kCjTqu2,263053,2013-01-01,41,0.336,0.312,5,-7.523,1,0.0327,0.808,0.0,0.12,0.149,83.046,29laTlGIbkQkmaIYv72I5r,Funeral Songs
2eLxEzMVfiQih0cJIWIowm,Nightingale,6S2OmqARrzebs0tKUEyXyp,Demi Lovato,6Kssm2LosQ0WyLukFZkEG5,216400,2013-01-01,57,0.486,0.605,9,-5.574,1,0.0365,0.139,0.0,0.105,0.33,141.319,29laTlGIbkQkmaIYv72I5r,Funeral Songs
0NWJPV3utX0J4tfwzyotNB,Like You'll Never See Me Again,3DiDSECUqqY1AuBP8qtaIa,Alicia Keys,0neqylYFL6s6Ikdf3UFmUo,315360,2007-11-09,0,0.548,0.658,7,-8.063,1,0.0314,0.164,0.000132,0.109,0.276,127.892,29laTlGIbkQkmaIYv72I5r,Funeral Songs
3U4isOIWM3VvDubwSI3y7a,All of Me,5y2Xq6xcjJb2jVM54GHK3t,John Legend,4OTAx9un4e6NfoHuVRiOrC,269560,2013-08-30,87,0.422,0.264,8,-7.064,1,0.0322,0.922,0.0,0.132,0.331,119.93,29laTlGIbkQkmaIYv72I5r,Funeral Songs
0tp2cUnCAcsR6xL5kw9HKu,Broken Strings,3LpLGlgRS1IKPPwElnpW35,James Morrison,0pAVneHUj7ApOZZPPZBVyN,250453,2008-01-01,51,0.569,0.716,1,-4.871,1,0.0297,0.0124,0.0,0.0727,0.307,111.946,29laTlGIbkQkmaIYv72I5r,Funeral Songs
