playlist_id,playlist_name,playlist_total_tracks,owner_id,owner_name,total_followers
37i9dQZF1DXaXB8fQg7xif,Dance Party,100,spotify,Spotify,4428704
37i9dQZF1DX1N5uK98ms5p,Teen Party,50,spotify,Spotify,3781148
37i9dQZF1DX7F6T2n2fegs,Throwback Party,100,spotify,Spotify,2929696
37i9dQZF1DWVcbzTgVpNRm,Latin Party Anthems,125,spotify,Spotify,1952156
37i9dQZF1DX8FwnYE6PRvL,Rock Party,50,spotify,Spotify,1815377
37i9dQZF1DX30w0JtSIv4j,Old School Hip-Hop House Party,55,spotify,Spotify,1376363
4em3xR5YVCP33dIyksqgnh,BTS Party,107,myplay.com,Filtr US,1271807
37i9dQZF1DX9EM98aZosoy,Partyhymnen 2020,60,spotify,Spotify,1112836
37i9dQZF1DWVWiyE9VDkCO,Party Deluxe,100,spotify,Spotify,893230
37i9dQZF1DXdgnLr18vPvu,Tailgate Party,98,spotify,Spotify,794006
37i9dQZF1DX0IlCGIUGBsA,Ultimate Party Classics,80,spotify,Spotify,793635
37i9dQZF1DX9oegrjMzKDW,The Party Hits of the 2010s,100,spotify,Spotify,699905
37i9dQZF1DX4Y4RhrZqHhr,Beach Party,80,spotify,Spotify,679530
37i9dQZF1DX4RDXswvP6Mj,K-Club Party,50,spotify,Spotify,678987
37i9dQZF1DX0MXH7aN4Pxn,All Night Dance Party,50,spotify,Spotify,668450
37i9dQZF1DX802IXCAaWtY,90s Dance Party,60,spotify,Spotify,630924
37i9dQZF1DX1BlWKDM98c2,Pinoy Party,40,spotify,Spotify,418466
37i9dQZF1DX4gOolUyeDaQ,Pool Party,80,spotify,Spotify,349899
37i9dQZF1DWTujiC7wfofZ,Indie Party,100,spotify,Spotify,344735
37i9dQZF1DX26MMm9GTjCc,Christmas Party,50,spotify,Spotify,343011
37i9dQZF1DXd5DCuoVuFY3,House Party,60,spotify,Spotify,337824
37i9dQZF1DXe9hay4VT07f,Dancehall Party,56,spotify,Spotify,214307
37i9dQZF1DWXti3N4Wp5xy,Pop Party,100,spotify,Spotify,186393
37i9dQZF1DWTUfv2yzHEe7,Bollywood Party,86,spotify,Spotify,168769
37i9dQZF1DX7tZql9TtyhL,TBT Party,100,spotify,Spotify,159941
37i9dQZF1DWSjibQnF0bUk,Afro Party Anthems,60,spotify,Spotify,144156
37i9dQZF1DX2nwuHNKim4S,Karaoke Party,35,spotify,Spotify,136723
37i9dQZF1DX5hHfOi73rY3,Warehouse Party,50,spotify,Spotify,131554
37i9dQZF1DXbIqU3eEXwop,Ultimate Summer Party,50,spotify,Spotify,128576
37i9dQZF1DX8EyMj5jl6Tz,The Remix Party,104,spotify,Spotify,126482
6IfGK9nLC9ChgD7FTZzkLJ,Party Hits 2000 - 2021,223,l.wintjes,Iris Nelen,112284
5oKz4DsTP8zbL97UIPbqp4,Dance Party! Best Dance Hits,432,ua8ynqkuc9ku64gnck4p86c77,Lost Records,107024
37i9dQZF1DWV67mFOgnpbl,Party Hard,90,spotify,Spotify,88635
37i9dQZF1DWYubIwLN4Hq2,Country Party,65,spotify,Spotify,78057
37i9dQZF1DX5zmjaed69ZW,Soul Party,41,spotify,Spotify,76428
6ibR5GQ3F2xsLQ1X4h7MnT,Party Playlist 2000-2021,378,7wxa0v4e0ibh05lc4ev9ym2le,Party Hits!,74502
37i9dQZF1DX8scDqTzxoFw,Kids Party,96,spotify,Spotify,74044
0pX3ZYGqZyHdMunDVJL4iz,House Party 2021,81,musicalfreedom,Musical Freedom Records,72531
5xS3Gi0fA3Uo6RScucyct6,Party Songs 🥳,140,0nigkw5to60vo8y7dl2n9o79u,Julia Michaels,70211
37i9dQZF1DX2CqFedmO3RP,Party Chale On,77,spotify,Spotify,70195
37i9dQZF1DXa8n42306eJB,Reggae Party,52,spotify,Spotify,69697
3rEkY4Z25FQ4x3NJ0pMxra,Country Party Songs ,244,1251776024,Ethan LeBlanc,68157
37i9dQZF1DXcSzYlwgjiSi,Party Cove,76,spotify,Spotify,66963
2Na8XnU1CEf2YGFLcp8Mmq,party music 🎉🎉,171,briannaryan29,brianna ryan,63785
12i6wXeS8LSlFGMBVr4tw5,Party Hits 2021 💃 Silvester 2021,194,kilianneuge,kilianneugebauer,61492
1KG8FXfje46d4Ff7fqSS3Y,Party Hip Hop | Rap | Turn Up | LIT | Club,101,rianxm5fs2ars17ca76314xu9,Hip Hop Hivemind,60713
37i9dQZF1DWYE5MI4mMuii,Rock & Roll Party,75,spotify,Spotify,56073
37i9dQZF1DX0nA91dV2ts4,Tamil Party Time,103,spotify,Spotify,51827
37i9dQZF1DX7S1VIepNQDg,Poolside Party,98,spotify,Spotify,49946
72O6JgPamztlXQeYaYo8LO,Mexican Party Music,102,jesus.moreno4062,jesus.moreno4062,46592
0VXArnmEB0FQFGt4m4WwYU,2000-2010 party,115,erlemaido,Erle Maido,43426
2ky5Ksp2PLYeG6P02c4vtP,80er / 90er PartyMix,71,1147319044,Jakob Schultz,42598
37i9dQZF1DX9xdJ1j2eMr3,Ghar ki Party 2020,35,spotify,Spotify,41241
4pDc5hu99c1qSPqKp57yEB,PARTY MUSIC 2021 2020🥳,161,pacificspain,Pacific Spain,37512
5LFxJsKKv70mIV35jqgpMx,Party Songs 2021 🎉 Party Hits 2020 🎉 Discoteca Mix 2021,118,rtb70ad6n8x6qfz9lzfln511w,Instact Music,36481
4ER4T6CVRbCVLrEkRUdIni,TikTok Philippines - Pajama Party - Me Love - Copines - Prrum - The Dance Song,248,vhan234,Christopher Dela Cruz,27312
1eSmMnPYycDLqUvZtFxiSr,Russian Party Hits🇷🇺🎶,76,ouvu1qqiz78q688yfea2ac54c,marschmi,25502
6m0VPA0AqL26IKhrSMizvv,Party Bangers Only 🔥,284,ft6rozo2t1ow7i7f70sat9g63,Billy G,24736
61vX56VbVVxGU2MtMdVOhp,Bollywood  party songs,105,alishaperthwa,Alisha 💋,21735
5TiVv4o1RJ5P4HVBaW4mPO,slytherin party🐍💚,35,31xpdbu8lxkqs627m3vh6y7qz,carolinemalfoy,20665
37i9dQZF1DXa2PvUpywmrr,Party Hits,78,spotify,Spotify,20212
37i9dQZF1DWXXYpLgWW5s9,House Party 2020,50,spotify,Spotify,19378
5g8vHznbv4PXihJDyWjMAo,PARTY SONGS 2018-2020,180,u1mgivcemy3cvbzbxs3q6t081,SAKSHAM,17022
6G3fFII5kqz800uPlIQazG,Party Songs 2021 & New Hits 2021 + 2020,140,partyfiesta!,partyfiesta!,14523
37i9dQZF1DWVyasWqYs9Zi,Family Party,100,spotify,Spotify,14258
4qQUEwvnoAIWIrmOYaNW3U,Party and Play,406,playstation_music,PlayStation™️ Music,13974
37i9dQZF1DXbMaZjhsGw5d,House Party 2020,50,spotify,Spotify,13413
4KGN4cukzUogULJujr8xrH,Party Songs of the 2000's,187,p.dipadua3,22178579104,13191
4tuReEKVsupVoQOldfIpiu,Party Mix 2021 🎉 Partyhymnen!,100,dertraudel,Remixes & Mashups,11705
0vfySdLGknMolkTrkileaw,2000er Partymix,94,lauraborghardt,lauraborghardt,11262
4ig2YbSMqhBK5kYhTWQqmG,PARTY 2000 • Pop Hits Top Black Rock Dance Radio Classic Friday Mix Nostalgia,133,12154352845,Victor Oliveira,10357
57b7KQ0RZfwb8q3BBJAan1,"Party Mix 2021 Playlist - Club, EDM, Dance & Pop Hits (Dance Party Songs 2021)",81,redmusiccompany,redmusiccompany,9268
3lot3HM1GHmXDzJFt1cjTb,Punjabi Songs - Party,74,22heqfqtjmbl7rdifqhaf5lba,Shivank Garg,8695
778vGlEpGNwvmkMIsjpff7,2000s party hits,177,katiebearobinson,katiebearobinson,8384
6VBhMca3EiPjQjuRpsvWG2,Party 2021 🎉,345,1117997211,Kasper Nordmark,6701
37i9dQZF1DXaZVVAXAeaeV,House Party 2020,70,spotify,Spotify,6092
0EJAvDPnA3n4BUL880DsVo,Twerking Party 🍑,108,lp55701kycftj2ask2kp6cida,Clément Cerles,4296
0EisGmyfB2Gm1NMKsdxyBP,Party Songs 2019(English),40,22iaav7y5efifn6bgbewuoz3i,Crisa Salazar Buenaventura,2597
37i9dQZF1DXdo6A3mWpdWx,90s Party,100,spotify,Spotify,2109
59Sv6uVEBVf3NVWUUoA6Zq,Party in the USA 🇺🇸,295,elsapham1007,Elsa Pham,1812
2OzKG88HuNgziyumkXa9iG,PARTY MIX 2021 | Decade Mix 2010-2020 | Pop Dance EDM Songs/Remixes,162,jost9912,jost9912,1356
67ihkxubEA7HiRgec4DGKx,Party,69,21i4lmc7zd3mtxt3cr7gcbsjy,Paulina Pikus,1326
37i9dQZF1DX6xnkAwJX7tn,80s Party,100,spotify,Spotify,1277
4WLzV9VQu3gTmwoJciUKNp,Party Mix 2021 🎉 Party Music 2021 🎉 Party Hits 2021,227,0z6yq0v3nb31akt98wbqdpipc,VipmusikRecords,816
37i9dQZF1DX7e8TjkFNKWH,00s Party,100,spotify,Spotify,724
7u3KBt5MLtrAxvxjEisArb,Party Songs 2010-2012,40,12151871836,Gija Cagatin Jardeleza,490
37i9dQZF1DWWylYLMvjuRG,10s Party,100,spotify,Spotify,437
37i9dQZF1DX1Hya1sRqqxI,70s Party,100,spotify,Spotify,366
1NKXZtOjLG7o1L371HrN66,Party du jour de l'an,38,22bu42p7gmzqqhdcwvhuhmdqa,Vincent Bernier,283
7yVQJDiNNNHGAujOMaHzue,PARTY JOUR DE L'AN,73,alexandrelabonte5,alexandrelabonte5,265
37i9dQZF1DX3AdAEX3vkB1,60s Party,100,spotify,Spotify,253
37i9dQZF1DWSwFS0Z6E1ep,50s Party,100,spotify,Spotify,228
5TnG2zKuXGIori8YrWBx93,Party Like No Other,15,4ujiem7rgml6n3h9yyzq9nv9z,Mainstream Music ,193
4nmOzIiMcqGkFpgUuBQbVn,Party Party Party,38,117418881,Marco Gurtner,154
6bE7OfySnGLeAB2edXNxSx,Party Lieder 2000-2010🦋,55,nnjn0te85lnf2exnpme1slotm,Michael,98
40tdN2fbIynXjMEogNLbzW,PARTY 🥂 🍻🍾🎊,285,1193218959,Alice Abrahamsson,91
7yWZUNqyklMJDzx2GNEFzM,Party songs 2010 - 2015,26,jtc.pendon04,Jofrey Toni Pendon,83
4covDt7KEFkZJNe7BIJ3yx,Party playlist,80,e6lc7kuz5vbspouteq5v158dm,SPARSH,74
31KmjsQUIPh0J4iQxj7L7b,party pl;aylist,406,toiiyjb8qbmvkysenxnnuutsv,16 rcpt,28
