track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name
6ft4hAq6yde8jPZY2i5zLr,Paradise (feat. Dermot Kennedy),0xRXCcSX89eobfrshSVdyu,MEDUZA,15sy3XQFShOFiDpKoxByyA,167903,2020-10-30,92,0.632,0.595,8,-7.644,0,0.0401,0.0689,0.0,0.209,0.435,124.114,37i9dQZF1DXaXB8fQg7xif,Dance Party
7iydGgbqWUwYQNKiUXaoWq,Lovefool - Nicky Romero Remix,7ACEUD7UsmmXrnj4OLt8f9,twocolors,5WrYRX2Ov8kYFfCVJTOSkq,209500,2020-09-30,65,0.609,0.798,3,-3.759,0,0.0342,0.0142,0.000573,0.155,0.305,126.137,37i9dQZF1DXaXB8fQg7xif,Dance Party
3rgTS3933lMWoPiN6CW4qY,Kids (feat. MKLA),2wX6xSig4Rig5kZU6ePlWe,KSHMR,3iYUmg1PpY33KH7QW0goe1,184687,2020-08-14,73,0.744,0.866,9,-4.834,1,0.106,0.0107,0.0537,0.528,0.302,128.027,37i9dQZF1DXaXB8fQg7xif,Dance Party
20McUFi8KCIVdNDLrkTDuZ,Goosebumps,2o08sCWF5yyo2G4DCiT7T9,HVME,49HjM8mnjS9PgYjSC03tkS,163208,2020-06-12,91,0.767,0.659,1,-7.429,1,0.0444,0.325,0.0,0.13,0.439,124.946,37i9dQZF1DXaXB8fQg7xif,Dance Party
3QrsKBdtwQcA3gZ8PYKYmb,Mesmerize,0q8J3Yj810t5cpAYEJ7gxt,Duck Sauce,5loM8kiAGIHhMUCnFgHFxl,239583,2020-10-16,65,0.701,0.983,4,-3.517,1,0.0552,0.0399,0.223,0.0866,0.756,126.02,37i9dQZF1DXaXB8fQg7xif,Dance Party
2ipTMqLLogZOwB3VXafqTR,Not Dancing,19VDJ9IKyBSUMDJxLsasP6,Mr. Belt & Wezol,1O5tGALZgYG6VHycsGKsIu,163108,2019-12-06,61,0.845,0.709,11,-5.588,0,0.0786,0.0203,1.31e-05,0.288,0.892,124.904,37i9dQZF1DXaXB8fQg7xif,Dance Party
039VxfSo5FErqE65169VZL,Devotion - 2020 Remix,1pbHrVayIcVpHI9z97u4bK,Bingo Players,7IEKWKox1xVi1tlUyWnHHk,152131,2020-10-09,65,0.701,0.802,2,-4.771,1,0.0451,0.00059,0.819,0.332,0.365,124.025,37i9dQZF1DXaXB8fQg7xif,Dance Party
5ovAmYzYLeEmOX6P3bmlzV,Dreams (feat. Lanie Gardner),1Cs0zKBU1kc0i8ypK3B9ai,David Guetta,4gj29oc0vz1qPuosvrkt8B,204102,2020-12-04,74,0.61,0.896,9,-4.471,0,0.0384,0.0904,0.000157,0.0943,0.0723,128.056,37i9dQZF1DXaXB8fQg7xif,Dance Party
4xZax8srPgsXV2mpMerqEk,Castles In The Sky,0y42IQBDFigO5mmEd1bGQG,i_o,3TolDOsMadcVP94ucEJEqU,223280,2020-11-20,64,0.68,0.95,8,-4.595,1,0.182,0.00203,0.538,0.552,0.14,134.982,37i9dQZF1DXaXB8fQg7xif,Dance Party
2xyG0785QU6hEQRDmKA29U,Energy,7GDrXlpRrdG29o4n0pNR5D,Bru-C,2J3FE6imqCKRPBtXutyBGx,230007,2020-12-04,63,0.773,0.92,10,-4.415,0,0.114,0.0299,0.0,0.674,0.958,129.029,37i9dQZF1DXaXB8fQg7xif,Dance Party
66W1rVTnEv86dIkFhoiElg,Secrets,4ofCBoyEiGSePFAG500xev,Regard,6AgcNXTAFBxcOFRfxHUtxs,176766,2020-04-24,83,0.848,0.768,6,-5.386,0,0.0373,0.0412,0.000785,0.195,0.777,118.961,37i9dQZF1DXaXB8fQg7xif,Dance Party
4KKaV1zUcpDecobqLjwIkB,Physical - Claptone Remix,6M2wZ9GZgrQXHCFfjv46we,Dua Lipa,7jZt48FNrqTEO8SFaZHwl7,189120,2020-03-25,59,0.722,0.928,5,-5.97,0,0.0341,0.00029,0.9,0.43,0.875,124.988,37i9dQZF1DXaXB8fQg7xif,Dance Party
342IN7R7WLFvxwxkJ5vkaj,Good Dope,2jFK9ZXWDd7auJvfNfBcuC,Future Class,4fcH341UhnzIcZPEHlZKys,177585,2020-10-16,39,0.809,0.792,2,-6.557,1,0.0948,0.102,0.000277,0.312,0.852,124.043,37i9dQZF1DXaXB8fQg7xif,Dance Party
7GiozRoMk95aFl1WbrDdjX,Nobody,5jAMCwdNHWr7JThxtMuEyy,NOTD,0n1BagGDuJad065Qjb7enT,143952,2020-10-30,72,0.818,0.773,8,-5.714,0,0.0579,0.0166,7.64e-06,0.377,0.878,122.016,37i9dQZF1DXaXB8fQg7xif,Dance Party
7JdiXX87BugXUDhQ89GEc8,Deep End - SIDEPIECE Remix,7kNqXtgeIwFtelmRjWv205,John Summit,3G4HzFDfCJUBJ4u7G3IdVc,196666,2020-10-16,65,0.763,0.665,11,-9.063,0,0.0807,0.122,0.0112,0.476,0.422,126.025,37i9dQZF1DXaXB8fQg7xif,Dance Party
6Htqsoq5u7Z4a8hqWfMRXY,Seven Nation Army,0U3b0BjITtQHwjwBVtiGcO,DMNDS,7a4re6Ite5lMFYJ8nVIzkT,133000,2020-11-20,71,0.784,0.802,4,-3.673,0,0.0666,0.214,0.023,0.445,0.522,124.941,37i9dQZF1DXaXB8fQg7xif,Dance Party
7tks4SpHKvcPiMb6cql9Er,Oxygen - Dario Rodriguez Remix,3XC57xz74X3xUi1hv4mge1,Winona Oak,1ZPuFcMFMPZS4Jr3NoXFeO,179500,2020-07-24,56,0.788,0.707,7,-4.878,1,0.13,0.0061,4.48e-05,0.139,0.31,126.026,37i9dQZF1DXaXB8fQg7xif,Dance Party
3vrm4dNThrhQ0BArrLIUOV,Somebody's Watching Me,5OdVywqKqyCWwfE2fZb7IX,Chico Rose,2p62jUmltlSQua2IViQBaz,176640,2020-04-17,77,0.712,0.857,1,-4.922,0,0.052,0.0855,9.98e-05,0.0723,0.207,124.963,37i9dQZF1DXaXB8fQg7xif,Dance Party
0NWVFwJxCMjBdTOCePlQdl,Another Life (feat. Alida),5wwneIFdawNgQ7GvKK29Z3,Lucas & Steve,1nRhHxZcQ3a5c23LdVTn7N,212468,2020-09-04,68,0.541,0.653,5,-5.954,1,0.04,0.00531,0.0,0.126,0.264,123.854,37i9dQZF1DXaXB8fQg7xif,Dance Party
1horDZRb64nwbtDXymIzLw,Nothing Really Matters,2o5jDhtHVPhrJdv3cEQ99Z,Tiësto,11w55rGZhuTqiEWGwb7psj,157477,2020-04-17,66,0.731,0.848,5,-4.254,0,0.0423,0.00495,1.81e-06,0.281,0.688,123.022,37i9dQZF1DXaXB8fQg7xif,Dance Party
