playlist_id,playlist_name,playlist_total_tracks,owner_id,owner_name,total_followers
37i9dQZF1DX70RN3TfWWJh,Workout,100,spotify,Spotify,4115739
37i9dQZF1DWUVpAXiEPK8P,Power Workout,50,spotify,Spotify,3532527
37i9dQZF1DX0HRj9P7NxeE,Workout Twerkout,50,spotify,Spotify,1677890
37i9dQZF1DX9ZKyQHcEFXZ,Perreo Workout,100,spotify,Spotify,1613688
37i9dQZF1DX76t638V6CA8,Rap Workout,59,spotify,Spotify,1264359
37i9dQZF1DXe6bgV3TmZOL,Adrenaline Workout,120,spotify,Spotify,1135025
37i9dQZF1DX8CwbNGNKurt,Throwback Workout,50,spotify,Spotify,1049846
37i9dQZF1DWUSyphfcc6aL,Workout Beats,70,spotify,Spotify,816737
37i9dQZF1DX3ZeFHRhhi7Y,Fantastic K-Workout,50,spotify,Spotify,457514
0L33OqcgnqcdtUDhUAyfPW,Workout Music 2021⚡Trap Gym Playlist ⚡Magic Music,130,magicmusicsquad,Magic Records,449360
37i9dQZF1DX6hvx9KDaW4s,The Rock Workout,60,spotify,Spotify,441038
7wBpRbIoatquCDVcxybHEk,Dance Workout,70,sonymusicuk,Filtr UK,404160
37i9dQZF1DWYNSm3Z3MxiM,Classic Rock Workout,65,spotify,Spotify,402567
37i9dQZF1DX0BZrbvIqxCd,Punk Rock Workout,100,spotify,Spotify,383631
37i9dQZF1DWVciwe52Zt0R,Workout Hits,43,spotify,Spotify,350944
37i9dQZF1DWY3PJWG3ogmJ,Extreme Metal Workout,120,spotify,Spotify,346254
190wZ2oVo7MTrBvNlPiub2,"Workout Music 2021, Gym Music, Treino, Cardio Music, Training Music, Fitness Motivation, Bass Music",90,ndnto1q1sqfpl6r7uvuyfzo0q,BLACK DOT,329696
37i9dQZF1DXaRL7xbcDl7X,Indie Workout,100,spotify,Spotify,284903
2YLYJT19TUBMD4eDQEnivw,Workout Motivation / HipHop / Rap 2021,145,uptown_as,uptown_as,263096
